# Kaiser - Yakutat Outer Terminal Moraine - TSHE - ITRDB AK143
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16481
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16481.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak143-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak143-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak143.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak143.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Kaiser - Yakutat Outer Terminal Moraine - TSHE - ITRDB AK143
#--------------------
# Investigators
#   Investigators: Kaiser, F.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Yakutat Outer Terminal Moraine
#   Location: Alaska
#   Northernmost_Latitude: 59.5525
#   Southernmost_Latitude: 59.5525
#   Easternmost_Longitude: -139.2894
#   Westernmost_Longitude: -139.2894
#   Elevation_m: 60
#--------------------
# Data_Collection
#   Collection_Name: AK143
#   First_Year: 1453
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Tsuga heterophylla (Raf.) Sarg.
#   Common_Name: western hemlock
#   Tree_Species_Code: TSHE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## OTMO0030_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0030; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0040_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0040; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0070_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0070; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0080_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0080; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0090_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0090; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0100_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0100; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0110_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0110; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0120_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0120; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0130_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0130; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	OTMO0030_raw	OTMO0040_raw	OTMO0070_raw	OTMO0080_raw	OTMO0090_raw	OTMO0100_raw	OTMO0110_raw	OTMO0120_raw	OTMO0130_raw
1453	NA	NA	NA	NA	0.7	NA	NA	NA	NA
1454	NA	NA	NA	NA	1.29	NA	NA	NA	NA
1455	NA	NA	NA	NA	1.07	NA	NA	NA	NA
1456	NA	NA	NA	NA	0.58	NA	NA	NA	NA
1457	NA	NA	NA	NA	0.95	NA	NA	NA	NA
1458	NA	NA	NA	NA	0.84	NA	NA	NA	NA
1459	NA	NA	NA	NA	0.84	NA	NA	NA	NA
1460	NA	NA	NA	NA	1.03	NA	NA	NA	NA
1461	NA	NA	NA	NA	1.14	NA	NA	NA	NA
1462	NA	NA	NA	NA	1	NA	NA	NA	NA
1463	NA	NA	NA	NA	0.92	NA	NA	NA	NA
1464	NA	NA	NA	NA	0.87	NA	NA	NA	NA
1465	NA	NA	NA	NA	0.68	NA	NA	NA	NA
1466	NA	NA	NA	NA	0.71	NA	NA	NA	NA
1467	NA	NA	NA	NA	0.49	NA	NA	NA	NA
1468	NA	NA	NA	NA	0.59	NA	NA	NA	NA
1469	NA	NA	NA	NA	0.52	NA	NA	NA	NA
1470	NA	NA	NA	NA	0.37	NA	NA	NA	NA
1471	NA	NA	NA	NA	0.28	NA	NA	NA	NA
1472	NA	NA	NA	NA	0.47	NA	NA	NA	NA
1473	NA	NA	NA	NA	0.56	NA	NA	NA	NA
1474	NA	NA	NA	NA	0.84	NA	NA	NA	NA
1475	NA	NA	NA	NA	1.31	NA	NA	NA	NA
1476	NA	NA	NA	NA	1.24	NA	NA	NA	NA
1477	NA	NA	NA	NA	1.27	NA	NA	NA	NA
1478	NA	NA	NA	NA	1.12	NA	NA	NA	NA
1479	NA	NA	NA	NA	0.95	NA	NA	NA	NA
1480	NA	NA	NA	NA	1.01	NA	NA	NA	NA
1481	NA	NA	NA	NA	0.8	NA	NA	NA	NA
1482	NA	NA	NA	NA	0.75	NA	NA	NA	NA
1483	NA	NA	NA	NA	0.8	NA	NA	NA	NA
1484	NA	NA	NA	NA	0.53	NA	NA	NA	NA
1485	NA	NA	NA	NA	0.75	NA	NA	NA	NA
1486	NA	NA	NA	NA	0.74	NA	NA	NA	NA
1487	NA	NA	NA	NA	0.63	NA	NA	NA	NA
1488	NA	NA	NA	NA	0.58	NA	NA	NA	NA
1489	NA	NA	NA	NA	0.57	NA	NA	NA	NA
1490	NA	NA	NA	NA	0.59	NA	NA	NA	NA
1491	NA	NA	NA	NA	0.44	NA	NA	NA	NA
1492	NA	NA	NA	NA	0.47	NA	NA	NA	NA
1493	NA	NA	NA	NA	0.37	NA	NA	NA	NA
1494	NA	NA	NA	NA	0.5	NA	NA	NA	NA
1495	NA	NA	NA	NA	0.47	NA	NA	NA	NA
1496	NA	NA	NA	NA	0.54	NA	NA	NA	NA
1497	NA	NA	NA	NA	0.55	NA	NA	NA	NA
1498	NA	NA	NA	NA	0.38	NA	NA	NA	NA
1499	NA	NA	NA	NA	0.5	NA	NA	NA	NA
1500	NA	NA	NA	NA	0.45	NA	NA	NA	NA
1501	NA	NA	NA	NA	0.48	NA	NA	NA	NA
1502	NA	NA	NA	NA	0.49	NA	NA	NA	NA
1503	NA	NA	NA	NA	0.6	NA	NA	NA	NA
1504	NA	NA	NA	NA	0.65	NA	NA	NA	NA
1505	NA	NA	NA	NA	0.48	NA	NA	NA	NA
1506	NA	NA	NA	NA	0.53	NA	NA	NA	NA
1507	NA	NA	NA	NA	0.57	NA	NA	NA	NA
1508	NA	NA	NA	NA	0.54	NA	NA	NA	NA
1509	NA	NA	NA	NA	0.63	NA	NA	NA	NA
1510	NA	NA	NA	NA	0.49	NA	NA	NA	NA
1511	NA	NA	NA	NA	0.39	NA	NA	NA	NA
1512	NA	NA	NA	NA	0.41	NA	NA	NA	NA
1513	NA	NA	NA	NA	0.35	NA	NA	NA	NA
1514	NA	NA	NA	NA	0.47	NA	NA	NA	NA
1515	NA	NA	NA	NA	0.42	NA	NA	NA	NA
1516	NA	NA	NA	NA	0.41	NA	NA	NA	NA
1517	NA	NA	NA	NA	0.51	NA	NA	NA	NA
1518	NA	NA	NA	NA	0.54	NA	NA	NA	NA
1519	NA	NA	NA	NA	0.39	NA	NA	NA	NA
1520	NA	NA	NA	NA	0.7	NA	NA	NA	NA
1521	NA	NA	NA	NA	0.64	NA	NA	NA	NA
1522	0.38	NA	NA	NA	0.59	NA	NA	NA	NA
1523	1.01	NA	NA	NA	0.6	NA	NA	NA	NA
1524	0.71	NA	NA	NA	0.7	NA	NA	NA	NA
1525	0.48	NA	NA	NA	0.54	NA	NA	NA	NA
1526	1.1	NA	NA	NA	0.63	NA	NA	NA	NA
1527	0.6	0.74	NA	NA	0.55	NA	NA	NA	NA
1528	0.76	0.55	NA	NA	0.56	NA	NA	NA	NA
1529	0.45	0.91	NA	NA	0.62	NA	NA	NA	NA
1530	0.58	1	NA	NA	0.28	NA	NA	NA	NA
1531	0.45	0.95	NA	NA	0.61	NA	NA	NA	NA
1532	0.54	0.89	NA	NA	0.53	NA	NA	NA	NA
1533	0.6	0.88	NA	NA	0.6	NA	NA	NA	NA
1534	0.57	0.82	NA	NA	0.66	NA	NA	NA	NA
1535	0.92	1	NA	NA	0.63	NA	NA	NA	NA
1536	0.94	1.02	NA	NA	0.8	NA	NA	NA	NA
1537	0.76	0.9	NA	NA	0.65	NA	NA	NA	NA
1538	0.72	1.08	NA	NA	0.64	NA	NA	NA	NA
1539	0.56	1.22	NA	NA	0.58	NA	NA	NA	NA
1540	0.25	0.81	NA	NA	0.54	NA	NA	NA	NA
1541	0.3	0.59	NA	NA	0.97	NA	NA	NA	NA
1542	0.14	0.91	NA	NA	0.85	NA	NA	NA	NA
1543	0.13	1.08	NA	NA	0.98	NA	NA	NA	NA
1544	0.14	1.38	NA	NA	0.9	NA	NA	NA	NA
1545	0.18	1.58	NA	NA	0.98	NA	NA	NA	NA
1546	0.14	1.53	NA	NA	0.96	NA	NA	NA	NA
1547	0.27	1.75	NA	NA	0.72	NA	NA	NA	NA
1548	0.28	1.17	NA	NA	0.96	NA	NA	NA	NA
1549	0.24	0.83	NA	NA	0.51	NA	NA	NA	NA
1550	0.19	0.76	NA	NA	0.83	NA	NA	NA	NA
1551	0.23	1.19	NA	NA	0.93	NA	NA	NA	NA
1552	0.13	0.87	NA	NA	0.93	NA	NA	NA	NA
1553	0.23	1	NA	NA	0.72	NA	NA	NA	NA
1554	0.32	0.82	NA	NA	0.91	NA	NA	NA	NA
1555	0.19	0.65	NA	NA	0.87	NA	NA	NA	NA
1556	0.33	0.8	NA	NA	0.73	NA	NA	NA	NA
1557	0.23	0.72	NA	NA	0.67	NA	NA	NA	NA
1558	0.41	0.91	NA	NA	0.78	NA	NA	NA	NA
1559	0.44	0.86	NA	NA	0.75	NA	NA	NA	NA
1560	0.38	0.79	NA	NA	0.66	NA	NA	1.07	NA
1561	0.46	0.77	NA	NA	0.72	NA	NA	0.83	NA
1562	0.57	0.73	NA	NA	0.72	NA	NA	0.72	NA
1563	0.68	0.74	NA	NA	0.82	NA	NA	0.66	NA
1564	0.78	0.89	NA	NA	0.82	NA	NA	0.77	NA
1565	0.97	1.25	NA	NA	0.75	NA	NA	0.69	NA
1566	0.98	1.52	NA	NA	0.97	NA	NA	0.73	NA
1567	0.74	1.17	NA	NA	0.87	NA	NA	0.74	NA
1568	0.78	1.12	NA	NA	0.65	NA	NA	0.89	NA
1569	1.24	1.33	NA	NA	0.72	NA	NA	0.65	NA
1570	1.14	1.35	NA	NA	0.66	NA	NA	0.83	NA
1571	0.89	1.13	NA	NA	0.59	NA	NA	1.02	NA
1572	0.94	1.1	NA	NA	0.58	NA	NA	1.03	NA
1573	1.16	1.46	NA	NA	0.75	NA	NA	0.98	NA
1574	1.09	1.46	NA	NA	0.74	NA	NA	0.93	NA
1575	0.97	1.34	NA	NA	0.83	NA	NA	1.24	NA
1576	0.8	1.01	NA	NA	0.75	NA	NA	1.37	NA
1577	0.77	0.85	NA	NA	0.77	NA	NA	0.96	NA
1578	1.05	1	NA	NA	0.81	NA	NA	0.75	NA
1579	0.66	0.9	NA	NA	0.62	NA	NA	0.72	NA
1580	0.74	0.92	NA	NA	0.57	NA	NA	0.75	NA
1581	0.67	0.83	NA	NA	0.71	NA	NA	0.73	NA
1582	0.84	1.14	NA	NA	0.59	NA	NA	0.94	NA
1583	0.91	1.21	NA	NA	0.69	NA	1.38	0.85	NA
1584	0.65	0.97	NA	NA	0.63	NA	1.23	1.01	NA
1585	0.64	0.8	NA	NA	0.54	NA	0.72	1.14	NA
1586	0.86	0.78	NA	NA	0.59	NA	0.6	0.84	NA
1587	0.91	0.92	NA	NA	0.51	NA	1.17	0.58	NA
1588	0.5	0.97	NA	NA	0.54	NA	1.39	0.76	0.41
1589	0.9	0.79	NA	NA	0.47	NA	1.96	0.78	0.54
1590	1.14	0.94	NA	NA	0.45	NA	1.58	0.87	0.54
1591	1.08	0.92	NA	NA	0.51	NA	1.6	0.71	0.5
1592	0.87	0.92	NA	NA	0.52	NA	1.76	0.91	0.61
1593	0.86	1.01	NA	NA	0.55	NA	1.57	0.89	0.58
1594	1.07	1.26	NA	NA	0.61	NA	1.56	0.75	0.84
1595	0.72	1.05	NA	NA	0.64	NA	1.63	0.73	0.77
1596	0.63	0.65	NA	NA	0.46	NA	1.54	0.89	0.68
1597	0.85	0.81	NA	NA	0.59	NA	1.61	0.88	0.91
1598	0.76	0.76	NA	NA	0.61	0.31	2.4	0.68	0.64
1599	0.73	0.75	NA	NA	0.59	0.23	1.82	0.89	0.59
1600	0.76	0.69	NA	NA	0.54	0.16	1.58	0.82	0.48
1601	0.66	0.52	NA	NA	0.45	0.23	1.63	0.88	0.36
1602	0.76	0.47	NA	NA	0.31	0.21	1.16	0.79	0.33
1603	0.85	0.52	NA	NA	0.41	0.19	1.17	0.7	0.63
1604	0.91	0.69	NA	NA	0.38	0.26	1.3	0.69	0.75
1605	0.67	0.41	NA	NA	0.3	0.17	1.33	0.73	0.54
1606	1.15	0.73	NA	NA	0.45	0.12	0.84	0.78	0.6
1607	0.99	0.6	NA	NA	0.41	0.1	1.37	0.5	0.56
1608	0.97	0.48	NA	NA	0.47	0.23	1.48	0.83	0.34
1609	0.72	0.51	NA	NA	0.42	0.29	1.29	0.66	0.55
1610	0.86	0.63	NA	NA	0.52	0.43	1.19	0.56	0.68
1611	0.98	0.67	NA	NA	0.6	0.88	1.18	0.46	1.11
1612	0.89	0.46	NA	NA	0.63	1.05	1.57	0.53	1.12
1613	0.88	0.41	NA	NA	0.48	0.99	1.1	0.72	0.83
1614	0.94	0.38	NA	NA	0.46	0.7	1.09	0.52	0.78
1615	0.71	0.28	NA	NA	0.27	0.65	1.28	0.61	0.51
1616	0.78	0.36	NA	NA	0.5	0.64	1.19	0.52	0.73
1617	0.97	0.41	NA	NA	0.4	0.66	0.94	0.42	0.64
1618	0.82	0.4	NA	NA	0.36	0.83	0.69	0.51	0.63
1619	0.7	0.33	NA	NA	0.54	0.49	0.91	0.38	1.05
1620	0.45	0.24	NA	NA	0.49	0.7	1.02	0.34	0.79
1621	0.61	0.67	NA	NA	0.65	0.66	1.4	0.38	0.97
1622	0.45	0.67	NA	NA	0.64	0.65	1.24	0.3	0.96
1623	0.31	0.41	NA	NA	0.4	0.59	1.01	0.58	0.62
1624	0.29	0.26	NA	NA	0.33	0.55	0.93	0.49	0.64
1625	0.27	0.28	NA	NA	0.24	0.44	0.41	0.34	0.51
1626	0.19	0.2	NA	NA	0.33	0.48	0.4	0.25	0.57
1627	0.26	0.24	NA	NA	0.4	0.55	0.32	0.2	1.06
1628	0.19	0.22	NA	NA	0.36	0.49	0.36	0.18	0.83
1629	0.1	0.19	NA	NA	0.47	0.5	0.34	0.19	0.71
1630	0.16	0.31	NA	NA	0.48	0.37	0.6	0.25	0.7
1631	0.28	0.4	NA	NA	0.35	0.32	0.8	0.24	0.68
1632	0.37	0.63	NA	NA	0.51	0.36	1.23	0.28	0.89
1633	0.3	0.48	NA	NA	0.27	0.36	0.86	0.35	0.64
1634	0.51	0.49	NA	NA	0.49	0.36	1.21	0.45	0.97
1635	0.65	0.45	NA	NA	0.39	0.32	1.14	0.34	0.83
1636	0.84	0.42	NA	NA	0.34	0.44	1.15	0.39	0.68
1637	0.64	0.32	NA	NA	0.27	0.49	1.06	0.43	0.59
1638	0.77	0.39	NA	NA	0.35	0.34	1.28	0.43	0.55
1639	0.59	0.21	NA	NA	0.29	0.33	0.94	0.31	0.43
1640	0.78	0.38	NA	NA	0.34	0.34	1.14	0.39	0.52
1641	0.74	0.38	NA	NA	0.29	0.44	0.97	0.26	0.52
1642	0.72	0.36	NA	NA	0.39	0.5	1.11	0.38	0.61
1643	0.56	0.26	NA	NA	0.28	0.44	0.69	0.29	0.41
1644	0.5	0.23	NA	NA	0.29	0.33	0.93	0.29	0.35
1645	0.49	0.35	NA	NA	0.26	0.26	0.86	0.2	0.42
1646	0.52	0.43	NA	NA	0.31	0.25	0.95	0.14	0.45
1647	0.48	0.57	NA	NA	0.34	0.17	0.87	0.15	0.42
1648	0.43	0.54	NA	NA	0.38	0.12	1.16	0.17	0.47
1649	0.39	0.62	NA	NA	0.37	0.19	1.1	0.13	0.42
1650	0.37	0.7	NA	NA	0.33	0.28	1.22	0.15	0.5
1651	0.51	0.61	NA	NA	0.34	0.31	1.19	0.09	0.66
1652	0.39	0.51	NA	NA	0.42	0.26	0.93	0.07	0.72
1653	0.32	0.5	NA	NA	0.35	0.17	0.98	0.11	0.79
1654	0.48	0.33	NA	NA	0.23	0.14	1.03	0.1	0.5
1655	0.71	0.51	NA	NA	0.44	0.21	1.2	0.06	0.71
1656	0.81	0.43	NA	NA	0.35	0.18	1.12	0.08	0.49
1657	0.61	0.46	NA	NA	0.4	0.29	1.04	0.17	0.51
1658	0.55	0.37	NA	NA	0.3	0.22	0.85	0.22	0.69
1659	0.48	0.38	NA	NA	0.35	0.1	0.76	0.18	0.63
1660	0.36	0.35	NA	NA	0.28	0.11	0.54	0.09	0.44
1661	0.44	0.38	NA	NA	0.31	0.15	0.5	0.07	0.47
1662	0.36	0.32	NA	NA	0.17	0.11	0.48	0.08	0.49
1663	0.25	0.23	NA	NA	0.28	0.23	0.64	0.16	0.44
1664	0.28	0.2	NA	NA	0.29	0.24	0.48	0.06	0.53
1665	0.26	0.19	NA	NA	0.32	0.21	0.46	0.08	0.4
1666	0.35	0.35	NA	NA	0.34	0.19	0.57	0.06	0.55
1667	0.39	0.41	NA	NA	0.37	0.22	0.57	0.1	0.61
1668	0.34	0.33	NA	NA	0.33	0.26	0.52	0.06	0.47
1669	0.41	0.29	NA	NA	0.38	0.31	0.52	0.1	0.49
1670	0.46	0.28	NA	NA	0.33	0.3	0.61	0.14	0.43
1671	0.59	0.4	NA	NA	0.3	0.12	0.68	0.17	0.5
1672	0.36	0.34	NA	NA	0.32	0.17	0.54	0.14	0.43
1673	0.49	0.34	NA	NA	0.35	0.11	0.66	0.07	0.52
1674	0.5	0.19	NA	NA	0.35	0.13	0.71	0.07	0.48
1675	0.58	0.57	NA	NA	0.4	0.17	0.7	0.13	0.63
1676	0.53	0.35	NA	NA	0.3	0.21	0.62	0.28	0.44
