# Stahle - Hudson Barn - QUSP - ITRDB AR068
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4867
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4867.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ar068-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ar068-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ar068.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ar068.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-21
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-21
#--------------------
# Title
#   Study_Name: Stahle - Hudson Barn - QUSP - ITRDB AR068
#--------------------
# Investigators
#   Investigators: Stahle, D.W.; Cade, G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Hudson Barn
#   Location: Arkansas
#   Northernmost_Latitude: 35.97
#   Southernmost_Latitude: 35.97
#   Easternmost_Longitude: -93.22
#   Westernmost_Longitude: -93.22
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: AR068
#   First_Year: 1676
#   Last_Year: 1903
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HUD01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD02C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD02C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HUD05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HUD05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HUD01A_raw	HUD01B_raw	HUD02A_raw	HUD02B_raw	HUD02C_raw	HUD04A_raw	HUD04B_raw	HUD05A_raw	HUD05B_raw
1676	NA	NA	NA	NA	NA	NA	NA	0.63	0.54
1677	NA	NA	NA	NA	NA	NA	NA	0.61	0.66
1678	NA	NA	NA	NA	NA	NA	NA	0.59	0.77
1679	NA	NA	NA	NA	NA	NA	NA	0.48	0.42
1680	NA	NA	NA	NA	NA	NA	NA	0.61	0.59
1681	NA	NA	NA	NA	NA	NA	NA	0.25	0.45
1682	NA	NA	NA	NA	NA	NA	NA	0.72	0.5
1683	NA	NA	NA	NA	NA	NA	NA	0.52	0.46
1684	NA	NA	NA	NA	NA	NA	NA	0.24	0.32
1685	NA	NA	NA	NA	NA	NA	NA	0.21	0.43
1686	NA	NA	NA	NA	NA	NA	NA	0.33	0.38
1687	NA	NA	NA	NA	NA	NA	NA	0.48	0.57
1688	NA	NA	NA	NA	NA	NA	NA	0.29	0.39
1689	NA	NA	NA	NA	NA	NA	NA	0.48	0.52
1690	NA	NA	NA	NA	NA	NA	NA	0.42	0.44
1691	NA	NA	NA	NA	NA	NA	NA	0.38	0.41
1692	NA	NA	NA	NA	NA	NA	NA	0.3	0.45
1693	NA	NA	NA	NA	NA	NA	NA	0.38	0.41
1694	NA	NA	NA	NA	NA	NA	NA	0.59	0.88
1695	NA	NA	0.39	0.41	0.18	NA	NA	0.61	0.93
1696	NA	NA	0.69	0.46	0.55	NA	NA	0.7	1.01
1697	NA	NA	0.97	0.89	1.07	NA	NA	0.51	0.71
1698	NA	NA	0.62	0.55	0.51	NA	NA	0.72	0.8
1699	NA	NA	0.69	0.78	0.61	NA	NA	0.71	1.09
1700	NA	NA	0.62	1.05	0.95	NA	NA	0.61	1.28
1701	NA	NA	1	0.92	0.79	NA	NA	0.64	1.11
1702	NA	NA	0.86	1	1.09	NA	NA	0.73	0.97
1703	NA	NA	0.92	0.7	0.56	NA	NA	0.44	0.87
1704	NA	NA	1.15	1.01	0.81	NA	NA	0.55	1
1705	NA	NA	1.07	0.99	0.84	NA	NA	0.49	1.02
1706	NA	NA	0.59	0.73	0.83	NA	NA	0.55	0.8
1707	NA	NA	0.72	0.78	0.73	NA	NA	0.62	0.87
1708	NA	NA	0.56	0.62	0.4	NA	NA	0.26	0.49
1709	NA	NA	0.76	0.74	0.79	NA	NA	0.44	0.72
1710	NA	NA	0.96	0.76	0.61	NA	NA	0.57	0.94
1711	NA	NA	0.58	0.57	0.49	NA	NA	0.34	0.51
1712	NA	NA	0.41	0.45	0.77	NA	NA	0.39	0.45
1713	NA	NA	0.49	0.43	0.65	NA	NA	0.45	0.8
1714	NA	NA	0.69	0.53	0.66	NA	NA	0.53	1.12
1715	NA	NA	0.57	0.51	0.45	NA	NA	0.44	1.04
1716	NA	NA	0.71	0.7	0.57	NA	NA	0.72	1.35
1717	NA	NA	0.81	0.61	0.7	NA	NA	0.87	1.24
1718	NA	0.48	0.66	0.51	0.47	NA	NA	0.45	0.98
1719	NA	1.09	0.86	0.66	0.54	NA	NA	0.61	0.99
1720	NA	0.94	0.75	0.53	0.48	NA	NA	0.46	0.84
1721	NA	0.9	0.6	0.49	0.4	NA	NA	0.46	0.57
1722	NA	0.39	0.6	0.4	0.5	NA	NA	0.43	0.67
1723	NA	0.63	0.54	0.37	0.44	NA	NA	0.33	0.42
1724	NA	0.65	0.47	0.45	0.34	NA	NA	0.39	0.53
1725	NA	0.54	0.52	0.5	0.54	NA	NA	0.45	0.76
1726	NA	0.77	0.73	0.45	0.63	NA	NA	0.55	0.67
1727	NA	0.62	0.63	0.4	0.42	NA	NA	0.49	0.73
1728	NA	1.01	0.6	0.53	0.6	NA	NA	0.59	0.59
1729	NA	0.79	1.06	0.72	0.95	NA	NA	1.18	1
1730	NA	0.54	0.88	0.88	0.76	NA	NA	0.95	1.05
1731	NA	0.49	0.88	0.95	0.66	NA	NA	0.79	0.93
1732	NA	0.44	0.82	0.83	0.59	NA	NA	0.77	0.91
1733	NA	0.48	0.92	0.85	0.75	NA	NA	0.75	0.92
1734	NA	0.41	0.75	0.77	0.72	NA	NA	0.7	0.69
1735	NA	0.29	0.66	0.64	0.65	NA	NA	0.56	0.57
1736	NA	0.28	0.78	0.56	0.52	NA	NA	0.36	0.45
1737	NA	0.34	0.95	0.52	0.42	NA	NA	0.6	0.39
1738	NA	0.39	0.78	0.59	0.64	NA	NA	0.55	0.48
1739	NA	0.47	1.1	0.63	0.75	NA	NA	0.71	0.84
1740	NA	2.47	1.05	0.82	0.71	NA	NA	0.76	0.75
1741	NA	1.16	1.03	0.69	0.58	NA	NA	0.59	0.69
1742	NA	1	1.2	0.7	0.61	NA	NA	0.7	0.73
1743	NA	0.85	1.09	0.92	0.75	NA	NA	0.71	0.66
1744	NA	0.75	1.03	0.73	0.63	NA	NA	0.65	0.57
1745	NA	0.45	1.14	0.85	0.75	NA	NA	0.79	0.72
1746	NA	0.5	1.08	0.94	0.76	NA	NA	0.84	0.7
1747	NA	0.48	0.9	0.96	0.73	NA	NA	0.74	0.8
1748	NA	0.41	0.82	0.7	0.52	NA	NA	0.52	0.92
