# Black - Wasson - PSME - ITRDB OR128
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38231
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38231.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or128-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or128.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or128.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Wasson - PSME - ITRDB OR128
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; Bryan A. Black; William J. Burns; Nancy Calhoun; Logan Wetherell
#   Published_Date_or_Year: 2020
#   Published_Title: Dendrochronological dating of landslides in western Oregon: Searching for signals of the Cascadia A.D. 1700 earthquake
#   Journal_Name: Missing Journal Name
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1130/B35269.1
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Wasson
#   Location: Oregon
#   Northernmost_Latitude: 43.748
#   Southernmost_Latitude: 43.748
#   Easternmost_Longitude: -123.795
#   Westernmost_Longitude: -123.795
#   Elevation_m: 265
#--------------------
# Data_Collection
#   Collection_Name: OR128
#   First_Year: 1605
#   Last_Year: 1819
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## WAS01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WAS01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WAS01C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS01C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WAS02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WAS02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WAS03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WAS03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WAS03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	WAS01A_raw	WAS01B_raw	WAS01C_raw	WAS02A_raw	WAS02B_raw	WAS03A_raw	WAS03B_raw
1605	NA	NA	NA	NA	NA	NA	1.91
1606	NA	NA	NA	NA	NA	NA	1.39
1607	NA	NA	NA	NA	NA	NA	1.43
1608	NA	NA	NA	NA	NA	NA	2.02
1609	NA	NA	NA	NA	NA	NA	1.96
1610	NA	NA	NA	NA	NA	2.16	1.83
1611	NA	NA	NA	NA	NA	2.72	2.36
1612	NA	NA	NA	NA	NA	3.54	2.49
1613	NA	NA	NA	NA	NA	2.47	2.05
1614	NA	NA	NA	NA	NA	2.42	2.2
1615	NA	NA	NA	NA	NA	2.47	2.31
1616	NA	NA	NA	NA	NA	2.93	2.84
1617	NA	NA	NA	NA	NA	2.37	2.16
1618	NA	NA	NA	NA	NA	1.86	1.73
1619	NA	NA	NA	NA	NA	1.42	1.3
1620	NA	NA	NA	NA	NA	1.44	1.47
1621	NA	NA	NA	NA	NA	1.65	1.83
1622	NA	NA	NA	NA	NA	1.95	1.76
1623	NA	NA	NA	NA	NA	1.76	1.55
1624	NA	NA	NA	NA	NA	1.6	1.54
1625	NA	NA	NA	NA	NA	1.78	1.55
1626	NA	NA	NA	NA	NA	1.5	1.46
1627	NA	NA	NA	NA	NA	1.39	1.45
1628	NA	NA	NA	NA	NA	1	1.26
1629	NA	NA	NA	NA	NA	1.23	1.31
1630	NA	NA	NA	NA	NA	1.33	1.09
1631	NA	NA	NA	NA	NA	1.13	1
1632	NA	NA	NA	NA	NA	1.34	1.33
1633	NA	NA	NA	NA	NA	1.29	1.3
1634	NA	NA	NA	NA	NA	1.25	1.11
1635	NA	NA	NA	NA	NA	1.29	1.17
1636	NA	NA	NA	NA	NA	1.52	1.44
1637	NA	NA	NA	NA	NA	1.29	1.2
1638	NA	NA	NA	NA	NA	1.69	1.52
1639	NA	NA	NA	NA	NA	1.33	1.23
1640	NA	NA	NA	NA	NA	1.25	1.25
1641	NA	NA	NA	NA	NA	1.5	1.77
1642	NA	NA	NA	NA	NA	1.55	1.69
1643	NA	NA	NA	NA	NA	1.41	1.37
1644	NA	NA	NA	NA	NA	1.15	1.18
1645	NA	NA	NA	NA	NA	1.23	1.12
1646	NA	NA	NA	NA	NA	1.39	1.41
1647	NA	NA	NA	NA	NA	1.22	1.1
1648	NA	NA	NA	NA	NA	1.15	1.16
1649	NA	NA	NA	NA	NA	0.91	0.93
1650	NA	NA	NA	NA	NA	1.09	1.04
1651	NA	NA	NA	NA	NA	0.87	0.75
1652	NA	NA	NA	NA	NA	0.95	0.85
1653	NA	NA	NA	NA	NA	0.79	0.97
1654	NA	NA	NA	NA	NA	0.93	1.05
1655	NA	NA	NA	NA	NA	1.04	1.19
1656	NA	NA	NA	NA	NA	0.93	0.94
1657	NA	NA	NA	NA	NA	0.93	0.87
1658	NA	NA	NA	NA	NA	0.86	0.79
1659	NA	NA	NA	NA	NA	1.01	0.88
1660	NA	NA	NA	NA	NA	0.72	0.65
1661	NA	NA	NA	NA	NA	0.83	0.88
1662	NA	NA	NA	NA	NA	0.66	0.73
1663	NA	NA	NA	NA	NA	0.74	0.79
1664	NA	NA	NA	NA	NA	0.73	0.71
1665	NA	NA	NA	NA	NA	0.4	0.6
1666	NA	NA	NA	NA	NA	0.4	0.67
1667	NA	NA	NA	NA	NA	0.54	0.81
1668	NA	NA	NA	NA	NA	0.71	0.85
1669	NA	NA	NA	NA	NA	1.01	1.18
1670	NA	NA	NA	NA	NA	1.41	1.57
1671	NA	NA	NA	NA	NA	1.5	1.85
1672	NA	NA	NA	NA	NA	1.66	2.03
1673	NA	NA	NA	NA	NA	1.44	1.56
1674	NA	NA	NA	NA	NA	1.57	1.94
1675	NA	NA	NA	NA	NA	1.23	1.5
1676	NA	NA	NA	NA	NA	1.23	1.31
1677	NA	NA	NA	NA	NA	1.07	1.16
1678	NA	NA	NA	NA	NA	1.35	1.35
1679	NA	NA	NA	NA	NA	1.47	1.57
1680	NA	NA	NA	NA	NA	0.98	1.11
1681	NA	NA	NA	NA	NA	0.9	1.04
1682	NA	NA	NA	NA	NA	0.68	0.66
1683	NA	NA	NA	NA	NA	0.51	0.47
1684	NA	2.24	NA	NA	NA	0.79	0.61
1685	2.52	2.64	NA	NA	NA	1.01	1.19
1686	2.71	2.66	NA	NA	NA	1.5	1.6
1687	2.69	2.9	NA	NA	NA	1.98	2.11
1688	2.3	2.43	NA	NA	NA	1.95	1.78
1689	2.06	1.98	NA	NA	NA	2.12	2.08
1690	2.14	2.24	2.2	2.79	NA	2.08	2.17
1691	2.18	2.33	2.3	3.75	3.72	2.12	2.08
1692	1.67	1.89	1.83	3.52	3.51	2.03	2
1693	1.92	1.92	2.22	3	2.79	1.58	1.69
1694	2.45	2.51	2.9	3.13	2.97	1.94	2.09
1695	2.97	2.95	2.9	3.07	3.11	3.24	2.91
1696	3.21	3.29	3.47	2.77	2.7	3.05	2.73
1697	3.62	4.01	4.01	4.51	4.52	2.43	2.31
1698	2.93	2.84	3.34	3.23	3.01	2.24	1.92
1699	3.05	3.44	3.15	2.06	2.02	2.03	1.77
1700	3.5	3.68	3.63	2.44	2.34	2.42	1.96
1701	3.3	3.79	3.74	2.33	2.23	2.69	2.43
1702	4.57	4.69	4.84	2.53	2.4	3.15	3.04
1703	2.87	3.09	3.17	2.05	1.97	2.48	2.4
1704	2.37	2.76	3.2	2.24	2.28	1.77	2.11
