# Stahle - Donie - QUST - ITRDB TX043
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4838
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4838.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tx043-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; tx043-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tx043.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/tx043.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-21
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-21
#--------------------
# Title
#   Study_Name: Stahle - Donie - QUST - ITRDB TX043
#--------------------
# Investigators
#   Investigators: Stahle, D.W.; Jurney, D.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Donie
#   Location: Texas
#   Northernmost_Latitude: 31.45
#   Southernmost_Latitude: 31.45
#   Easternmost_Longitude: -96.2
#   Westernmost_Longitude: -96.2
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: TX043
#   First_Year: 1691
#   Last_Year: 1874
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus stellata Wangenh.
#   Common_Name: post oak
#   Tree_Species_Code: QUST
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DON01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DON01A_raw	DON02A_raw	DON03A_raw	DON04A_raw	DON05A_raw	DON06A_raw	DON07A_raw	DON08A_raw	DON09A_raw	DON10A_raw
1691	NA	NA	NA	NA	NA	1.09	NA	NA	NA	NA
1692	NA	NA	NA	NA	NA	2.09	NA	NA	NA	NA
1693	NA	NA	NA	NA	NA	1.77	NA	NA	NA	NA
1694	NA	NA	NA	NA	NA	2.16	NA	NA	NA	NA
1695	0.67	NA	NA	NA	NA	1.24	NA	NA	NA	NA
1696	0.71	NA	NA	NA	NA	1.47	NA	NA	NA	NA
1697	1.16	NA	NA	NA	NA	1.37	NA	NA	NA	NA
1698	1.42	NA	NA	NA	NA	1.09	NA	NA	NA	NA
1699	1.07	NA	NA	NA	NA	0.81	NA	NA	NA	NA
1700	0.97	NA	NA	NA	NA	0.91	NA	NA	NA	0.57
1701	1.81	NA	NA	1.69	NA	1.42	NA	NA	NA	1.32
1702	2.38	NA	NA	2.58	NA	1.74	NA	NA	NA	1.64
1703	1.21	NA	NA	1.45	NA	0.61	NA	NA	NA	1.1
1704	2.15	NA	NA	1.91	NA	0.98	NA	NA	NA	1.46
1705	0.53	NA	NA	0.45	NA	0.69	NA	NA	NA	0.65
1706	0.98	NA	NA	1.08	NA	0.21	NA	NA	NA	1.06
1707	1.43	NA	NA	1.82	NA	0.72	NA	NA	NA	0.95
1708	0.33	NA	NA	0.39	NA	0.95	NA	NA	NA	0.58
1709	0.86	1.15	NA	0.85	NA	1.38	NA	NA	NA	1.78
1710	0.66	0.61	NA	0.73	NA	0.93	NA	NA	NA	0.68
1711	0.53	0.38	NA	0.58	NA	0.43	NA	NA	NA	1.43
1712	0.93	0.93	NA	0.94	NA	0.96	NA	NA	NA	0.71
1713	1.34	1.22	NA	1.3	NA	1.01	NA	NA	NA	1.61
1714	1.15	0.68	NA	0.72	NA	0.99	NA	NA	NA	1.6
1715	0.58	0.21	NA	0.67	NA	0.61	NA	NA	NA	1.96
1716	0.35	0.45	NA	0.4	NA	0.91	NA	NA	NA	0.72
1717	0.95	0.64	NA	0.59	NA	0.85	NA	NA	NA	1.09
1718	2.41	1.16	NA	1.06	NA	1.14	NA	NA	NA	1.71
1719	3.2	1.62	NA	1.1	NA	1.2	NA	NA	NA	2.48
1720	3.01	1.53	NA	1.08	NA	1.42	NA	NA	NA	1.89
1721	2.75	1.41	NA	0.94	NA	1.27	NA	NA	NA	1.45
1722	1.91	1.66	NA	0.79	NA	0.88	NA	NA	NA	1.37
1723	3.68	1.25	1.72	0.9	NA	1.02	NA	NA	NA	0.9
1724	2.04	1.41	0.41	0.96	NA	1.06	NA	NA	NA	1.25
1725	1.99	1.16	0.4	0.99	NA	0.87	NA	NA	NA	1.19
1726	3.16	1.56	0.71	1.52	NA	1.38	NA	NA	NA	3.39
1727	2.22	1.12	0.59	1.31	NA	0.74	NA	NA	NA	2.33
1728	1	0.46	0.51	0.78	NA	0.69	NA	NA	NA	0.99
1729	0.82	0.48	0.34	1.17	NA	0.48	NA	NA	NA	0.73
1730	0.38	0.44	0.31	0.54	NA	0.27	NA	NA	NA	0.4
1731	0.69	0.66	0.92	0.84	NA	0.89	NA	NA	NA	0.8
1732	1.84	1.13	1.18	1.95	NA	1.04	NA	NA	NA	1.32
1733	2.36	1.06	1.06	1.63	1.17	0.63	NA	NA	NA	1.63
1734	1.14	1.33	1.24	0.92	0.92	0.76	NA	NA	NA	0.6
1735	2.22	1.72	1.19	1.25	0.93	0.82	NA	NA	NA	1.2
1736	0.91	1	0.49	0.71	0.65	0.64	NA	NA	NA	0.65
1737	1.36	0.97	0.9	0.87	0.7	0.88	NA	NA	NA	0.69
1738	1.65	0.97	0.48	0.79	0.87	0.54	NA	NA	NA	0.83
1739	1.85	1.33	0.78	0.84	1.33	0.71	NA	NA	NA	0.56
1740	2.49	1.61	1.1	0.72	1.21	1.06	NA	NA	NA	0.78
1741	0.69	0.66	0.81	0.49	0.37	0.4	0.31	0.35	NA	0.55
1742	0.95	0.8	2.11	0.71	0.74	0.45	0.41	0.54	NA	0.67
1743	1.09	0.72	1.15	1.33	0.61	0.29	0.51	0.59	NA	0.63
1744	2.17	1.35	1.54	1.56	0.76	0.57	0.95	1.36	NA	0.56
1745	1.94	1.61	1.8	1.72	1.05	0.75	0.71	1.45	NA	0.94
1746	2.03	1.75	1.77	1.66	1.78	0.7	0.99	1.36	NA	0.65
1747	1.78	1.28	1.52	1.52	1	0.86	0.88	1.09	NA	0.64
1748	1.29	1.12	0.96	1.15	0.9	0.92	0.62	0.68	NA	0.47
1749	1.1	1.15	0.64	1.07	0.76	0.75	0.63	0.45	NA	0.49
1750	0.58	0.93	0.45	0.67	0.56	0.54	0.54	0.44	NA	0.46
1751	0.54	0.86	0.8	0.72	0.49	0.52	0.46	0.35	NA	0.44
1752	0.47	0.67	0.76	0.55	0.44	0.3	0.41	0.34	NA	0.49
1753	0.88	0.68	1.22	0.86	0.88	0.49	0.74	0.55	NA	0.42
1754	0.76	0.86	1.42	0.9	0.91	0.62	0.75	1.13	NA	0.5
1755	0.55	0.53	1.08	0.7	0.54	0.39	0.39	0.75	NA	0.47
1756	0.44	0.6	0.85	0.77	0.54	0.61	0.56	0.46	NA	0.55
