# Sauchyn - Little Belt Mountains Pole Creek - PSME - ITRDB MT162
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/27544
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-27544.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mt162-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; mt162-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mt162.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mt162.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-05-17
#--------------------
# File_Last_Modified_Date
#   Date: 2019-05-17
#--------------------
# Title
#   Study_Name: Sauchyn - Little Belt Mountains Pole Creek - PSME - ITRDB MT162
#--------------------
# Investigators
#   Investigators: Sauchyn, D.J.
#--------------------
# Description_Notes_and_Keywords
#   Description: Upper Missouri River Basin Streamflow project NOAA Template Raw Measurements file added 2020-01-15.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Little Belt Mountains Pole Creek
#   Location: Montana
#   Northernmost_Latitude: 46.86
#   Southernmost_Latitude: 46.86
#   Easternmost_Longitude: -110.99
#   Westernmost_Longitude: -110.99
#   Elevation_m: 1830
#--------------------
# Data_Collection
#   Collection_Name: MT162
#   First_Year: 1699
#   Last_Year: 2005
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LBM001A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LBM001A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LBM001B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LBM001B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LBM002A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LBM002A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LBM002B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LBM002B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LBM003A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LBM003A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LBM003B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LBM003B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LBM004A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LBM004A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LBM004B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LBM004B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LBM001A_raw	LBM001B_raw	LBM002A_raw	LBM002B_raw	LBM003A_raw	LBM003B_raw	LBM004A_raw	LBM004B_raw
1699	NA	NA	2.033	NA	NA	NA	NA	NA
1700	NA	NA	2.15	NA	NA	NA	NA	NA
1701	NA	NA	3.034	NA	NA	NA	NA	NA
1702	NA	NA	2.89	NA	NA	NA	NA	NA
1703	NA	NA	2.319	NA	NA	NA	NA	NA
1704	NA	NA	2.745	NA	NA	NA	NA	NA
1705	NA	NA	1.919	NA	NA	NA	NA	NA
1706	NA	NA	4.4	NA	NA	NA	NA	NA
1707	NA	NA	2.002	NA	NA	NA	NA	NA
1708	NA	NA	1.83	NA	NA	NA	NA	NA
1709	NA	NA	1.977	NA	NA	NA	NA	NA
1710	NA	NA	2.262	NA	NA	NA	NA	NA
1711	NA	NA	2.181	NA	NA	NA	NA	NA
1712	NA	NA	1.757	NA	NA	NA	NA	NA
1713	NA	NA	1.482	NA	NA	NA	NA	NA
1714	NA	NA	1.759	NA	NA	NA	NA	NA
1715	NA	NA	1.882	NA	NA	NA	NA	NA
1716	NA	NA	1.586	NA	NA	NA	NA	NA
1717	NA	NA	1.483	NA	NA	NA	NA	NA
1718	NA	NA	1.038	NA	NA	NA	NA	NA
1719	NA	NA	1.42	NA	NA	NA	NA	NA
1720	NA	NA	0.975	NA	NA	NA	NA	NA
1721	NA	NA	0.551	NA	NA	NA	NA	NA
1722	NA	NA	1.335	NA	NA	NA	NA	NA
1723	NA	NA	0.869	NA	NA	NA	NA	NA
1724	NA	NA	1.292	NA	NA	NA	NA	NA
1725	NA	NA	2.141	NA	NA	NA	NA	NA
1726	NA	NA	2.309	NA	NA	NA	NA	NA
1727	NA	NA	2.119	2.051	NA	NA	NA	NA
1728	NA	NA	3.116	3.157	NA	NA	NA	NA
1729	NA	NA	2.84	2.853	NA	NA	NA	NA
1730	NA	NA	1.758	1.607	NA	NA	NA	NA
1731	NA	NA	2.18	1.967	NA	NA	NA	NA
1732	NA	NA	2.157	2.442	NA	NA	NA	NA
1733	NA	NA	2.389	2.974	NA	NA	NA	NA
1734	NA	NA	1.33	1.856	NA	NA	NA	NA
1735	NA	NA	0.444	0.843	NA	NA	NA	NA
1736	NA	NA	1.1	1.159	NA	NA	NA	NA
1737	NA	NA	1.438	1.668	NA	NA	NA	NA
1738	NA	NA	1.756	1.967	NA	NA	NA	NA
1739	NA	NA	1.688	2.178	NA	NA	NA	NA
1740	NA	NA	1.674	1.796	NA	NA	NA	NA
1741	NA	NA	1.356	1.504	NA	NA	NA	NA
1742	NA	NA	1.335	1.483	NA	NA	NA	NA
1743	NA	NA	1.673	2.012	NA	NA	NA	NA
1744	NA	NA	1.058	0.805	NA	NA	NA	NA
1745	NA	NA	2.708	1.668	NA	NA	NA	NA
1746	NA	NA	2.032	1.478	NA	NA	NA	NA
1747	NA	NA	1.904	1.076	NA	NA	NA	NA
1748	NA	NA	1.672	1.244	NA	NA	NA	NA
1749	NA	NA	1.797	0.974	NA	NA	NA	NA
1750	NA	NA	3.044	2.431	NA	NA	NA	NA
1751	NA	NA	2.011	1.818	NA	NA	NA	NA
1752	NA	NA	0.614	0.677	NA	NA	NA	NA
1753	NA	NA	0.72	0.763	NA	NA	NA	NA
1754	NA	NA	0.762	0.466	NA	NA	NA	NA
1755	NA	NA	0.804	0.551	NA	NA	NA	NA
1756	NA	NA	0.761	0.551	NA	NA	NA	NA
1757	NA	NA	0.931	0.72	NA	NA	NA	NA
1758	NA	NA	1.695	1.419	NA	NA	NA	NA
1759	NA	NA	1.59	1.801	NA	NA	NA	NA
1760	NA	NA	1.271	1.25	NA	NA	NA	NA
1761	NA	NA	1.78	1.967	NA	NA	NA	NA
1762	NA	NA	1.229	1.502	NA	NA	NA	NA
1763	NA	NA	1.441	2.031	NA	NA	NA	NA
1764	NA	NA	1.928	2.623	NA	NA	NA	NA
1765	NA	NA	2.287	2.437	NA	NA	NA	NA
1766	NA	NA	1.546	1.42	NA	NA	NA	NA
1767	NA	NA	2.495	2.288	NA	NA	NA	NA
1768	NA	NA	2.646	2.329	NA	NA	NA	NA
1769	NA	NA	1.356	0.974	NA	NA	NA	NA
1770	NA	NA	1.822	1.356	NA	NA	NA	NA
1771	NA	NA	1.865	1.222	NA	NA	NA	NA
1772	NA	NA	2.119	1.182	NA	NA	NA	NA
1773	NA	NA	3.921	1.817	NA	NA	NA	NA
1774	NA	NA	3.2	1.271	NA	NA	NA	NA
1775	NA	NA	3.349	1.507	NA	NA	NA	NA
1776	NA	NA	2.84	1.332	NA	NA	NA	NA
1777	NA	NA	1.887	1.399	NA	NA	NA	NA
1778	NA	NA	1.674	1.144	NA	NA	NA	NA
1779	NA	NA	1.737	1.271	NA	NA	NA	NA
1780	NA	NA	1.376	0.825	NA	NA	NA	NA
1781	NA	NA	1.906	1.416	NA	NA	NA	NA
1782	NA	NA	1.907	1.306	NA	NA	NA	NA
1783	NA	NA	0.784	0.823	NA	NA	NA	NA
1784	NA	NA	0.721	0.739	NA	NA	NA	NA
