# Wyse - Good Harbor Plains - PPGR - ITRDB MI012
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5354
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5354.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi012-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; mi012-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi012.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mi012.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-09-14
#--------------------
# File_Last_Modified_Date
#   Date: 2005-09-14
#--------------------
# Title
#   Study_Name: Wyse - Good Harbor Plains - PPGR - ITRDB MI012
#--------------------
# Investigators
#   Investigators: Wyse, T.C.; Goebel, P.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Good Harbor Plains
#   Location: Michigan
#   Northernmost_Latitude: 44.93
#   Southernmost_Latitude: 44.93
#   Easternmost_Longitude: -85.85
#   Westernmost_Longitude: -85.85
#   Elevation_m: 188
#--------------------
# Data_Collection
#   Collection_Name: MI012
#   First_Year: 1890
#   Last_Year: 2002
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Populus grandidentata Michx.
#   Common_Name: bigtooth aspen
#   Tree_Species_Code: PPGR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 86-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 86-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 68-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 68-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 82-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 82-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 50-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 50-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 83-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 83-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	86-1_raw	68-1_raw	82-2_raw	50-1_raw	83-2_raw
1890	NA	NA	NA	NA	0.38
1891	NA	NA	NA	NA	0.3
1892	NA	NA	NA	NA	0.28
1893	NA	NA	NA	NA	0.27
1894	NA	NA	NA	NA	0.36
1895	NA	NA	NA	NA	0.32
1896	NA	NA	NA	NA	0.36
1897	NA	NA	NA	NA	0.38
1898	NA	NA	NA	NA	0.38
1899	NA	NA	NA	NA	0.34
1900	NA	NA	NA	NA	0.4
1901	NA	NA	NA	NA	0.49
1902	NA	NA	NA	NA	0.45
1903	NA	NA	NA	NA	0.38
1904	NA	NA	NA	NA	0.36
1905	NA	NA	NA	NA	0.28
1906	NA	NA	NA	1.78	0.28
1907	NA	NA	NA	1.98	0.44
1908	NA	NA	NA	1.58	0.72
1909	NA	3.26	NA	0.99	0.59
1910	NA	2.84	NA	0.88	0.44
1911	NA	5.2	NA	1.3	0.44
1912	NA	6.35	NA	0.67	0.47
1913	NA	7.41	NA	1.06	0.34
1914	NA	7.49	NA	0.85	0.76
1915	NA	4.36	NA	0.59	0.93
1916	NA	2.84	NA	0.55	0.57
1917	NA	3.3	NA	0.97	0.63
1918	NA	3.3	NA	1.48	0.99
1919	NA	2.29	NA	1.06	0.85
1920	NA	3.85	NA	2.45	0.63
1921	NA	2.16	NA	0.93	0.44
1922	NA	2.29	NA	1.65	0.57
1923	NA	2.92	NA	1.29	0.87
1924	NA	4.02	NA	1.93	0.99
1925	NA	2.88	NA	2.35	1.04
1926	NA	1.78	0.69	2.58	0.36
1927	NA	2.2	0.94	2.35	0.19
1928	NA	2.24	1.47	1.91	0.63
1929	NA	3.55	1.26	2.77	0.78
1930	NA	2.63	1.69	1.56	0.66
1931	NA	1.06	0.64	0.59	0.25
1932	NA	1.61	0.61	1.9	0.44
1933	NA	2.37	0.76	1.29	0.51
1934	NA	1.91	0.82	1.59	0.19
1935	NA	2.16	0.89	0.74	0.36
1936	NA	1.99	0.53	0.53	0.4
1937	NA	2.41	0.82	1.38	0.4
1938	NA	3.01	1.38	2.24	0.78
1939	2.12	2.75	1.01	1.37	0.89
1940	2.41	4.19	1.1	1.52	0.87
1941	1.82	2.79	1.08	0.76	1.21
1942	2.54	3.34	1.88	2.1	1.18
1943	2.24	4.19	1.1	2.33	1.42
1944	2.33	3.6	1.52	1.65	1.5
1945	2.24	0.97	0.85	1.14	1.08
1946	3.64	2.07	1.48	1.25	1.48
1947	2.5	2.71	1.1	1.33	0.87
1948	3	2.5	0.93	0.19	0.85
1949	2.24	2.33	1.04	0.21	1.04
1950	1.57	1.48	1.01	0.25	0.78
1951	1.65	1.74	1.74	0.32	1.1
1952	2.58	3.34	2.52	0.55	1.02
1953	3.17	3.34	1.25	0.97	1.1
1954	2.03	1.99	1.14	0.91	0.63
1955	2.24	1.73	0.74	0.74	0.7
1956	2.12	1.18	0.57	0.59	0.51
1957	1.57	1.06	0.57	0.57	0.74
1958	1.02	1.06	0.53	0.34	0.93
1959	2.37	1.27	0.36	0.46	0.55
1960	2.2	0.55	0.7	1.82	1.48
1961	1.23	0.89	0.49	1.21	1.08
1962	1.99	1.02	0.51	0.97	1.08
1963	1.4	0.72	0.28	0.76	0.42
1964	1.31	0.93	0.51	0.49	0.74
1965	1.35	0.85	0.23	1.65	0.76
1966	1.35	0.68	0.19	1.29	0.25
1967	1.14	0.8	0.13	1.54	0.49
1968	0.89	0.76	0.21	0.99	0.74
1969	1.99	1.91	0.21	1.14	0.99
1970	3.17	2.16	0.43	0.87	0.8
1971	2.88	2.33	0.44	0.72	0.53
1972	3.61	3.09	0.97	1.88	0.89
1973	3.76	3.17	0.91	1.69	0.83
1974	4.52	2.88	0.89	1.42	1.08
1975	2.84	2.54	0.74	1.29	1.54
1976	2.88	1.52	0.85	1.78	0.78
1977	2.75	2.58	0.68	0.87	0.74
1978	1.95	1.86	0.8	1.1	0.74
1979	1.57	1.27	0.93	0.76	0.49
1980	2.62	1.74	0.7	0.97	0.36
1981	3.77	1.06	0.72	0.91	0.36
1982	3.47	1.35	0.7	0.93	0.4
1983	2.67	1.14	0.7	0.76	0.32
1984	2.67	1.18	1.48	0.85	0.53
1985	3.39	1.44	1.12	0.78	0.8
1986	4.06	1.91	2.03	1.38	0.61
1987	3.05	1.1	1.25	0.78	0.59
