# Stahle - Chaney Log House - QUSP - ITRDB AR062
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4828
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4828.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ar062-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ar062-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ar062.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ar062.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-08-25
#--------------------
# File_Last_Modified_Date
#   Date: 2005-08-25
#--------------------
# Title
#   Study_Name: Stahle - Chaney Log House - QUSP - ITRDB AR062
#--------------------
# Investigators
#   Investigators: Stahle, D.W.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Chaney Log House
#   Location: Arkansas
#   Northernmost_Latitude: 36.2
#   Southernmost_Latitude: 36.2
#   Easternmost_Longitude: -93.13
#   Westernmost_Longitude: -93.13
#   Elevation_m: 400
#--------------------
# Data_Collection
#   Collection_Name: AR062
#   First_Year: 1620
#   Last_Year: 1866
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## cny02c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny02c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny02b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny02b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny01a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny01a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny01b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny01b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny04a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny04a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cny07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cny07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	cny02c_raw	cny02a_raw	cny02b_raw	cny01a_raw	cny01b_raw	cny03a_raw	cny04a_raw	cny05a_raw	cny06a_raw	cny07a_raw
1620	NA	NA	NA	3.54	NA	NA	NA	NA	NA	NA
1621	NA	NA	NA	1.99	NA	NA	NA	NA	NA	NA
1622	NA	NA	NA	1.47	NA	NA	NA	NA	NA	NA
1623	NA	NA	NA	1.03	NA	NA	NA	NA	NA	NA
1624	NA	NA	NA	1.12	NA	NA	NA	NA	NA	NA
1625	NA	NA	NA	1.01	NA	NA	NA	NA	NA	NA
1626	NA	NA	NA	0.67	NA	NA	NA	NA	NA	NA
1627	NA	NA	NA	0.76	NA	NA	NA	NA	NA	NA
1628	NA	NA	NA	0.62	NA	NA	NA	NA	NA	NA
1629	NA	NA	NA	0.73	NA	NA	NA	NA	NA	NA
1630	NA	NA	NA	0.88	NA	NA	NA	NA	NA	NA
1631	NA	NA	NA	0.7	NA	NA	NA	NA	NA	NA
1632	NA	NA	NA	0.6	NA	NA	NA	NA	NA	NA
1633	NA	NA	NA	0.3	1.55	NA	NA	NA	NA	NA
1634	NA	NA	NA	0.65	1.13	NA	NA	NA	NA	NA
1635	NA	NA	NA	0.5	0.81	NA	NA	NA	NA	NA
1636	NA	NA	NA	0.61	1.03	NA	NA	NA	NA	NA
1637	NA	NA	NA	0.85	1.38	NA	NA	NA	NA	NA
1638	NA	NA	NA	0.77	1.08	NA	NA	NA	NA	NA
1639	NA	1.19	1.26	0.58	0.89	NA	NA	NA	NA	NA
1640	NA	1.05	0.96	0.56	0.66	NA	NA	NA	NA	NA
1641	NA	1.69	1.76	0.67	0.91	NA	NA	NA	NA	NA
1642	NA	1.38	1.16	0.74	0.75	NA	NA	NA	NA	NA
1643	NA	0.84	0.87	0.3	0.44	NA	NA	NA	NA	NA
1644	NA	0.84	0.87	0.39	0.47	NA	NA	NA	NA	NA
1645	NA	0.8	0.74	0.17	0.36	NA	NA	NA	NA	NA
1646	NA	0.94	0.81	0.37	0.27	NA	NA	NA	NA	NA
1647	NA	0.84	0.81	0.45	0.46	NA	NA	NA	NA	NA
1648	NA	0.8	0.83	0.43	0.6	NA	NA	NA	NA	NA
1649	NA	1.06	1.09	0.56	0.76	NA	NA	NA	NA	NA
1650	NA	0.83	0.8	0.46	0.57	NA	NA	NA	NA	NA
1651	NA	1.05	1.29	0.72	0.66	NA	NA	NA	NA	NA
1652	NA	0.84	1.02	0.44	0.37	NA	NA	NA	NA	NA
1653	NA	1.11	1.27	0.69	0.8	NA	NA	NA	NA	NA
1654	NA	0.92	0.95	0.53	0.77	NA	NA	NA	NA	NA
1655	NA	1.02	0.97	0.57	0.68	NA	NA	NA	NA	NA
1656	NA	1.29	1.16	0.76	0.78	NA	NA	NA	NA	NA
1657	NA	0.94	0.88	0.48	0.57	NA	NA	NA	NA	NA
1658	0.73	0.91	0.87	0.61	0.59	2.15	NA	NA	NA	NA
1659	1.13	0.94	0.99	0.59	0.56	0.58	NA	NA	NA	NA
1660	1.61	1.32	1.06	0.52	0.71	1.12	NA	NA	NA	NA
1661	1.23	1.09	1.1	0.58	0.65	0.68	NA	NA	NA	NA
1662	1.06	0.92	0.91	0.72	0.72	0.81	NA	1.46	NA	NA
1663	1.05	0.8	0.82	0.74	0.87	1.42	NA	2.03	NA	NA
1664	0.95	0.96	0.91	0.52	0.84	1.64	NA	1.88	NA	NA
1665	0.51	0.66	0.7	0.63	0.68	1.23	NA	1.64	NA	NA
1666	0.87	0.79	0.8	0.61	0.75	1.1	NA	1.75	NA	NA
1667	0.82	0.84	0.8	0.7	0.82	0.95	NA	1.78	NA	NA
1668	1.03	0.88	0.98	0.55	0.8	1.2	NA	1.78	NA	NA
1669	0.62	0.63	0.66	0.45	0.63	0.91	NA	1.2	NA	NA
1670	0.73	0.66	0.51	0.46	0.52	1.08	0.73	1.21	NA	NA
1671	1.11	0.97	1.01	0.58	0.61	1.49	1.09	1.69	NA	NA
1672	1.25	1.05	1.03	0.49	0.56	1.79	1.49	1.57	NA	NA
1673	1.07	1.07	1.08	0.47	0.65	1.9	1.24	1.61	NA	NA
1674	1.14	1.18	1.18	0.48	0.58	1.65	1.75	1.54	NA	NA
1675	1.1	1.34	1.28	0.66	0.71	1.56	1.58	1.34	NA	NA
1676	1.04	1.06	1.13	0.49	0.63	1.39	0.76	1.3	NA	NA
1677	1.21	1.43	1.34	0.56	0.87	1.29	1.02	1.44	NA	NA
1678	1.26	1.32	1.28	0.8	0.87	1.51	0.98	1.62	NA	NA
1679	1.01	1.14	1.07	0.73	0.63	1.33	1.26	1.42	NA	NA
1680	0.57	0.68	0.8	0.62	0.41	0.8	0.83	0.78	NA	NA
1681	0.49	0.5	0.43	0.35	0.52	0.65	0.87	0.63	NA	NA
1682	0.73	0.86	0.77	0.67	0.73	1.18	0.9	0.93	NA	NA
1683	0.95	1.11	1	0.68	0.85	1.08	1.88	1.06	NA	NA
1684	0.8	0.88	0.72	0.53	0.65	0.78	0.94	0.85	NA	NA
1685	0.64	0.79	0.6	0.62	0.58	0.8	0.87	0.66	NA	NA
1686	0.83	1	0.67	0.51	0.54	0.8	0.59	0.87	NA	NA
1687	0.58	0.71	0.58	0.5	0.49	0.87	0.66	0.58	NA	NA
