# Wager - Blacksmith Fork - PSME - ITRDB UT565
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/37961
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-37961.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut565-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut565.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ut565.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-04-17
#--------------------
# File_Last_Modified_Date
#   Date: 2023-04-17
#--------------------
# Title
#   Study_Name: Wager - Blacksmith Fork - PSME - ITRDB UT565
#--------------------
# Investigators
#   Investigators: Wager, David J.; DeRose, R. Justin; Jess, Ryan
#--------------------
# Description_Notes_and_Keywords
#   Description: nan
#--------------------
# Publication
#   Authors: Wager, David J; F A Baker
#   Published_Date_or_Year: 2003
#   Published_Title: Potential effects of ozone, climate, and spruce budworm on Douglas-fir growth in the Wasatch Mountains
#   Journal_Name: Can. J. For. Res.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1139/x02-211
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Blacksmith Fork
#   Location: Utah
#   Northernmost_Latitude: 41.623
#   Southernmost_Latitude: 41.623
#   Easternmost_Longitude: -111.664
#   Westernmost_Longitude: -111.664
#   Elevation_m: 1750
#--------------------
# Data_Collection
#   Collection_Name: UT565
#   First_Year: 1865
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BSF-01E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-01E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-01W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-01W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-02E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-02E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-02W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-02W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-03E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-03E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-03W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-03W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-04E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-04E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-04W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-04W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-05N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-05N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-05S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-05S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-06E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-06E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-06W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-06W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-07E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-07E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-07W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-07W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-08E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-08E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-08W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-08W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-09E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-09E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-09W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-09W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-10E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-10E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-10W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-10W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-11W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-11W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-12E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-12E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-12W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-12W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BSF-13E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSF-13E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BSF-01E_raw	BSF-01W_raw	BSF-02E_raw	BSF-02W_raw	BSF-03E_raw	BSF-03W_raw	BSF-04E_raw	BSF-04W_raw	BSF-05N_raw	BSF-05S_raw	BSF-06E_raw	BSF-06W_raw	BSF-07E_raw	BSF-07W_raw	BSF-08E_raw	BSF-08W_raw	BSF-09E_raw	BSF-09W_raw	BSF-10E_raw	BSF-10W_raw	BSF-11W_raw	BSF-12E_raw	BSF-12W_raw	BSF-13E_raw
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.729	NA
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.231	NA
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.287	NA
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.447	NA
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.555	2.722
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.071	1.681
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.935	1.41
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.289	NA	1.08	2.033
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.185	NA	0.726	1.209
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.414	NA	1.643	2.799
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.291	NA	1.384	1.706
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.996	NA	1.227	1.355
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.294	NA	1.515	1.936
1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.345	NA	1.598	1.805
1879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.844	NA	1.414	1.806
1880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.066	NA	1.222	1.688
1881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.982	NA	1.389	1.992
1882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.276	NA	1.365	2.006
1883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.097	NA	1.007	1.763
1884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.964	NA	1.194	1.679
1885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.995	NA	1.641	2.676
1886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.214	NA	1.103	2.171
1887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	1.491	2.317
1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.162	2.392	1.463	1.695
1889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.851	1.339	1.124	1.6
1890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.887	1.455	0.994	1.937
1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.639	1.976	1.727	2.251
1892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.456	0.925	1.709	2.068
1893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.322	2.015	0.993	1.443
1894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.222	1.665	1.383	1.998
1895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.185	1.971	2.203	2.488
1896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.351	1.134	2.581	1.498	2.038
1897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.954	NA	3.438	1.062	2.676	1.184	2.268
1898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.116	NA	NA	NA	1.919	NA	3.776	1.395	2.564	1.962	2.671
1899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.573	2.114	NA	NA	NA	2.309	NA	3.586	1.385	2.564	1.234	2.084
1900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.41	2.087	NA	NA	NA	3.568	6.239	3.307	1.074	1.636	1.324	2.282
1901	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.648	NA	1.784	2.071	1.681	NA	NA	NA	3.286	3.996	2.527	0.885	0.903	1.059	1.629
1902	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.778	NA	1.457	2.639	2.283	NA	NA	NA	2.313	3.762	2.437	0.841	1.444	0.902	1.814
1903	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.911	NA	1.23	2.874	2.638	NA	NA	1.498	1.898	3.779	2.691	1.272	2.75	1.13	2.53
1904	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.915	NA	1.275	2.689	2.924	NA	NA	1.499	1.639	3.267	2.352	1.194	2.556	0.953	2.086
1905	NA	NA	NA	NA	NA	NA	NA	NA	1.986	1.794	NA	1.543	2.098	3.617	NA	NA	1.539	1.577	3.96	3.062	1.409	2.901	0.984	2.342
1906	NA	NA	NA	NA	NA	NA	NA	NA	2.32	2.299	NA	1.993	2.635	3.453	NA	NA	1.926	1.828	5.394	3.825	1.362	2.788	1.107	2.688
1907	NA	NA	NA	NA	NA	NA	NA	NA	2.959	2.759	4.501	2.859	2.98	4.584	NA	NA	3.257	3.15	6.004	3.665	1.023	3.425	1.408	3.105
1908	NA	NA	NA	NA	NA	NA	NA	NA	3.247	3.344	3.609	2.743	3.533	4.145	NA	NA	3.208	3.512	5.451	3.994	1.1	2.808	1.512	3.172
1909	NA	NA	NA	NA	NA	NA	NA	NA	2.636	3.013	3.76	2.78	3.943	4.184	NA	NA	2.789	2.628	4.357	3.286	1.349	2.56	1.727	3.09
1910	NA	2.016	NA	3.623	NA	NA	NA	NA	1.954	2.502	3.61	2.68	3.764	4.776	3.014	NA	2.945	2.306	3.939	3.225	1.167	3.047	1.933	3.157
1911	NA	2.571	NA	3.316	NA	NA	NA	NA	2.026	2.333	3.077	2.422	3.204	3.685	2.494	3.141	3.247	2.668	3.752	3.124	1.288	2.611	1.535	2.828
1912	NA	1.686	NA	3.142	NA	NA	NA	2.529	1.774	2.364	2.815	2.42	3.25	3.591	2.108	3.016	2.877	2.699	3.814	2.537	1.1	1.826	1.324	2.557
1913	NA	3.548	NA	4.768	NA	NA	3.789	2.969	2.666	3.3	4.436	3.876	3.865	4.065	3.196	3.385	3.71	3.514	4.588	3.318	1.542	2.314	1.844	3.153
