# Miles - First Parish Church, Groton - QUSP - ITRDB MA009
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4028
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4028.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma009-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma009-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma009.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma009.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-12
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-12
#--------------------
# Title
#   Study_Name: Miles - First Parish Church, Groton - QUSP - ITRDB MA009
#--------------------
# Investigators
#   Investigators: Miles, D.W.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: First Parish Church, Groton
#   Location: Massachusetts
#   Northernmost_Latitude: 42.62
#   Southernmost_Latitude: 42.62
#   Easternmost_Longitude: -71.58
#   Westernmost_Longitude: -71.58
#   Elevation_m: 15
#--------------------
# Data_Collection
#   Collection_Name: MA009
#   First_Year: 1598
#   Last_Year: 1753
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## gcg1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg2a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg2a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg2b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg2b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg5_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg5; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg7_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg7; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg8_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg8; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg9_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg9; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg12a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg12a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## gcg12b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: gcg12b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	gcg1_raw	gcg2a_raw	gcg2b_raw	gcg3_raw	gcg4_raw	gcg5_raw	gcg7_raw	gcg8_raw	gcg9_raw	gcg12a_raw	gcg12b_raw
1598	NA	NA	NA	NA	NA	NA	NA	NA	2.18	NA	NA
1599	NA	NA	NA	NA	NA	NA	NA	NA	2.01	NA	NA
1600	NA	NA	NA	NA	NA	NA	NA	1.58	2.35	NA	NA
1601	NA	NA	NA	NA	NA	NA	NA	1.57	1.75	NA	NA
1602	NA	NA	NA	NA	NA	NA	NA	1.82	2.11	NA	NA
1603	NA	NA	NA	NA	NA	NA	NA	1.8	1.91	NA	NA
1604	NA	NA	NA	NA	NA	NA	NA	2.1	1.97	NA	NA
1605	NA	NA	NA	NA	NA	NA	NA	2.05	1.65	NA	NA
1606	NA	NA	NA	NA	NA	NA	NA	1.64	1.15	NA	NA
1607	NA	NA	NA	NA	NA	NA	NA	1.19	1.21	NA	NA
1608	NA	NA	NA	NA	NA	NA	NA	1.27	1.37	NA	NA
1609	NA	NA	NA	1.44	NA	NA	NA	1	1.31	NA	NA
1610	NA	NA	NA	1.35	NA	NA	NA	1.3	1.71	NA	NA
1611	NA	NA	NA	1.56	NA	NA	NA	1.33	1.93	NA	NA
1612	NA	NA	NA	1.55	NA	NA	NA	0.87	1.29	NA	NA
1613	NA	NA	NA	1.74	NA	NA	NA	1.04	1.81	NA	NA
1614	NA	NA	NA	1.57	NA	NA	NA	0.91	1.9	NA	NA
1615	NA	NA	NA	1.88	NA	NA	NA	0.77	1.7	NA	NA
1616	1.44	NA	NA	1.42	NA	NA	NA	0.65	1.47	NA	NA
1617	1.42	NA	NA	1.79	NA	NA	NA	0.56	1.63	NA	NA
1618	1.68	NA	NA	1.67	NA	NA	NA	0.48	1.8	NA	NA
1619	1.41	NA	NA	1.72	NA	NA	NA	0.55	2.06	NA	NA
1620	1.36	NA	NA	1.46	NA	NA	NA	0.44	1.13	NA	NA
1621	1.34	NA	NA	1.25	NA	NA	NA	0.65	1.66	NA	NA
1622	1.43	NA	NA	1.46	NA	NA	NA	0.65	1.41	NA	NA
1623	1.37	NA	NA	1.56	NA	NA	NA	0.56	1	NA	NA
1624	1.61	NA	NA	1.56	NA	NA	NA	0.69	0.76	NA	NA
1625	1.13	NA	NA	1.16	NA	NA	NA	0.58	0.54	NA	NA
1626	1.59	1.83	NA	1.45	NA	NA	NA	0.63	0.56	NA	NA
1627	1.31	1.47	NA	1.5	NA	NA	NA	0.62	0.58	NA	NA
1628	1.47	1.51	NA	1.56	NA	NA	NA	0.8	0.97	NA	NA
1629	1.61	1.89	NA	1.8	NA	NA	NA	0.75	1.31	NA	NA
1630	1.6	1.84	NA	1.52	NA	NA	NA	0.56	1.16	NA	NA
1631	1.04	1.39	NA	1.07	NA	NA	NA	0.49	1.09	NA	NA
1632	1.44	1.52	NA	1.29	NA	NA	NA	0.64	1.36	NA	NA
1633	1.37	1.69	NA	1.59	NA	NA	NA	0.51	1.4	NA	NA
1634	1.22	0.81	NA	1.56	NA	NA	NA	0.48	0.99	NA	NA
1635	1.02	0.93	NA	1.15	NA	NA	NA	0.5	0.61	NA	NA
1636	1.4	1.77	NA	1.64	NA	NA	NA	0.54	0.98	NA	NA
1637	1.27	1.82	NA	1.71	NA	NA	NA	0.63	1.25	NA	NA
1638	1.31	1.88	NA	1.71	NA	NA	NA	0.58	1.62	NA	NA
1639	1.45	1.51	NA	1.86	NA	NA	NA	0.58	1.95	NA	NA
1640	1.54	1.9	2.72	1.61	NA	NA	1.13	0.55	1.51	NA	NA
1641	1.41	1.77	2.44	1.46	NA	NA	1.05	0.73	1.81	NA	NA
1642	1.43	1.85	2.44	1.75	NA	2.06	1.28	0.81	1.54	NA	NA
1643	1.27	1.8	2.2	1.79	NA	1.87	1.33	0.68	1.54	NA	NA
1644	1.25	1.68	2.08	1.88	NA	1.86	1.23	0.77	2.08	NA	NA
1645	1.04	1.2	1.46	1.43	NA	1.76	0.95	0.69	1.38	NA	NA
1646	1.29	1.37	1.74	1.69	NA	1.63	1.07	0.68	1.39	NA	NA
1647	1.38	1.62	1.75	2.13	NA	1.45	1.26	0.84	1.28	NA	NA
1648	1.22	1.72	1.58	1.93	NA	1.52	1.1	0.75	1.16	NA	NA
1649	1.4	1.66	1.61	1.5	NA	1.13	1.68	0.71	1.55	NA	NA
1650	1.36	1.26	1.22	2.15	NA	1.03	1.01	0.69	1.41	NA	NA
1651	1.29	1.43	1.25	1.38	NA	0.93	1.22	0.55	1.31	NA	NA
1652	1.39	1.56	1.74	1.4	NA	1.02	1.44	0.49	1.27	NA	NA
1653	1.34	1.81	1.63	1.56	NA	1.05	1.37	0.54	1.23	NA	NA
1654	1.16	1.65	1.64	1.44	NA	1.23	1.5	0.63	1.11	NA	NA
1655	1.11	2.02	2.14	1.22	NA	1.47	1.26	0.86	1.62	NA	NA
1656	1.61	2.29	1.94	1.63	NA	1.37	1.36	0.68	1.51	NA	NA
1657	1.5	2.22	2	1.61	NA	1.16	1.56	0.68	1.47	NA	NA
1658	1.65	2.5	2.46	1.69	NA	1.51	1.72	0.94	2.08	NA	NA
1659	1.34	1.63	1.68	1.48	NA	1.22	1.4	0.77	1.62	NA	NA
1660	1.36	1.22	1.66	1.48	NA	1.43	1.2	0.49	0.94	NA	NA
1661	1.25	1.2	1.56	1.41	NA	1.72	1.12	0.58	1.16	NA	NA
1662	1.54	1.04	1.05	1.48	NA	1.43	1.13	0.58	1.17	NA	NA
