# Black - Hamar - PSME - ITRDB OR122
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38225
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38225.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or122-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or122.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or122.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Hamar - PSME - ITRDB OR122
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Hamar
#   Location: Oregon
#   Northernmost_Latitude: 44.684
#   Southernmost_Latitude: 44.684
#   Easternmost_Longitude: -123.62
#   Westernmost_Longitude: -123.62
#   Elevation_m: 137
#--------------------
# Data_Collection
#   Collection_Name: OR122
#   First_Year: 1587
#   Last_Year: 1771
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HAM01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAM01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAM01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAM01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAM02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAM02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAM02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAM02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAM03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAM03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAM03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAM03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HAM01A_raw	HAM01B_raw	HAM02A_raw	HAM02B_raw	HAM03A_raw	HAM03B_raw
1587	NA	NA	NA	NA	4.35	4.31
1588	NA	NA	NA	NA	4.73	5.01
1589	NA	NA	NA	NA	4.45	4.63
1590	NA	NA	NA	NA	5.13	5.5
1591	NA	NA	NA	NA	4.77	4.81
1592	NA	NA	NA	NA	5.27	5.39
1593	NA	NA	NA	NA	4.57	4.64
1594	NA	NA	NA	NA	4.7	4.79
1595	NA	NA	NA	NA	5.29	5.52
1596	NA	NA	NA	NA	5.14	5.05
1597	NA	NA	NA	NA	5.03	4.94
1598	NA	NA	NA	NA	5.71	5.62
1599	NA	NA	NA	NA	4.14	3.76
1600	NA	NA	NA	NA	5.1	5.26
1601	NA	NA	NA	NA	4.66	5.42
1602	NA	NA	NA	NA	3.76	4.11
1603	NA	NA	NA	NA	3.37	3.24
1604	NA	NA	NA	NA	3.54	3.69
1605	NA	NA	NA	NA	4.01	3.9
1606	NA	NA	NA	NA	4.78	4.79
1607	NA	NA	NA	NA	4	3.41
1608	NA	NA	NA	NA	4	4
1609	NA	NA	NA	NA	3.53	3.54
1610	NA	NA	NA	NA	4.02	3.59
1611	NA	NA	NA	NA	3.69	3.86
1612	NA	NA	NA	NA	3.21	3.52
1613	NA	NA	NA	NA	3.2	2.99
1614	NA	NA	NA	NA	2.98	2.79
1615	NA	NA	NA	NA	2.3	2.27
1616	NA	NA	NA	NA	2.75	2.5
1617	NA	NA	NA	NA	3.09	2.97
1618	NA	NA	NA	NA	2.44	1.97
1619	NA	NA	NA	NA	2.42	2.19
1620	NA	NA	NA	NA	2.53	2.4
1621	NA	NA	NA	NA	2.57	2.56
1622	NA	NA	NA	NA	2.83	3.16
1623	NA	NA	NA	NA	2.67	2.49
1624	NA	NA	NA	NA	2.62	2.51
1625	NA	NA	NA	NA	2.41	2.17
1626	NA	NA	NA	NA	2.15	1.82
1627	NA	NA	NA	NA	2.27	2.04
1628	NA	NA	NA	NA	2.16	2.02
1629	3.93	3.91	NA	NA	3.14	2.89
1630	2.53	2.58	NA	NA	2.77	2.49
1631	2.67	2.7	NA	NA	2.68	2.53
1632	3.76	3.82	NA	NA	3.41	2.86
1633	2.85	2.87	NA	NA	3.01	2.35
1634	2.51	2.53	NA	NA	2.75	2.64
1635	1.77	1.83	NA	NA	2.12	2.02
1636	3.49	3.52	NA	NA	2.67	2.39
1637	2.38	2.39	NA	NA	2.93	2.02
1638	2.92	3.03	NA	NA	3.28	2.68
1639	3.18	3.11	NA	NA	2.97	2.27
1640	3.43	3.33	NA	NA	2.42	2.4
1641	3.95	3.91	NA	NA	3.12	2.58
1642	3.26	3.23	NA	NA	2.48	2.17
1643	3.28	3.32	NA	NA	2.49	1.88
1644	3.75	3.71	NA	NA	2.33	1.89
1645	3.29	3.3	NA	NA	2.32	2.31
1646	4.34	3.8	NA	NA	2.46	2.37
1647	4.27	3.35	NA	NA	2.86	2.86
1648	4.28	3.36	NA	NA	2.93	2.57
1649	2.26	1.95	NA	NA	2.98	2.01
1650	2.8	2.32	NA	NA	2.67	2.41
1651	2.42	2.23	NA	NA	2.59	2.37
1652	2.82	2.66	NA	NA	3.22	2.98
1653	2.18	2.36	NA	NA	2.45	2.22
1654	2.53	2.96	NA	NA	3.79	3.27
1655	2.84	3.93	2.01	1.98	3.39	3.14
1656	4.42	3.96	1.69	1.67	3.5	2.77
1657	4.49	4.32	2.1	2.09	3.6	3.11
1658	5.18	4.7	1.83	1.74	3.54	3.35
1659	3.75	3.44	1.75	1.69	2.54	2.64
1660	3.02	2.82	1.95	1.95	1.74	1.87
1661	2.15	2.37	1.76	1.67	1.25	1.61
1662	2.26	2.19	1.79	1.8	1.1	1.49
1663	2.17	2.02	3.78	3.74	1.18	1.31
1664	2.22	2.12	5.12	5.87	1.25	1.32
1665	1.56	1.85	3.34	3.51	1.12	1.07
1666	1.36	1.38	3.93	3.97	1.21	0.98
1667	2.37	2.29	3.46	3.36	1.53	1.3
1668	2.25	1.95	3.19	2.84	1.53	1.21
1669	2.06	1.85	4.29	3.65	1.74	1.43
1670	2.25	1.96	4.94	4.58	2.19	1.55
1671	2.12	1.99	4.24	3.94	1.85	1.21
1672	3.08	2.93	3.77	3.55	1.91	1.34
1673	2.4	2.43	5.51	5.43	2.34	1.67
1674	2.06	2.19	3.2	3.8	2.28	2
1675	1.71	1.73	1.91	1.99	1.73	1.53
1676	2.12	2.19	1.36	1.55	1.91	1.66
1677	2.06	2.19	1.25	1.43	1.34	1.24
1678	2.25	2.39	1.77	1.89	1.68	1.57
1679	2.02	2.16	2.18	2.23	1.02	1.24
1680	1.52	1.62	2.08	2.24	1.31	1.41
1681	1.58	1.54	2.61	2.89	1.6	1.45
1682	2.44	2.38	1.95	2.11	1.48	1.34
