# Meko - Thompson - QUMA - ITRDB SD019
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3970
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3970.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd019-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; sd019-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd019.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/sd019.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Meko - Thompson - QUMA - ITRDB SD019
#--------------------
# Investigators
#   Investigators: Meko, D.M.(https://orcid.org/0000-0002-5171-2724); Sieg, C.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Thompson
#   Location: South Dakota
#   Northernmost_Latitude: 44.58
#   Southernmost_Latitude: 44.58
#   Easternmost_Longitude: -104.0
#   Westernmost_Longitude: -104.0
#   Elevation_m: 1036
#--------------------
# Data_Collection
#   Collection_Name: SD019
#   First_Year: 1747
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MFH01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MFH01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MFH07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MFH07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## THO01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: THO01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## THO01C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: THO01C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## THO02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: THO02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## THO02C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: THO02C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## THO03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: THO03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## THO03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: THO03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## THO04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: THO04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MFH01A_raw	MFH07A_raw	THO01A_raw	THO01C_raw	THO02A_raw	THO02C_raw	THO03A_raw	THO03B_raw	THO04B_raw
1747	NA	NA	NA	1.7	NA	NA	NA	NA	NA
1748	NA	NA	NA	1.33	NA	NA	NA	NA	NA
1749	NA	NA	NA	0.53	NA	NA	NA	NA	NA
1750	NA	NA	NA	0.74	NA	NA	NA	NA	NA
1751	NA	NA	NA	0.82	NA	NA	NA	NA	NA
1752	NA	NA	NA	0.23	NA	NA	NA	NA	NA
1753	NA	NA	NA	0.36	NA	NA	NA	NA	NA
1754	NA	NA	NA	1.2	NA	NA	NA	NA	NA
1755	NA	NA	NA	2.01	NA	NA	NA	NA	NA
1756	NA	NA	NA	0.69	NA	NA	NA	NA	NA
1757	NA	NA	NA	0.78	NA	NA	NA	NA	NA
1758	NA	NA	NA	0.92	NA	NA	NA	NA	NA
1759	NA	NA	NA	1.16	NA	NA	NA	NA	NA
1760	NA	NA	NA	2.4	NA	NA	NA	NA	NA
1761	NA	NA	NA	2.25	NA	NA	NA	NA	NA
1762	NA	NA	NA	1.36	NA	NA	NA	NA	NA
1763	NA	NA	NA	1.86	NA	NA	NA	NA	NA
1764	NA	NA	NA	2.19	NA	NA	NA	NA	NA
1765	NA	NA	NA	2.91	NA	NA	NA	NA	NA
1766	NA	NA	2.06	2.71	NA	NA	NA	NA	NA
1767	NA	NA	2.13	2.56	NA	NA	NA	NA	NA
1768	NA	NA	2.2	2.43	NA	NA	NA	NA	NA
1769	NA	NA	1.01	0.76	NA	NA	NA	NA	NA
1770	NA	NA	0.79	0.64	NA	NA	NA	NA	NA
1771	NA	NA	1.82	1.5	NA	NA	NA	NA	NA
1772	NA	NA	1.37	1.51	NA	NA	NA	NA	NA
1773	NA	NA	1.28	1.31	NA	NA	NA	NA	NA
1774	NA	NA	1.46	1.72	NA	NA	NA	NA	NA
1775	NA	NA	1.26	1.23	NA	NA	NA	NA	NA
1776	NA	NA	1.27	1.27	NA	NA	NA	NA	NA
1777	NA	NA	1.57	2.28	NA	NA	NA	NA	NA
1778	NA	NA	2.01	2.36	NA	NA	NA	NA	NA
1779	NA	NA	1.33	1.86	NA	NA	NA	NA	NA
1780	NA	NA	1.86	2.43	NA	NA	NA	NA	NA
1781	NA	NA	1.38	1.6	NA	NA	NA	NA	NA
1782	NA	NA	0.96	1.16	NA	NA	NA	NA	NA
1783	NA	NA	1.51	1.43	NA	NA	NA	NA	NA
1784	NA	NA	2.16	2.35	NA	NA	NA	NA	NA
1785	NA	NA	1.16	1.16	NA	NA	NA	NA	NA
1786	NA	NA	1.47	1.35	NA	NA	NA	NA	NA
1787	NA	NA	0.8	0.85	NA	NA	NA	NA	NA
1788	NA	NA	1.38	1.47	NA	NA	NA	NA	NA
1789	NA	NA	0.79	0.88	NA	NA	NA	NA	NA
1790	NA	NA	1.11	1.13	NA	NA	NA	NA	NA
1791	NA	NA	0.77	0.94	NA	NA	NA	NA	NA
1792	NA	NA	1.22	1.08	NA	NA	NA	NA	NA
1793	NA	NA	2.43	1.83	NA	NA	NA	NA	NA
1794	NA	NA	2.2	2.12	NA	NA	NA	NA	NA
1795	NA	NA	1.75	1.71	NA	NA	NA	NA	NA
1796	NA	NA	1.43	1.5	NA	NA	NA	NA	NA
1797	NA	NA	2.18	2.54	NA	NA	NA	NA	NA
1798	NA	NA	1.26	1.4	NA	NA	NA	NA	NA
1799	NA	NA	1.51	1.4	NA	NA	NA	NA	NA
1800	NA	NA	0.65	0.63	NA	NA	NA	NA	NA
1801	NA	NA	1.97	1.73	NA	NA	NA	NA	NA
1802	NA	NA	1.75	1.9	NA	NA	NA	NA	NA
1803	NA	NA	1.87	2.02	NA	NA	NA	NA	NA
1804	NA	NA	1.68	1.92	NA	NA	NA	NA	NA
1805	NA	NA	0.75	1.64	NA	NA	NA	NA	NA
1806	NA	NA	1.07	2.35	NA	NA	NA	NA	NA
1807	NA	NA	0.55	1.32	NA	NA	NA	NA	NA
1808	NA	NA	0.94	1.59	NA	NA	NA	NA	NA
1809	NA	NA	1.1	1.45	NA	NA	NA	NA	NA
1810	NA	NA	1.57	1.82	NA	NA	NA	NA	NA
1811	NA	NA	1.98	2.61	NA	NA	NA	NA	NA
1812	NA	NA	1.43	2.38	NA	NA	NA	NA	NA
1813	NA	NA	1.8	2.78	NA	NA	NA	NA	NA
1814	NA	NA	0.74	0.94	NA	NA	NA	NA	NA
1815	NA	NA	0.59	1.06	NA	NA	NA	NA	NA
1816	NA	NA	0.71	1.21	NA	NA	NA	NA	NA
1817	1.54	NA	1.23	1.88	NA	NA	NA	NA	NA
1818	0.94	NA	0.98	1.96	NA	NA	NA	NA	NA
1819	0.76	NA	1.01	2.23	NA	NA	NA	NA	NA
1820	0.86	NA	1.2	1.85	NA	NA	NA	NA	NA
1821	1.01	NA	1.4	2.29	NA	NA	NA	NA	NA
1822	1.08	NA	1.19	1.87	NA	NA	NA	NA	NA
1823	0.78	NA	1.25	1.54	NA	NA	NA	NA	NA
1824	0.64	NA	1.57	1.84	NA	NA	NA	NA	NA
1825	0.76	NA	1.53	1.75	NA	NA	NA	NA	NA
