# Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2943
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2943.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512i-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm512i-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512i.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm512i.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Ditch Canyon B
#   Location: New Mexico
#   Northernmost_Latitude: 36.98
#   Southernmost_Latitude: 36.98
#   Easternmost_Longitude: -107.07
#   Westernmost_Longitude: -107.07
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM512
#   First_Year: 1660
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood density
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DP473S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP473S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP511S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP511S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP513S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP513S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP571S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP571S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP601S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP601S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DP473S_raw	DP511S_raw	DP513S_raw	DP571S_raw	DP601S_raw
1770	NA	0.41	0.38	NA	NA
1771	NA	0.36	0.34	NA	NA
1772	NA	0.35	0.31	NA	NA
1773	NA	0.4	0.36	NA	NA
1774	NA	0.36	0.34	NA	NA
1775	NA	0.36	0.37	NA	NA
1776	NA	0.36	0.39	NA	NA
1777	NA	0.38	0.4	NA	NA
1778	NA	0.35	0.37	NA	NA
1779	NA	0.38	0.38	NA	NA
1780	NA	0.37	0.38	NA	NA
1781	NA	0.39	0.36	NA	NA
1782	NA	0.4	0.35	NA	NA
1783	NA	0.34	0.33	NA	NA
1784	NA	0.35	0.36	NA	NA
1785	NA	0.36	0.34	NA	NA
1786	NA	0.4	0.33	NA	NA
1787	NA	0.38	0.35	NA	NA
1788	NA	0.34	0.35	NA	NA
1789	NA	0.39	0.37	NA	NA
1790	NA	0.33	0.34	NA	NA
1791	NA	0.35	0.33	NA	NA
1792	NA	0.38	0.35	NA	NA
1793	NA	0.34	0.35	NA	NA
1794	NA	0.41	0.38	NA	NA
1795	NA	0.37	0.36	NA	NA
1796	NA	0.37	0.37	NA	NA
1797	NA	0.4	0.37	NA	NA
1798	NA	0.37	0.37	NA	NA
1799	NA	0.34	0.36	NA	NA
1800	NA	0.38	0.38	NA	NA
1801	NA	0.39	0.38	NA	NA
1802	NA	0.35	0.34	NA	NA
1803	NA	0.35	0.36	NA	NA
1804	NA	0.36	0.35	NA	NA
1805	NA	0.37	0.4	NA	NA
1806	NA	0.39	0.41	NA	NA
1807	NA	0.38	0.36	NA	NA
1808	NA	0.4	0.37	NA	NA
1809	NA	0.42	0.35	NA	NA
1810	NA	0.36	0.36	NA	NA
1811	NA	0.34	0.33	NA	NA
1812	NA	0.33	0.35	NA	NA
1813	NA	0.37	0.35	NA	NA
1814	NA	0.36	0.35	NA	NA
1815	NA	0.41	0.37	NA	NA
1816	NA	0.39	0.34	NA	NA
1817	NA	0.35	0.36	NA	NA
1818	NA	0.4	0.4	NA	NA
1819	NA	0.35	0.36	NA	NA
1820	NA	0.44	0.4	NA	0.44
1821	NA	0.37	0.33	NA	0.35
1822	NA	0.39	0.36	NA	0.39
1823	NA	0.36	0.35	NA	0.38
1824	NA	0.38	0.37	NA	0.4
1825	NA	0.37	0.35	NA	0.36
1826	NA	0.38	0.34	NA	0.36
1827	NA	0.42	0.35	NA	0.37
1828	NA	0.35	0.35	NA	0.36
1829	NA	0.35	0.34	NA	0.37
1830	NA	0.42	0.36	NA	0.39
1831	NA	0.37	0.35	NA	0.37
1832	NA	0.38	0.35	NA	0.37
1833	NA	0.42	0.38	NA	0.39
1834	NA	0.36	0.38	NA	0.38
1835	NA	0.36	0.36	NA	0.37
1836	NA	0.4	0.35	NA	0.41
1837	NA	0.39	0.36	NA	0.38
1838	NA	0.36	0.35	NA	0.36
1839	NA	0.39	0.36	NA	0.41
1840	NA	0.39	0.35	NA	0.39
1841	NA	0.39	0.34	NA	0.37
1842	NA	0.41	0.36	NA	0.38
1843	NA	0.41	0.36	NA	0.4
1844	NA	0.42	0.36	NA	0.39
1845	NA	0.39	0.37	NA	0.39
1846	NA	0.36	0.35	NA	0.36
1847	NA	0.38	0.41	NA	0.44
1848	NA	0.39	0.35	NA	0.35
1849	NA	0.39	0.34	NA	0.38
1850	NA	0.36	0.33	NA	0.4
1851	NA	0.41	0.38	NA	0.43
1852	NA	0.35	0.32	NA	0.4
1853	NA	0.38	0.33	NA	0.4
1854	NA	0.34	0.32	NA	0.4
1855	NA	0.38	0.34	NA	0.4
1856	NA	0.35	0.35	NA	0.39
1857	NA	0.38	0.35	NA	0.42
1858	NA	0.34	0.35	NA	0.39
1859	NA	0.38	0.36	NA	0.4
1860	NA	0.35	0.36	NA	0.41
1861	NA	0.41	0.42	NA	0.46
1862	NA	0.35	0.34	NA	0.38
1863	NA	0.36	0.35	NA	0.38
1864	NA	0.4	0.36	NA	0.41
1865	NA	0.38	0.36	NA	0.42
1866	NA	0.39	0.34	NA	0.4
1867	NA	0.36	0.33	NA	0.38
1868	NA	0.35	0.35	NA	0.38
1869	NA	0.37	0.34	NA	0.37
1870	NA	0.39	0.35	NA	0.43
1871	NA	0.42	0.36	NA	0.41
1872	NA	0.39	0.38	NA	0.4
1873	NA	0.37	0.36	NA	0.4
1874	NA	0.39	0.35	NA	0.35
1875	NA	0.36	0.34	NA	0.4
1876	NA	0.4	0.4	NA	0.43
1877	NA	0.35	0.36	NA	0.34
1878	NA	0.38	0.36	NA	0.38
1879	NA	0.41	0.4	NA	0.4
1880	0.37	0.36	0.39	0.43	0.4
1881	0.39	0.4	0.37	0.4	0.41
1882	0.36	0.38	0.34	0.36	0.39
1883	0.37	0.37	0.38	0.39	0.39
1884	0.35	0.37	0.33	0.37	0.36
1885	0.33	0.35	0.32	0.36	0.35
1886	0.34	0.38	0.32	0.36	0.34
1887	0.37	0.39	0.34	0.35	0.36
1888	0.35	0.39	0.36	0.36	0.37
1889	0.35	0.36	0.34	0.38	0.34
1890	0.37	0.37	0.35	0.38	0.37
1891	0.37	0.37	0.36	0.36	0.36
1892	0.36	0.38	0.33	0.38	0.36
1893	0.38	0.38	0.36	0.4	0.37
1894	0.35	0.4	0.37	0.42	0.39
1895	0.37	0.4	0.34	0.4	0.37
1896	0.38	0.43	0.37	0.43	0.39
1897	0.39	0.37	0.37	0.39	0.36
1898	0.38	0.36	0.33	0.4	0.36
1899	0.43	0.4	0.36	0.42	0.39
1900	0.4	0.41	0.39	0.4	0.41
1901	0.38	0.36	0.36	0.4	0.37
1902	0.46	0.39	0.38	0.41	0.43
1903	0.37	0.36	0.33	0.37	0.36
1904	0.43	0.42	0.39	0.44	0.42
1905	0.37	0.35	0.33	0.38	0.36
1906	0.38	0.33	0.33	0.39	0.34
1907	0.35	0.36	0.32	0.38	0.35
1908	0.42	0.36	0.37	0.4	0.36
1909	0.39	0.36	0.34	0.37	0.37
1910	0.37	0.36	0.34	0.38	0.38
1911	0.37	0.34	0.36	0.38	0.37
1912	0.42	0.37	0.38	0.4	0.39
1913	0.39	0.38	0.38	0.37	0.4
1914	0.34	0.34	0.37	0.37	0.38
1915	0.4	0.36	0.36	0.38	0.4
1916	0.38	0.35	0.37	0.39	0.39
1917	0.38	0.34	0.35	0.35	0.39
1918	0.36	0.35	0.37	0.39	0.41
1919	0.33	0.33	0.36	0.37	0.38
1920	0.34	0.36	0.37	0.37	0.37
1921	0.36	0.34	0.34	0.39	0.39
1922	0.4	0.37	0.38	0.39	0.4
1923	0.4	0.38	0.38	0.39	0.39
1924	0.39	0.37	0.38	0.39	0.39
1925	0.39	0.36	0.37	0.4	0.41
1926	0.38	0.35	0.35	0.39	0.39
1927	0.36	0.34	0.33	0.41	0.37
1928	0.36	0.38	0.34	0.4	0.4
1929	0.39	0.36	0.36	0.41	0.39
1930	0.42	0.37	0.36	0.41	0.38
1931	0.36	0.36	0.34	0.39	0.38
1932	0.39	0.36	0.34	0.4	0.4
1933	0.39	0.36	0.34	0.39	0.39
1934	0.38	0.38	0.35	0.42	0.4
1935	0.38	0.37	0.34	0.41	0.4
1936	0.36	0.36	0.35	0.38	0.38
1937	0.37	0.36	0.34	0.37	0.37
1938	0.36	0.36	0.34	0.37	0.38
1939	0.38	0.37	0.37	0.39	0.41
1940	0.37	0.37	0.36	0.42	0.36
1941	0.36	0.36	0.34	0.4	0.36
1942	0.39	0.37	0.36	0.38	0.36
1943	0.36	0.36	0.37	0.39	0.37
1944	0.38	0.37	0.36	0.38	0.35
1945	0.37	0.38	0.37	0.37	0.36
1946	0.38	0.41	0.4	0.41	0.41
1947	0.36	0.38	0.37	0.38	0.37
1948	0.36	0.36	0.36	0.38	0.36
1949	0.36	0.36	0.35	0.37	0.34
1950	0.37	0.4	0.4	0.39	0.37
1951	0.38	0.39	0.36	0.41	0.39
1952	0.39	0.41	0.36	0.38	0.37
1953	0.4	0.39	0.38	0.38	0.38
1954	0.37	0.49	0.36	0.4	0.38
1955	0.39	0.4	0.4	0.4	0.41
1956	0.35	0.39	0.37	0.38	0.4
1957	0.34	0.37	0.35	0.36	0.4
1958	0.34	0.37	0.36	0.38	0.38
1959	0.33	0.38	0.36	0.36	0.38
1960	0.32	0.37	0.35	0.35	0.38
1961	0.33	0.37	0.36	0.38	0.37
1962	0.33	0.41	0.36	0.38	0.38
1963	0.35	0.39	0.39	0.39	0.37
1964	0.36	0.38	0.39	0.4	0.4
1965	0.35	0.36	0.36	0.38	0.38
1966	0.36	0.38	0.35	0.36	0.39
1967	0.33	0.38	0.35	0.41	0.37
1968	0.36	0.37	0.39	0.42	0.39
1969	0.35	0.35	0.37	0.39	0.37
1970	0.35	0.38	0.37	0.39	0.34
1971	0.34	0.36	0.37	0.39	0.38
1972	0.36	0.38	0.37	0.41	0.41
1973	0.34	0.38	0.37	0.39	0.34
1974	0.36	0.38	0.36	0.4	0.35
1975	0.35	0.36	0.38	0.42	0.34
1976	0.36	0.39	0.4	0.42	0.37
1977	0.36	0.46	0.39	0.42	0.4
1978	0.31	0.36	0.36	0.38	0.34
