# Black - Dry Bed Lake - PSME - ITRDB WA156
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38204
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38204.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa156-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa156.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa156.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-12
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-12
#--------------------
# Title
#   Study_Name: Black - Dry Bed Lake - PSME - ITRDB WA156
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Pringle, Patrick T.; Logan, Robert L.; Schuster, Robert L.
#--------------------
# Description_Notes_and_Keywords
#   Description: This is a single tree killed when a rock avalanche impounded a stream and is crossdated against other chronologies in the region
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US Geological Survey
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Dry Bed Lake
#   Location: Washington
#   Northernmost_Latitude: 47.318
#   Southernmost_Latitude: 47.318
#   Easternmost_Longitude: -123.391
#   Westernmost_Longitude: -123.391
#   Elevation_m: 367
#--------------------
# Data_Collection
#   Collection_Name: WA156
#   First_Year: 561
#   Last_Year: 923
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DBL01A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DBL01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DBL01B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DBL01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DBL01A_raw	DBL01B_raw
561	3.9	3.71
562	3.78	3.63
563	4.09	4.01
564	4.07	4.17
565	4.28	4.3
566	4.4	4.35
567	4.3	4.28
568	4.05	4.01
569	3.43	3.41
570	3.7	3.69
571	3.89	3.88
572	3.71	3.71
573	3.22	3.18
574	2.82	2.83
575	3.04	3
576	2.52	2.52
577	2.72	2.74
578	2.39	2.43
579	2.65	2.67
580	2.25	2.23
581	2.27	2.27
582	2.31	2.32
583	2.39	2.36
584	2.73	2.73
585	2.66	2.76
586	2.59	2.66
587	1.87	1.91
588	2.18	2.14
589	2.48	2.46
590	2.15	2.14
591	2.11	2.07
592	1.97	1.96
593	2.18	2.19
594	1.85	1.8
595	2.02	2.03
596	2.16	2.16
597	2.74	2.76
598	2.4	2.42
599	2.3	2.31
600	2.71	2.74
601	2.4	2.34
602	2.6	2.57
603	2.42	2.37
604	2.15	2.15
605	2.56	2.61
606	2.07	1.94
607	2.16	2.19
608	2.68	2.74
609	1.78	1.83
610	1.23	1.25
611	2.19	2.2
612	2.13	2.15
613	2.01	2.02
614	1.66	1.69
615	1.44	1.43
616	1.88	1.86
617	1.41	1.39
618	1.66	1.63
619	1.28	1.31
620	1.38	1.38
621	1.61	1.61
622	1.76	1.77
623	1.71	1.72
624	2.08	2.06
625	1.9	1.94
626	1.58	1.63
627	1.84	1.77
628	2.41	2.35
629	1.7	1.71
630	1.76	1.74
631	1.41	1.37
632	1.39	1.37
633	1.68	1.68
634	1.86	1.91
635	2.14	2.23
636	1.48	1.52
637	1.2	1.21
638	1.06	1.06
639	0.99	0.93
640	0.79	0.78
641	0.75	0.79
642	0.72	0.7
643	1.42	1.47
644	1.48	1.54
645	1.6	1.59
646	1.55	1.56
647	1.35	1.39
648	0.98	1.12
649	1.76	1.69
650	2.19	2.07
651	1.47	1.45
652	1.55	1.64
653	1.11	1.17
654	0.86	0.92
655	1.03	0.9
656	1	1.11
657	1.06	1.16
658	1.37	1.61
659	1.57	1.64
660	1.67	1.51
661	1.48	1.4
662	1.14	1.14
663	0.98	1.02
664	0.97	1.02
665	0.44	0.45
666	0.46	0.43
667	0.6	0.59
668	0.94	0.91
669	0.88	0.84
670	1.52	1.42
671	1.8	1.83
672	2.03	2
673	1.13	1.13
674	0.71	0.74
675	0.85	0.86
676	1.11	1.13
677	1.39	1.38
678	1.49	1.49
679	1.57	1.57
680	1.83	1.76
681	1.46	1.44
682	1.95	1.96
683	1.93	1.93
684	1.73	1.83
685	2.31	2.26
686	1.85	1.8
687	1.5	1.44
688	0.99	0.93
689	0.95	0.93
690	1.42	1.44
691	1.38	1.43
692	1.2	1.24
693	1.4	1.47
694	1.06	1.04
695	1.27	1.18
696	1.45	1.45
697	1.72	1.76
698	1.77	1.76
699	1.79	1.71
700	1.91	1.87
701	1.69	1.69
702	1.45	1.49
703	1.55	1.53
704	1.16	1.16
705	1.41	1.41
706	1.16	1.15
707	0.97	1.02
708	1.16	1.05
709	1.17	1.1
710	1.4	1.37
711	1.09	1.26
712	1	1
713	0.79	0.79
714	0.79	0.85
715	0.79	0.87
716	0.86	0.82
717	0.9	0.79
718	1.06	1.02
719	1.15	1.11
720	0.99	0.98
721	1	0.99
722	0.95	0.94
723	1.04	1.03
724	0.74	0.71
725	0.83	0.86
726	0.96	0.88
727	0.92	0.81
728	0.77	0.65
729	0.79	0.69
730	0.57	0.65
731	0.63	0.61
732	0.53	0.49
733	0.44	0.4
734	0.41	0.33
735	0.51	0.35
736	0.64	0.47
737	0.48	0.53
738	0.51	0.56
739	0.99	0.94
740	1.09	0.98
741	0.91	0.84
742	0.68	0.72
743	0.53	0.56
744	0.64	0.45
745	0.83	0.55
746	0.9	0.68
747	0.94	0.73
748	0.97	0.91
749	0.58	0.73
750	0.51	0.58
