# Miles - Tuttle House, Ipswich - QUSP - ITRDB MA011
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4031
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4031.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma011-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma011-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma011.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma011.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2003-09-08
#--------------------
# File_Last_Modified_Date
#   Date: 2003-09-08
#--------------------
# Title
#   Study_Name: Miles - Tuttle House, Ipswich - QUSP - ITRDB MA011
#--------------------
# Investigators
#   Investigators: Miles, D.W.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Tuttle House, Ipswich
#   Location: Massachusetts
#   Northernmost_Latitude: 42.68
#   Southernmost_Latitude: 42.68
#   Easternmost_Longitude: -70.85
#   Westernmost_Longitude: -70.85
#   Elevation_m: 15
#--------------------
# Data_Collection
#   Collection_Name: MA011
#   First_Year: 1495
#   Last_Year: 1671
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ith10b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ith10b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ith13a2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ith13a2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ith14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ith14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ith15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ith15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ith16_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ith16; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ith18_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ith18; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ith10b_raw	ith13a2_raw	ith14_raw	ith15_raw	ith16_raw	ith18_raw
1495	2.89	NA	NA	NA	NA	NA
1496	1.6	NA	NA	NA	NA	NA
1497	1.28	NA	NA	NA	NA	NA
1498	1.16	NA	NA	NA	NA	NA
1499	0.94	NA	NA	NA	NA	NA
1500	0.73	NA	NA	NA	NA	NA
1501	1.31	NA	NA	NA	NA	NA
1502	1.67	NA	NA	NA	NA	NA
1503	1.9	NA	NA	NA	NA	NA
1504	1.34	NA	NA	NA	NA	NA
1505	1.14	NA	NA	NA	NA	NA
1506	0.94	NA	NA	NA	NA	NA
1507	1.27	NA	NA	NA	NA	NA
1508	1.07	NA	NA	NA	NA	NA
1509	1.46	NA	NA	NA	NA	NA
1510	2.17	NA	NA	NA	NA	NA
1511	1.5	NA	NA	NA	NA	NA
1512	1.85	NA	NA	NA	NA	NA
1513	2.08	NA	NA	NA	NA	NA
1514	1.47	NA	NA	NA	NA	NA
1515	1.65	NA	NA	2.17	0.68	NA
1516	1.48	NA	NA	1.24	0.52	NA
1517	1.34	NA	NA	1.12	0.54	NA
1518	1.17	NA	NA	0.8	0.52	NA
1519	1.79	NA	NA	0.86	0.72	NA
1520	1.29	NA	NA	0.98	0.83	NA
1521	1.49	NA	NA	1.11	1.36	NA
1522	1.93	NA	NA	1.07	1.23	NA
1523	2	NA	NA	1.13	1	NA
1524	1.54	NA	NA	2.14	1.04	NA
1525	1.75	NA	NA	1.73	1.17	NA
1526	2.25	NA	NA	1.47	1.46	NA
1527	2.04	NA	NA	1.24	1.51	NA
1528	2	NA	NA	1.09	1.48	NA
1529	1.75	NA	NA	0.87	1.48	NA
1530	2.61	NA	NA	1.03	1.29	NA
1531	1.77	NA	NA	0.87	0.9	NA
1532	2.15	NA	NA	0.97	0.9	NA
1533	2.15	NA	NA	0.9	1.3	NA
1534	1.82	NA	NA	0.79	1.23	NA
1535	1.44	NA	NA	0.79	0.65	NA
1536	1.48	NA	NA	0.69	0.62	NA
1537	2.01	NA	NA	0.82	1.01	NA
1538	2.04	NA	NA	0.85	0.75	NA
1539	1.23	NA	NA	0.71	0.88	NA
1540	1.5	NA	NA	0.78	1.35	NA
1541	1.33	NA	NA	0.75	1.08	NA
1542	0.79	NA	1.1	0.57	0.69	NA
1543	1.04	NA	1.15	0.67	0.77	NA
1544	1.05	NA	0.95	0.68	0.7	NA
1545	1.27	NA	1.14	0.7	1.27	NA
1546	1.3	NA	0.95	0.73	1.25	NA
1547	1.56	NA	0.91	0.89	1.15	NA
1548	1.27	NA	0.93	0.93	0.93	NA
1549	1.29	NA	0.69	0.79	0.72	NA
1550	1.25	NA	0.78	0.98	0.72	NA
1551	1.79	NA	0.92	1.1	0.93	NA
1552	1.9	NA	0.9	1.36	1.16	NA
1553	1.95	NA	1.41	1.7	1.61	NA
1554	2.15	NA	1.68	1.59	1.85	NA
1555	2.06	NA	1.51	1.4	1.37	NA
1556	1.13	NA	1.44	1.4	1.71	NA
1557	0.97	NA	0.9	1.22	0.87	NA
1558	1.2	NA	1.28	1.25	1.31	NA
1559	1.05	NA	1.61	1.04	1.63	NA
1560	1.19	NA	2.45	1.13	2.04	NA
1561	1.47	NA	1.61	1.22	1.54	NA
1562	1.23	NA	2.08	0.99	1.48	NA
1563	1.36	NA	1.9	1.13	1.43	NA
1564	1.17	NA	1.56	0.88	1.42	NA
1565	1.2	NA	1.26	1.07	1.1	NA
1566	1.27	NA	1.76	1.13	1.47	NA
1567	1.3	NA	1.77	1.34	1.54	NA
1568	1.15	NA	1.29	1.09	1.14	NA
1569	1.19	NA	0.95	1.17	0.84	NA
1570	1.12	NA	0.87	1	0.89	NA
1571	0.98	NA	0.62	1.04	0.75	NA
1572	1.04	NA	0.76	1.07	0.52	NA
1573	1.05	NA	0.42	0.93	0.55	NA
1574	1.55	NA	0.69	0.88	0.57	NA
1575	1.36	2.56	0.8	0.95	0.77	NA
1576	1.38	3.39	1.29	1.11	1.15	NA
1577	1.29	2.92	1.47	1.02	1.31	NA
1578	1.88	2.62	2.01	1.12	1.73	NA
1579	1.59	2.82	1.76	1.11	1.76	NA
1580	1.61	2.93	1.6	1.31	1.8	NA
1581	1.25	2.21	1.2	1.16	1.54	NA
1582	1.43	2.34	1.16	1.23	1.77	NA
1583	1.52	2.33	0.96	1.41	1.62	NA
1584	1.73	1.93	1.23	1.47	1.47	NA
1585	1.44	1.69	1.14	1.22	1.37	NA
1586	1.58	1.87	1.22	1.29	0.93	NA
1587	1.55	1.55	1.61	1.24	1.66	NA
1588	1.5	1.67	1.64	1.45	1.16	NA
1589	1.48	1.27	1.15	1.13	1.5	NA
1590	1.62	1.4	1.15	1.3	1.08	NA
1591	1.67	1.47	1.11	1.34	1.23	NA
1592	1.82	1.31	1.2	1.05	1	NA
1593	1.54	1.52	1.34	1.31	1.09	NA
1594	1.23	0.97	1.09	0.98	0.83	NA
1595	1.2	0.86	0.94	1.13	0.79	NA
1596	1.35	1.1	1.02	1.02	0.79	NA
1597	1.33	1.25	1.33	0.93	0.91	NA
1598	1.14	1.04	1.59	0.95	0.84	0.94
1599	1.11	1.24	1.43	1.01	0.79	1.09
1600	1.02	1.29	1.58	1.08	0.86	1.49
1601	1.19	1.53	1.96	1	1.05	1.5
1602	1.3	1.78	1.69	1.12	0.81	1.69
1603	1.15	1.43	1.59	0.95	0.86	1.4
1604	1.25	1.27	1.73	1	0.77	1.23
1605	1.08	0.99	1.58	0.88	0.73	1.34
1606	1.09	0.96	1.27	0.92	0.69	1.77
1607	1.22	1.19	1.58	0.98	0.88	1.79
1608	1.22	1.15	1.86	1.04	0.93	1.32
1609	1.16	1.07	1.67	1.01	0.86	1.2
1610	1.12	1.05	1.86	0.94	1.09	1.34
1611	1.09	0.97	1.77	1	1.02	1.8
1612	1.25	1.11	1.52	0.92	1.16	1.46
1613	1.21	1.12	1.52	1	1.16	1.42
1614	1.22	1.04	2.02	0.93	1.08	1.3
1615	1.55	1.12	1.21	1.02	1.02	1.27
1616	1.16	0.96	1.3	0.86	0.88	1.22
1617	1.38	1.08	1.71	1	1.08	1.78
1618	1.19	1.12	1.68	0.81	1.36	1.71
1619	1.36	1.31	1.65	0.95	1.27	1.47
