# Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2943
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2943.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512t-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm512t-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512t.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm512t.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Ditch Canyon B
#   Location: New Mexico
#   Northernmost_Latitude: 36.98
#   Southernmost_Latitude: 36.98
#   Easternmost_Longitude: -107.07
#   Westernmost_Longitude: -107.07
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM512
#   First_Year: 1660
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood density
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DP473T_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP473T; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP511T_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP511T; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP513T_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP513T; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP571T_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP571T; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP601T_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP601T; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DP473T_raw	DP511T_raw	DP513T_raw	DP571T_raw	DP601T_raw
1823	NA	0.54	0.55	NA	0.69
1824	NA	0.47	0.53	NA	0.63
1825	NA	0.58	0.54	NA	0.59
1826	NA	0.57	0.57	NA	0.64
1827	NA	0.65	0.59	NA	0.62
1828	NA	0.49	0.53	NA	0.65
1829	NA	0.54	0.51	NA	0.62
1830	NA	0.59	0.56	NA	0.62
1831	NA	0.56	0.59	NA	0.62
1832	NA	0.6	0.57	NA	0.65
1833	NA	0.59	0.6	NA	0.63
1834	NA	0.63	0.56	NA	0.62
1835	NA	0.53	0.57	NA	0.56
1836	NA	0.6	0.59	NA	0.65
1837	NA	0.55	0.52	NA	0.59
1838	NA	0.52	0.54	NA	0.6
1839	NA	0.61	0.6	NA	0.63
1840	NA	0.56	0.51	NA	0.66
1841	NA	0.56	0.56	NA	0.6
1842	NA	0.62	0.57	NA	0.66
1843	NA	0.53	0.51	NA	0.62
1844	NA	0.53	0.54	NA	0.64
1845	NA	0.57	0.51	NA	0.64
1846	NA	0.64	0.52	NA	0.6
1847	NA	0.56	0.52	NA	0.57
1848	NA	0.51	0.53	NA	0.6
1849	NA	0.51	0.5	NA	0.74
1850	NA	0.52	0.53	NA	0.65
1851	NA	0.54	0.5	NA	0.71
1852	NA	0.65	0.56	NA	0.67
1853	NA	0.61	0.47	NA	0.69
1854	NA	0.67	0.59	NA	0.63
1855	NA	0.63	0.59	NA	0.71
1856	NA	0.61	0.53	NA	0.68
1857	NA	0.55	0.5	NA	0.63
1858	NA	0.63	0.56	NA	0.7
1859	NA	0.63	0.57	NA	0.63
1860	NA	0.62	0.6	NA	0.64
1861	NA	0.56	0.54	NA	0.64
1862	NA	0.54	0.57	NA	0.66
1863	NA	0.53	0.52	NA	0.61
1864	NA	0.64	0.57	NA	0.61
1865	NA	0.64	0.58	NA	0.66
1866	NA	0.58	0.58	NA	0.69
1867	NA	0.6	0.61	NA	0.63
1868	NA	0.6	0.6	NA	0.68
1869	NA	0.66	0.63	NA	0.66
1870	NA	0.53	0.53	NA	0.61
1871	NA	0.51	0.45	NA	0.56
1872	NA	0.66	0.61	NA	0.63
1873	NA	0.61	0.55	NA	0.64
1874	NA	0.55	0.48	NA	0.62
1875	NA	0.57	0.53	NA	0.66
1876	NA	0.61	0.54	NA	0.63
1877	NA	0.57	0.56	NA	0.58
1878	NA	0.58	0.57	NA	0.66
1879	NA	0.49	0.54	NA	0.62
1880	0.66	0.55	0.59	0.61	0.61
1881	0.6	0.62	0.62	0.58	0.67
1882	0.61	0.55	0.5	0.53	0.63
1883	0.59	0.56	0.57	0.62	0.68
1884	0.64	0.58	0.57	0.55	0.65
1885	0.64	0.65	0.58	0.56	0.68
1886	0.63	0.52	0.59	0.61	0.68
1887	0.68	0.59	0.59	0.64	0.66
1888	0.58	0.52	0.59	0.5	0.65
1889	0.5	0.56	0.53	0.53	0.56
1890	0.64	0.66	0.6	0.62	0.67
1891	0.65	0.6	0.61	0.64	0.65
1892	0.5	0.54	0.52	0.55	0.53
1893	0.65	0.65	0.61	0.65	0.67
1894	0.62	0.5	0.53	0.5	0.56
1895	0.59	0.57	0.54	0.64	0.59
1896	0.63	0.54	0.58	0.6	0.68
1897	0.65	0.64	0.64	0.7	0.64
1898	0.63	0.6	0.61	0.61	0.64
1899	0.62	0.53	0.59	0.59	0.65
1900	0.54	0.5	0.49	0.55	0.55
1901	0.59	0.49	0.49	0.55	0.58
1902	0.66	0.57	0.55	0.54	0.59
1903	0.65	0.65	0.62	0.64	0.62
1904	0.66	0.57	0.55	0.52	0.57
1905	0.65	0.56	0.55	0.67	0.68
1906	0.68	0.57	0.54	0.65	0.64
1907	0.65	0.63	0.59	0.65	0.69
1908	0.62	0.64	0.62	0.63	0.66
1909	0.64	0.64	0.59	0.64	0.67
1910	0.63	0.64	0.62	0.6	0.66
1911	0.69	0.66	0.63	0.69	0.67
1912	0.67	0.6	0.61	0.66	0.66
1913	0.65	0.53	0.58	0.63	0.63
1914	0.66	0.63	0.63	0.62	0.68
1915	0.65	0.62	0.62	0.67	0.68
1916	0.68	0.6	0.62	0.65	0.67
1917	0.62	0.53	0.59	0.59	0.67
1918	0.65	0.53	0.59	0.64	0.65
1919	0.6	0.55	0.62	0.66	0.68
1920	0.61	0.54	0.63	0.67	0.66
1921	0.63	0.53	0.61	0.66	0.7
1922	0.57	0.5	0.57	0.51	0.64
1923	0.61	0.56	0.61	0.67	0.63
1924	0.56	0.48	0.58	0.59	0.67
1925	0.65	0.5	0.59	0.67	0.69
1926	0.62	0.57	0.58	0.65	0.66
1927	0.65	0.61	0.57	0.67	0.61
1928	0.63	0.61	0.56	0.62	0.61
1929	0.63	0.61	0.6	0.65	0.69
1930	0.57	0.62	0.59	0.63	0.73
1931	0.59	0.51	0.56	0.66	0.65
1932	0.65	0.62	0.57	0.67	0.68
1933	0.64	0.65	0.56	0.67	0.62
1934	0.59	0.54	0.52	0.65	0.6
1935	0.61	0.61	0.58	0.63	0.58
1936	0.63	0.54	0.55	0.66	0.57
1937	0.47	0.53	0.5	0.63	0.54
1938	0.62	0.6	0.51	0.66	0.58
1939	0.53	0.52	0.5	0.63	0.53
1940	0.55	0.54	0.49	0.64	0.51
1941	0.6	0.63	0.59	0.62	0.62
1942	0.55	0.55	0.57	0.68	0.57
1943	0.68	0.52	0.54	0.65	0.59
1944	0.63	0.6	0.54	0.64	0.6
1945	0.5	0.53	0.56	0.59	0.57
1946	0.51	0.53	0.48	0.66	0.53
1947	0.6	0.54	0.53	0.68	0.61
1948	0.51	0.53	0.5	0.59	0.54
1949	0.57	0.63	0.59	0.66	0.62
1950	0.54	0.53	0.51	0.6	0.59
1951	0.52	0.46	0.43	0.52	0.51
1952	0.62	0.6	0.55	0.65	0.57
1953	0.48	0.55	0.57	0.59	0.66
1954	0.65	0.62	0.57	0.66	0.66
1955	0.59	0.62	0.55	0.6	0.65
1956	0.55	0.52	0.48	0.56	0.55
1957	0.62	0.61	0.57	0.67	0.67
1958	0.65	0.52	0.48	0.68	0.57
1959	0.51	0.53	0.48	0.61	0.51
1960	0.58	0.59	0.57	0.69	0.58
1961	0.65	0.6	0.57	0.65	0.6
1962	0.5	0.52	0.52	0.59	0.54
1963	0.61	0.57	0.53	0.65	0.62
1964	0.61	0.48	0.5	0.66	0.49
1965	0.66	0.53	0.57	0.65	0.65
1966	0.64	0.49	0.58	0.63	0.51
1967	0.64	0.47	0.54	0.69	0.54
1968	0.66	0.55	0.6	0.61	0.62
1969	0.63	0.52	0.6	0.63	0.64
1970	0.65	0.48	0.57	0.62	0.57
1971	0.65	0.52	0.61	0.68	0.67
1972	0.56	0.49	0.57	0.56	0.6
1973	0.64	0.58	0.63	0.64	0.65
1974	0.64	0.51	0.61	0.6	0.62
1975	0.65	0.59	0.65	0.67	0.58
1976	0.64	0.62	0.65	0.64	0.7
1977	0.62	0.5	0.53	0.62	0.6
