# Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2946
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2946.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545i-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm545i-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545i.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm545i.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pueblita Canyon
#   Location: New Mexico
#   Northernmost_Latitude: 36.68
#   Southernmost_Latitude: 36.68
#   Easternmost_Longitude: -107.32
#   Westernmost_Longitude: -107.32
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM545
#   First_Year: 1760
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood density
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PN352S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN352S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN363S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN363S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN364S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN364S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN373S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN373S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PN352S_raw	PN363S_raw	PN364S_raw	PN373S_raw
1884	0.47	0.46	0.44	0.49
1885	0.51	0.5	0.46	0.51
1886	0.48	0.53	0.46	0.52
1887	0.5	0.52	0.5	0.53
1888	0.48	0.51	0.44	0.51
1889	0.46	0.51	0.46	0.52
1890	0.48	0.52	0.48	0.54
1891	0.45	0.51	0.46	0.52
1892	0.47	0.55	0.46	0.51
1893	0.51	0.51	0.47	0.54
1894	0.47	0.54	0.47	0.53
1895	0.45	0.5	0.44	0.5
1896	0.47	0.54	0.47	0.54
1897	0.43	0.5	0.42	0.5
1898	0.43	0.51	0.45	0.49
1899	0.47	0.52	0.48	0.53
1900	0.45	0.52	0.47	0.52
1901	0.47	0.49	0.43	0.48
1902	0.48	0.49	0.47	0.52
1903	0.44	0.5	0.42	0.48
1904	0.47	0.5	0.47	0.5
1905	0.44	0.51	0.43	0.48
1906	0.42	0.52	0.43	0.51
1907	0.41	0.51	0.43	0.51
1908	0.45	0.55	0.49	0.53
1909	0.43	0.52	0.49	0.53
1910	0.45	0.53	0.47	0.54
1911	0.44	0.48	0.4	0.49
1912	0.44	0.52	0.43	0.49
1913	0.45	0.51	0.43	0.5
1914	0.45	0.5	0.42	0.48
1915	0.45	0.46	0.41	0.48
1916	0.47	0.48	0.41	0.49
1917	0.47	0.47	0.41	0.49
1918	0.47	0.49	0.43	0.5
1919	0.45	0.48	0.41	0.52
1920	0.43	0.49	0.41	0.48
1921	0.44	0.47	0.41	0.5
1922	0.45	0.48	0.44	0.51
1923	0.45	0.49	0.4	0.5
1924	0.44	0.46	0.4	0.48
1925	0.44	0.49	0.4	0.47
1926	0.43	0.46	0.39	0.51
1927	0.43	0.44	0.37	0.5
1928	0.44	0.48	0.42	0.51
1929	0.44	0.47	0.41	0.5
1930	0.45	0.49	0.41	0.52
1931	0.45	0.52	0.42	0.52
1932	0.44	0.48	0.41	0.49
1933	0.46	0.45	0.38	0.48
1934	0.46	0.47	0.41	0.52
1935	0.45	0.45	0.37	0.51
1936	0.44	0.46	0.39	0.51
1937	0.42	0.44	0.38	0.52
1938	0.45	0.48	0.41	0.5
1939	0.46	0.5	0.4	0.52
1940	0.43	0.47	0.39	0.5
1941	0.42	0.45	0.38	0.49
1942	0.44	0.48	0.4	0.48
1943	0.44	0.46	0.41	0.48
1944	0.42	0.47	0.41	0.49
1945	0.44	0.49	0.38	0.5
1946	0.46	0.5	0.43	0.48
1947	0.43	0.5	0.4	0.48
1948	0.42	0.47	0.39	0.46
1949	0.43	0.47	0.41	0.44
1950	0.44	0.49	0.44	0.48
1951	0.45	0.48	0.44	0.51
1952	0.41	0.45	0.38	0.47
1953	0.44	0.48	0.41	0.49
1954	0.45	0.48	0.43	0.49
1955	0.45	0.47	0.43	0.5
1956	0.45	0.49	0.42	0.48
1957	0.42	0.46	0.4	0.46
1958	0.42	0.44	0.4	0.47
1959	0.43	0.47	0.41	0.49
1960	0.46	0.48	0.42	0.47
1961	0.44	0.45	0.43	0.48
1962	0.47	0.47	0.42	0.47
1963	0.48	0.47	0.42	0.48
1964	0.47	0.48	0.39	0.48
1965	0.43	0.45	0.39	0.47
1966	0.46	0.47	0.42	0.48
1967	0.44	0.48	0.43	0.49
1968	0.45	0.49	0.42	0.47
1969	0.44	0.46	0.4	0.46
1970	0.45	0.5	0.44	0.49
1971	0.46	0.47	0.41	0.48
1972	0.45	0.47	0.42	0.48
1973	0.44	0.45	0.4	0.46
1974	0.45	0.49	0.43	0.48
1975	0.45	0.5	0.4	0.48
1976	0.46	0.53	0.46	0.5
1977	0.47	0.52	0.44	0.51
1978	0.4	0.42	0.35	0.45
