# Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2943
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2943.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512l-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm512l-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512l.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm512l.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Ditch Canyon B
#   Location: New Mexico
#   Northernmost_Latitude: 36.98
#   Southernmost_Latitude: 36.98
#   Easternmost_Longitude: -107.07
#   Westernmost_Longitude: -107.07
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM512
#   First_Year: 1660
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DP473L_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: DP473L; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP511L_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: DP511L; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP513L_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: DP513L; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP571L_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: DP571L; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP601L_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: DP601L; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DP473L_raw	DP511L_raw	DP513L_raw	DP571L_raw	DP601L_raw
1774	NA	0.1	0.11	NA	NA
1775	NA	0.07	0.05	NA	NA
1776	NA	0.09	0.13	NA	NA
1777	NA	0.06	0.11	NA	NA
1778	NA	0.05	0	NA	NA
1779	NA	0.03	0	NA	NA
1780	NA	0.05	0.07	NA	NA
1781	NA	0.05	0.05	NA	NA
1782	NA	0.05	0.06	NA	NA
1783	NA	0.04	0.05	NA	NA
1784	NA	0.11	0.15	NA	NA
1785	NA	0.06	0.05	NA	NA
1786	NA	0.16	0.1	NA	NA
1787	NA	0.12	0.09	NA	NA
1788	NA	0.06	0	NA	NA
1789	NA	0.06	0.08	NA	NA
1790	NA	0.07	0.07	NA	NA
1791	NA	0.12	0.13	NA	NA
1792	NA	0.06	0.06	NA	NA
1793	NA	0.18	0.22	NA	NA
1794	NA	0.17	0.12	NA	NA
1795	NA	0	0	NA	NA
1796	NA	0.22	0.13	NA	NA
1797	NA	0.1	0.14	NA	NA
1798	NA	0	0	NA	NA
1799	NA	0.23	0.19	NA	NA
1800	NA	0.15	0.16	NA	NA
1801	NA	0.11	0.06	NA	NA
1802	NA	0.12	0.12	NA	NA
1803	NA	0	0	NA	NA
1804	NA	0.04	0.04	NA	NA
1805	NA	0.06	0.05	NA	NA
1806	NA	0.05	0.04	NA	NA
1807	NA	0.05	0.04	NA	NA
1808	NA	0.23	0.15	NA	NA
1809	NA	0.11	0.07	NA	NA
1810	NA	0.09	0.08	NA	NA
1811	NA	0.19	0.14	NA	NA
1812	NA	0.15	0.09	NA	NA
1813	NA	0	0	NA	NA
1814	NA	0.06	0.06	NA	NA
1815	NA	0.1	0.11	NA	NA
1816	NA	0.22	0.21	NA	NA
1817	NA	0.05	0	NA	NA
1818	NA	0	0.06	NA	NA
1819	NA	0.07	0.1	NA	NA
1820	NA	0	0.1	NA	0.64
1821	NA	0	0.05	NA	0.19
1822	NA	0	0.06	NA	0.35
1823	NA	0.06	0.08	NA	0.22
1824	NA	0	0	NA	0.42
1825	NA	0	0.06	NA	0.13
1826	NA	0	0.06	NA	0.38
1827	NA	0.09	0.12	NA	0.44
1828	NA	0.04	0.06	NA	0.38
1829	NA	0.04	0.05	NA	0.7
1830	NA	0.09	0.15	NA	0.89
1831	NA	0.08	0.15	NA	0.5
1832	NA	0.13	0.11	NA	0.53
1833	NA	0.11	0.11	NA	0.63
1834	NA	0.1	0.07	NA	0.77
1835	NA	0.11	0.09	NA	0.31
1836	NA	0.1	0.1	NA	0.59
1837	NA	0	0.05	NA	0.24
1838	NA	0.07	0.07	NA	0.45
1839	NA	0.1	0.16	NA	0.43
1840	NA	0	0	NA	0.35
1841	NA	0.09	0.07	NA	0.42
1842	NA	0.08	0.12	NA	0.56
1843	NA	0	0	NA	0.31
1844	NA	0.04	0.06	NA	0.58
1845	NA	0.04	0	NA	0.27
1846	NA	0.09	0.11	NA	0.58
1847	NA	0.06	0	NA	0.38
1848	NA	0.04	0.05	NA	0.55
1849	NA	0.04	0.04	NA	0.3
1850	NA	0.05	0.05	NA	0.14
1851	NA	0.06	0	NA	0.27
1852	NA	0.13	0.08	NA	0.44
1853	NA	0.05	0	NA	0.33
1854	NA	0.17	0.14	NA	0.9
1855	NA	0.1	0.11	NA	0.61
1856	NA	0.06	0	NA	0.33
1857	NA	0	0	NA	0.14
1858	NA	0.07	0.05	NA	0.54
1859	NA	0.12	0.11	NA	0.47
1860	NA	0.12	0.09	NA	0.21
1861	NA	0.07	0.07	NA	0.32
1862	NA	0.08	0.05	NA	0.15
1863	NA	0.07	0.05	NA	0.15
1864	NA	0.14	0.12	NA	0.29
1865	NA	0.15	0.1	NA	0.34
1866	NA	0.09	0.18	NA	0.3
1867	NA	0.07	0.17	NA	0.37
1868	NA	0.13	0.26	NA	0.37
1869	NA	0.1	0.13	NA	0.31
1870	NA	0.05	0.05	NA	0.1
1871	NA	0	0	NA	0.09
1872	NA	0.08	0.15	NA	0.48
1873	NA	0.1	0.06	NA	0.31
1874	NA	0	0	NA	0.15
1875	NA	0.06	0.06	NA	0.12
1876	NA	0.06	0.05	NA	0.3
1877	NA	0	0.06	NA	0.14
1878	NA	0.07	0.09	NA	0.34
1879	NA	0	0	NA	0.1
1880	0.2	0.05	0.08	0.25	0.25
1881	0.38	0.06	0.08	0.21	0.25
1882	0.11	0	0	0	0.12
1883	0.27	0.08	0.08	0.32	0.27
1884	0.43	0.08	0.13	0.22	0.33
1885	0.41	0.09	0.26	0.62	0.25
1886	0.42	0.03	0.14	0.48	0.23
1887	0.21	0.06	0.15	0.38	0.3
1888	0.12	0.06	0.24	0.15	0.19
1889	0.04	0	0.15	0	0.08
1890	0.29	0.09	0.35	0.81	0.22
1891	0.23	0.08	0.21	0.44	0.13
1892	0	0	0.06	0.13	0
1893	0.29	0.11	0.24	0.33	0.21
1894	0.1	0	0.06	0.05	0.09
1895	0.09	0	0.07	0.18	0.08
1896	0.23	0.05	0.13	0.24	0.13
1897	0.47	0.09	0.32	0.29	0.11
1898	0.26	0.08	0.15	0.19	0.17
1899	0.24	0.05	0.09	0.11	0.1
1900	0.08	0	0	0	0.05
1901	0.15	0	0	0.08	0.11
1902	0.12	0	0	0	0.08
1903	0.15	0.09	0.21	0.23	0.09
1904	0.28	0	0.07	0.04	0.06
1905	0.22	0.07	0.07	0.23	0.17
1906	0.16	0.06	0.05	0.21	0.13
1907	0.36	0.09	0.22	0.42	0.52
1908	0.45	0.12	0.24	0.26	0.54
1909	0.58	0.17	0.29	0.58	0.39
1910	0.24	0.1	0.3	0.15	0.17
1911	0.23	0.14	0.48	0.48	0.36
1912	0.28	0.08	0.35	0.3	0.12
1913	0.13	0.03	0.09	0.14	0.07
1914	0.24	0.09	0.5	0.33	0.25
1915	0.18	0.08	0.42	0.42	0.36
1916	0.17	0.07	0.29	0.73	0.18
1917	0.15	0.05	0.14	0.18	0.25
1918	0.12	0	0.14	0.16	0.24
1919	0.1	0.06	0.34	0.26	0.23
1920	0.23	0.06	0.34	0.35	0.11
1921	0.36	0.05	0.42	0.62	0.41
1922	0.17	0	0.19	0.58	0.12
1923	0.43	0.08	0.24	0.7	0.13
1924	0.08	0.04	0.15	0.39	0.14
1925	0.32	0.04	0.1	0.38	0.15
1926	0.12	0.06	0.09	0.46	0.13
1927	0.14	0.08	0.09	0.68	0.08
1928	0.19	0.08	0.09	0.64	0.09
1929	0.22	0.11	0.18	0.37	0.36
1930	0.09	0.12	0.23	0.37	0.25
1931	0.1	0.05	0.06	0.38	0.14
1932	0.45	0.12	0.08	0.91	0.24
1933	0.19	0.1	0.08	0.31	0.2
1934	0.11	0	0	0.24	0.08
1935	0.16	0.13	0.1	0.74	0.07
1936	0.27	0.07	0.06	0.28	0.06
1937	0	0	0	0.13	0.05
1938	0.1	0.08	0.05	0.34	0.08
1939	0.04	0.06	0	0.15	0.06
1940	0.07	0.06	0.04	0.28	0.05
1941	0.22	0.09	0.1	0.72	0.13
1942	0.13	0.05	0.06	0.4	0.05
1943	0.16	0.06	0	0.32	0.05
1944	0.1	0.08	0.08	0.23	0.07
1945	0	0	0.06	0.15	0.09
1946	0.05	0	0	0.13	0.05
1947	0.16	0.05	0.05	0.27	0.11
1948	0	0.05	0	0.12	0
1949	0.24	0.11	0.07	0.26	0.14
1950	0.09	0.05	0	0.09	0.07
1951	0.06	0	0	0	0
1952	0.29	0.02	0.07	0.19	0.1
1953	0.16	0	0.06	0.11	0.19
1954	0.2	0.46	0.1	0.2	0.18
1955	0.15	0.11	0.08	0.16	0.19
1956	0.07	0	0	0.11	0.07
1957	0.42	0.1	0.09	0.18	0.19
1958	0.26	0.08	0.03	0.26	0.07
1959	0.04	0	0	0.12	0.06
1960	0.1	0.08	0.06	0.3	0.09
1961	0.32	0.07	0.08	0.46	0.09
1962	0.07	0.06	0.04	0.15	0.05
1963	0.34	0.06	0.07	0.23	0.1
1964	0.14	0	0	0.16	0.04
1965	0.38	0.06	0.1	0.24	0.15
1966	0.47	0.04	0.13	0.38	0.06
1967	0.27	0	0	0.32	0.07
1968	0.22	0.06	0.13	0.16	0.16
1969	0.36	0.04	0.17	0.17	0.18
1970	0.29	0	0.1	0.16	0.13
1971	0.41	0.05	0.25	0.28	0.16
1972	0.09	0	0.06	0.07	0.11
1973	0.26	0.08	0.18	0.41	0.16
1974	0.2	0.04	0.11	0.33	0.12
1975	0.36	0.06	0.2	0.51	0.06
1976	0.28	0.09	0.31	0.45	0.21
1977	0.17	0.03	0	0.32	0.08
