# Peterson - Sheridan Mountain Low - TSME - ITRDB OR070
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4193
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4193.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or070-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; or070-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or070.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or070.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-12-09
#--------------------
# File_Last_Modified_Date
#   Date: 2002-12-09
#--------------------
# Title
#   Study_Name: Peterson - Sheridan Mountain Low - TSME - ITRDB OR070
#--------------------
# Investigators
#   Investigators: Peterson, D.W.; Peterson, D.L.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Sheridan Mountain Low
#   Location: Oregon
#   Northernmost_Latitude: 43.83
#   Southernmost_Latitude: 43.83
#   Easternmost_Longitude: -121.67
#   Westernmost_Longitude: -121.67
#   Elevation_m: 1755
#--------------------
# Data_Collection
#   Collection_Name: OR070
#   First_Year: 1613
#   Last_Year: 1993
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Tsuga mertensiana (Bong.) Carrière
#   Common_Name: mountain hemlock
#   Tree_Species_Code: TSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HLSM01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM11B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM11B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM14B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM14B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM17B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM17B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM18B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM18B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM19B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM19B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLSM20B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLSM20B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HLSM01B_raw	HLSM02B_raw	HLSM03B_raw	HLSM04B_raw	HLSM05A_raw	HLSM06B_raw	HLSM07A_raw	HLSM08A_raw	HLSM09A_raw	HLSM10A_raw	HLSM11B_raw	HLSM12A_raw	HLSM13A_raw	HLSM14B_raw	HLSM15A_raw	HLSM16B_raw	HLSM17B_raw	HLSM18B_raw	HLSM19B_raw	HLSM20B_raw
1613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.12
1614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	NA	NA	NA	NA	0.9
1615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.46	NA	NA	NA	NA	NA	NA	0.85
1616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43	NA	NA	NA	NA	NA	NA	0.96
1617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.39	NA	NA	NA	NA	NA	NA	1.46
1618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.37	NA	NA	NA	NA	NA	NA	0.89
1619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.71	NA	NA	NA	NA	NA	NA	1.15
1620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.55	NA	NA	NA	NA	NA	NA	0.68
1621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.64	NA	NA	NA	NA	NA	NA	0.8
1622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA	NA	1.04
1623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.51	NA	NA	NA	NA	NA	NA	0.94
1624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.66	NA	NA	NA	NA	NA	NA	0.9
1625	NA	NA	NA	0.45	NA	NA	NA	NA	NA	NA	NA	NA	0.58	NA	NA	NA	NA	NA	NA	0.85
1626	NA	NA	NA	0.6	NA	NA	NA	NA	NA	NA	NA	NA	0.79	NA	NA	NA	NA	NA	NA	0.75
1627	NA	NA	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA	0.68	NA	NA	NA	NA	NA	NA	0.63
1628	NA	NA	NA	0.55	NA	NA	NA	NA	NA	NA	NA	NA	0.57	NA	NA	NA	NA	NA	NA	0.47
1629	NA	NA	NA	0.69	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA	NA	0.84
1630	NA	NA	NA	0.74	NA	NA	NA	NA	NA	NA	NA	NA	0.71	NA	NA	NA	NA	NA	NA	0.63
1631	NA	NA	NA	0.47	NA	NA	NA	NA	NA	NA	NA	NA	0.52	NA	NA	NA	NA	NA	NA	0.66
1632	NA	NA	1.4	0.64	NA	NA	NA	NA	NA	0.98	NA	NA	0.73	NA	NA	NA	NA	NA	NA	0.86
1633	NA	NA	1.5	0.93	NA	NA	NA	NA	NA	1.46	NA	NA	0.81	NA	NA	NA	NA	NA	NA	0.94
1634	NA	NA	1.61	1.27	NA	NA	NA	NA	NA	1.15	NA	NA	1.25	NA	NA	NA	NA	NA	NA	1.56
1635	NA	NA	1.51	0.89	NA	NA	NA	NA	NA	0.77	NA	NA	0.99	NA	NA	NA	NA	NA	NA	1.11
1636	NA	NA	1.43	1.29	NA	NA	NA	NA	NA	0.52	NA	NA	0.81	NA	NA	0.62	NA	NA	NA	0.98
1637	NA	NA	1.44	0.92	NA	NA	NA	NA	NA	0.6	NA	NA	0.73	NA	NA	0.51	NA	NA	NA	0.94
1638	NA	NA	1.56	0.82	NA	NA	NA	NA	NA	0.9	NA	NA	1.01	NA	NA	0.65	NA	NA	NA	0.94
1639	NA	NA	1.33	0.69	NA	NA	NA	NA	NA	1.07	NA	NA	0.94	NA	NA	0.82	NA	NA	NA	0.75
1640	NA	NA	1.2	0.93	NA	NA	NA	NA	NA	0.86	NA	NA	1.11	NA	NA	1	NA	NA	NA	0.78
1641	NA	NA	0.76	0.32	NA	NA	NA	NA	NA	0.4	NA	NA	0.65	NA	NA	0.45	NA	NA	NA	0.45
1642	NA	NA	1.44	0.77	NA	NA	NA	NA	NA	1.21	NA	NA	1.31	NA	NA	0.75	NA	NA	NA	0.53
1643	NA	NA	0.63	0.46	NA	NA	NA	NA	NA	0.52	NA	NA	0.93	NA	NA	0.44	NA	NA	NA	0.41
1644	NA	NA	0.84	0.91	NA	NA	NA	NA	NA	0.83	NA	NA	0.99	NA	NA	0.51	NA	NA	NA	0.59
1645	NA	NA	1.09	1.49	NA	NA	NA	NA	NA	1.31	NA	NA	0.9	NA	NA	0.58	NA	NA	NA	0.56
1646	NA	NA	0.83	1.54	NA	NA	NA	NA	NA	0.85	NA	NA	0.92	NA	NA	0.67	NA	NA	NA	0.77
1647	NA	NA	0.45	0.9	NA	NA	NA	NA	NA	0.57	NA	NA	0.88	NA	NA	0.74	NA	NA	NA	0.64
1648	NA	NA	1.64	0.49	NA	NA	NA	NA	NA	0.67	NA	NA	0.74	NA	NA	0.58	NA	NA	NA	0.54
1649	NA	NA	2.07	1.16	NA	NA	NA	NA	NA	1.01	NA	NA	1.11	NA	NA	0.51	NA	NA	NA	0.77
1650	0.12	NA	1.1	0.6	NA	NA	NA	NA	NA	0.94	NA	NA	1.05	NA	NA	0.33	NA	NA	NA	0.91
1651	0.58	NA	1.44	1.53	NA	NA	NA	NA	NA	1.23	NA	NA	0.92	NA	NA	0.52	NA	NA	NA	1.49
1652	0.52	NA	1.04	1.44	NA	NA	NA	NA	NA	0.88	1.93	NA	0.8	NA	NA	0.71	NA	NA	NA	1.07
1653	0.43	NA	0.76	0.8	NA	NA	NA	NA	NA	0.77	1.19	NA	0.83	NA	NA	0.58	NA	NA	NA	0.86
1654	0.47	NA	0.75	0.88	NA	NA	NA	NA	NA	0.95	0.72	NA	0.94	NA	NA	0.84	NA	NA	NA	1.05
1655	0.48	NA	0.76	0.75	NA	NA	NA	NA	NA	1	0.64	NA	0.8	NA	NA	0.68	NA	NA	NA	0.8
1656	0.91	NA	1.16	1.11	NA	NA	NA	NA	NA	1.1	0.88	NA	0.95	NA	NA	0.94	NA	NA	NA	0.88
1657	0.7	NA	1.04	1	NA	NA	NA	NA	NA	1.31	0.74	0.6	0.97	NA	NA	0.76	NA	NA	NA	0.76
1658	0.8	NA	1.37	0.81	NA	NA	NA	NA	NA	1.3	0.6	0.52	0.99	NA	NA	0.62	NA	NA	NA	0.83
1659	0.86	NA	1.26	0.85	NA	NA	NA	NA	NA	1.49	0.65	0.76	1.01	NA	NA	0.64	NA	NA	NA	0.84
1660	0.75	NA	1.59	0.76	NA	NA	NA	NA	NA	1.15	0.77	0.6	1.07	NA	NA	0.71	NA	NA	NA	0.93
1661	0.5	1.37	1.73	0.85	NA	NA	NA	NA	NA	1.43	0.8	0.8	0.89	NA	NA	0.65	NA	NA	NA	1.07
1662	0.55	0.64	0.95	0.32	NA	NA	NA	NA	NA	1.05	0.45	0.9	0.71	NA	NA	0.66	NA	NA	NA	0.72
1663	0.62	0.72	0.88	0.38	NA	1.08	NA	NA	NA	1.03	0.37	0.57	0.84	NA	NA	0.71	NA	NA	NA	0.89
1664	0.57	0.39	1.1	0.49	NA	1.01	NA	NA	NA	1.02	0.53	0.33	0.79	NA	NA	0.68	NA	NA	NA	0.88
1665	0.59	0.49	1.21	0.62	NA	1.13	NA	NA	NA	1.28	0.58	1.13	0.59	NA	NA	0.76	NA	NA	NA	0.85
