# Stevenson - Camp Tom Hale - PIEC - ITRDB OK036
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/17221
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-17221.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ok036-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ok036-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ok036.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ok036.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2014-08-18
#--------------------
# File_Last_Modified_Date
#   Date: 2014-08-18
#--------------------
# Title
#   Study_Name: Stevenson - Camp Tom Hale - PIEC - ITRDB OK036
#--------------------
# Investigators
#   Investigators: Stevenson, D.; Lynch, T.B.; Heineman, R.; Holeman, R.; Wilson, D.; Anderson, K.; Guldin, J.M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Camp Tom Hale
#   Location: Oklahoma
#   Northernmost_Latitude: 34.75
#   Southernmost_Latitude: 34.75
#   Easternmost_Longitude: -94.8833
#   Westernmost_Longitude: -94.8833
#   Elevation_m: 317
#--------------------
# Data_Collection
#   Collection_Name: OK036
#   First_Year: 1969
#   Last_Year: 2009
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Pinus echinata Mill.
#   Common_Name: shortleaf pine
#   Tree_Species_Code: PIEC
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## p120t001_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p120t001; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## p120t002_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p120t002; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## p120t006_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p120t006; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## p120t014_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p120t014; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## p120t025_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p120t025; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## p120t058_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p120t058; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## p120t059_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p120t059; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## p120t063_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p120t063; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## p120t070_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p120t070; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## p120t072_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p120t072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## p120t118_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p120t118; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## p120t189_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p120t189; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## p252t005_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p252t005; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## p252t013_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: p252t013; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	p120t001_raw	p120t002_raw	p120t006_raw	p120t014_raw	p120t025_raw	p120t058_raw	p120t059_raw	p120t063_raw	p120t070_raw	p120t072_raw	p120t118_raw	p120t189_raw	p252t005_raw	p252t013_raw
1969	NA	NA	NA	1.889	3.765	NA	5.806	NA	NA	NA	NA	NA	NA	NA
1970	NA	NA	NA	3.932	5.296	4.169	3.332	NA	NA	NA	3.833	2.112	NA	NA
1971	NA	4.539	NA	2.728	3.7	4.101	3.627	NA	NA	NA	4.047	4.971	NA	NA
1972	4.523	3.917	NA	2.362	2.688	3.743	2.893	5.882	NA	NA	2.663	4.021	3.657	NA
1973	5.046	4.619	NA	2.51	3.502	5.326	2.243	7.774	NA	4.689	2.89	4.011	3.106	NA
1974	3.684	3.564	NA	2.09	2.329	3.591	2.68	4.573	2.449	3.586	2.284	2.926	2.937	NA
1975	4.398	3.656	5.178	1.542	2.509	2.559	2.308	3.823	3.197	2.873	2.161	1.875	2.152	NA
1976	2.265	2.923	2.94	1.971	2.439	2.9	2.017	3.873	4.463	2.966	2.416	2.796	2.086	NA
1977	2.159	2.171	2.718	1.484	1.516	2.117	1.617	2.518	2.037	2.149	1.2	1.53	2.091	5.165
1978	2.11	1.471	2.336	1.093	1.978	1.631	2.08	2.169	1.841	1.763	1.066	1.07	1.328	2.66
1979	2.223	1.941	3.299	1.545	2.039	3.425	2.08	2.466	3.662	3.47	2.462	2.867	2.366	2.717
1980	1.729	1.443	1.967	0.97	1.414	1.907	0.993	2.174	2.624	2.953	1.602	2.302	1.633	1.589
1981	2.632	1.914	2.421	1.429	2.315	3.166	0.879	3.981	2.415	2.646	1.656	1.992	2.415	2.269
1982	2.505	2.802	2.477	1.153	2.109	2.69	1.12	2.867	2.659	2.081	1.344	1.929	1.895	1.509
1983	1.903	1.902	1.848	1.076	1.658	1.814	1.149	2.187	2.1	1.533	1.165	0.96	1.935	0.811
1984	1.274	0.841	1.205	0.683	1.247	1.65	0.714	1.684	0.815	0.927	0.834	0.511	1	0.646
1985	1.258	0.802	1.084	0.925	1.121	1.487	0.499	2.202	0.679	0.946	0.931	0.318	0.956	0.463
1986	1.565	1.903	2.325	1.152	1.319	1.782	0.831	3.074	1.801	1.09	1.344	0.573	1.607	1.292
1987	1.484	1.728	2.114	2.025	1.832	2.53	1.152	3.36	2.106	1.662	1.82	1.017	2.081	1.557
1988	1.293	0.909	1.743	1.426	1.177	1.419	0.804	1.551	1.861	1.335	1.173	0.561	2.861	0.866
1989	2.259	1.342	2.539	1.917	1.591	2.1	0.869	2.31	1.457	1.222	1.429	0.964	3.559	1.779
1990	1.879	2.743	3.232	2.635	2.11	4.017	2.086	4.357	2.626	2.884	2.576	2.209	5.885	4.315
1991	1.812	2.265	2.644	1.906	1.405	3.056	1.959	3.038	2.19	2.231	2.528	1.724	2.793	3.866
1992	1.944	4.446	3.943	2.933	2.526	2.418	1.903	5.182	2.925	3.345	3.239	2.457	3.64	5.079
1993	1.206	1.767	1.79	1.778	1.332	1.256	1.368	2.818	1.348	1.481	2.427	1.376	1.728	3.068
1994	1.128	1.775	1.258	1.036	0.862	1.604	1.152	2.107	1.098	1.864	2.286	1.136	1.858	3.239
1995	1.118	2.52	1.622	1.55	0.945	1.666	1.114	2.032	1.074	2.095	2.16	1.573	2.252	3.564
1996	1.505	3.005	1.68	1.715	1.53	1.504	1.26	2.968	1.814	2.723	2.445	1.258	2.542	4.04
1997	0.391	0.99	0.347	0.247	0.351	0.417	0.264	0.557	0.95	1.368	0.807	0.152	0.758	2.339
1998	0.975	2.442	0.79	0.847	0.807	0.793	0.788	2.34	1.922	0.979	0.372	0.14	2.139	2.45
1999	0.959	2.005	1.384	0.863	0.921	1.271	0.872	1.807	1.6	1.309	1.464	0.196	2.454	3.02
2000	0.771	1.842	1.427	0.575	0.124	1.005	0.635	1.137	0.669	1.438	1.207	0.4	1.822	2.227
2001	0.705	0.528	1.27	0.199	0.205	0.221	0.715	0.53	0	0.609	0.38	0.359	0.634	2.727
2002	0.337	0.361	0.845	0.164	0.255	0.215	0.31	0.212	0.666	0.614	0.313	0.301	0.677	1.837
2003	0.877	0.886	0.936	0.225	0.434	0.868	0.691	0.855	1.835	0.613	0.767	0.659	1.01	1.529
2004	0.797	0.876	1.482	0.243	0.306	0.406	1.638	2.217	1.712	1.475	1.464	0.691	1.324	2.593
2005	0.898	0.914	1.651	0.255	NA	0.454	1.166	1.78	1.323	1.12	1.759	0.85	0.984	2.005
2006	0.594	1.014	1.356	0.297	NA	0.291	0.957	1.027	1.146	1.022	1.204	0.808	0.888	1.729
2007	1.165	0.84	2.171	0.308	NA	0.29	0.966	2.364	1.595	1.69	2.138	NA	1.352	2.171
2008	1.569	0.509	3.017	0.165	NA	0.381	1.143	2.246	2.175	1.639	2.35	NA	NA	NA
2009	NA	NA	NA	NA	NA	0.429	0.824	0.793	1.933	1.322	1.795	NA	NA	NA
