# Ackerman - Kuparuk Upland - SAPC - ITRDB AK152
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/22054
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-22054.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak152-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak152-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak152.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak152.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2017-04-04
#--------------------
# File_Last_Modified_Date
#   Date: 2017-04-04
#--------------------
# Title
#   Study_Name: Ackerman - Kuparuk Upland - SAPC - ITRDB AK152
#--------------------
# Investigators
#   Investigators: Ackerman, D.; Griffin, D.(https://orcid.org/0000-0002-1547-3615); Hobbie, S.E.; Finlay, J.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: Each sample represents mean of 4 radii measured throughout the stem of the individual.  NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: Daniel Ackerman, Daniel Griffin, Sarah E. Hobbie and Jacques C. Finlay
#   Journal_Name: Global Change Biology
#   Published_Title: Arctic shrub growth trajectories differ across soil moisture levels
#   Published_Date_or_Year: 2017
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 10.1111/gcb.13677
#   Full_Citation: None
#   Abstract: The circumpolar expansion of woody deciduous shrubs in arctic tundra alters key ecosystem properties including carbon balance and hydrology. However, landscape-scale patterns and drivers of shrub expansion remain poorly understood, inhibiting accurate incorporation of shrub effects into climate models. Here, we use dendroecology to elucidate the role of soil moisture in modifying the relationship between climate and growth for a dominant deciduous shrub, Salix pulchra, on the North Slope of Alaska, USA. We improve upon previous modeling approaches by using ecological theory to guide model selection for the relationship between climate and shrub growth. Finally, we present novel dendroecology-based estimates of shrub biomass change under a future climate regime, made possible by recently developed shrub allometry models. We find that S. pulchra growth has responded positively to mean June temperature over the past 2.5 decades at both a dry upland tundra site and an adjacent mesic riparian site. For the upland site, including a negative second-order term in the climate-growth model significantly improved explanatory power, matching theoretical predictions of diminishing growth returns to increasing temperature. A first-order linear model fit best at the riparian site, indicating consistent growth increases in response to sustained warming, possibly due to lack of temperature-induced moisture limitation in mesic habitats. These contrasting results indicate that S. pulchra in mesic habitats may respond positively to a wider range of temperature increase than S. pulchra in dry habitats. Lastly, we estimate that a 2C increase in current mean June temperature will yield a 19% increase in aboveground S. pulchra biomass at the upland site and a 36% increase at the riparian site. Our method of biomass estimation provides an important link toward incorporating dendroecology data into coupled vegetation and climate models.
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: 455541, 1048361, 00039202
#--------------------
# Site_Information
#   Site_Name: Kuparuk Upland
#   Location: Alaska
#   Northernmost_Latitude: 68.662
#   Southernmost_Latitude: 68.662
#   Easternmost_Longitude: -149.428
#   Westernmost_Longitude: -149.428
#   Elevation_m: 720
#--------------------
# Data_Collection
#   Collection_Name: AK152
#   First_Year: 1965
#   Last_Year: 2015
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Salix pulchra Cham.
#   Common_Name: Tealeaf Willow
#   Tree_Species_Code: SAPC
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## kup35_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup35; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup17_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup17; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup20_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup20; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup21_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup21; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup23_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup23; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup25_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup25; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup26_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup26; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup27_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup27; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup34_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup34; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup38_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup38; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup39_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup39; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup40_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup40; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kup13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kup13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	kup35_raw	kup02_raw	kup03_raw	kup07_raw	kup09_raw	kup10_raw	kup12_raw	kup15_raw	kup17_raw	kup20_raw	kup21_raw	kup23_raw	kup25_raw	kup26_raw	kup27_raw	kup34_raw	kup38_raw	kup39_raw	kup40_raw	kup13_raw
1965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22	NA	NA	NA	NA	NA
1966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.44	NA	0.07	NA	NA	NA	NA	NA
1967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.32	NA	0.19	NA	NA	NA	NA	NA
1968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56	NA	0.35	NA	NA	NA	NA	NA
1969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.42	NA	0.29	NA	NA	NA	NA	NA
1970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	NA	0.18	NA	NA	NA	NA	NA
1971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.28	NA	0.14	NA	NA	NA	NA	NA
1972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.49	0.26	NA	0.19	NA	NA	NA	NA	NA
1973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	0.24	NA	0.12	NA	NA	NA	NA	NA
1974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38	0.21	NA	0.11	NA	NA	NA	NA	NA
1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.24	0.16	NA	0.09	NA	NA	NA	NA	NA
1976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14	0.14	NA	0.15	NA	NA	NA	NA	NA
1977	NA	NA	NA	NA	0.28	NA	NA	NA	NA	NA	NA	0.09	0.12	NA	0.09	NA	NA	NA	NA	NA
1978	0.29	NA	NA	NA	0.31	NA	NA	NA	NA	NA	NA	0.13	0.17	NA	0.11	NA	NA	NA	NA	NA
1979	0.2	NA	NA	NA	0.33	NA	NA	NA	NA	NA	NA	0.17	0.13	NA	0.1	NA	NA	NA	NA	NA
1980	0.28	0.1	NA	NA	0.28	NA	NA	NA	NA	NA	NA	0.28	0.17	NA	0.15	NA	NA	NA	NA	NA
1981	0.13	0.13	NA	NA	0.19	NA	NA	0.45	NA	NA	NA	0.11	0.13	NA	0.08	NA	NA	NA	NA	NA
1982	0.26	0.1	NA	NA	0.52	NA	NA	0.33	NA	NA	NA	0.14	0.16	NA	0.16	NA	NA	NA	NA	NA
1983	0.2	0.12	NA	NA	0.38	NA	NA	0.2	NA	NA	NA	0.19	0.18	NA	0.18	NA	NA	NA	NA	NA
1984	0.2	0.1	NA	NA	0.18	NA	NA	0.16	NA	NA	0.39	0.2	0.15	NA	0.14	NA	NA	NA	NA	NA
1985	0.21	0.11	NA	NA	0.19	NA	NA	0.15	NA	NA	0.29	0.14	0.14	NA	0.11	NA	NA	NA	NA	NA
1986	0.27	0.11	NA	NA	0.37	NA	NA	0.2	NA	NA	0.3	0.23	0.16	NA	0.14	0.54	NA	NA	NA	NA
1987	0.24	0.13	NA	NA	0.13	NA	NA	0.07	NA	NA	0.18	0.17	0.12	NA	0.1	0.23	NA	NA	NA	NA
1988	0.12	0.1	NA	NA	0.22	NA	NA	0.08	NA	NA	0.13	0.19	0.21	NA	0.14	0.09	NA	NA	NA	NA
1989	0.19	0.11	0.18	NA	0.1	NA	NA	0.06	NA	NA	0.2	0.16	0.27	NA	0.14	0.11	NA	NA	NA	NA
1990	0.17	0.14	0.34	NA	0.1	0.57	NA	0.14	NA	NA	0.17	0.18	0.23	NA	0.17	0.09	NA	NA	0.79	NA
1991	0.13	0.12	0.24	NA	0.14	0.43	NA	0.14	NA	NA	0.19	0.17	0.2	NA	0.12	0.06	NA	NA	0.7	0.64
1992	0.13	0.14	0.37	NA	0.21	0.31	NA	0.16	NA	NA	0.16	0.23	0.2	NA	0.16	0.11	NA	NA	0.58	0.56
1993	0.13	0.11	0.2	NA	0.16	0.24	0.57	0.17	0.38	NA	0.12	0.19	0.12	NA	0.12	0.1	NA	NA	0.38	0.44
1994	0.08	0.1	0.13	0.31	0.1	0.12	0.14	0.07	0.2	NA	0.05	0.17	0.1	NA	0.13	0.06	NA	NA	0.19	0.19
1995	0.09	0.1	0.09	0.38	0.15	0.15	0.38	0.08	0.33	NA	0.1	0.22	0.08	NA	0.12	0.08	0.52	NA	0.21	0.06
1996	0.14	0.1	0.08	0.33	0.26	0.2	0.27	0.12	0.39	NA	0.11	0.32	0.19	NA	0.21	0.13	0.49	NA	0.36	0.09
1997	0.14	0.08	0.07	0.33	0.22	0.1	0.3	0.13	0.29	0.31	0.07	0.25	0.21	NA	0.2	0.11	0.5	NA	0.2	0.15
1998	0.18	0.09	0.13	0.56	0.26	0.17	0.31	0.16	0.7	0.45	0.27	0.42	0.39	NA	0.3	0.16	0.52	NA	0.14	0.25
1999	0.17	0.09	0.1	0.23	0.14	0.11	0.24	0.14	0.61	0.59	0.19	0.31	0.34	NA	0.29	0.16	0.39	0.82	0.16	0.18
2000	0.37	0.09	0.11	0.2	0.18	0.11	0.26	0.13	0.54	0.49	0.14	0.19	0.28	0.7	0.27	0.19	0.41	0.38	0.2	0.28
2001	0.39	0.1	0.12	0.22	0.14	0.15	0.22	0.15	0.26	0.56	0.19	0.18	0.23	0.59	0.22	0.16	0.32	0.33	0.16	0.2
2002	0.24	0.1	0.02	0.12	0.06	0.06	0.06	0.12	0.15	0.51	0.12	0.12	0.13	0.33	0.18	0.07	0.16	0.22	0.11	0.1
2003	0.37	0.16	0.07	0.2	0.26	0.1	0.08	0.18	0.29	0.65	0.13	0.07	0.2	0.43	0.24	0.12	0.23	0.28	0.13	0.21
2004	0.33	0.17	0.06	0.14	0.31	0.09	0.14	0.15	0.14	0.57	0.08	0.2	0.35	0.43	0.41	0.14	0.15	0.14	0.1	0.25
2005	0.27	0.2	0.06	0.16	0.29	0.07	0.11	0.12	0.13	0.29	0.08	0.13	0.16	0.35	0.16	0.1	0.19	0.16	0.11	0.21
2006	0.21	0.28	0.09	0.12	0.41	0.09	0.14	0.11	0.16	0.3	0.1	0.09	0.15	0.33	0.17	0.11	0.23	0.14	0.13	0.13
2007	0.18	0.29	0.15	0.08	0.36	0.08	0.12	0.08	0.18	0.3	0.1	0.08	0.18	0.38	0.16	0.14	0.2	0.1	0.11	0.15
2008	0.15	0.22	0.04	0.05	0.2	0.05	0.06	0.03	0.01	0.24	0.02	0.05	0.1	0.27	0.09	0.1	0.2	0.03	0.11	0.08
2009	0.14	0.24	0.23	0.09	0.38	0.05	0.16	0.06	0.14	0.56	0.08	0.03	0.09	0.22	0.11	0.08	0.24	0.16	0.11	0.05
2010	0.18	0.29	0.3	0.11	0.28	0.08	0.12	0.08	0.1	0.46	0.07	0.08	0.15	0.27	0.16	0.14	0.21	0.14	0.19	0.1
2011	0.09	0.22	0.19	0.04	0.17	0.04	0.11	0.08	0.09	0.19	0.01	0.08	0.08	0.24	0.07	0.06	0.22	0.16	0.11	0.07
2012	0.15	0.21	0.08	0.05	0.18	0.08	0.11	0.11	0.1	0.22	0.06	0.1	0.05	0.23	0.08	0.1	0.15	0.1	0.13	0.11
2013	0.11	0.22	0.17	0.06	0.19	0.08	0.13	0.1	0.14	0.16	0.06	0.1	0.13	0.22	0.09	0.14	0.17	0.2	0.11	0.08
2014	0.07	0.07	0.06	0.01	0.04	0.05	0	0.04	0.13	0.08	0.01	0.02	0.03	0.14	0.05	0.04	0.05	0.06	0.06	0.05
2015	0.06	0.13	0.11	0.06	0.1	0.04	0.06	0.11	0.06	0.06	0.01	0.03	0.04	0.18	0.07	0.06	0.09	0.06	0.12	0.05
