# Maxwell - Latimer Woods - ACSH - ITRDB IN015
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/30560
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-30560.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/in015-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; in015-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/in015.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/in015.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2020-07-01
#--------------------
# File_Last_Modified_Date
#   Date: 2020-07-01
#--------------------
# Title
#   Study_Name: Maxwell - Latimer Woods - ACSH - ITRDB IN015
#--------------------
# Investigators
#   Investigators: Maxwell, J.T.(https://orcid.org/0000-0001-9195-3146); Strange, B.M.
#--------------------
# Description_Notes_and_Keywords
#   Description: Streamflow, Eastern Deciduous Forest NOAA Template Raw Measurements file added 2020-09-03.
#--------------------
# Publication
#   Authors: Brandon M. Strange, Justin T. Maxwell, Scott M. Robeson, Grant L. Harley, Matthew D. Therrell, Darren L. Ficklin
#   Journal_Name: Journal of Hydrology
#   Published_Title: Comparing three approaches to reconstructing streamflow using tree rings in the Wabash River basin in the Midwestern, US.
#   Published_Date_or_Year: 2020
#   Volume: 573
#   Pages: 829-840
#   Issue: 
#   Report_Number: 
#   DOI: 10.1016/j.jhydrol.2019.03.057
#   Full_Citation: None
#   Abstract: Tree-ring reconstructions of streamflow can provide long-term perspectives of flow variability that may be useful in management strategies for water resources. Relative to other portions of the United States, there is a dearth of tree-ring based streamflow reconstructions in the Midwest. The Wabash River is an important water resource in Indiana and Illinois where many sectors rely on it. Here, to better understand the historic hydroclimate within the Wabash River Basin, we reconstructed June-September streamflow for a tributary of the Wabash River using three statistical approaches: the traditional basin approach, and the recently-developed climate-footprint, and drought-reconstruction approaches. Our reconstructions explained 53-71% of the variance for the common period (1941-1984). We find that in our three reconstructions, there are extreme droughts and pluvials that exceed those during the instrumental period, including a sustained five-decade low-flow event in the early 19th century. Overall, we find that the traditional basin approach produced the most robust model but had the shortest reconstruction length of the three approaches, as it requires the predictor chronologies to be derived from within the basin. Our results indicate that there are merits and drawbacks to each approach with the general pattern of sacrificing variance explained for reconstruction length.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Latimer Woods
#   Location: Indiana
#   Northernmost_Latitude: 39.158303
#   Southernmost_Latitude: 39.158303
#   Easternmost_Longitude: -86.493394
#   Westernmost_Longitude: -86.493394
#   Elevation_m: 277
#--------------------
# Data_Collection
#   Collection_Name: IN015
#   First_Year: 1845
#   Last_Year: 2015
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LWM01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LWM01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LWM02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LWM02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LWM02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LWM02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LWM03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LWM03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LWM03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LWM03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LWM04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LWM04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LWM05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LWM05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LWM05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LWM05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LWM06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LWM06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LWM06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LWM06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LWM07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LWM07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LWM01A_raw	LWM02A_raw	LWM02B_raw	LWM03A_raw	LWM03B_raw	LWM04B_raw	LWM05A_raw	LWM05B_raw	LWM06A_raw	LWM06B_raw	LWM07A_raw
1845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.279
1846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.794
1847	NA	0.58	NA	NA	NA	NA	NA	NA	NA	NA	2.261
1848	NA	0.468	NA	NA	NA	NA	NA	NA	NA	NA	2.378
1849	NA	0.331	NA	NA	NA	NA	NA	NA	NA	NA	2.276
1850	NA	0.361	NA	NA	NA	NA	NA	NA	NA	NA	1.145
1851	NA	0.313	NA	NA	NA	NA	NA	NA	NA	NA	2.642
1852	NA	0.376	NA	NA	NA	NA	NA	NA	NA	NA	1.499
1853	NA	0.244	NA	NA	NA	NA	NA	NA	NA	NA	1.892
1854	NA	0.794	NA	NA	NA	NA	NA	NA	NA	NA	1.191
1855	NA	0.741	NA	NA	NA	NA	NA	NA	NA	NA	2.323
1856	NA	0.539	NA	NA	NA	NA	NA	NA	NA	NA	1.19
1857	NA	0.604	NA	NA	NA	NA	NA	NA	NA	NA	2.142
1858	NA	0.361	NA	NA	NA	NA	NA	NA	NA	NA	1.767
1859	NA	0.341	NA	NA	NA	NA	NA	NA	NA	NA	1.915
1860	NA	0.394	NA	NA	NA	NA	NA	NA	NA	NA	2.76
1861	NA	0.412	NA	NA	NA	NA	NA	NA	NA	NA	2.139
1862	NA	0.72	NA	NA	NA	NA	NA	NA	NA	NA	2.169
1863	NA	0.654	NA	NA	NA	NA	NA	NA	NA	NA	1.89
1864	NA	0.23	NA	NA	NA	NA	NA	NA	NA	NA	1.505
1865	NA	0.286	NA	NA	NA	NA	NA	NA	NA	NA	2.775
1866	NA	0.294	NA	NA	NA	NA	NA	NA	NA	NA	2.209
1867	NA	0.348	NA	NA	NA	NA	NA	NA	NA	NA	1.659
1868	NA	0.532	NA	NA	NA	NA	NA	NA	NA	NA	1.736
1869	NA	0.42	1.291	NA	NA	NA	NA	NA	NA	NA	2.81
1870	NA	1.314	1.078	NA	NA	NA	NA	NA	NA	NA	2.582
1871	NA	0.752	1.617	NA	NA	NA	NA	NA	NA	NA	1.368
1872	NA	1.39	2.892	NA	NA	NA	NA	NA	NA	NA	1.79
1873	NA	1.497	2.492	NA	NA	NA	NA	NA	NA	NA	1.719
1874	NA	1.284	1.946	NA	NA	NA	NA	NA	NA	NA	1.189
1875	NA	2.062	3.073	NA	NA	NA	NA	NA	NA	NA	1.583
1876	NA	1.69	2.243	NA	NA	NA	NA	NA	NA	NA	1.454
1877	NA	1.493	2.037	NA	NA	NA	NA	NA	NA	NA	1.246
1878	NA	1.707	1.941	NA	NA	NA	NA	NA	NA	NA	1.373
1879	NA	1.333	2.059	NA	NA	NA	NA	NA	NA	NA	0.747
1880	NA	1.696	2.145	NA	NA	NA	NA	NA	NA	NA	1.213
1881	NA	1.42	1.323	NA	NA	NA	NA	NA	NA	NA	1.004
1882	NA	3.333	2.711	NA	NA	NA	NA	NA	NA	NA	0.82
1883	NA	1.96	1.961	NA	NA	NA	NA	NA	NA	NA	1.666
1884	NA	2.165	2.292	NA	NA	NA	NA	NA	NA	NA	1.305
1885	NA	1.756	1.915	NA	NA	NA	NA	NA	NA	NA	1.129
1886	NA	1.915	2.182	NA	NA	NA	NA	NA	NA	NA	1.461
1887	NA	0.942	0.641	NA	NA	NA	NA	NA	NA	NA	0.59
1888	NA	1.656	1.786	NA	NA	NA	NA	NA	NA	NA	1.353
1889	NA	2.724	3.631	NA	NA	NA	NA	NA	NA	NA	2.684
1890	NA	1.91	2.151	2.486	NA	NA	NA	NA	NA	NA	2.164
1891	NA	1.559	2.082	1.473	NA	NA	NA	NA	NA	NA	2.215
1892	NA	1.467	1.925	1.572	NA	NA	NA	NA	NA	NA	1.826
1893	NA	0.97	1.213	0.532	NA	NA	NA	NA	NA	NA	1.695
1894	NA	1.287	1.77	1.134	NA	NA	NA	NA	NA	NA	1.815
1895	NA	1.743	2.114	0.908	NA	NA	NA	NA	NA	NA	2.63
1896	NA	1.962	3.169	2.296	NA	3.724	NA	NA	NA	NA	3.535
1897	NA	2.033	2.064	2.113	NA	4.889	NA	NA	NA	NA	2.164
1898	NA	1.654	1.964	1.555	NA	4.725	NA	NA	NA	NA	2.084
1899	NA	2.231	2.45	1.772	NA	3.098	NA	NA	NA	NA	0.942
1900	NA	2.355	3.158	2.461	NA	3.531	NA	NA	NA	NA	1.136
1901	NA	1.221	2.035	1.835	NA	3.082	NA	NA	NA	NA	1.136
1902	NA	1.335	1.425	1.849	NA	2.864	NA	NA	NA	NA	1.615
1903	NA	1.995	3.017	0.951	NA	3.475	NA	NA	NA	NA	1.251
1904	NA	1.911	2.539	1.909	NA	3.627	NA	NA	NA	NA	1.639
1905	NA	2.378	2.485	2.224	3.294	3.306	NA	NA	NA	NA	2.448
1906	NA	1.959	2.059	1.872	2.033	3.017	NA	NA	NA	NA	2.434
1907	NA	2.306	2.338	2.537	1.849	2.998	NA	NA	NA	NA	3.392
1908	1.893	1.562	2.591	2.56	2.143	2.201	NA	3.347	NA	NA	2.239
1909	1.69	2.188	2.372	2.101	1.575	4.593	NA	2.561	NA	NA	1.799
1910	1.216	2.411	4.229	2.944	2.017	4.804	NA	4.468	NA	NA	1.935
1911	0.751	1.123	2.413	2.437	1.927	5.51	NA	2.053	NA	NA	1.666
1912	0.22	2.009	3.533	2.16	1.867	2.979	NA	1.475	NA	NA	1.555
1913	0.425	0.854	1.7	1.909	0.959	3.199	NA	0.585	NA	NA	1.325
1914	0.578	0.996	1.83	1.406	0.935	2.045	NA	0.456	NA	NA	1.336
1915	2.202	2.044	5.232	5.078	4.043	1.644	NA	0.752	NA	NA	3.243
1916	2.778	2.548	4.706	5.239	4.392	4.472	NA	1.06	NA	NA	2.486
1917	2.174	2.879	3.34	4.966	4.227	5.415	NA	0.698	NA	NA	1.264
1918	1.379	2.311	3.642	4.789	5.076	4.613	NA	0.61	NA	NA	1.002
1919	1.668	2.154	3.542	4.169	4.474	2.656	NA	1.496	NA	NA	1.423
1920	1.949	2.778	4.022	6.232	4.238	2.241	NA	1.852	NA	NA	2.036
1921	1.651	2.264	3.206	5.298	4.151	2.49	NA	1.32	NA	NA	1.622
1922	0.959	2.253	3.833	2.463	2.526	3.443	1.288	1.807	NA	NA	3.203
1923	1.232	3.451	4.122	2.942	3.542	3.318	2.554	1.488	NA	NA	1.643
1924	2.213	3.632	4.344	3.838	4.2	4.473	4.177	2.75	5.596	NA	3.256
1925	1.872	2.338	4.757	4.194	4.694	3.327	2.898	2.522	3.296	NA	2.497
1926	1.172	2.97	3.396	3.342	2.542	3.036	2.522	1.88	3.386	NA	3.276
