# Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2946
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2946.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545x-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm545x-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm545x.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pueblita Canyon
#   Location: New Mexico
#   Northernmost_Latitude: 36.68
#   Southernmost_Latitude: 36.68
#   Easternmost_Longitude: -107.32
#   Westernmost_Longitude: -107.32
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM545
#   First_Year: 1760
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  maximum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PN352X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN352X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN363X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN363X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN364X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN364X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN373X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN373X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PN352X_raw	PN363X_raw	PN364X_raw	PN373X_raw
1884	0.56	0.79	0.72	0.75
1885	0.75	0.83	0.74	0.8
1886	0.69	0.73	0.74	0.84
1887	0.74	0.75	0.67	0.76
1888	0.69	0.78	0.71	0.75
1889	0.61	0.65	0.68	0.69
1890	0.69	0.75	0.73	0.75
1891	0.64	0.76	0.86	0.8
1892	0.71	0.74	0.79	0.84
1893	0.68	0.75	0.8	0.78
1894	0.63	0.71	0.73	0.78
1895	0.64	0.7	0.64	0.79
1896	0.63	0.69	0.59	0.69
1897	0.61	0.77	0.66	0.74
1898	0.63	0.75	0.72	0.71
1899	0.62	0.66	0.63	0.72
1900	0.63	0.67	0.62	0.71
1901	0.65	0.67	0.7	0.68
1902	0.68	0.65	0.67	0.68
1903	0.66	0.7	0.65	0.73
1904	0.62	0.66	0.62	0.62
1905	0.64	0.74	0.7	0.81
1906	0.68	0.75	0.75	0.8
1907	0.64	0.85	0.76	0.83
1908	0.62	0.8	0.78	0.85
1909	0.65	0.71	0.7	0.76
1910	0.65	0.66	0.67	0.77
1911	0.69	0.74	0.67	0.77
1912	0.67	0.73	0.73	0.74
1913	0.58	0.61	0.56	0.63
1914	0.7	0.7	0.7	0.74
1915	0.69	0.68	0.66	0.75
1916	0.7	0.71	0.68	0.75
1917	0.66	0.75	0.66	0.78
1918	0.64	0.69	0.65	0.76
1919	0.63	0.72	0.71	0.8
1920	0.61	0.68	0.66	0.78
1921	0.63	0.64	0.66	0.76
1922	0.62	0.68	0.62	0.85
1923	0.63	0.63	0.61	0.77
1924	0.63	0.67	0.61	0.77
1925	0.67	0.68	0.61	0.74
1926	0.62	0.67	0.61	0.79
1927	0.62	0.66	0.61	0.76
1928	0.63	0.67	0.65	0.8
1929	0.61	0.68	0.56	0.71
1930	0.58	0.71	0.6	0.73
1931	0.51	0.67	0.58	0.82
1932	0.61	0.63	0.62	0.7
1933	0.63	0.64	0.6	0.72
1934	0.6	0.62	0.57	0.7
1935	0.63	0.66	0.6	0.77
1936	0.61	0.6	0.57	0.82
1937	0.59	0.63	0.61	0.75
1938	0.65	0.66	0.65	0.79
1939	0.62	0.62	0.55	0.78
1940	0.63	0.58	0.56	0.78
1941	0.64	0.64	0.62	0.73
1942	0.68	0.63	0.65	0.76
1943	0.63	0.61	0.58	0.72
1944	0.62	0.66	0.59	0.76
1945	0.65	0.67	0.61	0.74
1946	0.64	0.66	0.54	0.66
1947	0.66	0.69	0.6	0.72
1948	0.62	0.65	0.52	0.7
1949	0.67	0.68	0.6	0.68
1950	0.7	0.65	0.59	0.67
1951	0.61	0.62	0.55	0.69
1952	0.66	0.67	0.6	0.76
1953	0.7	0.68	0.58	0.71
1954	0.65	0.63	0.54	0.72
1955	0.64	0.65	0.58	0.71
1956	0.6	0.63	0.59	0.64
1957	0.63	0.65	0.6	0.67
1958	0.61	0.62	0.58	0.71
1959	0.66	0.59	0.5	0.61
1960	0.66	0.66	0.61	0.72
1961	0.69	0.61	0.61	0.65
1962	0.68	0.62	0.61	0.67
1963	0.71	0.63	0.56	0.71
1964	0.69	0.56	0.51	0.66
1965	0.67	0.64	0.58	0.66
1966	0.68	0.68	0.56	0.71
1967	0.71	0.63	0.57	0.66
1968	0.69	0.62	0.57	0.66
1969	0.69	0.58	0.49	0.67
1970	0.7	0.65	0.55	0.71
1971	0.68	0.58	0.53	0.65
1972	0.64	0.56	0.55	0.73
1973	0.68	0.67	0.58	0.71
1974	0.68	0.61	0.54	0.7
1975	0.7	0.67	0.62	0.71
1976	0.7	0.61	0.53	0.72
1977	0.65	0.61	0.53	0.68
