# Therrell - Hinds Road Outcrop - QUBN - ITRDB AL004
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/27710
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-27710.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/al004-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; al004-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/al004.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/al004.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-09-20
#--------------------
# File_Last_Modified_Date
#   Date: 2019-09-20
#--------------------
# Title
#   Study_Name: Therrell - Hinds Road Outcrop - QUBN - ITRDB AL004
#--------------------
# Investigators
#   Investigators: Therrell, M.D.; Therrell, N.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: Hinds Road Outcrop, Etowah County, February 2018, Boynton's Oak. NOAA Template Raw Measurements file added 2020-01-15.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Hinds Road Outcrop
#   Location: Alabama
#   Northernmost_Latitude: 34.0667
#   Southernmost_Latitude: 34.0667
#   Easternmost_Longitude: -86.05
#   Westernmost_Longitude: -86.05
#   Elevation_m: 230
#--------------------
# Data_Collection
#   Collection_Name: AL004
#   First_Year: 1925
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus boyntonii Beadle
#   Common_Name: Boynton's sand post oak
#   Tree_Species_Code: QUBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HRO01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO18B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO18B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO19A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO19A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO21_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO21; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO22_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO22; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO23_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO23; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HRO24_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HRO24; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HRO01A_raw	HRO02A_raw	HRO03_raw	HRO12A_raw	HRO18B_raw	HRO19A_raw	HRO21_raw	HRO22_raw	HRO23_raw	HRO24_raw
1925	NA	NA	NA	NA	NA	NA	NA	0.96	NA	NA
1926	NA	NA	NA	NA	NA	NA	NA	1.29	NA	NA
1927	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA
1928	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA
1929	NA	NA	NA	NA	NA	NA	NA	0.69	NA	NA
1930	NA	NA	NA	NA	NA	NA	NA	0.41	NA	NA
1931	NA	NA	NA	NA	NA	NA	NA	0.37	NA	NA
1932	NA	NA	NA	NA	NA	NA	NA	1.33	NA	NA
1933	NA	NA	NA	NA	NA	NA	NA	1.29	NA	NA
1934	NA	NA	NA	NA	NA	NA	NA	1.11	NA	NA
1935	NA	NA	NA	NA	NA	NA	NA	0.96	NA	NA
1936	NA	NA	NA	NA	NA	NA	NA	1.97	NA	NA
1937	NA	NA	NA	NA	NA	NA	NA	1.39	NA	NA
1938	NA	NA	NA	NA	NA	NA	NA	0.98	NA	NA
1939	NA	NA	NA	NA	NA	NA	1.12	1.49	NA	NA
1940	NA	NA	NA	NA	NA	2.52	0.35	1.24	NA	NA
1941	NA	NA	NA	NA	NA	1.82	0.29	1.38	NA	NA
1942	NA	NA	NA	NA	NA	3.37	1.36	1.42	NA	NA
1943	NA	NA	NA	NA	NA	1.33	0.61	0.96	NA	NA
1944	NA	NA	NA	NA	NA	1.39	0.83	1.17	NA	NA
1945	NA	NA	NA	NA	NA	1.88	1.22	1.74	NA	NA
1946	NA	NA	NA	NA	NA	1.63	1.68	2.32	NA	NA
1947	NA	NA	NA	NA	NA	0.67	0.61	1.12	NA	NA
1948	NA	NA	NA	NA	NA	0.43	0.33	0.78	NA	NA
1949	NA	NA	NA	NA	NA	0.58	0.83	1.47	NA	NA
1950	NA	NA	NA	NA	0.34	1.08	0.69	0.99	NA	NA
1951	NA	NA	NA	NA	0.38	1.13	0.75	1.09	NA	NA
1952	NA	NA	NA	NA	1.02	0.89	0.83	1.28	NA	NA
1953	NA	NA	NA	NA	0.57	0.84	0.65	0.94	NA	NA
1954	NA	NA	NA	NA	0.61	0.92	1.43	1.21	NA	NA
1955	NA	NA	NA	NA	0.33	0.58	0.66	0.84	1.8	NA
1956	NA	NA	NA	NA	0.28	0.29	0.34	0.46	1.01	1.67
1957	1.18	0.88	NA	NA	0.38	0.42	0.25	0.52	0.67	1.28
1958	0.37	0.62	NA	NA	0.14	0.49	0.49	0.57	0.81	1.1
1959	0.95	1.41	NA	1.29	0.22	0.72	0.85	0.69	1.2	0.79
1960	0.99	0.88	NA	1.77	0.11	0.56	0.45	0.46	0.55	0.36
1961	0.91	0.54	NA	2.1	0.07	0.91	1.26	0.76	1.84	0.52
1962	1.25	0.55	NA	0.9	0.15	0.48	0.44	0.68	0.82	0.33
1963	2.08	2.27	0.97	1.67	0.18	0.59	1.01	0.69	1.25	1.05
1964	1.2	0.57	0.86	1.18	0.22	0.44	0.62	0.24	0.84	0.7
1965	1.85	1.09	1.36	1.78	0.38	0.43	0.38	0.8	1.61	0.93
1966	2.06	2.07	1.8	1.49	0.37	0.9	0.79	0.6	1.74	1.09
1967	2.79	2.16	2.01	1.92	0.9	0.71	0.72	0.91	2.14	1.49
1968	1.95	1.06	1.29	1.76	0.46	0.95	0.49	0.82	1.49	1.47
1969	1.5	1.22	1.68	1.19	0.77	0.63	0.62	0.65	1.5	0.92
1970	2.49	1.47	2.16	1.2	0.43	0.45	0.44	0.48	1.61	1.32
1971	1.73	1.77	1.75	1.69	0.36	0.51	0.4	0.51	1.82	1.13
1972	0.58	0.77	0.8	1.71	0.43	0.73	0.44	0.35	1.38	1.38
1973	0.48	0.68	0.92	2.31	0.34	0.68	0.66	0.84	1.92	1.59
1974	0.41	0.59	0.72	1.48	0.36	0.55	0.5	0.57	1.05	0.96
1975	0.66	0.64	1.19	1.38	0.58	0.68	0.55	0.51	1.88	1.58
1976	1.5	0.7	1.36	1.01	0.43	0.55	0.52	0.52	1.36	1.52
1977	0.76	0.63	0.79	0.57	0.53	0.44	0.27	0.22	0.87	0.68
1978	1.09	0.65	1.04	1.21	0.28	0.66	0.5	0.51	1.17	0.86
1979	0.87	0.38	0.91	0.92	0.33	0.38	0.41	0.39	0.64	0.8
1980	0.93	0.56	0.66	0.95	0.23	0.48	0.42	0.48	0.8	0.99
1981	0.94	0.49	0.92	0.77	0.72	0.56	0.34	0.44	0.57	0.75
1982	0.97	0.59	1.27	0.93	0.53	0.39	0.28	0.42	0.55	1.07
1983	1.53	1.11	1.48	1.32	0.63	0.53	0.24	0.49	0.61	0.69
1984	0.53	0.23	0.46	0.34	0.29	0.33	0.36	0.34	0.27	0.23
1985	0.32	0.24	0.38	0.21	0.47	0.43	0.19	0.31	0.51	0.27
1986	0.65	0.36	0.45	0.35	0.41	0.4	0.29	0.45	0.34	0.34
1987	1.02	0.19	0.81	0.49	0.21	0.34	0.21	0.24	0.34	0.41
1988	0.79	0.35	0.86	0.53	0.23	0.4	0.26	0.21	0.61	0.44
1989	1.83	0.33	1.59	0.91	0.27	0.56	0.09	0.23	0.63	0.35
1990	1.23	0.37	1.38	0.58	0.38	0.68	0.36	0.32	0.37	0.52
1991	0.64	0.33	0.86	0.81	0.15	0.62	0.38	0.23	0.31	0.45
