# Miles - Cooper-Frost-Austin House, Cambridge - QUSP - ITRDB MA006
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4025
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4025.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma006-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma006-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma006.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma006.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2003-06-20
#--------------------
# File_Last_Modified_Date
#   Date: 2003-06-20
#--------------------
# Title
#   Study_Name: Miles - Cooper-Frost-Austin House, Cambridge - QUSP - ITRDB MA006
#--------------------
# Investigators
#   Investigators: Miles, D.W.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Cooper-Frost-Austin House, Cambridge
#   Location: Massachusetts
#   Northernmost_Latitude: 42.38
#   Southernmost_Latitude: 42.38
#   Easternmost_Longitude: -71.1
#   Westernmost_Longitude: -71.1
#   Elevation_m: 15
#--------------------
# Data_Collection
#   Collection_Name: MA006
#   First_Year: 1527
#   Last_Year: 1680
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## cfa1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cfa1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cfa2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cfa2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cfa3a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cfa3a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cfa3b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cfa3b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cfa3c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cfa3c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## cfa6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: cfa6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	cfa1_raw	cfa2_raw	cfa3a_raw	cfa3b_raw	cfa3c_raw	cfa6_raw
1527	3.06	NA	NA	NA	NA	NA
1528	2.83	NA	NA	NA	NA	NA
1529	2.25	NA	NA	NA	NA	NA
1530	2.54	NA	NA	NA	NA	NA
1531	2.41	NA	NA	NA	NA	NA
1532	2.49	NA	NA	NA	NA	NA
1533	2.51	NA	NA	NA	NA	NA
1534	2.43	NA	NA	NA	NA	NA
1535	1.98	NA	NA	NA	NA	NA
1536	1.77	NA	NA	NA	NA	NA
1537	2.15	NA	NA	NA	NA	NA
1538	1.84	NA	NA	NA	NA	NA
1539	2.13	NA	NA	NA	NA	NA
1540	2.03	NA	NA	NA	NA	NA
1541	2.15	NA	NA	NA	NA	NA
1542	1.73	NA	NA	NA	NA	NA
1543	1.82	NA	NA	NA	NA	NA
1544	1.77	NA	NA	NA	NA	NA
1545	1.8	NA	NA	NA	NA	NA
1546	1.9	NA	NA	NA	NA	NA
1547	1.57	NA	NA	NA	NA	NA
1548	1.13	NA	NA	NA	NA	NA
1549	1.19	NA	NA	NA	NA	NA
1550	1.17	NA	NA	NA	NA	NA
1551	1.29	NA	NA	NA	NA	NA
1552	1.3	NA	NA	NA	NA	NA
1553	1.47	NA	2.67	NA	NA	NA
1554	1.21	NA	3.39	NA	NA	NA
1555	1.5	NA	3.06	NA	NA	NA
1556	1.27	NA	2.19	NA	NA	NA
1557	0.69	NA	2.44	NA	NA	NA
1558	0.7	NA	3.29	NA	NA	NA
1559	0.81	NA	3.89	NA	NA	NA
1560	0.97	NA	4.03	NA	NA	NA
1561	1.2	NA	4.08	NA	NA	NA
1562	1.25	NA	3.83	NA	NA	NA
1563	1.21	NA	3.98	NA	NA	NA
1564	1.25	NA	3.84	NA	NA	NA
1565	1.13	NA	4.13	NA	NA	NA
1566	1.09	NA	4.73	NA	NA	NA
1567	1.19	NA	4.23	NA	NA	NA
1568	1.19	NA	3.1	NA	NA	NA
1569	1.34	NA	3.23	NA	NA	NA
1570	1.37	NA	1.37	NA	NA	NA
1571	1	0.83	1	NA	NA	NA
1572	0.74	0.79	0.7	NA	NA	NA
1573	0.83	0.77	0.58	NA	NA	NA
1574	0.76	0.67	1.09	NA	NA	NA
1575	0.93	0.68	1.76	NA	NA	NA
1576	1.12	0.62	2.69	NA	NA	NA
1577	1.31	0.93	3.61	NA	NA	0.85
1578	1.63	1	3.03	NA	NA	1.04
1579	1.37	0.9	2.51	NA	NA	1.19
1580	2.05	1.23	2.77	NA	NA	1.25
1581	2	1.28	2.99	NA	NA	1.44
1582	2.35	1.59	2.95	NA	NA	1.52
1583	2.06	1.21	2.39	NA	NA	1.46
1584	1.85	1.4	2.64	NA	NA	1.32
1585	1.81	1.44	2.89	NA	NA	1.81
1586	1.7	1.34	2.88	NA	NA	1.5
1587	1.57	1.34	2.17	NA	NA	1.26
1588	1.56	1.29	2.38	NA	NA	1.31
1589	1.58	1.35	2.35	NA	NA	1.15
1590	1.56	1.27	2.43	NA	NA	1.08
1591	1.77	1.57	2.23	NA	NA	1.32
1592	1.86	1.59	2.03	NA	NA	1.19
1593	1.98	1.73	2.19	NA	NA	1.41
1594	2.19	1.62	1.38	NA	NA	1.39
1595	1.77	1.36	0.93	NA	NA	0.98
1596	1.59	1.35	1.26	NA	NA	1.36
1597	1.33	1.25	1.27	NA	NA	1.28
1598	1.3	1.31	1.5	NA	NA	1.34
1599	1.39	1.31	1.36	NA	NA	1.49
1600	1.42	1.48	1.95	NA	NA	1.45
1601	1.59	1.42	1.93	NA	NA	1.47
1602	1.61	1.59	2.15	NA	NA	1.67
1603	1.52	1.48	1.97	NA	NA	1.6
1604	1.49	1.31	1.69	NA	NA	1.26
1605	1.11	1.04	1.62	NA	NA	1.48
1606	1.13	1.22	1.57	NA	NA	1.25
1607	1.29	1.25	1.63	NA	NA	1.31
1608	1.15	1.47	1.5	NA	NA	1.34
1609	1.19	1.49	1.48	NA	NA	1.14
1610	1.23	1.34	1.5	NA	NA	1.14
1611	1.15	1.56	1.6	NA	NA	1.13
1612	1.16	1.9	1.68	NA	NA	1.26
1613	1.24	1.57	1.54	NA	NA	1.25
1614	1.38	1.63	1.91	NA	NA	1.12
1615	1.29	1.4	1.53	NA	NA	1.22
1616	1.22	1.4	1.51	NA	NA	1.33
1617	1.09	1.11	1.16	NA	NA	1.32
1618	1.31	1.2	1.12	NA	NA	1.31
1619	1.15	1.16	1.26	NA	NA	1.23
1620	1.22	1.38	1.12	NA	NA	1.11
1621	0.93	1.26	0.98	NA	NA	0.95
