# Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2946
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2946.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545n-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm545n-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545n.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm545n.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pueblita Canyon
#   Location: New Mexico
#   Northernmost_Latitude: 36.68
#   Southernmost_Latitude: 36.68
#   Easternmost_Longitude: -107.32
#   Westernmost_Longitude: -107.32
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM545
#   First_Year: 1760
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  minimum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PN352N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN352N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN363N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN363N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN364N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN364N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PN373N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PN373N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PN352N_raw	PN363N_raw	PN364N_raw	PN373N_raw
1760	0.4	NA	NA	NA
1761	0.39	NA	NA	NA
1762	0.37	NA	NA	NA
1763	0.41	NA	NA	NA
1764	0.38	NA	NA	NA
1765	0.37	NA	NA	NA
1766	0.36	NA	NA	NA
1767	0.4	NA	NA	NA
1768	0.4	NA	NA	NA
1769	0.39	NA	NA	NA
1770	0.4	NA	NA	NA
1771	0.37	NA	NA	NA
1772	0.4	NA	NA	NA
1773	0.38	NA	NA	NA
1774	0.41	NA	NA	NA
1775	0.45	NA	NA	NA
1776	0.43	NA	NA	NA
1777	0.44	NA	NA	NA
1778	0.41	NA	NA	NA
1779	0.42	NA	NA	NA
1780	0.45	NA	NA	NA
1781	0.4	NA	NA	NA
1782	0.44	NA	NA	NA
1783	0.37	NA	NA	NA
1784	0.41	NA	NA	NA
1785	0.4	NA	NA	NA
1786	0.37	NA	NA	NA
1787	0.39	NA	NA	NA
1788	0.39	NA	NA	NA
1789	0.42	NA	NA	NA
1790	0.4	NA	NA	NA
1791	0.41	NA	NA	NA
1792	0.4	NA	NA	NA
1793	0.41	NA	NA	NA
1794	0.4	NA	NA	NA
1795	0.39	NA	NA	NA
1796	0.35	NA	NA	NA
1797	0.39	NA	NA	NA
1798	0.37	NA	NA	NA
1799	0.38	NA	NA	NA
1800	0.4	NA	NA	NA
1801	0.4	NA	NA	NA
1802	0.39	NA	NA	NA
1803	0.37	NA	NA	NA
1804	0.42	NA	NA	NA
1805	0.41	NA	NA	NA
1806	0.44	NA	NA	NA
1807	0.41	NA	NA	NA
1808	0.43	NA	NA	NA
1809	0.43	NA	NA	NA
1810	0.42	NA	NA	NA
1811	0.41	NA	NA	NA
1812	0.39	NA	NA	NA
1813	0.39	NA	NA	NA
1814	0.42	NA	NA	NA
1815	0.41	NA	NA	NA
1816	0.41	NA	NA	NA
1817	0.42	NA	NA	NA
1818	0.44	NA	NA	NA
1819	0.44	NA	NA	NA
1820	0.43	NA	NA	NA
1821	0.4	NA	NA	NA
1822	0.44	NA	NA	NA
1823	0.41	NA	NA	NA
1824	0.38	NA	NA	NA
1825	0.39	NA	NA	NA
1826	0.4	NA	NA	NA
1827	0.4	NA	NA	NA
1828	0.39	NA	NA	NA
1829	0.43	NA	NA	NA
1830	0.44	NA	NA	NA
1831	0.44	NA	NA	NA
1832	0.43	NA	NA	NA
1833	0.41	NA	NA	NA
1834	0.4	NA	NA	NA
1835	0.43	NA	NA	NA
1836	0.47	NA	NA	NA
1837	0.42	NA	NA	0.46
1838	0.44	NA	NA	0.49
1839	0.42	NA	NA	0.44
1840	0.4	NA	NA	0.44
1841	0.41	NA	NA	0.44
1842	0.43	NA	NA	0.46
1843	0.44	NA	NA	0.43
1844	0.43	NA	NA	0.45
1845	0.44	0.57	NA	0.45
1846	0.39	0.49	NA	0.45
1847	0.44	0.54	NA	0.46
1848	0.38	0.47	NA	0.43
1849	0.39	0.5	NA	0.43
1850	0.41	0.46	NA	0.44
1851	0.46	0.48	NA	0.49
1852	0.41	0.44	NA	0.44
1853	0.39	0.47	NA	0.45
1854	0.4	0.45	NA	0.5
1855	0.39	0.47	NA	0.45
1856	0.41	0.45	NA	0.45
1857	0.41	0.46	NA	0.49
1858	0.39	0.5	NA	0.49
1859	0.41	0.46	NA	0.49
1860	0.41	0.48	NA	0.47
1861	0.46	0.52	NA	0.5
1862	0.42	0.46	NA	0.46
1863	0.37	0.47	NA	0.48
1864	0.4	0.48	NA	0.52
1865	0.4	0.45	NA	0.47
1866	0.42	0.42	NA	0.45
1867	0.4	0.43	NA	0.45
1868	0.39	0.47	NA	0.4
1869	0.37	0.44	NA	0.43
1870	0.58	0.48	NA	0.49
1871	0.4	0.46	NA	0.45
1872	0.4	0.44	NA	0.47
1873	0.37	0.45	NA	0.43
1874	0.4	0.43	NA	0.43
1875	0.39	0.41	NA	0.41
1876	0.42	0.47	NA	0.49
1877	0.38	0.45	NA	0.44
1878	0.4	0.47	NA	0.46
1879	0.41	0.48	NA	0.47
1880	0.4	0.45	0.43	0.46
1881	0.41	0.46	0.42	0.45
1882	0.41	0.48	0.43	0.49
1883	0.42	0.45	0.43	0.46
