# Black - Lake Sammamish - PSME - ITRDB WA158
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38206
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38206.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa158-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa158.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa158.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-12
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-12
#--------------------
# Title
#   Study_Name: Black - Lake Sammamish - PSME - ITRDB WA158
#--------------------
# Investigators
#   Investigators: Black, Bryan A.
#--------------------
# Description_Notes_and_Keywords
#   Description: This is a single tree killed in a landslide into Lake Sammamish and is crossdated against other chronologies in the region
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US Geological Survey
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Lake Sammamish
#   Location: Washington
#   Northernmost_Latitude: 47.571
#   Southernmost_Latitude: 47.571
#   Easternmost_Longitude: -122.086
#   Westernmost_Longitude: -122.086
#   Elevation_m: 7
#--------------------
# Data_Collection
#   Collection_Name: WA158
#   First_Year: 692
#   Last_Year: 923
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LSA01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LSA01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LSA01C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LSA01C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LSA01A_raw	LSA01B_raw	LSA01C_raw
692	NA	1.13	NA
693	NA	0.94	NA
694	NA	1.22	1.27
695	NA	1.34	1.29
696	NA	1.48	1.42
697	NA	1.39	1.39
698	1.37	1.19	1.22
699	1.11	1.01	0.93
700	1.26	1.26	1.27
701	1.13	1.23	1.09
702	1.16	1.11	1.1
703	1.58	1.34	1.56
704	1.8	1.45	1.8
705	1.73	1.35	1.75
706	1.7	1.48	1.69
707	1.5	1.39	1.42
708	1.4	1.41	1.31
709	1.32	1.34	1.24
710	1.32	1.26	1.3
711	1.42	1.4	1.38
712	1.48	1.47	1.42
713	1.46	1.29	1.33
714	1.2	1.41	1.5
715	1.3	1.42	1.35
716	1.25	1.42	1.24
717	1.16	1.21	1.17
718	0.69	0.69	0.71
719	0.74	0.68	0.76
720	0.69	0.62	0.92
721	0.61	0.53	0.65
722	0.64	0.69	0.65
723	0.7	0.67	0.67
724	0.57	0.57	0.59
725	0.83	0.77	0.78
726	0.72	0.59	0.69
727	0.68	0.6	0.72
728	0.58	0.52	0.61
729	0.56	0.52	0.53
730	0.69	0.61	0.7
731	0.69	0.62	0.71
732	0.6	0.58	0.57
733	0.63	0.54	0.67
734	0.59	0.44	0.58
735	0.55	0.51	0.59
736	0.53	0.5	0.54
737	0.41	0.4	0.42
738	0.45	0.42	0.43
739	0.55	0.54	0.61
740	0.47	0.43	0.47
741	0.47	0.4	0.45
742	0.5	0.43	0.53
743	0.48	0.46	0.51
744	0.57	0.55	0.55
745	0.69	0.63	0.68
746	0.65	0.56	0.63
747	0.63	0.57	0.68
748	0.72	0.72	0.74
749	0.74	0.73	0.69
750	0.75	0.74	0.69
751	0.65	0.76	0.61
752	0.57	0.58	0.57
753	0.73	0.62	0.69
754	0.9	0.77	0.8
755	0.62	0.69	0.63
756	0.83	0.79	0.81
757	0.94	1.03	0.98
758	0.82	0.81	0.8
759	0.83	0.86	0.8
760	0.66	0.72	0.75
761	0.82	0.69	0.8
762	0.88	0.82	0.91
763	0.7	0.64	0.73
764	0.69	0.64	0.7
765	0.7	0.62	0.7
766	0.95	0.92	0.96
767	0.78	0.72	0.85
768	0.56	0.61	0.61
769	0.62	0.62	0.69
770	0.7	0.7	0.68
771	0.69	0.67	0.68
772	0.69	0.74	0.69
773	0.62	0.52	0.61
774	0.67	0.65	0.63
775	0.67	0.64	0.76
776	0.58	0.55	0.56
777	0.56	0.54	0.62
778	0.55	0.5	0.56
779	0.75	0.63	0.7
780	0.58	0.54	0.63
781	0.67	0.64	0.68
782	0.8	0.64	0.85
783	0.77	0.71	0.74
784	0.92	0.86	0.91
785	0.85	0.75	0.87
786	1.02	1	1.01
787	1.08	1.08	1.09
788	1.05	1.03	1.01
789	1.25	1.34	1.3
790	1.06	1.14	1.08
791	0.76	0.82	0.78
792	0.88	0.73	0.88
793	0.9	0.84	0.95
794	1.19	1.02	1.23
795	1.34	1.11	1.34
796	1.09	1.05	1.09
797	0.94	0.76	0.91
798	0.94	0.91	0.99
799	0.69	0.62	0.69
800	0.72	0.8	0.7
801	0.69	0.75	0.74
802	0.86	0.68	0.87
803	0.75	0.69	0.8
804	0.91	0.71	0.85
805	0.81	0.71	0.85
806	0.79	0.74	0.77
807	0.89	0.89	0.95
808	0.7	0.67	0.71
809	1.37	1.26	1.37
810	0.98	0.97	1.02
811	0.6	0.56	0.64
812	0.67	0.63	0.7
813	0.75	0.72	0.75
814	0.6	0.6	0.59
815	0.85	0.7	0.86
816	0.87	0.71	0.86
817	0.81	0.69	0.84
818	0.72	0.69	0.79
819	0.69	0.71	0.7
820	0.85	0.82	0.82
821	0.94	0.85	0.96
822	0.92	0.85	0.91
823	0.68	0.67	0.72
824	0.83	0.87	0.79
825	0.73	0.74	0.78
826	1.07	1	1.04
827	0.8	0.73	0.8
828	0.75	0.69	0.74
829	0.76	0.79	0.81
830	0.88	0.91	0.86
831	0.8	0.84	0.78
