# Kaiser - Rimrock Valles Ground  White Pass - PSME - ITRDB WA4
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3662
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3662.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa4-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa4-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa4.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa4.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1997-01-06
#--------------------
# File_Last_Modified_Date
#   Date: 1997-01-06
#--------------------
# Title
#   Study_Name: Kaiser - Rimrock Valles Ground  White Pass - PSME - ITRDB WA4
#--------------------
# Investigators
#   Investigators: Kaiser, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rimrock  Valles Ground  White Pass
#   Location: Washington
#   Northernmost_Latitude: 46.33
#   Southernmost_Latitude: 46.33
#   Easternmost_Longitude: -121.17
#   Westernmost_Longitude: -121.17
#   Elevation_m: 810
#--------------------
# Data_Collection
#   Collection_Name: WA4
#   First_Year: 1885
#   Last_Year: 1986
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## RIMR0010_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0010; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0030_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0030; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0040_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0040; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0050_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0050; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0060_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0060; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0070_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0070; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMR0080_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMR0080; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMRCH00_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMRCH00; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	RIMR0010_raw	RIMR0020_raw	RIMR0030_raw	RIMR0040_raw	RIMR0050_raw	RIMR0060_raw	RIMR0070_raw	RIMR0080_raw	RIMRCH00_raw
1885	NA	NA	1.73	NA	NA	NA	NA	NA	1.73
1886	NA	NA	1.47	NA	NA	NA	NA	NA	1.47
1887	NA	NA	0.58	NA	NA	NA	NA	NA	0.58
1888	NA	NA	0.9	NA	NA	NA	NA	NA	0.9
1889	NA	NA	0.52	NA	NA	NA	NA	NA	0.52
1890	NA	NA	1.33	NA	NA	NA	NA	NA	1.33
1891	NA	NA	0.99	NA	NA	NA	NA	NA	0.99
1892	NA	NA	0.68	NA	NA	NA	NA	NA	0.68
1893	NA	NA	0.78	NA	NA	NA	NA	NA	0.78
1894	NA	NA	1.11	NA	NA	NA	NA	NA	1.11
1895	NA	NA	1.02	NA	NA	NA	NA	NA	1.02
1896	NA	NA	1	NA	NA	NA	NA	NA	1
1897	NA	NA	1.37	NA	NA	NA	NA	NA	1.37
1898	NA	NA	1.74	NA	NA	NA	NA	NA	1.74
1899	NA	NA	1.67	NA	NA	NA	NA	NA	1.67
1900	NA	NA	1.9	NA	NA	NA	NA	NA	1.9
1901	NA	NA	1.76	NA	NA	NA	NA	NA	1.76
1902	NA	NA	1.34	NA	NA	NA	NA	NA	1.34
1903	NA	NA	1.57	NA	NA	NA	NA	NA	1.57
1904	NA	NA	1.86	NA	NA	NA	NA	NA	1.86
1905	NA	NA	1.8	NA	NA	NA	NA	NA	1.8
1906	NA	NA	1.23	NA	NA	NA	NA	NA	1.23
1907	NA	NA	1.27	NA	NA	NA	NA	NA	1.27
1908	NA	NA	1.56	NA	NA	NA	NA	NA	1.56
1909	NA	NA	1.33	NA	NA	NA	NA	NA	1.33
1910	NA	NA	1.2	NA	NA	NA	NA	NA	1.2
1911	NA	NA	1.56	NA	NA	NA	NA	NA	3.6
1912	NA	NA	1.5	NA	NA	NA	NA	NA	3.51
1913	NA	NA	1.57	NA	NA	NA	NA	NA	3.25
1914	NA	NA	1.51	NA	NA	NA	NA	NA	3.13
1915	NA	NA	0.97	NA	NA	NA	NA	NA	2.18
1916	NA	NA	0.96	NA	NA	NA	NA	NA	2.03
1917	NA	NA	0.98	NA	NA	NA	NA	NA	1.84
1918	NA	NA	1.01	NA	NA	NA	NA	NA	1.52
1919	NA	NA	1.04	NA	NA	NA	NA	NA	1.96
1920	2.73	NA	0.98	NA	NA	NA	NA	NA	1.86
1921	2.65	NA	1.16	NA	NA	NA	NA	NA	1.91
1922	2.51	NA	0.9	NA	NA	NA	NA	NA	1.71
1923	2.24	NA	0.86	NA	NA	NA	NA	NA	1.55
1924	2.38	NA	0.84	NA	NA	NA	NA	NA	1.61
1925	2.13	NA	0.58	NA	NA	NA	NA	NA	1.36
1926	2.37	NA	0.74	NA	NA	NA	NA	NA	1.56
1927	3.04	NA	0.97	NA	NA	NA	NA	NA	2.01
1928	2.98	NA	1.09	NA	NA	NA	NA	NA	2.04
1929	2.57	2.82	0.86	NA	NA	NA	NA	NA	2.08
1930	2.25	2.36	1.01	NA	NA	NA	NA	NA	1.87
1931	1.91	4.18	1.03	NA	NA	NA	NA	NA	2.37
1932	2.05	3.75	1.18	NA	NA	NA	NA	NA	2.33
1933	3.34	3.61	1.33	NA	NA	NA	NA	NA	2.76
1934	1.47	3.13	1.22	NA	NA	NA	NA	NA	1.94
1935	2.1	2.29	1.15	NA	NA	NA	NA	NA	1.85
1936	2.09	1.98	0.86	NA	NA	NA	NA	NA	1.64
1937	3.05	2.22	0.87	NA	NA	NA	NA	NA	2.05
1938	3.18	2.34	1.23	NA	NA	NA	NA	NA	2.25
1939	2.7	2.14	0.95	NA	3.26	NA	NA	NA	2.26
1940	2.37	2.12	0.98	NA	3.03	NA	NA	NA	2.13
1941	2.83	1.98	0.96	NA	2.94	NA	NA	NA	2.18
1942	3.29	2.03	1.12	NA	2.76	NA	NA	NA	2.3
1943	2.41	1.95	0.96	NA	2.05	NA	2.32	NA	1.94
1944	1.97	1.91	0.85	NA	1.27	NA	2.83	NA	1.77
1945	2.19	2.28	0.88	NA	1.96	NA	2.86	NA	2.03
1946	2.56	3.8	1.23	NA	3.06	NA	3.16	NA	2.76
1947	3.12	3.49	1.35	NA	2.65	NA	3.36	NA	2.79
1948	3.01	4.3	2	5.11	2.94	NA	4.16	NA	3.59
1949	2.93	4.13	1.89	3.96	2.56	NA	3.51	NA	3.16
1950	3.49	3.36	2.42	4.1	2.7	NA	3.76	NA	3.31
1951	2.53	2.76	1.91	3.49	2.04	NA	3.32	4.18	2.89
1952	1.84	2.18	1.59	2.96	1.74	NA	3.02	3.82	2.45
1953	2.6	2.32	1.85	3.97	2.44	NA	3.35	4.2	2.96
1954	2.08	2.5	1.67	3.16	2.41	NA	3.06	3.27	2.59
1955	2.23	2.41	1.59	3.02	2.31	NA	2.9	3.41	2.55
1956	1.99	1.9	1.53	2.54	2.31	NA	2.67	3.62	2.37
1957	2.03	2.28	1.44	3.2	2.2	4.17	2.79	4.46	2.82
1958	2.16	2.14	1.34	3.19	1.94	3.29	2.67	3.95	2.59
1959	2.03	2.5	1.19	3.82	1.35	2.74	2.21	5	2.61
1960	2.12	2.72	1.12	3.64	1.61	3.12	2.11	4.11	2.57
