# Miles - Gedney House, Salem - QUSP - ITRDB MA010
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4029
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4029.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma010-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma010-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma010.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma010.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2003-06-20
#--------------------
# File_Last_Modified_Date
#   Date: 2003-06-20
#--------------------
# Title
#   Study_Name: Miles - Gedney House, Salem - QUSP - ITRDB MA010
#--------------------
# Investigators
#   Investigators: Miles, D.W.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Gedney House, Salem
#   Location: Massachusetts
#   Northernmost_Latitude: 42.52
#   Southernmost_Latitude: 42.52
#   Easternmost_Longitude: -70.9
#   Westernmost_Longitude: -70.9
#   Elevation_m: 15
#--------------------
# Data_Collection
#   Collection_Name: MA010
#   First_Year: 1555
#   Last_Year: 1704
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ghs1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs3a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs3a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs3b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs3b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs13a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs13a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs13b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs13b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ghs14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ghs14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ghs1_raw	ghs2_raw	ghs3a_raw	ghs3b_raw	ghs12_raw	ghs13a_raw	ghs13b_raw	ghs14_raw
1555	NA	NA	1.63	NA	NA	NA	NA	NA
1556	NA	NA	0.83	NA	NA	NA	NA	NA
1557	NA	NA	0.83	NA	NA	NA	NA	NA
1558	NA	NA	0.46	NA	NA	NA	NA	NA
1559	NA	NA	0.79	NA	NA	NA	NA	NA
1560	NA	NA	1.72	NA	NA	NA	NA	NA
1561	NA	NA	2.99	NA	NA	NA	NA	NA
1562	NA	NA	2.86	NA	NA	NA	NA	NA
1563	NA	NA	2.63	NA	NA	NA	NA	NA
1564	NA	NA	2.08	NA	NA	NA	NA	NA
1565	NA	NA	2.47	NA	NA	NA	NA	NA
1566	NA	NA	3.13	NA	NA	NA	NA	NA
1567	NA	NA	3.74	NA	NA	NA	NA	NA
1568	NA	NA	2.25	NA	NA	NA	NA	NA
1569	NA	NA	2.73	NA	NA	NA	NA	NA
1570	NA	NA	2.8	NA	NA	NA	NA	NA
1571	NA	NA	1.87	NA	NA	NA	NA	NA
1572	NA	NA	1.3	NA	NA	NA	NA	NA
1573	NA	NA	1.16	NA	NA	NA	NA	NA
1574	NA	NA	1.45	NA	NA	NA	NA	NA
1575	NA	NA	1.91	NA	NA	NA	NA	NA
1576	NA	NA	2.33	NA	NA	NA	NA	NA
1577	NA	NA	2.75	NA	NA	0.83	NA	NA
1578	NA	0.76	3.06	NA	NA	1.19	NA	NA
1579	NA	0.86	2.38	NA	NA	1.13	NA	NA
1580	NA	1	2.22	NA	NA	1.51	NA	NA
1581	NA	1.17	1.97	NA	NA	1.59	NA	NA
1582	NA	1.42	2.76	NA	NA	2.05	NA	NA
1583	NA	1.45	3.4	NA	NA	2.39	NA	NA
1584	NA	1.46	3.06	NA	NA	1.86	NA	2.45
1585	NA	1.26	2.52	NA	NA	2.02	NA	2.58
1586	NA	1.87	2.65	NA	NA	1.57	NA	2.33
1587	NA	1.52	2.55	NA	NA	1.21	NA	1.99
1588	NA	1.51	2.31	NA	NA	1.5	NA	1.79
1589	NA	1.26	1.72	NA	NA	1.24	NA	1.38
1590	NA	1.34	2.59	NA	NA	1.54	NA	1.69
1591	NA	1.26	2.91	1.84	NA	1.58	NA	1.94
1592	NA	1.44	1.81	1.47	NA	1.26	NA	1.39
1593	NA	1.72	2.52	1.9	NA	1.61	NA	1.32
1594	NA	1.42	1.42	0.97	NA	0.83	NA	1.21
1595	NA	1.32	0.62	0.44	NA	0.63	NA	0.89
1596	NA	1.4	0.93	0.54	NA	0.66	NA	0.82
1597	NA	1.66	1	0.62	NA	0.7	NA	0.84
1598	NA	1.52	1.59	0.9	NA	1.01	NA	1.27
1599	NA	1.3	1.31	1.04	NA	1.04	NA	1.47
1600	NA	1.19	1.77	0.88	NA	1.27	NA	1.52
1601	NA	0.87	2.09	1.01	NA	1.25	NA	1.59
1602	NA	0.95	2.52	1.48	NA	1.58	NA	1.71
1603	NA	0.78	1.95	1.37	NA	1.3	1.03	1.48
1604	NA	1.36	2.13	1.46	NA	1.02	0.83	1.27
1605	1.23	1.09	2.91	1.68	NA	0.98	1.04	1.47
1606	1.37	1.44	3.04	1.9	NA	1.3	1.13	1.47
1607	1.25	1.76	2.84	1.75	NA	1.29	1.13	1.71
1608	1.29	1.41	2.64	1.61	NA	1.27	0.92	1.5
1609	1.24	1.45	1.97	1.31	NA	1.05	0.92	1.07
1610	1.59	1.48	1.94	1.04	NA	0.83	0.75	0.94
1611	1.16	1.36	1.68	0.89	NA	0.76	0.62	1
1612	0.93	1.08	1.42	0.96	NA	0.81	0.85	1.02
1613	1.56	1.02	1.64	1.07	NA	0.9	0.89	1.14
1614	1.89	0.68	1.92	1.03	NA	1.08	1.02	1.22
1615	2.26	0.86	1.85	1.12	NA	1.02	1.1	1.27
1616	2.35	0.86	1.54	1.07	NA	0.93	1.04	1.15
1617	2.45	0.86	1.4	1.15	NA	0.86	0.89	1.03
1618	2.53	0.73	1.44	1.25	NA	0.91	1.02	1.11
1619	3.05	0.75	1.84	1.4	NA	1.25	1.16	1.24
1620	1.78	0.81	1.15	0.88	NA	0.87	0.9	1.19
1621	2.09	0.8	1.41	0.97	NA	0.98	0.95	1.21
1622	2.17	0.79	1.15	0.79	NA	0.77	0.84	0.9
1623	2.58	0.91	1.26	0.93	NA	0.78	0.73	0.98
1624	2.5	0.98	1.34	1.03	NA	1.05	0.95	0.92
1625	2.07	0.86	1.02	1.04	NA	0.94	0.85	0.9
1626	3.11	0.98	1.48	1.27	NA	1	0.96	0.94
1627	2.84	0.87	1.16	1.01	NA	0.84	0.98	0.95
1628	3.06	1.04	1.48	1.22	NA	1.01	1.08	1
1629	3.22	1.3	1.19	1.27	NA	1.17	1.16	1.1
1630	2.67	1.04	1.11	0.98	NA	0.84	0.82	0.86
1631	2.5	0.92	0.88	0.72	NA	0.84	0.96	0.99
