# Miles - United Methodist Church, Townsend - QUSP - ITRDB MA013
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4032
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4032.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma013-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma013-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma013.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma013.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-12
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-12
#--------------------
# Title
#   Study_Name: Miles - United Methodist Church, Townsend - QUSP - ITRDB MA013
#--------------------
# Investigators
#   Investigators: Miles, D.W.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: United Methodist Church, Townsend
#   Location: Massachusetts
#   Northernmost_Latitude: 42.67
#   Southernmost_Latitude: 42.67
#   Easternmost_Longitude: -71.7
#   Westernmost_Longitude: -71.7
#   Elevation_m: 15
#--------------------
# Data_Collection
#   Collection_Name: MA013
#   First_Year: 1577
#   Last_Year: 1769
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## tmc1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: tmc1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## tmc2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: tmc2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## tmc4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: tmc4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## tmc6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: tmc6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## tmc7a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: tmc7a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## tmc7b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: tmc7b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## tmc8a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: tmc8a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## tmc8b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: tmc8b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## tmc9_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: tmc9; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	tmc1_raw	tmc2_raw	tmc4_raw	tmc6_raw	tmc7a_raw	tmc7b_raw	tmc8a_raw	tmc8b_raw	tmc9_raw
1577	NA	1.76	NA	NA	NA	NA	NA	NA	NA
1578	NA	1.84	NA	NA	NA	NA	NA	NA	NA
1579	NA	1.15	NA	NA	NA	NA	NA	NA	NA
1580	NA	1.25	NA	NA	NA	NA	NA	NA	NA
1581	NA	1.37	NA	NA	NA	NA	NA	NA	NA
1582	NA	1.45	NA	NA	NA	NA	NA	NA	NA
1583	NA	1.55	NA	NA	NA	NA	NA	NA	NA
1584	NA	1.33	NA	NA	NA	NA	NA	NA	NA
1585	NA	1.16	NA	NA	NA	NA	NA	NA	NA
1586	NA	1.44	NA	1.41	NA	NA	NA	NA	NA
1587	NA	1.2	NA	1.4	NA	NA	NA	NA	NA
1588	NA	1.37	NA	1.75	NA	NA	NA	NA	NA
1589	NA	1	NA	1.26	NA	NA	NA	NA	NA
1590	NA	1.15	NA	2.45	NA	NA	NA	NA	NA
1591	NA	1.02	NA	1.74	NA	NA	NA	NA	NA
1592	NA	1.16	NA	1.25	NA	NA	NA	NA	NA
1593	NA	1.59	NA	2.14	NA	NA	NA	NA	NA
1594	NA	1.8	NA	2	NA	NA	NA	NA	NA
1595	NA	1.62	NA	1.68	NA	NA	NA	NA	NA
1596	NA	1.5	NA	1.69	NA	NA	NA	NA	NA
1597	NA	1.22	NA	1.48	NA	NA	NA	NA	NA
1598	NA	1.1	NA	1.42	NA	NA	NA	NA	NA
1599	NA	1.14	NA	1.13	NA	NA	NA	NA	NA
1600	NA	1.36	NA	1.33	NA	NA	NA	NA	NA
1601	NA	0.95	NA	1.09	NA	NA	NA	NA	NA
1602	NA	1.04	NA	1.16	NA	NA	NA	NA	NA
1603	NA	1.17	NA	1.11	NA	NA	NA	NA	3.88
1604	NA	0.92	NA	1	NA	NA	NA	NA	2.96
1605	NA	1.03	NA	1.09	NA	NA	NA	NA	2.66
1606	NA	0.91	NA	1.08	NA	NA	NA	NA	2.63
1607	NA	1.15	NA	1.38	NA	NA	NA	NA	2.22
1608	NA	1.07	NA	1.29	NA	NA	NA	NA	1.6
1609	NA	1.05	NA	1.02	NA	NA	NA	NA	1.85
1610	NA	1.11	NA	1.41	NA	NA	NA	NA	1.68
1611	NA	1.15	NA	1.35	NA	NA	NA	NA	1.86
1612	NA	1.13	NA	1.23	NA	NA	NA	NA	2.08
1613	NA	1.22	1.15	1.39	NA	NA	NA	NA	1.61
1614	NA	0.86	0.82	1.03	NA	NA	NA	NA	1.45
1615	NA	1.17	0.92	1.31	NA	NA	NA	NA	1.62
1616	NA	0.98	0.84	1	NA	NA	NA	NA	1.13
1617	NA	1.02	0.99	1.08	NA	NA	NA	NA	1.43
1618	NA	1.02	0.98	1	NA	NA	NA	NA	1.3
1619	NA	1.02	1	1.24	NA	NA	NA	NA	1.28
1620	NA	0.95	0.86	0.98	NA	NA	NA	NA	1.05
1621	NA	0.88	0.98	1.04	NA	NA	NA	NA	1.53
1622	NA	0.79	0.66	0.83	NA	NA	NA	NA	1.45
1623	NA	0.58	0.63	0.66	NA	NA	NA	NA	0.95
1624	NA	0.74	0.81	0.84	NA	NA	NA	NA	1.22
1625	NA	0.61	0.73	0.9	NA	NA	NA	NA	1.26
1626	NA	0.97	1.16	1.25	NA	NA	NA	NA	1.34
1627	NA	0.86	0.87	1.1	NA	NA	NA	NA	1.02
1628	NA	1.02	1.11	1.08	NA	NA	NA	NA	1.47
1629	NA	0.96	1.03	1.01	NA	NA	NA	NA	1.47
1630	NA	0.84	1.04	1.12	NA	NA	NA	NA	1.59
1631	NA	0.56	0.69	0.79	NA	NA	NA	NA	1.45
1632	NA	0.76	0.88	1.02	NA	NA	NA	NA	1.86
1633	NA	0.48	0.84	0.86	NA	NA	NA	NA	1.23
1634	NA	0.52	0.58	0.75	NA	NA	NA	NA	1.08
1635	NA	0.48	0.52	0.5	NA	NA	NA	NA	0.75
1636	NA	0.75	0.83	0.88	NA	NA	NA	NA	0.97
1637	NA	0.67	0.75	0.98	NA	NA	NA	NA	1.38
1638	NA	0.75	0.97	0.94	NA	NA	NA	NA	1.79
1639	NA	0.91	1.22	1.35	NA	NA	NA	NA	1.98
1640	NA	0.88	1	1.31	NA	NA	NA	NA	1.76
1641	NA	0.77	0.8	1.03	NA	NA	NA	NA	1.68
1642	2.4	1	0.95	1.23	NA	NA	NA	NA	1.6
1643	2.75	0.98	1	1.22	NA	NA	NA	NA	1.64
1644	2.01	0.8	1	1.17	NA	NA	NA	NA	1.4
1645	2.11	0.46	0.61	0.81	1.8	NA	NA	NA	1.16
1646	3.1	0.51	0.7	0.76	2.47	NA	NA	NA	2.1
1647	3.17	0.8	0.84	1	2.41	NA	NA	NA	2.44
1648	3.76	0.79	1	1.1	2.61	NA	NA	NA	1.99
1649	4.19	0.86	2.09	1.13	2.22	NA	NA	NA	2.04
1650	3.88	1.07	1.13	0.98	1.3	NA	NA	NA	1.7
1651	4.32	0.74	0.84	0.73	2.56	NA	NA	NA	1.62
1652	3.61	0.73	0.94	0.94	1.57	3.16	NA	NA	1.76
