# Miles - Deane Winthrop House, Winthrop - QUSP - ITRDB MA007
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4026
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4026.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma007-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma007-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma007.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma007.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2003-06-20
#--------------------
# File_Last_Modified_Date
#   Date: 2003-06-20
#--------------------
# Title
#   Study_Name: Miles - Deane Winthrop House, Winthrop - QUSP - ITRDB MA007
#--------------------
# Investigators
#   Investigators: Miles, D.W.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Deane Winthrop House, Winthrop
#   Location: Massachusetts
#   Northernmost_Latitude: 42.38
#   Southernmost_Latitude: 42.38
#   Easternmost_Longitude: -70.98
#   Westernmost_Longitude: -70.98
#   Elevation_m: 15
#--------------------
# Data_Collection
#   Collection_Name: MA007
#   First_Year: 1579
#   Last_Year: 1695
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## dwh1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh5_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh5; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## dwh13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: dwh13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	dwh1_raw	dwh2_raw	dwh4_raw	dwh5_raw	dwh6_raw	dwh11_raw	dwh12_raw	dwh13_raw
1579	NA	NA	NA	NA	2.5	NA	NA	NA
1580	NA	NA	NA	NA	2.85	NA	NA	NA
1581	NA	NA	NA	NA	2.36	NA	NA	NA
1582	NA	NA	NA	NA	1.37	NA	NA	NA
1583	NA	NA	2.86	NA	1.01	NA	NA	NA
1584	NA	NA	2.61	NA	1.11	NA	NA	NA
1585	NA	NA	2.72	NA	1.75	NA	NA	NA
1586	2.31	NA	2.72	NA	1.23	NA	NA	NA
1587	2.5	NA	2.55	NA	1.26	NA	NA	NA
1588	2.58	NA	4.42	NA	1.69	NA	NA	NA
1589	2.81	NA	3.15	NA	1.52	NA	NA	NA
1590	3.18	NA	2.52	NA	1.25	NA	NA	NA
1591	3	NA	2.59	NA	1.25	NA	NA	NA
1592	2.04	NA	1.59	NA	1.16	NA	NA	NA
1593	2.15	NA	2.08	2.34	2.26	NA	NA	NA
1594	2.56	NA	1.43	1.63	1.61	NA	NA	NA
1595	2.07	NA	1.09	1.29	0.98	NA	NA	NA
1596	1.7	NA	1.13	1.69	1.26	NA	NA	NA
1597	1.97	NA	1.13	1.47	1.47	NA	NA	NA
1598	1.98	NA	1.02	1.47	1.33	NA	NA	NA
1599	2.22	NA	0.88	1.43	1.16	NA	NA	NA
1600	2.08	NA	1.02	1.58	1.04	NA	2.72	NA
1601	1.72	NA	1.34	2.33	1.33	NA	2.51	NA
1602	1.92	NA	1.16	2.35	1.43	NA	3.46	NA
1603	1.36	NA	1.19	2.03	1.23	3.39	2.94	NA
1604	1.36	NA	1.01	2	1.19	2.02	2.34	NA
1605	1.19	NA	0.8	1.56	0.93	2.6	3.51	NA
1606	1.54	NA	0.93	1.97	0.93	3.53	3.12	NA
1607	1.64	NA	1.02	2.01	0.88	3.25	3.6	NA
1608	1.52	NA	1.04	2.06	1.01	2.19	2.58	NA
1609	1.27	NA	1.09	1.44	1.2	1.98	1.95	NA
1610	1.36	NA	1.13	1.4	0.9	1.43	2.02	NA
1611	1.31	NA	1.13	1.21	1.26	1.5	2.33	NA
1612	1.43	NA	1.17	1.46	1.05	1.13	1.96	NA
1613	1.24	NA	0.8	1.76	1.44	1.23	1.95	NA
1614	1.07	4.67	0.84	1.98	1.55	1.33	2	2.47
1615	1.25	4.46	0.98	1.85	1.29	2.23	2.26	3.24
1616	1.04	4.63	0.98	1.48	1.2	1.86	2.08	2.59
1617	1.29	4.31	1.08	1.93	1.58	1.51	1.51	2.55
1618	1.36	3.81	1.16	1.69	1.48	1.79	2.36	2.82
1619	1.32	4.41	0.93	1.79	1.54	1.62	1.74	2.73
1620	1.24	3.51	1.04	1.51	1.04	1.42	1.41	1.96
1621	1.39	2.69	0.84	1.29	0.9	1.75	1.93	2.82
1622	1.57	2.8	0.94	1.51	0.9	1.91	2.33	3.45
1623	1.21	3.02	1.2	1.44	1.11	2.95	2.58	3.33
1624	1.42	3.1	1.31	1.43	0.89	2.18	2.3	2.59
1625	0.92	2.23	1	1.27	0.83	2.1	1.95	2.22
1626	1.23	2.57	1.2	1.47	0.84	2.56	2.02	2.41
1627	1.04	2.56	1.3	1.36	0.8	2.91	3.34	3
1628	1.26	2.79	1.54	1.33	0.77	2.63	2.08	2.25
1629	1	2.59	1.7	1.27	0.87	2.54	2.82	2.38
1630	0.9	1.96	1.58	1.07	0.83	2.27	2.35	1.73
1631	1.52	1.52	1.43	1.17	0.73	2.65	2.5	2.09
1632	2.23	1.61	1.48	1.05	0.73	2.26	2.47	1.76
1633	1.83	1.74	1.46	0.87	0.76	2.77	2.69	2.02
1634	1.36	1.53	0.97	0.73	0.68	2.77	2.44	2.18
1635	1.12	1.33	0.7	0.91	0.51	1.68	1.97	1.54
1636	1.54	1.85	1.05	1	0.73	1.97	1.87	1.48
1637	1.35	2.55	0.77	1.12	0.74	2.05	2.5	1.95
1638	1.27	3.19	1.23	1.3	0.94	1.84	2.13	1.63
1639	1.33	2.51	1.01	1.1	0.7	1.7	1.98	1.78
1640	1.25	2.33	0.88	1.2	0.84	2.18	1.9	1.64
1641	1.23	2.77	1.09	1.3	0.98	2.36	2.54	2.06
1642	1.04	3	1.07	1.16	0.88	2.16	2.35	1.69
1643	1.01	2.63	1	1.22	0.88	1.86	2.59	1.36
1644	1.04	2.38	0.76	1.17	0.87	1.54	2.13	1.33
1645	0.97	1.8	0.82	1.08	0.72	1.05	1.61	0.72
1646	0.98	1.53	0.82	0.87	0.58	1.13	1.36	1.02
1647	0.83	1.4	0.79	0.77	0.62	1.27	1.66	0.94
1648	1.11	1.46	1	0.76	0.54	1.16	1.72	1.34
1649	1.07	1.31	1.02	0.8	0.45	1.36	1.66	1.86
1650	1.03	1.59	0.79	0.69	0.61	1.43	1.68	1.49
1651	0.86	1.34	0.77	0.65	0.45	1.17	1.37	1.66
