# Miles - Boston Mill Dam - QUSP - ITRDB MA005
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4023
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4023.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma005-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ma005-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ma005.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ma005.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-12
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-12
#--------------------
# Title
#   Study_Name: Miles - Boston Mill Dam - QUSP - ITRDB MA005
#--------------------
# Investigators
#   Investigators: Miles, D.W.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Boston Mill Dam
#   Location: Massachusetts
#   Northernmost_Latitude: 42.37
#   Southernmost_Latitude: 42.37
#   Easternmost_Longitude: -71.07
#   Westernmost_Longitude: -71.07
#   Elevation_m: 15
#--------------------
# Data_Collection
#   Collection_Name: MA005
#   First_Year: 1454
#   Last_Year: 1683
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## bmd1a1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: bmd1a1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## bmd1a2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: bmd1a2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## bmd1b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: bmd1b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## bmd1c_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: bmd1c; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## bmd1d_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: bmd1d; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## bmd1e_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: bmd1e; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	bmd1a1_raw	bmd1a2_raw	bmd1b_raw	bmd1c_raw	bmd1d_raw	bmd1e_raw
1454	NA	NA	2.67	NA	NA	NA
1455	NA	NA	1.46	2.02	NA	NA
1456	NA	NA	1.27	1.54	NA	NA
1457	NA	NA	2.44	1.97	NA	NA
1458	NA	NA	2.57	2.79	NA	NA
1459	NA	NA	4.07	2.52	NA	NA
1460	NA	NA	3.36	2.79	1.71	NA
1461	1.59	NA	2.65	2.1	1.65	NA
1462	1.41	NA	0.43	0.47	0.48	NA
1463	1.76	NA	0.36	0.4	0.7	NA
1464	2.33	NA	0.88	0.92	1.13	NA
1465	1.61	NA	0.98	0.91	1.27	NA
1466	1.4	NA	0.68	1.43	1.37	NA
1467	1.9	NA	1.63	1.5	1.4	NA
1468	2.34	NA	1.76	1.87	2.1	NA
1469	2.83	NA	1.55	2.94	1.77	NA
1470	2.81	NA	1.62	2.62	2.03	NA
1471	2.95	NA	1.55	3.32	2.33	NA
1472	2.59	NA	1.12	2.29	1.46	NA
1473	2.88	NA	1.3	2.05	1.35	NA
1474	3.27	NA	2.66	2.36	2.11	NA
1475	2.84	NA	1.37	2.64	1.75	NA
1476	2.4	NA	1.13	2.3	2.03	NA
1477	2.07	NA	1.67	1.95	2.25	NA
1478	2.68	NA	2.33	2	2	NA
1479	1.63	NA	1.21	1.58	1.59	NA
1480	1.27	NA	1.2	1.52	1.54	NA
1481	1.85	NA	2.25	1.28	1.88	NA
1482	1.86	NA	1.56	0.84	0.83	NA
1483	2.93	NA	2.66	1.45	1	NA
1484	2.35	NA	2	1.72	1.2	NA
1485	1.97	NA	1.72	1.45	1.09	NA
1486	2.43	NA	1.93	1.75	1.88	NA
1487	2.16	NA	2.39	1.68	2.5	NA
1488	2.27	NA	2.58	1.75	2.54	NA
1489	2.08	NA	2.4	1.99	2.63	NA
1490	2.02	NA	1.76	1.2	1.49	NA
1491	1.31	NA	1.19	0.87	1.29	NA
1492	2.3	NA	1.84	1.04	1.83	NA
1493	1.8	NA	2.1	1.37	1.54	NA
1494	1.13	NA	1.83	0.8	1.13	NA
1495	1.72	NA	2.84	0.93	1.45	NA
1496	2.38	NA	2.72	1.44	1.23	NA
1497	1.51	NA	1.27	0.91	0.95	NA
1498	2.19	NA	1.95	1.04	1.13	NA
1499	2.8	NA	2.11	1.11	1.03	NA
1500	1.94	NA	1.62	1.79	1.13	NA
1501	1.6	NA	1.88	1.59	1.22	NA
1502	1.2	NA	1.01	0.8	0.84	NA
1503	1.82	NA	1.48	1.12	1.29	NA
1504	2.09	NA	1.25	1.2	1.25	NA
1505	1.82	NA	1.29	1.11	1.16	NA
1506	0.87	NA	0.69	0.77	0.75	NA
1507	1.59	NA	1.52	1.43	1	NA
1508	1.32	NA	1.2	1.67	1.29	NA
1509	1.25	NA	1.25	1.31	1.04	NA
1510	1.8	NA	1.61	1.8	1.55	NA
1511	1.7	NA	1.69	1.48	1.37	NA
1512	1.34	NA	1.27	1.31	1.46	NA
1513	2.02	NA	1.9	1.56	1.79	NA
1514	1.76	NA	1.3	1.41	1.66	NA
1515	1.72	NA	1.44	1.47	1.93	NA
1516	1.51	NA	1.31	1.16	1.22	NA
1517	1.38	NA	1.22	1.07	1.22	NA
1518	1.13	NA	1.15	1.05	0.98	NA
1519	1.52	NA	1.62	1.34	1.26	NA
1520	1.33	NA	1.37	1.34	1.2	NA
1521	1.11	NA	1.16	1.11	0.95	NA
1522	NA	1.39	1.25	1.27	1.11	NA
1523	NA	1.55	1.38	1.62	1.27	NA
1524	NA	1.23	1.23	1.2	1.17	NA
1525	NA	1.07	1.01	1	0.85	NA
1526	NA	1.33	1.07	1.44	1.04	NA
1527	NA	1.48	1.48	1.46	1.1	NA
1528	NA	1.42	1.54	1.44	1.05	NA
1529	NA	1.07	1.13	1.11	0.68	NA
1530	NA	1.15	1.15	1.05	0.55	NA
1531	NA	1	1.07	1.05	0.68	NA
1532	NA	1.07	1.01	1.01	0.79	NA
1533	NA	1.22	1.41	0.97	0.94	NA
1534	NA	1.1	1.04	0.93	0.9	NA
1535	NA	1.29	1.16	1.23	1.11	NA
1536	NA	1.04	1.11	0.87	1.09	NA
1537	NA	0.82	0.88	0.81	0.9	NA
1538	NA	1.38	1.57	1.3	1.34	NA
1539	NA	1.16	1.07	1.05	1.01	NA
1540	NA	1.59	1.44	1.9	1.65	NA
1541	NA	1.62	1.57	1.79	1.67	NA
1542	NA	1.31	1.13	1.25	1.15	NA
1543	NA	1.67	1.46	1.44	1.55	NA
1544	NA	1.35	1.21	1.11	1.19	NA
