# Grissino-Mayer - Archinto Viola - PCAB - ITRDB BRIT051
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3424
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3424.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit051-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit051-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit051.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit051.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2003-01-27
#--------------------
# File_Last_Modified_Date
#   Date: 2003-01-27
#--------------------
# Title
#   Study_Name: Grissino-Mayer - Archinto Viola - PCAB - ITRDB BRIT051
#--------------------
# Investigators
#   Investigators: Grissino-Mayer, H.D.; Sheppard, P.R.; Cleaveland, M.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Archinto Viola
#   Location: United Kingdom
#   Northernmost_Latitude: 51.52
#   Southernmost_Latitude: 51.52
#   Easternmost_Longitude: -0.17
#   Westernmost_Longitude: -0.17
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: BRIT051
#   First_Year: 1527
#   Last_Year: 1685
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## harchta_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: harchta; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## harchtb_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: harchtb; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## harchbb_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: harchbb; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## harchbc_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: harchbc; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	harchta_raw	harchtb_raw	harchbb_raw	harchbc_raw
1527	NA	NA	1.21	1.19
1528	NA	NA	1.352	1.344
1529	NA	NA	1.128	1.096
1530	NA	NA	1.268	1.276
1531	1.81	1.736	1.57	1.586
1532	1.61	1.762	1.554	1.572
1533	1.428	1.442	1.404	1.458
1534	1.612	1.62	1.846	1.888
1535	1.71	1.678	1.58	1.638
1536	1.678	1.628	1.596	1.488
1537	1.562	1.526	1.574	1.44
1538	1.324	1.43	1.386	1.492
1539	1.312	1.26	1.162	1.248
1540	1.41	1.35	1.362	1.32
1541	1.216	1.248	1.264	1.358
1542	1.182	1.234	1.304	1.134
1543	1.044	1.06	1.05	1.11
1544	1.13	1.14	1.164	1.208
1545	1.2	1.266	1.212	1.184
1546	1.232	1.184	1.198	1.19
1547	1.188	1.224	0.94	0.93
1548	1.086	1.164	0.936	0.974
1549	1.102	0.962	0.966	0.93
1550	1.334	1.382	1.196	1.22
1551	1.334	1.384	1.158	1.196
1552	1.442	1.396	1.182	1.096
1553	1.29	1.302	0.874	0.95
1554	1.348	1.3	0.942	0.904
1555	1.334	1.318	0.97	0.982
1556	1.196	1.26	0.91	0.886
1557	1.096	1.13	0.662	0.748
1558	1.146	1.054	0.824	0.798
1559	1.12	1.152	1.02	0.984
1560	1.24	1.162	1.006	1.018
1561	1.074	1.12	0.988	1.002
1562	1.122	1.134	1.034	1.054
1563	1.048	1.026	0.994	1.004
1564	0.898	0.886	0.842	0.806
1565	0.962	0.966	0.846	0.872
1566	0.934	0.936	0.766	0.782
1567	0.738	0.732	0.726	0.726
1568	0.822	0.83	0.85	0.786
1569	0.974	1.01	0.952	0.994
1570	0.776	0.77	0.84	0.82
1571	0.782	0.87	0.884	0.902
1572	0.892	0.806	0.816	0.804
1573	0.99	0.97	0.876	0.87
1574	1.156	1.148	0.988	1.016
1575	1.07	1.086	0.974	0.926
1576	1.046	1.076	0.88	0.864
1577	1.012	1.002	0.834	0.85
1578	1.108	1.106	0.888	0.87
1579	1.06	1.08	0.754	0.756
1580	0.904	0.894	0.802	0.758
1581	1.006	0.934	0.83	0.83
1582	1.086	1.078	0.924	0.912
1583	0.836	0.918	0.652	0.652
1584	0.93	0.992	0.68	0.744
1585	0.896	0.898	0.768	0.698
1586	0.894	0.876	0.726	0.686
1587	0.852	0.826	0.632	0.632
1588	0.712	0.732	0.638	0.672
1589	0.768	0.734	0.644	0.654
1590	0.844	0.918	0.722	0.724
1591	0.776	0.746	0.71	0.76
1592	0.8	0.904	0.74	0.72
1593	0.994	0.852	0.924	0.906
1594	0.836	0.89	0.79	0.8
1595	0.972	0.942	0.808	0.79
1596	0.932	0.85	0.682	0.656
1597	1.04	1.084	0.756	0.776
1598	0.856	0.798	0.798	0.812
1599	1.078	1.028	0.86	0.864
1600	0.798	0.812	0.828	0.82
1601	0.68	0.714	0.696	0.666
1602	0.552	0.64	0.584	0.624
1603	0.69	0.804	0.946	1.014
1604	0.654	0.728	0.996	0.97
1605	0.652	0.708	0.8	0.81
1606	0.644	0.542	0.838	0.82
1607	0.674	0.716	0.84	0.782
1608	0.588	0.576	0.684	0.78
1609	0.628	0.638	0.694	0.694
1610	0.748	0.728	0.702	0.67
1611	0.6	0.712	0.658	0.692
1612	0.59	0.608	0.7	0.672
1613	0.512	0.532	0.554	0.574
1614	0.584	0.642	0.652	0.638
1615	0.596	0.722	0.674	0.692
1616	0.676	0.618	0.734	0.724
1617	0.488	0.592	0.582	0.596
1618	0.426	0.484	0.49	0.458
1619	0.476	0.482	0.466	0.466
1620	0.646	0.66	0.608	0.612
1621	0.612	0.666	0.566	0.528
1622	0.758	0.714	0.634	0.648
1623	0.726	0.682	0.666	0.67
1624	0.622	0.596	0.56	0.588
1625	0.496	0.432	0.47	0.46
1626	0.506	0.608	0.56	0.55
1627	0.516	0.438	0.47	0.462
1628	0.394	0.404	0.408	0.444
1629	0.522	0.506	0.554	0.516
1630	0.46	0.464	0.48	0.53
1631	0.514	0.51	0.578	0.548
1632	0.48	0.536	0.484	0.496
1633	0.63	0.66	0.556	0.538
1634	0.54	0.506	0.432	0.5
1635	0.48	0.478	0.522	0.49
1636	0.494	0.478	0.466	0.516
