# Hillam - Aydon Castle - QUSP - ITRDB BRIT030
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3489
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3489.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit030-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit030-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit030.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit030.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hillam - Aydon Castle - QUSP - ITRDB BRIT030
#--------------------
# Investigators
#   Investigators: Hillam, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Aydon Castle
#   Location: United Kingdom
#   Northernmost_Latitude: 55.0
#   Southernmost_Latitude: 55.0
#   Easternmost_Longitude: -2.0
#   Westernmost_Longitude: -2.0
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: BRIT030
#   First_Year: 1424
#   Last_Year: 1543
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## AC01.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC01.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC02.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC02.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC03.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC03.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC04.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC04.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC07.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC07.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC08.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC08.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC09.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC09.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC10.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC10.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## AC56.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: AC56.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	AC01.D_raw	AC02.D_raw	AC03.D_raw	AC04.D_raw	AC07.D_raw	AC08.D_raw	AC09.D_raw	AC10.D_raw	AC56.D_raw
1424	NA	NA	NA	NA	NA	NA	NA	NA	1.86
1425	NA	NA	NA	NA	NA	NA	NA	NA	1.81
1426	NA	NA	NA	NA	NA	0.76	NA	NA	1.03
1427	NA	NA	NA	NA	NA	0.94	NA	NA	0.98
1428	NA	NA	NA	NA	NA	1.34	NA	NA	1.36
1429	NA	NA	NA	3.95	NA	1.51	NA	NA	2.22
1430	NA	NA	NA	3.38	NA	1.22	NA	NA	1.61
1431	NA	NA	NA	3.4	NA	1.16	NA	NA	1.33
1432	NA	NA	NA	3.53	NA	1.33	NA	NA	1.75
1433	NA	NA	NA	2.32	NA	0.89	NA	NA	1.31
1434	NA	NA	NA	2.54	NA	0.98	NA	NA	1.75
1435	NA	NA	NA	2.37	NA	0.72	NA	NA	1.58
1436	NA	NA	NA	2.17	NA	1.01	NA	NA	1.88
1437	NA	NA	NA	1.78	NA	1.05	NA	NA	1.29
1438	NA	NA	NA	1.46	NA	0.83	1.72	NA	1.42
1439	NA	NA	NA	1.12	NA	0.63	1.13	NA	1.19
1440	NA	NA	NA	1.47	NA	0.87	1.22	NA	0.96
1441	NA	NA	NA	1.77	NA	0.89	1.49	NA	1.02
1442	NA	NA	NA	1.58	NA	0.73	1.14	NA	1.07
1443	NA	NA	NA	2.08	NA	1.03	1.53	NA	1.15
1444	NA	NA	NA	2.12	NA	1.21	1.77	NA	1.59
1445	NA	NA	NA	1.68	NA	1.07	1.39	2.69	1.52
1446	NA	NA	NA	1.2	NA	0.78	1.06	1.74	1.3
1447	NA	NA	NA	1.38	NA	0.78	0.88	2.37	1.2
1448	NA	NA	NA	1.34	NA	0.66	0.88	1.49	1.27
1449	NA	NA	NA	1.26	NA	0.79	1.24	2.1	1.65
1450	NA	NA	NA	1.13	NA	0.73	0.9	1.84	1.08
1451	NA	NA	NA	1.3	NA	1.14	1.3	2.01	1.38
1452	NA	NA	NA	1.58	NA	0.99	1.53	2.66	1.64
1453	NA	NA	NA	1.42	NA	0.99	1.43	2.36	1.49
1454	NA	NA	NA	1.82	NA	0.9	1.65	2.51	1.4
1455	NA	NA	NA	1.12	NA	0.67	1.05	1.86	1.11
1456	NA	NA	NA	1.45	NA	0.96	1.5	2.15	1.61
1457	NA	NA	NA	1.32	NA	0.9	1.37	1.71	1.4
1458	NA	1.38	NA	1.14	NA	0.71	1.41	1.31	1.14
1459	1.73	1.12	NA	1.16	NA	0.85	1.56	1.45	1.29
1460	1.54	1.06	NA	1.22	NA	0.61	1.57	1.24	1.3
1461	1.97	1.32	NA	0.97	NA	0.83	1.23	1.09	1.5
1462	1.62	1.03	NA	1.02	1.57	0.7	1.51	1.31	1.44
1463	1.42	0.94	NA	0.63	1.79	0.56	1.09	1.26	1.46
1464	1.78	1.14	NA	0.73	1.65	0.8	1.15	1.03	1.43
1465	1.69	1.14	NA	1.03	1.65	0.62	1.31	1.27	1.26
1466	1.92	1.4	NA	1	2.29	0.51	1.57	1.13	2.05
1467	2.18	1.64	NA	1.29	1.99	0.95	1.63	2.04	1.76
1468	2	1.98	NA	1.4	2.37	1.12	1.44	1.61	1.88
1469	1.72	1.74	NA	0.99	1.41	0.71	1.04	1.16	1.07
1470	1.7	1.5	NA	0.88	1.41	1	1.35	1.11	1.27
1471	1.36	1.19	NA	0.74	1.35	1.21	1.24	1.04	1.44
1472	1.05	0.84	NA	0.64	0.9	0.93	0.89	0.8	0.71
1473	0.94	0.94	NA	0.71	1.15	0.82	1.12	0.92	0.61
1474	0.84	0.56	NA	0.94	0.95	0.59	0.55	0.77	0.38
1475	1.69	1.62	NA	1.08	1.94	0.87	1.38	1.43	0.74
1476	2.07	2.07	NA	0.92	1.99	1.19	1.5	1.28	1.18
1477	2.25	1.91	NA	0.99	1.86	1.47	1.59	1.88	1.19
1478	1.87	1.71	NA	0.88	1.83	1.28	1.33	1.47	1.11
1479	2.65	2.08	NA	0.67	1.78	1.2	1.37	1.22	1.43
1480	2.06	1.79	NA	0.83	1.59	0.85	0.97	1.45	1.1
1481	2.36	2.13	NA	1	2	1.28	1	1.45	1.04
1482	1.74	1.79	NA	0.91	1.9	1.39	0.84	1.3	1.14
1483	1.5	1.64	NA	0.72	1.72	1.26	0.91	1.6	1.33
1484	1.9	2	NA	0.63	1.79	0.95	0.96	1.71	1.41
1485	1.93	2.04	NA	0.4	2.1	0.74	0.69	1.57	1.53
1486	2.58	2.08	1.37	0.48	1.56	0.95	0.83	1.79	1.73
1487	3.36	2.45	1.62	0.63	2.34	1.44	0.86	2.18	2.59
1488	2.37	1.69	2.19	0.5	1.68	1.1	0.73	1.61	1.94
1489	2.32	1.42	1.97	0.44	1.73	1.42	0.68	1.67	1.83
1490	2.05	1.58	1.56	0.54	1.96	1.51	0.49	2.13	1.92
1491	1.94	1.17	1.63	0.56	1.64	1.14	0.58	1.67	1.58
1492	1.76	1.67	2.08	0.66	1.76	1.38	0.58	2.15	2.01
1493	1.42	1.27	1.6	0.54	1.69	1.18	0.63	1.41	1.87
