# Arnold - Church of St Mary Stockport - QUSP - ITRDB BRIT092
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/28329
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-28329.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit092-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit092-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit092.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit092.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-11-01
#--------------------
# File_Last_Modified_Date
#   Date: 2019-11-01
#--------------------
# Title
#   Study_Name: Arnold - Church of St Mary Stockport - QUSP - ITRDB BRIT092
#--------------------
# Investigators
#   Investigators: Arnold, A.J.; Howard, R.E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2020-03-09.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Historic England
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Church of St Mary Stockport
#   Location: United Kingdom
#   Northernmost_Latitude: 53.411228
#   Southernmost_Latitude: 53.411228
#   Easternmost_Longitude: -2.155242
#   Westernmost_Longitude: -2.155242
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: BRIT092
#   First_Year: 1019
#   Last_Year: 1133
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## STKC08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STKC08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STKC08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STKC08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STKC09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STKC09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STKC09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STKC09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STKC10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STKC10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STKC10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STKC10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	STKC08A_raw	STKC08B_raw	STKC09A_raw	STKC09B_raw	STKC10A_raw	STKC10B_raw
1019	1.54	1.55	NA	NA	NA	NA
1020	1.9	1.84	NA	NA	NA	NA
1021	1.85	1.83	NA	NA	NA	NA
1022	2.45	2.52	NA	NA	NA	NA
1023	2.72	2.73	NA	NA	NA	NA
1024	2.05	1.97	NA	NA	NA	NA
1025	1.84	1.88	NA	NA	NA	NA
1026	1.98	2.07	NA	NA	NA	NA
1027	1.88	1.89	NA	NA	NA	NA
1028	2.21	2.13	NA	NA	NA	NA
1029	2.03	1.96	NA	NA	NA	NA
1030	2.45	2.54	NA	NA	NA	NA
1031	2.03	2.02	NA	NA	NA	NA
1032	2	1.92	NA	NA	NA	NA
1033	2.05	2.05	NA	NA	NA	NA
1034	2.15	2.04	NA	NA	NA	NA
1035	2.25	2.3	NA	NA	NA	NA
1036	1.5	1.57	NA	NA	NA	NA
1037	2.05	2.14	NA	NA	NA	NA
1038	1.97	1.87	NA	NA	NA	NA
1039	1.31	1.36	1.62	1.62	NA	NA
1040	1.61	1.49	1.77	1.76	NA	NA
1041	1.52	1.59	1.66	1.66	NA	NA
1042	1.81	1.79	2.16	2.16	NA	NA
1043	1.67	1.63	2.01	2	NA	NA
1044	1.64	1.43	1.71	1.74	NA	NA
1045	2.09	2.06	2.36	2.34	NA	NA
1046	1.78	1.74	1.45	1.47	NA	NA
1047	1.99	2.05	1.76	1.73	NA	NA
1048	1.83	1.99	2.01	1.99	NA	NA
1049	2.24	2.28	1.77	1.83	2.14	2.06
1050	1.88	1.8	1.72	1.75	1.53	1.57
1051	2.13	1.95	1.85	1.89	1.46	1.48
1052	1.91	1.77	2.18	2.12	1.84	1.84
1053	1.88	2.03	1.96	1.99	1.7	1.72
1054	1.6	1.62	1.54	1.55	1.24	1.2
1055	1.76	1.89	1.82	1.83	1.47	1.45
1056	1.78	1.76	1.68	1.66	1.48	1.48
1057	1.82	1.76	1.68	1.63	1.7	1.69
1058	2.04	2.31	1.41	1.47	1.54	1.55
1059	2.09	2.08	1.41	1.44	1.41	1.41
1060	1.57	1.7	1.46	1.5	1.97	1.96
1061	1.47	1.49	1.48	1.43	1.65	1.63
1062	1.49	1.46	1.71	1.74	1.55	1.62
1063	1.49	1.56	2.21	2.31	1.8	1.76
1064	1.44	1.45	1.53	1.46	1.52	1.5
1065	0.96	1.06	1	1.06	1.16	1.15
1066	1.35	1.15	1.35	1.32	1.56	1.6
1067	1.47	1.58	1.43	1.39	1.83	1.77
1068	1.71	1.61	1.22	1.3	1.72	1.73
1069	1.49	1.54	1.12	1.11	1.72	1.75
1070	1.39	1.48	1.05	1.08	1.72	1.73
1071	1.57	1.63	1.01	0.95	1.67	1.67
1072	1.59	1.72	1.05	1.16	1.76	1.77
1073	1.3	1.25	0.8	0.73	1.28	1.26
1074	1.72	1.8	1.03	1.08	1.63	1.64
1075	2	2.02	1.33	1.35	1.77	1.75
1076	3.25	3.3	1.55	1.59	2.07	2.35
1077	2.4	2.45	1.28	1.23	1.66	1.59
1078	2.24	2.06	1.28	1.35	1.66	1.61
1079	1.95	2.02	1.33	1.39	1.61	1.68
1080	1.71	1.75	1.26	1.21	1.61	1.59
1081	1	1.12	0.85	0.86	0.88	0.96
1082	1.72	1.69	1.85	1.77	1.81	1.83
1083	1.33	1.39	1.35	1.33	1.38	1.39
1084	1.12	0.96	1.14	1.19	1.15	1.14
1085	1.36	1.37	1.62	1.65	1.63	1.69
1086	1.3	1.37	1.62	1.73	1.49	1.48
1087	1.06	1.04	1.41	1.47	1.26	1.24
1088	1.47	1.42	2.15	2.11	1.4	1.3
1089	NA	NA	1.84	1.92	1.31	1.36
1090	NA	NA	1.48	1.47	0.87	0.9
1091	NA	NA	1.72	1.64	0.95	0.9
1092	NA	NA	1.63	1.58	0.88	0.9
1093	NA	NA	2.29	2.18	1.33	1.34
1094	NA	NA	1.58	1.64	1.22	1.29
1095	NA	NA	1.96	1.95	1.62	1.62
1096	NA	NA	1.46	1.38	1.26	1.21
1097	NA	NA	1.51	1.54	1.51	1.5
1098	NA	NA	1.48	1.49	1.32	1.3
1099	NA	NA	1.76	1.69	1.5	1.46
1100	NA	NA	1.58	1.66	1.31	1.42
1101	NA	NA	1.16	1.15	1.08	1.03
1102	NA	NA	1.22	1.21	1.28	1.36
1103	NA	NA	1.86	1.82	1.77	1.65
1104	NA	NA	1.41	1.45	1.41	1.42
1105	NA	NA	1.43	1.35	1.3	1.31
1106	NA	NA	1.23	1.38	1.24	1.23
1107	NA	NA	1.46	1.37	1.44	1.41
1108	NA	NA	1.57	1.48	1.67	1.68
1109	NA	NA	1.76	1.76	1.58	1.58
1110	NA	NA	NA	NA	1.05	1.18
1111	NA	NA	NA	NA	1.06	1
1112	NA	NA	NA	NA	1.3	1.2
1113	NA	NA	NA	NA	1.37	1.3
