# Jansma - Maastricht Onze Lieve Vrouwen Church - QUSP - ITRDB NETH018
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3632
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3632.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth018-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth018-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth018.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth018.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Jansma - Maastricht Onze Lieve Vrouwen Church - QUSP - ITRDB NETH018
#--------------------
# Investigators
#   Investigators: Jansma, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Maastricht Onze Lieve Vrouwen Church
#   Location: Netherlands
#   Northernmost_Latitude: 50.85
#   Southernmost_Latitude: 50.85
#   Easternmost_Longitude: 5.68
#   Westernmost_Longitude: 5.68
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH018
#   First_Year: 1223
#   Last_Year: 1351
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## OLV221_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV221; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV231_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV231; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV241_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV241; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV261_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV261; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV271_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV271; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV291_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV291; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV301_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV301; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV311_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV311; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OLV321_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OLV321; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	OLV221_raw	OLV231_raw	OLV241_raw	OLV261_raw	OLV271_raw	OLV291_raw	OLV301_raw	OLV311_raw	OLV321_raw
1223	NA	NA	NA	2.6	NA	NA	NA	NA	NA
1224	NA	NA	NA	1.79	NA	NA	NA	NA	NA
1225	NA	NA	NA	2.23	NA	NA	NA	NA	NA
1226	NA	NA	NA	1.58	NA	NA	NA	NA	NA
1227	NA	NA	NA	1.3	NA	NA	NA	NA	NA
1228	NA	NA	NA	1.02	NA	NA	NA	NA	NA
1229	NA	NA	NA	1.88	NA	NA	NA	NA	NA
1230	NA	NA	NA	1.62	NA	NA	NA	NA	NA
1231	NA	NA	NA	1.65	NA	NA	NA	NA	NA
1232	NA	NA	NA	1.84	NA	NA	NA	NA	NA
1233	NA	NA	NA	1.72	NA	NA	NA	NA	NA
1234	2.36	NA	NA	1.09	NA	NA	NA	NA	NA
1235	2.88	NA	NA	0.94	NA	NA	NA	NA	NA
1236	2.65	NA	NA	1.09	NA	NA	NA	NA	NA
1237	2.76	NA	NA	1.98	NA	NA	NA	NA	NA
1238	2.03	NA	NA	2.62	NA	NA	NA	NA	NA
1239	2.57	NA	NA	3.13	NA	NA	NA	NA	NA
1240	2.81	NA	NA	3.42	NA	NA	NA	NA	NA
1241	2.78	NA	NA	3.71	NA	NA	NA	NA	NA
1242	3.44	NA	NA	3.99	NA	NA	NA	NA	NA
1243	4.73	NA	NA	4.71	NA	NA	NA	NA	NA
1244	3.59	NA	NA	4.47	NA	5.99	NA	NA	NA
1245	2.85	NA	NA	3.5	NA	4.67	NA	NA	NA
1246	2.78	NA	NA	3.79	NA	4.37	1.6	NA	NA
1247	2.8	NA	NA	3.42	NA	3.9	2	NA	NA
1248	2.73	2.43	NA	2.91	NA	3.21	2.22	NA	NA
1249	3.21	2.36	NA	3.05	NA	3.93	2.05	NA	NA
1250	2.91	2.27	NA	2.92	NA	3.18	2.25	NA	NA
1251	3.09	2.98	NA	2.86	NA	3.47	1.95	NA	NA
1252	1.83	1.74	NA	2.35	NA	1.82	1.22	4.03	NA
1253	1.99	2.4	NA	2.56	NA	2.39	1.68	3.78	NA
1254	1.53	1.86	NA	2.34	NA	2.35	1.96	2.8	NA
1255	1.58	1.47	NA	2.58	NA	3.37	2.67	4.03	NA
1256	1.48	1.1	NA	2.45	NA	3.22	2.87	3.29	NA
1257	1.67	0.95	NA	2.26	NA	3.7	2.01	2.9	NA
1258	1.4	1.07	NA	1.72	NA	3.01	1.98	2.19	NA
1259	1.8	1.79	NA	1.79	NA	3.61	1.94	2.91	NA
1260	2.23	3.13	NA	3.06	NA	5.05	2.65	3.37	NA
1261	2.01	2.3	NA	2.45	NA	4.02	2.36	2.64	NA
1262	3.14	3.25	NA	2.71	NA	4.36	2.04	3.78	NA
1263	2.74	2.56	NA	2.35	NA	3.11	2.12	2.99	NA
1264	3.66	3.07	NA	3.65	NA	3.55	3.13	3.29	NA
1265	3.09	2.35	NA	3.31	NA	3.5	2.53	3.29	NA
1266	3.33	2.84	NA	3.35	NA	3.75	2.23	4.32	NA
1267	3.34	3.9	NA	2.39	NA	3.02	1.89	3.37	NA
1268	2.07	1.81	NA	2.54	NA	2.95	2.05	2.05	NA
1269	2.7	1.34	NA	2.11	NA	3.25	2.23	2.6	NA
1270	2.19	1.9	NA	1.12	NA	2.22	1.85	0.85	NA
1271	2.72	2.62	NA	1.99	NA	3.38	2.77	2.69	2.12
1272	1.99	2.48	NA	1.93	NA	2.39	2.31	2.3	2.69
1273	1.57	3.69	NA	2.57	NA	2.84	2.68	2.77	3.19
1274	1.46	2.09	NA	2.15	NA	2.31	2.54	2.27	1.93
1275	1.22	1.87	NA	2.12	3.91	2.24	2.99	1.67	1.92
1276	1.05	1.69	NA	1.84	3.77	1.94	2.05	2.4	1.85
1277	0.95	2.01	NA	2.21	4.14	2.39	2.46	2.04	2.53
1278	0.91	1.16	NA	1.74	2.27	1.58	2.11	1.98	1.58
1279	0.86	1.76	NA	2.28	3.37	2.51	2.39	3.12	1.17
1280	0.88	1.76	NA	2.43	3.15	3.16	2.77	2.38	1.84
1281	0.78	1.25	NA	1.73	3	2.67	2.08	2.29	1.67
1282	0.89	1.59	NA	2.08	3.61	3.74	1.93	2.54	1.94
1283	1.08	1.93	2.74	2.24	4.03	2.83	2.01	1.85	1.86
1284	1.07	1.71	2.61	1.98	3.15	2.13	1.79	1.61	1.68
1285	1.42	1.65	2.6	1.71	3.7	2.33	1.99	1.36	1.77
1286	1.83	2.21	2.78	2.58	4.27	3.59	2.41	2.17	3.05
1287	1.26	1.78	2.55	1.72	3.07	2.67	1.84	1.34	1.84
1288	1.68	1.98	2.16	2.25	3.72	3.94	2.05	1.61	2.26
1289	1.84	2.24	2.66	2.65	4.25	4.38	2.16	1.95	2.9
1290	2.24	2.36	2.72	2.53	4.08	4.95	2.09	1.86	2.3
1291	2.14	3.03	2.94	2.39	3.49	4.59	2.05	1.78	2.35
1292	2.11	2.27	2.53	2.29	3.54	5.5	1.98	1.82	3.06
1293	2.48	2.39	2.15	1.59	2.86	4.12	2.26	1.21	1.36
1294	2.27	2.14	1.93	1.79	2.9	3.22	1.97	1.6	1.19
