# Jansma - Kerkrade Abbey Rolduc Roof Timbers - QUSP - ITRDB NETH014
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3630
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3630.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth014-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth014-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth014.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth014.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Jansma - Kerkrade Abbey Rolduc Roof Timbers - QUSP - ITRDB NETH014
#--------------------
# Investigators
#   Investigators: Jansma, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Kerkrade Abbey Rolduc Roof Timbers
#   Location: Netherlands
#   Northernmost_Latitude: 50.87
#   Southernmost_Latitude: 50.87
#   Easternmost_Longitude: 6.07
#   Westernmost_Longitude: 6.07
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH014
#   First_Year: 1484
#   Last_Year: 1586
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## kar011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## kar081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: kar081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	kar011_raw	kar021_raw	kar031_raw	kar041_raw	kar051_raw	kar061_raw	kar071_raw	kar081_raw
1484	4.53	NA	NA	NA	NA	NA	NA	NA
1485	3.51	NA	NA	NA	NA	NA	NA	NA
1486	3.34	NA	NA	NA	NA	NA	NA	NA
1487	4.36	NA	NA	NA	NA	NA	NA	NA
1488	2.54	4	NA	NA	NA	NA	NA	NA
1489	3.76	3.85	NA	NA	NA	NA	NA	NA
1490	2.73	3.84	NA	NA	NA	NA	NA	NA
1491	1.48	2.26	NA	NA	NA	NA	NA	NA
1492	1.34	2.27	NA	NA	NA	NA	NA	NA
1493	2.5	3.27	NA	NA	NA	NA	NA	NA
1494	2.86	3.43	NA	NA	NA	NA	NA	NA
1495	2.68	2.82	NA	NA	NA	NA	NA	NA
1496	3.84	3.81	NA	NA	NA	NA	NA	NA
1497	3.59	3.82	NA	NA	NA	NA	NA	NA
1498	2.3	3.11	NA	NA	NA	NA	NA	NA
1499	2.3	3.77	NA	NA	NA	NA	NA	NA
1500	1.64	2.42	NA	NA	NA	NA	NA	NA
1501	1.94	2.96	NA	NA	NA	NA	NA	NA
1502	2.56	4.01	3.97	NA	NA	NA	NA	NA
1503	2.2	3.09	3.08	NA	NA	NA	NA	NA
1504	3.7	3.29	3.99	NA	NA	NA	NA	NA
1505	4	2.87	3.7	NA	NA	NA	NA	NA
1506	2.25	3.19	3.19	NA	NA	NA	NA	NA
1507	2.75	2.61	3.63	NA	3.48	NA	NA	NA
1508	2.81	2.45	3.27	NA	4.39	NA	NA	NA
1509	3.43	2.68	4.06	NA	4.07	NA	NA	NA
1510	3.55	2.2	4.23	NA	3.78	NA	NA	NA
1511	2.56	2.57	3.99	NA	4.24	NA	NA	NA
1512	2.52	2.46	4.77	NA	3.8	NA	NA	NA
1513	2.29	2.32	4.35	NA	3.31	NA	NA	NA
1514	3.07	2.31	3.92	NA	3.82	NA	NA	NA
1515	3.26	2.5	4.24	NA	3.5	NA	NA	NA
1516	2.31	2.8	3.59	NA	3.77	NA	NA	NA
1517	1.65	1.35	4.64	NA	2.13	NA	NA	NA
1518	1.92	1.82	3.39	NA	1.89	4.01	NA	NA
1519	1.71	1.56	2.79	NA	1.55	2.87	3.32	NA
1520	1.51	1.3	2.02	NA	1.31	2.39	2.25	NA
1521	1.89	1.4	3.23	NA	1.85	3.05	3.22	NA
1522	2.33	1.95	2.37	NA	2.22	2.13	3.73	NA
1523	2.24	1.5	2.92	NA	2.28	2.59	4.11	NA
1524	1.97	2.39	2.01	NA	3.37	1.97	5.38	NA
1525	1.91	1.27	2.28	NA	2.17	1.29	3.74	NA
1526	2.54	1.7	2.52	NA	2.21	2.83	4.35	NA
1527	2.2	1.66	2.43	NA	2.28	2.11	3.7	NA
1528	2.4	1.77	3.06	NA	2.45	2.49	3.92	NA
1529	2	1.4	2.35	NA	2.31	2.15	3.74	NA
1530	1.75	1.33	1.74	NA	1.95	1.54	3.22	NA
1531	1.78	1.45	2.32	1.74	2.31	1.98	3.55	NA
1532	2	1.21	2.15	1.89	2.46	1.59	3.73	NA
1533	2.81	1.59	2.52	2.3	2.73	1.44	3.53	NA
1534	1.85	1.45	2.29	1.99	2.1	1.04	2.92	NA
1535	2.12	1.49	2.55	1.88	1.87	1.27	2.9	NA
1536	1.92	0.97	2.02	1.2	1.62	0.81	2.65	NA
1537	2.37	1.49	2.1	1.92	1.91	1.08	2.77	NA
1538	1.36	1.06	1.64	1.28	1.35	0.63	2.18	3.22
1539	2.14	1.36	1.92	1.82	1.95	1.25	2.83	3.28
1540	1.41	1.17	1.61	1.28	1.48	1.27	2.17	3.47
1541	1.61	1.14	2.02	0.91	1.62	0.94	2.13	3.68
1542	1.58	1.12	1.89	1.11	1	0.87	1.55	2.69
1543	1.44	2.09	1.42	1.84	1.68	0.83	1.99	2.58
1544	1.57	2.55	2.15	2.19	2.09	0.86	2.39	3.43
1545	1.71	2.75	2.32	2.37	1.76	1.23	1.99	3.35
1546	1.71	2.79	1.99	2.16	1.53	0.87	1.86	2.44
1547	1.42	2.23	1.87	2.15	1.21	0.76	1.68	2.48
1548	1.77	2.64	2.15	1.92	1.25	0.87	2.34	2.58
1549	1.11	1.38	1.84	1.56	1.07	1.07	1.49	2.65
1550	1.13	1.45	1.35	1.37	0.91	0.87	1.44	1.72
1551	1.09	2.22	1.37	2.9	1.03	1.37	1.72	3.58
1552	0.99	1.68	1.26	2.37	1.07	1.35	1.86	4.22
1553	1.11	2.03	1.44	2.17	1.41	1.2	1.89	3.05
1554	1.13	1.38	1.68	1.33	0.8	0.86	1.38	2.07
1555	1.05	1.64	1.47	1.68	1.05	0.95	1.48	2.92
1556	0.45	1.18	0.81	0.87	0.7	0.73	1.2	1.94
1557	1.06	1.17	1.35	1.28	1.12	1.15	1.42	2.2
1558	1.29	2.46	1.6	2.98	1.21	0.79	1.51	3.1
1559	1.51	1.91	1.48	2.2	1.28	1.06	1.4	2.55
1560	1.34	2.43	1.8	2.22	1.51	1.06	1.98	3.71
1561	1.07	1.97	1.49	1.71	1.3	0.9	2.39	3.53
1562	1.16	2.22	1.79	2.22	1.57	2.18	2.69	3.99
1563	1.12	1.9	1.5	1.67	1.3	0.92	2.5	3.74
1564	1.09	2.02	1.43	1.53	1.8	1.21	2.87	3.56
1565	1.15	1.85	1.06	1.65	1.12	0.78	2.25	2.38
1566	0.74	2.4	1.09	2.21	0.61	1.08	1.42	2.99
1567	1.03	1.7	1.08	1.4	0.81	0.71	1.68	2.02
