# Jansma - Hoorn Bruyntje Complex Foundation Timbers - QUSP - ITRDB NETH008
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3629
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3629.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth008-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth008-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth008.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth008.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Jansma - Hoorn Bruyntje Complex Foundation Timbers - QUSP - ITRDB NETH008
#--------------------
# Investigators
#   Investigators: Jansma, E.; Spoor, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Hoorn Bruyntje Complex Foundation Timbers
#   Location: Netherlands
#   Northernmost_Latitude: 53.4
#   Southernmost_Latitude: 53.4
#   Easternmost_Longitude: 5.35
#   Westernmost_Longitude: 5.35
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH008
#   First_Year: 1175
#   Last_Year: 1398
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HBR021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR023_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR023; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR072_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR082_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR082; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR093_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR093; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HBR121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HBR121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HBR021_raw	HBR023_raw	HBR051_raw	HBR052_raw	HBR071_raw	HBR072_raw	HBR081_raw	HBR082_raw	HBR091_raw	HBR093_raw	HBR121_raw
1175	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1176	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1177	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1178	0.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1179	1.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1180	1.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1181	1.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1182	1.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1183	2.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1184	2.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1185	2.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1186	1.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1187	1.37	NA	NA	NA	1.91	NA	NA	NA	NA	NA	3.2
1188	1.05	NA	NA	NA	0.46	NA	NA	NA	NA	NA	2.2
1189	0.93	NA	NA	NA	0.27	NA	NA	NA	NA	NA	2.53
1190	1.94	NA	NA	NA	0.9	NA	NA	NA	NA	NA	4.75
1191	1.96	NA	NA	NA	0.69	1.15	NA	NA	NA	NA	6.24
1192	2.05	NA	NA	NA	1.02	0.86	NA	NA	NA	NA	5.16
1193	2.92	4.4	NA	NA	1.22	1.47	NA	NA	NA	NA	4.86
1194	2.3	4.76	NA	NA	1.44	1.29	NA	NA	NA	NA	5.55
1195	2.8	4.61	NA	NA	1.91	1.81	NA	NA	NA	NA	4.52
1196	2.68	5.77	NA	NA	1.94	2.62	NA	NA	NA	NA	6.2
1197	2.42	4.13	NA	NA	2.72	2.4	NA	NA	NA	NA	3.9
1198	2.04	3.79	NA	NA	2.3	2.41	NA	NA	NA	NA	3.61
1199	2.54	3.45	NA	NA	1.82	2.41	NA	NA	NA	NA	3.88
1200	2.64	3.52	NA	NA	1.13	1.08	NA	NA	NA	NA	4.27
1201	2.83	4.05	NA	NA	2.58	2.73	NA	NA	NA	NA	4.43
1202	2.16	2.69	NA	NA	2.18	2.71	NA	NA	NA	NA	3.32
1203	2.08	3.49	NA	NA	2.63	2.76	NA	NA	NA	NA	3.64
1204	1.64	2.5	NA	NA	1.23	1.5	NA	NA	NA	NA	3.04
1205	1.64	2.14	NA	NA	1.02	1.52	NA	NA	NA	NA	2.35
1206	1.18	2.03	NA	NA	1.13	1.66	NA	NA	NA	NA	2.15
1207	1.38	1.83	NA	NA	0.64	0.95	NA	NA	NA	NA	1.88
1208	1.2	1.93	NA	NA	0.44	0.46	NA	NA	NA	NA	2.22
1209	1.31	2.07	NA	NA	0.43	0.36	NA	NA	NA	NA	2.44
1210	1.28	1.82	NA	NA	0.39	0.45	NA	NA	NA	NA	2.05
1211	1.3	2.19	NA	NA	0.66	0.75	NA	NA	NA	NA	2.09
1212	1.05	1.87	NA	NA	0.37	0.59	NA	NA	NA	NA	1.78
1213	1	1.78	NA	NA	0.41	0.43	NA	NA	NA	NA	1.62
1214	1.21	1.98	NA	NA	1.86	1.51	NA	NA	NA	NA	1.72
1215	1.44	2.21	NA	NA	2.93	2.73	NA	NA	NA	NA	1.98
1216	1.44	1.64	NA	NA	1.01	0.91	NA	NA	NA	NA	1.56
1217	1.3	1.75	NA	NA	0.95	0.68	NA	NA	NA	NA	1.73
1218	1.37	2.35	NA	NA	2.18	1.22	NA	NA	NA	NA	2.28
1219	1.32	2.53	NA	NA	1.94	1.34	NA	NA	NA	NA	2.14
1220	1.03	2.02	0.55	0.61	1.7	0.98	NA	NA	NA	NA	1.92
1221	0.87	2.25	0.5	0.46	2.89	1.8	NA	NA	NA	NA	1.9
1222	0.98	1.64	0.6	0.54	1.26	0.78	NA	NA	NA	NA	1.87
1223	1.09	1.26	0.48	0.59	0.53	0.38	NA	NA	NA	NA	1.7
1224	0.87	1.48	0.58	0.56	0.44	0.34	NA	NA	NA	NA	1.87
1225	1.17	1.36	0.73	0.68	0.81	0.5	NA	NA	NA	NA	1.62
1226	1.28	1.47	0.57	0.66	1.72	0.41	NA	NA	NA	NA	1.8
1227	1.49	2.31	0.64	0.68	1.87	0.72	NA	NA	NA	NA	2.48
1228	1.71	3.23	0.9	0.87	2.58	1.26	NA	NA	NA	NA	3.31
1229	1.62	3.37	0.71	0.76	1.84	1.13	NA	NA	NA	NA	3.27
1230	1.47	2.56	0.74	0.7	1.71	1.02	NA	NA	NA	NA	2.31
1231	1.48	2.38	0.56	0.6	0.85	0.6	NA	NA	NA	NA	1.91
1232	1.67	2.3	0.61	0.69	0.61	0.4	NA	NA	NA	NA	1.82
1233	1.59	2.26	0.67	0.58	0.3	0.26	NA	NA	NA	NA	2.14
1234	1.37	1.63	0.63	0.7	0.3	0.4	NA	NA	NA	NA	1.54
1235	1.04	1.73	0.59	0.52	0.3	0.4	NA	NA	NA	NA	1.52
1236	1.15	1.12	0.55	0.58	0.41	0.35	NA	NA	NA	NA	1.16
1237	1.22	1.3	0.57	0.65	0.66	0.84	NA	NA	NA	NA	1.1
1238	0.88	1.29	0.6	0.62	0.46	0.62	NA	NA	NA	NA	1.1
1239	1.02	1.25	0.65	0.73	0.53	0.66	NA	NA	NA	NA	1.19
1240	1.07	1.36	0.85	0.81	0.52	0.79	NA	NA	NA	NA	1.47
1241	1.55	1.43	0.87	0.96	0.57	0.8	0.55	NA	NA	NA	1.52
