# Morgan - Bishops House - QUSP - ITRDB BRIT8
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4033
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4033.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit8-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit8-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit8.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit8.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Morgan - Bishops House - QUSP - ITRDB BRIT8
#--------------------
# Investigators
#   Investigators: Morgan, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Bishops House
#   Location: United Kingdom
#   Northernmost_Latitude: 53.35
#   Southernmost_Latitude: 53.35
#   Easternmost_Longitude: -1.47
#   Westernmost_Longitude: -1.47
#   Elevation_m: 328
#--------------------
# Data_Collection
#   Collection_Name: BRIT8
#   First_Year: 1359
#   Last_Year: 1592
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BHO061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO111_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO151_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO151; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO161_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO161; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BHO171_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BHO171; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BHO061_raw	BHO071_raw	BHO081_raw	BHO091_raw	BHO101_raw	BHO111_raw	BHO151_raw	BHO161_raw	BHO171_raw
1359	NA	NA	NA	NA	NA	0.35	NA	NA	NA
1360	NA	NA	NA	NA	NA	0.35	NA	NA	NA
1361	NA	NA	NA	NA	NA	0.37	NA	NA	NA
1362	NA	NA	NA	NA	NA	0.34	NA	NA	NA
1363	NA	NA	NA	NA	NA	0.11	NA	NA	NA
1364	NA	NA	NA	NA	NA	0.16	NA	NA	NA
1365	NA	NA	NA	NA	NA	0.19	NA	NA	NA
1366	NA	NA	NA	NA	NA	0.27	NA	NA	NA
1367	NA	NA	NA	NA	NA	0.38	NA	NA	NA
1368	NA	NA	NA	NA	NA	0.38	NA	NA	NA
1369	NA	NA	NA	NA	NA	0.22	NA	NA	NA
1370	NA	NA	NA	NA	NA	0.19	NA	NA	NA
1371	NA	NA	NA	NA	NA	0.24	NA	NA	NA
1372	NA	NA	NA	NA	NA	0.31	NA	NA	NA
1373	NA	NA	NA	NA	NA	0.4	NA	NA	NA
1374	NA	NA	NA	NA	NA	0.41	NA	NA	NA
1375	NA	0.17	NA	NA	NA	0.26	NA	NA	NA
1376	NA	0.11	NA	NA	NA	0.05	NA	NA	NA
1377	NA	0.12	NA	NA	NA	0.05	NA	NA	NA
1378	NA	0.12	NA	NA	NA	0.06	NA	NA	NA
1379	NA	0.12	NA	NA	NA	0.1	NA	NA	NA
1380	NA	0.13	NA	NA	NA	0.11	NA	NA	NA
1381	NA	0.18	NA	NA	NA	0.18	NA	NA	NA
1382	NA	0.24	NA	NA	NA	0.22	NA	NA	NA
1383	NA	0.19	NA	NA	NA	0.24	NA	NA	NA
1384	NA	0.32	NA	NA	NA	0.31	NA	NA	NA
1385	NA	0.27	0.26	NA	NA	0.27	NA	NA	NA
1386	NA	0.36	0.33	NA	NA	0.3	0.36	NA	NA
1387	NA	0.47	0.53	NA	NA	0.43	0.31	NA	NA
1388	NA	0.36	0.4	NA	NA	0.33	0.25	NA	NA
1389	NA	0.35	0.39	NA	NA	0.37	0.22	NA	NA
1390	NA	0.29	0.53	NA	NA	0.29	0.2	NA	NA
1391	NA	0.32	0.5	NA	NA	0.31	0.22	NA	NA
1392	NA	0.29	0.32	NA	NA	0.25	0.24	NA	NA
1393	NA	0.34	0.3	NA	NA	0.31	0.21	NA	NA
1394	NA	0.21	0.23	NA	NA	0.18	0.23	NA	NA
1395	NA	0.33	0.29	NA	NA	0.3	0.2	NA	NA
1396	NA	0.3	0.19	NA	NA	0.26	0.23	NA	NA
1397	NA	0.17	0.14	NA	NA	0.19	0.19	NA	NA
1398	NA	0.17	0.15	NA	NA	0.19	0.16	NA	NA
1399	NA	0.18	0.17	NA	NA	0.23	0.24	NA	NA
1400	NA	0.31	0.21	NA	NA	0.37	0.39	NA	NA
1401	NA	0.26	0.2	NA	NA	0.33	0.35	NA	NA
1402	NA	0.31	0.25	NA	NA	0.32	0.39	NA	NA
1403	NA	0.24	0.21	NA	NA	0.3	0.38	NA	NA
1404	NA	0.28	0.26	NA	NA	0.37	0.53	NA	NA
1405	NA	0.19	0.21	NA	NA	0.27	0.32	NA	NA
1406	NA	0.21	0.13	NA	NA	0.29	0.47	NA	NA
1407	NA	0.14	0.14	NA	NA	0.22	0.28	NA	NA
1408	NA	0.16	0.16	NA	NA	0.14	0.27	NA	NA
1409	NA	0.17	0.16	NA	NA	0.16	0.34	NA	NA
1410	NA	0.12	0.09	NA	NA	0.19	0.31	NA	NA
1411	NA	0.16	0.1	NA	NA	0.17	0.22	NA	NA
1412	NA	0.2	0.15	NA	NA	0.31	0.28	NA	NA
1413	NA	0.15	0.1	NA	NA	0.22	0.22	NA	NA
1414	NA	0.23	0.12	NA	NA	0.28	0.41	NA	NA
1415	NA	0.17	0.11	NA	NA	0.17	0.29	NA	NA
1416	NA	0.21	0.1	NA	NA	0.2	0.44	NA	NA
1417	NA	0.25	0.1	NA	NA	0.3	0.42	NA	NA
1418	NA	0.25	0.15	NA	NA	0.23	0.5	NA	NA
1419	NA	0.2	0.12	NA	NA	0.16	0.26	NA	NA
1420	NA	0.35	0.22	NA	NA	0.43	0.74	NA	NA
1421	0.5	0.42	0.18	NA	NA	0.4	0.46	NA	NA
1422	0.43	0.24	0.13	NA	NA	0.23	0.29	NA	NA
1423	0.37	0.34	0.24	NA	NA	0.32	0.66	NA	NA
1424	0.34	0.27	0.17	NA	NA	0.28	0.31	NA	NA
1425	0.48	0.32	0.21	NA	NA	0.29	0.59	NA	NA
1426	0.22	0.22	0.18	NA	NA	0.22	0.33	NA	NA
1427	0.22	0.27	0.18	NA	NA	0.22	0.22	NA	NA
1428	0.25	0.32	0.2	NA	NA	0.24	0.3	0.28	NA
1429	0.37	0.3	0.18	NA	NA	0.25	0.24	0.27	NA
1430	0.22	0.17	0.17	NA	NA	0.28	0.19	0.27	NA
1431	0.15	0.14	0.15	NA	NA	0.26	0.24	0.16	NA
1432	0.22	0.4	0.18	NA	NA	0.48	0.43	0.22	NA
