# Bräker - Vorhegi - FREX - ITRDB SWIT355
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16929
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16929.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit355-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit355-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit355.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit355.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Bräker - Vorhegi - FREX - ITRDB SWIT355
#--------------------
# Investigators
#   Investigators: Bräker, O.U.; Zingg, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Vorhegi
#   Location: Switzerland
#   Northernmost_Latitude: 47.6575
#   Southernmost_Latitude: 47.6575
#   Easternmost_Longitude: 8.755
#   Westernmost_Longitude: 8.755
#   Elevation_m: 445
#--------------------
# Data_Collection
#   Collection_Name: SWIT355
#   First_Year: 1937
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Fraxinus excelsior L.
#   Common_Name: European ash
#   Tree_Species_Code: FREX
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BS00600X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BS00600X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BS05356G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BS05356G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BS05356P_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BS05356P; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BS00600X_raw	BS05356G_raw	BS05356P_raw
1937	1.12	NA	NA
1938	0.41	NA	NA
1939	0.46	NA	NA
1940	1.91	NA	NA
1941	1.97	NA	NA
1942	1.66	NA	NA
1943	2.69	NA	NA
1944	2.41	NA	NA
1945	2.39	NA	NA
1946	2.35	NA	NA
1947	2.14	2.73	2.6
1948	1.56	1.76	2.02
1949	1.6	2.13	2.27
1950	2.57	2	2.07
1951	2.41	2.35	2.34
1952	1.18	2.25	2.52
1953	1.17	2.5	2.66
1954	1.3	2.62	2.23
1955	1.12	2.31	2.17
1956	1.41	2.26	1.58
1957	0.89	2.76	2.42
1958	1.03	3.13	2.62
1959	0.98	3.22	2.28
1960	0.72	2.26	1.67
1961	1.4	2.61	1.84
1962	1.13	2.12	1.65
1963	1.44	2.15	1.36
1964	1.08	2.16	1.34
1965	1.53	2.69	1.61
1966	1.88	2.94	2.2
1967	3.55	3.76	3.21
1968	3.02	3.33	2.86
1969	4.22	3.71	3.95
1970	2.7	3.53	3.05
1971	2.39	3.09	2.81
1972	3.5	3.55	3.42
1973	3.61	3.56	3.29
1974	2.51	3.32	2.54
1975	3.7	3.52	4.85
1976	2.48	2.89	1.95
1977	2.47	3.26	2.67
1978	3.74	3.8	3.02
1979	2.93	3.57	3.09
1980	4.43	4.22	4.03
1981	3.42	3.07	3.15
1982	5.72	2.82	2.55
1983	4.87	3.92	3.41
1984	3.85	4.25	3.72
1985	4.66	4.21	3.33
1986	4.95	3.45	3.87
1987	4.53	4.39	4.5
1988	6.65	5.07	5.4
1989	5.46	3.1	3.78
1990	5.4	3.32	3.56
1991	5.19	3.85	3.77
1992	4.46	3.03	3.11
1993	3.88	4.16	3.72
1994	4.78	4.32	3.83
1995	5.18	3.58	2.94
1996	4.02	4.05	2.94
1997	5.66	2.79	2.59
1998	4.33	2.16	1.88
