# Jansma - Voorburg Forum Hadriani Well - QUSP - ITRDB NETH011
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3640
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3640.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth011-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth011-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth011.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth011.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Jansma - Voorburg Forum Hadriani Well - QUSP - ITRDB NETH011
#--------------------
# Investigators
#   Investigators: Jansma, E.; Spoor, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Voorburg Forum Hadriani Well
#   Location: Netherlands
#   Northernmost_Latitude: 52.07
#   Southernmost_Latitude: 52.07
#   Easternmost_Longitude: 4.37
#   Westernmost_Longitude: 4.37
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH011
#   First_Year: -54
#   Last_Year: 205
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## vbp021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: vbp021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## vbp031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: vbp031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## vbp091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: vbp091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## vbp171_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: vbp171; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## vbp251_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: vbp251; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	vbp021_raw	vbp031_raw	vbp091_raw	vbp171_raw	vbp251_raw
-54	1.04	NA	NA	0.37	NA
-53	0.7	NA	NA	0.41	NA
-52	1.08	NA	NA	0.6	NA
-51	0.7	NA	NA	0.73	NA
-50	1.22	NA	NA	0.95	NA
-49	1.09	NA	NA	1.05	NA
-48	1.1	NA	NA	0.91	NA
-47	1.16	NA	NA	0.9	NA
-46	1.29	NA	NA	0.84	NA
-45	0.72	NA	NA	0.79	NA
-44	1.38	NA	NA	0.69	NA
-43	0.98	NA	NA	0.76	NA
-42	1.1	NA	NA	0.97	NA
-41	1.21	NA	NA	0.94	0.69
-40	0.9	NA	NA	0.75	0.59
-39	0.74	NA	NA	0.52	0.42
-38	0.88	NA	NA	0.76	0.52
-37	0.9	NA	NA	0.68	0.48
-36	0.74	NA	NA	0.66	0.55
-35	0.75	NA	NA	0.72	0.71
-34	0.54	NA	NA	0.64	0.53
-33	0.66	NA	NA	0.76	0.7
-32	0.55	NA	NA	0.62	0.43
-31	0.63	NA	NA	0.55	0.45
-30	0.63	NA	NA	0.6	0.51
-29	0.64	NA	NA	0.6	0.51
-28	0.68	NA	NA	0.72	0.69
-27	0.63	NA	NA	0.64	0.42
-26	0.65	NA	NA	0.7	0.55
-25	0.75	NA	NA	0.78	0.74
-24	0.69	NA	NA	0.8	0.86
-23	0.57	NA	NA	0.61	0.57
-22	0.58	NA	NA	0.72	0.69
-21	0.84	NA	NA	0.92	0.91
-20	0.54	NA	NA	0.78	0.78
-19	0.73	NA	NA	0.84	0.83
-18	0.69	NA	NA	0.76	1.09
-17	0.75	NA	NA	0.75	0.99
-16	0.81	NA	NA	0.78	0.88
-15	0.83	NA	NA	0.64	0.75
-14	1.02	NA	1	0.72	0.92
-13	1	NA	0.78	0.67	0.87
-12	0.95	NA	0.7	0.7	0.74
-11	0.79	NA	0.72	0.64	0.91
-10	0.7	NA	0.6	0.57	0.82
-9	0.7	NA	0.72	0.62	0.55
-8	0.78	NA	0.94	0.6	0.9
-7	0.79	NA	0.82	0.54	0.63
-6	0.91	NA	0.99	0.73	0.83
-5	0.65	NA	0.66	0.61	0.72
-4	0.75	NA	0.74	0.58	0.64
-3	0.61	NA	0.68	0.51	0.56
-2	0.41	NA	0.56	0.34	0.48
-1	0.57	NA	0.73	0.56	0.6
0	0.64	NA	0.85	0.44	0.53
1	0.53	NA	0.72	0.4	0.51
2	0.69	NA	0.66	0.44	0.59
3	0.65	NA	0.75	0.58	0.62
4	0.61	NA	0.64	0.47	0.56
5	0.74	NA	0.71	0.6	0.71
6	0.73	NA	0.67	0.54	0.67
7	0.45	NA	0.48	0.43	0.53
8	0.43	NA	0.58	0.43	0.38
9	0.58	NA	0.72	0.62	0.5
10	0.43	NA	0.65	0.42	0.31
11	0.44	NA	0.66	0.4	0.43
12	0.47	NA	0.61	0.38	0.44
13	0.39	NA	0.48	0.37	0.31
14	0.41	NA	0.6	0.36	0.42
15	0.45	NA	0.56	0.37	0.35
16	0.51	NA	0.53	0.48	0.45
17	0.39	NA	0.54	0.35	0.44
18	0.49	NA	0.62	0.54	0.43
19	0.5	NA	0.65	0.56	0.53
20	0.59	NA	0.67	0.53	0.53
21	0.57	NA	0.55	0.5	0.52
22	0.45	NA	0.52	0.54	0.43
23	0.46	NA	0.4	0.45	0.37
24	0.63	1.71	0.5	0.5	0.54
25	0.47	0.9	0.5	0.47	0.4
26	0.61	0.98	0.52	0.5	0.45
27	0.54	1.27	0.48	0.54	0.58
28	0.47	1.12	0.49	0.47	0.44
29	0.46	0.99	0.41	0.48	0.29
30	0.5	1.08	0.48	0.53	0.53
31	0.51	1.17	0.5	0.48	0.4
32	0.55	1.33	0.52	0.52	0.45
33	0.74	1.1	0.54	0.8	0.66
34	0.58	1.19	0.48	0.6	0.53
35	0.42	1.1	0.45	0.45	0.42
36	0.51	1.5	0.55	0.58	0.43
37	0.63	1.51	0.59	0.69	0.55
38	0.5	1.4	0.49	0.68	0.65
39	0.46	1.25	0.51	0.54	0.48
40	0.49	1.13	0.38	0.55	0.48
41	0.58	1.14	0.46	0.62	0.72
42	0.64	1.37	0.5	0.64	0.67
43	0.64	1.54	0.71	0.96	0.79
44	0.77	1.1	0.54	0.92	0.92
45	0.75	1.15	0.51	0.67	0.72
46	0.88	1.13	0.61	0.99	1.23
47	0.5	1.06	0.36	0.54	0.72
