# Hartl - Höllengebirge, Salzberg A - PCAB - ITRDB AUT116
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/37478
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-37478.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/aut116-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/aut116.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/aut116.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-02-17
#--------------------
# File_Last_Modified_Date
#   Date: 2023-02-17
#--------------------
# Title
#   Study_Name: Hartl - Höllengebirge, Salzberg A - PCAB - ITRDB AUT116
#--------------------
# Investigators
#   Investigators: Hartl, Claudia; Rothe, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: nan
#--------------------
# Publication
#   Authors: Hartl-Meier, C; C Zang; C Dittmar; J Esper; A Göttlein; A Rothe
#   Published_Date_or_Year: 2014
#   Published_Title: Vulnerability of Norway spruce to climate change in mountain forests of the European Alps
#   Journal_Name: Clim. Res.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.3354/cr01226
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Zang, Christian; Claudia Hartl-Meier; Christoph Dittmar; Andreas Rothe; Annette Menzel
#   Published_Date_or_Year: 2014
#   Published_Title: Patterns of drought tolerance in major European temperate forest trees: climatic drivers and levels of variability
#   Journal_Name: Glob Change Biol
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/gcb.12637
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Bavarian State Ministry for Food, Agriculture and Forestry
#   Grant: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:  EU program INTERREG 
#   Grant:   J00183
#--------------------
# Site_Information
#   Site_Name: Höllengebirge, Salzberg A
#   Location: Austria
#   Northernmost_Latitude: 47.81
#   Southernmost_Latitude: 47.81
#   Easternmost_Longitude: 13.59
#   Westernmost_Longitude: 13.59
#   Elevation_m: 1337
#--------------------
# Data_Collection
#   Collection_Name: AUT116
#   First_Year: 1779
#   Last_Year: 2010
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MWSA101C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA101C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA101O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA101O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA102C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA102C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA102O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA102O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA106C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA106C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA106O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA106O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA107C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA107C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA107O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA107O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA108C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA108C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA108O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA108O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA109C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA109C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA109O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA109O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA110C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA110C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA110O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA110O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA111C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA111C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA111O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA111O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA113C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA113C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA113O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA113O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA114C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA114C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWSA114O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWSA114O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MWSA101C_raw	MWSA101O_raw	MWSA102C_raw	MWSA102O_raw	MWSA106C_raw	MWSA106O_raw	MWSA107C_raw	MWSA107O_raw	MWSA108C_raw	MWSA108O_raw	MWSA109C_raw	MWSA109O_raw	MWSA110C_raw	MWSA110O_raw	MWSA111C_raw	MWSA111O_raw	MWSA113C_raw	MWSA113O_raw	MWSA114C_raw	MWSA114O_raw
1779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35	NA	NA	NA	NA	NA	NA
1780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.58	NA	NA	NA	NA	NA	NA
1781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29	1.27	NA	NA	NA	NA	NA	NA
1782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.43	1.63	NA	NA	NA	NA	NA	NA
1783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.97	0.73	NA	NA	NA	NA	NA	NA
1784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3	1.16	NA	NA	NA	NA	NA	NA
1785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.22	1.24	NA	NA	NA	NA	NA	NA
1786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4	0.79	NA	NA	0.65	NA	NA	NA
1787	NA	NA	0.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.18	1.11	NA	NA	0.98	NA	NA	NA
1788	NA	NA	1.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.17	1.44	NA	NA	0.82	NA	NA	NA
1789	NA	NA	1.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13	1.15	NA	NA	1.27	NA	NA	NA
1790	NA	NA	1.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.95	1.88	NA	NA	1.08	NA	NA	NA
1791	NA	NA	2.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.91	1.33	NA	NA	0.98	NA	NA	NA
1792	NA	NA	1.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.25	1.1	NA	NA	1.23	NA	NA	NA
1793	NA	NA	1.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.96	1.13	NA	NA	0.61	NA	NA	NA
1794	NA	NA	0.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.39	1.23	NA	NA	1.25	NA	NA	NA
1795	NA	NA	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26	0.76	NA	NA	0.86	NA	NA	NA
1796	NA	NA	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.02	1.61	NA	NA	0.8	NA	NA	NA
1797	NA	NA	1.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.64	1.92	NA	NA	1.13	1.41	NA	NA
1798	NA	NA	1.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.72	1.94	NA	NA	2.31	2.06	NA	NA
1799	NA	NA	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.42	1.47	NA	NA	0.91	1.28	NA	NA
1800	NA	NA	0.62	NA	NA	NA	NA	NA	2.24	NA	NA	NA	1.38	0.98	NA	NA	0.64	1.39	NA	NA
1801	NA	NA	1.17	NA	NA	NA	NA	NA	1.42	NA	NA	NA	1.32	1.08	NA	NA	0.68	1.49	NA	NA
1802	NA	NA	1.21	NA	NA	NA	NA	NA	1.27	1.58	NA	NA	0.84	1.24	NA	NA	0.78	1.58	NA	NA
1803	NA	NA	2.37	NA	NA	NA	NA	NA	1.9	1.8	NA	NA	1.28	1.33	NA	NA	0.95	1.36	NA	NA
1804	NA	NA	1.55	NA	NA	NA	NA	NA	2.31	1.41	NA	NA	1.1	1.65	NA	NA	1.31	1.89	NA	NA
1805	NA	NA	1.41	NA	NA	NA	NA	NA	1.86	0.88	NA	0.44	1.21	1.4	0.97	1.47	1.17	1.48	NA	NA
1806	NA	NA	0.92	NA	NA	NA	NA	NA	1.51	2	NA	0.56	0.91	1.5	1.3	1.3	1.1	1.39	NA	NA
1807	NA	NA	1.24	NA	NA	NA	NA	NA	1.47	2.43	NA	0.52	1.35	2.74	1	1.02	1.22	1.69	NA	NA
1808	NA	NA	1.31	NA	NA	NA	NA	NA	1.9	2.79	NA	0.77	1.23	2.13	1.01	0.79	1.21	2.02	NA	NA
1809	NA	NA	0.94	NA	NA	NA	NA	NA	1.82	3.15	NA	0.53	0.89	1.25	0.45	1.09	1.05	1.48	NA	NA
1810	NA	NA	1.55	1.17	NA	NA	NA	NA	1.51	2.46	NA	0.92	0.87	1.09	0.79	0.77	0.9	1.44	NA	NA
1811	NA	NA	2.35	1.08	NA	NA	NA	NA	0.94	2.06	NA	0.79	0.79	1.72	0.71	0.39	1.25	1.66	NA	NA
1812	NA	NA	1.16	0.88	NA	NA	NA	NA	0.57	1.45	NA	0.49	0.75	1.04	0.36	0.47	1.08	1.98	NA	NA
1813	NA	NA	1.3	1.22	NA	NA	NA	NA	0.82	2.06	NA	0.64	0.71	1.07	0.52	0.61	1.03	1.64	NA	NA
1814	NA	NA	1.34	1.17	NA	NA	NA	NA	1.05	2.35	NA	0.93	0.41	0.83	0.66	0.57	0.79	1.51	NA	NA
1815	NA	1.01	0.91	0.93	NA	NA	NA	NA	1.23	1.59	NA	0.97	0.43	1.1	0.76	0.48	0.74	1.21	NA	NA
1816	1.43	1.18	0.62	0.73	NA	NA	NA	NA	0.97	1.09	NA	0.72	0.33	0.74	0.39	0.27	0.57	1.15	NA	NA
1817	0.98	2.29	0.85	1.66	NA	NA	NA	NA	0.38	0.51	NA	0.89	0.3	0.77	0.19	0.37	0.54	0.61	NA	NA
1818	1.32	1.39	0.84	2.8	NA	NA	NA	NA	0.45	0.39	NA	0.66	0.59	0.61	0.38	0.71	0.41	0.36	NA	NA
1819	1.15	1.1	0.68	2.2	NA	NA	NA	NA	0.78	0.34	NA	0.42	0.67	0.73	0.79	0.7	0.58	0.7	NA	NA
1820	0.81	0.79	0.52	1.15	NA	NA	NA	NA	1.35	1.43	NA	0.77	0.88	0.8	1.04	0.78	0.77	1.2	NA	NA
1821	0.79	0.89	0.47	0.64	NA	NA	NA	NA	1.27	1.08	NA	0.85	0.62	0.49	0.71	0.72	0.81	1.16	NA	NA
1822	1.09	1.12	0.37	0.37	NA	NA	NA	NA	0.78	1.24	NA	0.58	0.9	0.91	0.57	0.69	0.95	1.67	NA	NA
1823	1.26	0.91	0.42	0.44	NA	NA	0.67	NA	1.35	1.49	NA	0.4	0.95	1.07	0.9	0.99	0.88	1.43	NA	NA
1824	0.94	1.02	0.26	0.51	NA	NA	1.04	NA	1.21	1.32	NA	0.27	0.72	0.71	0.66	0.97	0.53	0.9	NA	NA
1825	1.03	1	0.26	0.67	NA	NA	1.08	1.14	1.44	1.3	NA	0.31	1.19	0.79	0.69	0.98	0.8	1.58	NA	NA
1826	1.01	0.92	0.36	0.62	NA	NA	0.56	0.6	1.35	1.44	NA	0.28	0.82	0.67	0.9	0.78	0.75	1.25	NA	NA
1827	1.23	0.9	0.34	0.48	NA	NA	1.46	1.23	1.06	0.94	NA	0.46	0.77	0.66	0.86	1.22	0.64	1.09	NA	NA
1828	1.33	0.91	0.37	1.21	NA	NA	0.56	0.86	0.7	0.8	NA	0.26	0.88	0.76	0.85	1.35	0.49	0.88	NA	NA
1829	1.21	0.87	0.52	0.96	0.36	NA	0.74	0.47	0.95	1.03	NA	0.49	1	0.81	0.96	1.45	0.75	0.93	NA	NA
1830	1.33	0.99	0.92	0.74	0.31	NA	1.08	0.67	0.92	1.57	NA	0.73	1.06	0.78	0.94	1	0.84	1.15	NA	NA
1831	1.59	1.01	1.16	0.7	0.65	NA	0.81	0.63	0.84	2.1	NA	0.96	1.55	0.76	0.78	0.98	0.89	1.06	0.98	NA
1832	1.23	0.82	0.85	0.64	0.81	NA	0.65	0.43	0.6	2.01	0.77	0.76	1.25	0.78	0.66	0.77	0.66	0.99	0.92	NA
1833	1.41	0.98	0.91	0.93	1.06	NA	0.9	0.52	0.86	1.79	1.03	1.09	1.13	1.12	0.76	0.71	0.86	1.32	0.86	NA
1834	1.14	0.99	1.39	1.13	1.34	NA	1.06	0.51	1.25	1.35	0.97	0.83	1.05	1.51	0.96	0.65	1.34	1.27	1.17	NA
