# Howard - Abbey Church - QUSP - ITRDB BRIT091
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/28328
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-28328.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit091-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit091-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit091.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit091.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-11-01
#--------------------
# File_Last_Modified_Date
#   Date: 2019-11-01
#--------------------
# Title
#   Study_Name: Howard - Abbey Church - QUSP - ITRDB BRIT091
#--------------------
# Investigators
#   Investigators: Howard, R.E.; Laxton, R.R.; Litton, C.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: Tree-ring analysis of timbers from the presbytery roof, Abbey church of St Albans, St Albans, Hertfordshire. The ring width series for samples included in site sequence STACSQ03 which spans the period AD 969-1053. NOAA Template Raw Measurements file added 2020-03-09.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Historic England
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Abbey Church
#   Location: United Kingdom
#   Northernmost_Latitude: 51.75041
#   Southernmost_Latitude: 51.75041
#   Easternmost_Longitude: -0.34223
#   Westernmost_Longitude: -0.34223
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: BRIT091
#   First_Year: 969
#   Last_Year: 1053
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## STAC32A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STAC32A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STAC32B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STAC32B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STAC34A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STAC34A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STAC34B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STAC34B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	STAC32A_raw	STAC32B_raw	STAC34A_raw	STAC34B_raw
969	NA	NA	2.03	1.26
970	NA	NA	1.91	1.86
971	NA	NA	1.4	1.38
972	NA	NA	1.72	1.74
973	NA	NA	2.21	2.21
974	NA	NA	1.55	1.59
975	NA	NA	2.04	2.09
976	NA	NA	1.31	1.36
977	NA	NA	1.53	1.54
978	NA	NA	1.69	1.73
979	NA	NA	1.61	1.61
980	NA	NA	2.03	2.06
981	NA	NA	1.43	1.41
982	NA	NA	1.66	1.74
983	NA	NA	1.89	1.94
984	NA	NA	1.7	1.67
985	NA	NA	1.9	1.97
986	NA	NA	1.89	1.98
987	NA	NA	1.73	1.96
988	NA	NA	1.56	1.57
989	NA	NA	2.49	2.37
990	NA	NA	1.53	1.58
991	NA	NA	2.48	2.46
992	NA	NA	2.48	2.42
993	NA	NA	2.15	2.23
994	NA	NA	2.12	2.23
995	1.19	1.38	1.71	1.81
996	1.52	1.44	1.45	1.5
997	1.48	1.45	1.64	1.63
998	1.89	1.91	1.88	1.81
999	2.98	2.92	2.99	2.98
1000	1.99	2.06	2.04	2.13
1001	2.19	2.17	2.3	2.38
1002	2.21	2.16	2.13	2.21
1003	2.25	2.28	2.99	2.72
1004	2.29	2.27	2.47	2.6
1005	2.01	1.89	2.14	2.07
1006	2.22	2.28	2.26	2.27
1007	2	1.86	2.06	1.97
1008	2.65	2.65	2.58	2.7
1009	1.91	2.04	1.94	2
1010	1.8	1.82	1.97	2.02
1011	1.82	1.75	1.84	1.8
1012	2.43	2.41	2.54	2.63
1013	2.35	2.35	2.36	2.38
1014	1.84	1.81	1.92	1.97
1015	2.13	2.15	2.21	2.25
1016	1.45	1.39	1.52	1.49
1017	1.59	1.6	1.66	1.69
1018	1.79	1.76	2.05	2.04
1019	1.48	1.52	1.61	1.6
1020	1.45	1.51	1.66	1.58
1021	2	1.95	2.22	2.24
1022	1.76	1.81	1.86	1.93
1023	1.91	1.91	2.25	2.09
1024	2.11	2.22	2.43	2.33
1025	1.53	1.59	1.58	1.58
1026	1.91	1.94	1.98	2.05
1027	1.86	1.72	1.75	1.78
1028	1.41	1.47	1.6	1.63
1029	1.24	1.26	1.51	1.58
1030	1.81	1.78	1.8	1.9
1031	1.71	1.76	1.89	1.82
1032	1.5	1.47	1.52	1.43
1033	1.07	1.02	1.43	1.23
1034	1.17	1.2	1.37	1.41
1035	1.45	1.46	1.58	1.55
1036	1.27	1.22	1.4	1.25
1037	1.45	1.45	1.59	1.52
1038	1.45	1.46	1.49	1.51
1039	1.56	1.54	1.57	1.65
1040	1.83	2	1.84	1.84
1041	2.23	2.23	2.1	2.13
1042	1.83	1.91	1.88	1.88
1043	1.1	1.14	1.18	1.11
1044	1.03	0.95	0.94	1.03
1045	1.07	1.04	0.95	1.01
1046	0.92	0.93	0.95	1.02
1047	1.15	1.19	1.31	1.28
1048	1.04	1.1	1.07	1.06
1049	1.14	1.11	1.12	1.11
1050	0.69	0.7	0.73	0.8
1051	0.97	1	0.96	0.87
1052	1.08	1.06	1.02	1.04
1053	NA	NA	1.13	1.2
