# Vitas - Kajackai-s - PCAB - ITRDB LITH007
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5203
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5203.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/lith007-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; lith007-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/lith007.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/lith007.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-22
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-22
#--------------------
# Title
#   Study_Name: Vitas - Kajackai-s - PCAB - ITRDB LITH007
#--------------------
# Investigators
#   Investigators: Vitas, A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Kajackai-s
#   Location: Lithuania
#   Northernmost_Latitude: 54.8
#   Southernmost_Latitude: 54.8
#   Easternmost_Longitude: 23.6
#   Westernmost_Longitude: 23.6
#   Elevation_m: 70
#--------------------
# Data_Collection
#   Collection_Name: LITH007
#   First_Year: 1859
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## KSEM01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM16_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM16; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM20_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM20; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM21_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM21; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM22_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM22; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM23_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM23; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM24_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM24; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM25_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM25; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM26_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM26; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM27_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM27; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM28_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM28; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM29_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM29; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KSEM30_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KSEM30; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	KSEM01_raw	KSEM02_raw	KSEM03_raw	KSEM04_raw	KSEM05_raw	KSEM06_raw	KSEM07_raw	KSEM08_raw	KSEM09_raw	KSEM10_raw	KSEM11_raw	KSEM12_raw	KSEM13_raw	KSEM14_raw	KSEM15_raw	KSEM16_raw	KSEM20_raw	KSEM21_raw	KSEM22_raw	KSEM23_raw	KSEM24_raw	KSEM25_raw	KSEM26_raw	KSEM27_raw	KSEM28_raw	KSEM29_raw	KSEM30_raw
1859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.15	NA	NA	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35	NA	NA	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07	NA	NA	0.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.45	NA	NA	1.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.18	1.44	NA	1.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1873	NA	NA	NA	NA	NA	2.33	NA	NA	NA	NA	NA	NA	NA	2.1	1.51	NA	1.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1874	NA	NA	NA	NA	NA	1.81	NA	NA	NA	NA	NA	NA	NA	1.45	0.74	NA	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1875	NA	NA	NA	NA	NA	2.15	NA	NA	NA	NA	NA	NA	NA	1.75	0.73	NA	2.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1876	NA	NA	NA	NA	NA	3.29	NA	NA	NA	NA	NA	NA	NA	2.17	0.99	NA	2.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1877	NA	NA	NA	NA	NA	1.9	NA	NA	NA	NA	NA	NA	NA	2.22	0.86	NA	1.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1878	NA	NA	NA	NA	NA	2.73	NA	NA	NA	NA	NA	NA	NA	3.02	0.75	NA	1.87	NA	NA	NA	NA	1.94	NA	NA	NA	NA	NA
1879	NA	NA	NA	NA	NA	2.28	NA	NA	NA	NA	NA	NA	NA	2.85	1.5	NA	1.7	NA	NA	NA	NA	3.32	NA	NA	NA	NA	NA
1880	NA	NA	NA	NA	NA	2.12	NA	NA	NA	NA	NA	NA	NA	3.02	1.83	NA	2.08	NA	NA	NA	NA	2.71	NA	NA	NA	NA	NA
1881	NA	NA	NA	NA	NA	2.17	NA	NA	2.32	NA	NA	NA	NA	2.49	0.92	NA	1.39	NA	NA	NA	NA	2.58	NA	NA	NA	NA	NA
1882	NA	NA	NA	NA	NA	2.39	NA	NA	2.15	NA	NA	NA	NA	1.95	0.9	0.62	2	NA	NA	NA	NA	2.43	NA	NA	NA	NA	NA
1883	NA	NA	NA	NA	NA	2.13	NA	NA	2.05	NA	NA	NA	NA	1.78	0.7	1.04	1.58	NA	NA	NA	NA	2.81	NA	NA	NA	NA	NA
1884	NA	NA	NA	NA	NA	1.81	NA	NA	2.47	NA	NA	NA	NA	2.04	0.95	1.37	1.54	NA	NA	NA	NA	2.42	NA	NA	NA	NA	NA
1885	NA	NA	NA	NA	NA	1.34	NA	NA	1.82	NA	NA	NA	NA	3.82	1.52	1.17	1.41	NA	NA	NA	NA	1.54	NA	NA	NA	NA	NA
1886	NA	NA	NA	NA	NA	1.59	NA	NA	2.53	NA	NA	NA	NA	4.07	1.85	2.12	1.49	NA	NA	NA	NA	2.08	NA	NA	NA	NA	NA
1887	NA	NA	NA	NA	NA	2.84	NA	NA	2.66	NA	NA	NA	NA	4.76	2.36	1.68	1.54	NA	NA	NA	NA	1.76	NA	NA	NA	NA	NA
1888	NA	NA	NA	NA	NA	2.46	NA	NA	2.69	NA	NA	NA	NA	4.53	2.13	1.41	1.75	NA	NA	NA	NA	1.77	NA	NA	NA	3.73	NA
1889	NA	NA	NA	NA	NA	1.61	NA	NA	1.74	NA	NA	NA	NA	2.56	1.96	1.38	1.77	NA	NA	NA	NA	1.38	NA	NA	NA	2.29	NA
1890	NA	NA	NA	NA	NA	1.02	NA	NA	2.7	NA	NA	NA	NA	3.38	2.98	2.36	2.05	NA	NA	NA	2.58	2.07	NA	NA	NA	3.17	NA
1891	NA	NA	NA	NA	NA	1.74	NA	NA	2.93	NA	NA	NA	NA	1.16	3.12	1.91	1.51	NA	NA	NA	2.43	1.66	NA	NA	NA	2.35	NA
1892	NA	NA	NA	NA	NA	1.77	NA	NA	2.85	NA	NA	NA	NA	1.85	3.24	1.55	1.76	NA	NA	NA	2.35	1.76	NA	NA	NA	2.65	NA
1893	NA	NA	NA	NA	NA	1.72	NA	NA	2.86	NA	NA	NA	NA	2.59	2.33	1.24	1.77	NA	NA	NA	1.29	1.32	NA	NA	NA	2.85	3.44
1894	NA	NA	NA	NA	NA	3.24	NA	NA	2.26	NA	NA	NA	NA	2.12	1.81	1.69	1.28	NA	NA	NA	1.68	0.92	NA	NA	NA	3.07	3.2
1895	NA	NA	NA	NA	NA	1.75	NA	NA	2.34	NA	NA	NA	NA	1.23	1.52	1.84	1.09	NA	NA	NA	1.71	1.15	NA	NA	NA	2.74	2.02
1896	NA	NA	NA	NA	NA	0.9	NA	NA	2.38	NA	NA	NA	NA	1.3	1.38	1.49	0.95	NA	NA	NA	1.86	1.27	NA	NA	NA	2.25	1.86
1897	NA	NA	NA	NA	NA	0.73	NA	NA	2.56	NA	NA	NA	NA	1.59	1.19	1.44	1.22	NA	NA	NA	1.9	1.16	NA	NA	NA	2.12	1.91
1898	NA	NA	NA	NA	NA	0.95	NA	NA	2.83	NA	NA	NA	NA	1.92	1.2	1.74	1.52	NA	NA	NA	2.39	1.42	NA	NA	NA	3.06	1.7
1899	NA	NA	NA	NA	NA	1.27	NA	NA	2.94	NA	NA	NA	NA	2.29	1.55	1.98	1.57	NA	NA	NA	3.08	1.87	NA	NA	NA	3.41	2.04
1900	NA	NA	NA	NA	0.43	1.35	0.56	NA	3.22	NA	NA	NA	NA	1.97	1.34	1.68	1.99	NA	NA	NA	2.25	1.38	NA	NA	NA	2.8	1.41
1901	NA	NA	NA	NA	0.49	1.52	0.28	NA	3.82	NA	NA	NA	NA	1.53	1.64	1.25	2.14	NA	NA	NA	1.55	1.22	NA	NA	NA	2.72	1.69
1902	NA	NA	NA	NA	0.7	1.25	0.26	NA	4.3	NA	NA	NA	NA	2.03	1.5	1.11	1.66	NA	NA	NA	1.82	1.4	NA	NA	NA	2.86	1.1
1903	NA	NA	NA	NA	0.59	4.17	0.29	NA	3.34	NA	NA	NA	NA	2.33	1.89	1.12	1.75	NA	NA	NA	3.66	2.1	NA	NA	NA	2.74	1.43
1904	NA	NA	NA	NA	0.39	2.24	0.33	NA	2.62	NA	NA	NA	NA	1.91	1.47	0.94	1.43	NA	2.19	NA	1.8	1.79	NA	NA	NA	2.7	0.74
1905	NA	NA	NA	NA	0.48	2.12	0.29	NA	2.78	NA	NA	NA	NA	1.72	1.24	0.88	1.41	NA	1.32	NA	1.72	1.77	NA	NA	NA	2.56	1.02
