# Grissino-Mayer - Messiah Violin - PCAB - ITRDB BRIT050
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3432
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3432.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit050-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit050-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit050.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit050.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2003-01-27
#--------------------
# File_Last_Modified_Date
#   Date: 2003-01-27
#--------------------
# Title
#   Study_Name: Grissino-Mayer - Messiah Violin - PCAB - ITRDB BRIT050
#--------------------
# Investigators
#   Investigators: Grissino-Mayer, H.D.; Sheppard, P.R.; Cleaveland, M.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Messiah Violin
#   Location: United Kingdom
#   Northernmost_Latitude: 51.72
#   Southernmost_Latitude: 51.72
#   Easternmost_Longitude: -1.17
#   Westernmost_Longitude: -1.17
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: BRIT050
#   First_Year: 1578
#   Last_Year: 1686
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## hmesst_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: hmesst; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pmesst_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pmesst; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## hmessb_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: hmessb; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pmessb_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pmessb; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	hmesst_raw	pmesst_raw	hmessb_raw	pmessb_raw
1578	1.428	1.468	NA	NA
1579	1.234	1.29	NA	NA
1580	1.492	1.522	NA	NA
1581	1.708	1.626	NA	NA
1582	1.254	1.39	NA	NA
1583	1.3	1.284	NA	NA
1584	1.196	1.18	NA	NA
1585	1.13	1.112	NA	NA
1586	1.31	1.48	NA	NA
1587	1.264	1.104	NA	NA
1588	1.514	1.416	1.872	2.03
1589	1.836	1.868	1.896	1.888
1590	1.762	1.72	1.466	1.44
1591	1.722	1.794	1.702	1.696
1592	2.052	1.904	1.612	1.668
1593	2.446	2.44	1.984	1.912
1594	2.472	2.426	1.944	1.926
1595	1.994	2.068	1.55	1.51
1596	2.048	2.114	1.702	1.748
1597	1.874	1.992	1.59	1.574
1598	1.816	1.702	1.61	1.574
1599	1.826	1.774	1.598	1.56
1600	1.53	1.566	1.644	1.536
1601	1.548	1.59	1.74	1.77
1602	1.628	1.546	1.608	1.662
1603	1.732	1.696	1.51	1.492
1604	1.798	1.814	1.62	1.618
1605	1.59	1.608	1.424	1.406
1606	1.78	1.75	1.474	1.404
1607	1.686	1.686	1.354	1.336
1608	1.4	1.378	1.27	1.212
1609	1.498	1.554	1.388	1.436
1610	1.456	1.446	1.572	1.466
1611	1.384	1.398	1.358	1.456
1612	1.418	1.368	1.456	1.35
1613	0.968	0.976	1.054	1.102
1614	0.94	0.994	1.302	1.3
1615	0.898	0.838	1.106	1.164
1616	0.926	0.898	1.128	1.116
1617	0.832	0.814	1.172	1.174
1618	0.86	0.896	1.186	1.114
1619	0.902	0.93	1.236	1.246
1620	1.296	1.128	1.342	1.29
1621	1.008	1.072	1.362	1.38
1622	1.17	1.164	1.424	1.38
1623	1.07	1.14	1.35	1.372
1624	1.006	1.016	1.156	1.122
1625	0.704	0.66	0.89	0.928
1626	1.036	1.02	1.274	1.23
1627	0.862	0.922	1.118	1.152
1628	1.09	1.072	1.232	1.194
1629	1.128	1.164	1.336	1.322
1630	0.988	1.026	1.21	1.212
1631	1.094	1.064	1.332	1.332
1632	0.828	0.902	1.12	1.102
1633	0.894	0.844	1.396	1.376
1634	0.872	0.842	1.216	1.264
1635	0.814	0.858	1.278	1.202
1636	0.73	0.704	0.908	0.972
1637	0.59	0.606	1.042	1.006
1638	0.582	0.612	0.936	0.906
1639	0.52	0.516	1.084	1.128
1640	0.698	0.69	1.146	1.168
1641	0.644	0.636	1.256	1.202
1642	0.732	0.69	1.238	1.27
1643	0.694	0.682	1.196	1.234
1644	0.654	0.672	1.136	1.068
1645	0.452	0.48	0.77	0.774
1646	0.814	0.76	0.992	1.002
1647	0.558	0.554	0.738	0.8
1648	0.668	0.666	0.922	0.852
1649	0.678	0.746	1.044	1.064
1650	0.724	0.676	1.078	1.092
1651	0.608	0.602	0.936	0.924
1652	0.528	0.576	0.73	0.696
1653	0.648	0.562	0.78	0.806
1654	0.61	0.6	0.746	0.726
1655	0.474	0.54	0.682	0.646
1656	0.576	0.52	0.81	0.8
1657	0.612	0.598	0.684	0.698
1658	0.558	0.55	0.67	0.686
1659	0.47	0.448	0.554	0.564
1660	0.38	0.426	0.684	0.694
1661	0.438	0.418	0.552	0.522
1662	0.434	0.414	0.674	0.608
1663	0.446	0.466	0.744	0.678
1664	0.576	0.53	0.626	0.68
1665	0.514	0.518	0.702	0.702
1666	0.426	0.476	0.63	0.542
1667	0.478	0.476	0.586	0.588
1668	0.384	0.38	0.46	0.468
1669	0.424	0.408	0.518	0.556
1670	0.338	0.364	0.42	0.466
1671	0.276	0.254	0.386	0.36
1672	0.366	0.328	0.396	0.438
1673	0.34	0.358	0.442	0.496
1674	0.34	0.35	0.452	0.434
1675	NA	NA	0.422	0.342
1676	NA	NA	0.442	0.47
1677	NA	NA	0.272	0.258
1678	NA	NA	0.442	0.454
1679	NA	NA	0.584	0.576
1680	NA	NA	0.376	0.35
1681	NA	NA	0.36	0.382
1682	NA	NA	0.392	0.388
1683	NA	NA	0.264	0.24
1684	NA	NA	0.278	0.268
1685	NA	NA	0.26	0.282
1686	NA	NA	0.22	NA
