# Hogholt - Morimondo - QURU - ITRDB ITAL053
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/27077
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-27077.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital053-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ital053-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital053.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ital053.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-06-18
#--------------------
# File_Last_Modified_Date
#   Date: 2019-06-18
#--------------------
# Title
#   Study_Name: Hogholt - Morimondo - QURU - ITRDB ITAL053
#--------------------
# Investigators
#   Investigators: Hogholt, I.; Passini, E.; Vacchiano, G.; Vaglieri, T.
#--------------------
# Description_Notes_and_Keywords
#   Description: Climate response of two oak species in northern Italy in the last 60 years NOAA Template Raw Measurements file added 2019-08-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Morimondo
#   Location: Italy
#   Northernmost_Latitude: 45.3459
#   Southernmost_Latitude: 45.3459
#   Easternmost_Longitude: 8.9451
#   Westernmost_Longitude: 8.9451
#   Elevation_m: 109
#--------------------
# Data_Collection
#   Collection_Name: ITAL053
#   First_Year: 1980
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus rubra L.
#   Common_Name: red oak
#   Tree_Species_Code: QURU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## R1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R16Y_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R16Y; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R5_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R5; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R7X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R7X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## R8_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: R8; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	R1_raw	R10_raw	R11_raw	R13_raw	R16Y_raw	R4_raw	R5_raw	R6_raw	R7X_raw	R8_raw
1980	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.88
1981	NA	NA	NA	4.95	NA	NA	NA	NA	NA	1.97
1982	NA	NA	NA	7.16	NA	NA	NA	NA	NA	6.13
1983	NA	NA	NA	9.5	NA	NA	NA	NA	NA	8.29
1984	NA	NA	NA	8.69	NA	NA	NA	NA	NA	7.17
1985	NA	NA	NA	8.84	NA	NA	NA	NA	NA	7.22
1986	NA	NA	NA	10.77	NA	NA	3.92	NA	NA	5.68
1987	NA	NA	NA	12.38	NA	NA	4.85	NA	NA	5.9
1988	NA	NA	NA	11.39	NA	NA	6.28	5.63	NA	7.27
1989	NA	NA	NA	10.51	NA	NA	6.92	10.54	NA	6.12
1990	NA	NA	NA	9.36	NA	0.7	6.15	5.88	NA	7.8
1991	NA	NA	NA	7.92	NA	0.75	6.24	5.17	NA	3.62
1992	NA	NA	NA	11.3	NA	0.99	6.84	7.94	NA	6.79
1993	NA	NA	NA	8.58	2.86	0.66	5.15	5.88	NA	5.09
1994	NA	NA	NA	8.84	4.93	0.92	5.41	8.4	NA	6.33
1995	NA	NA	NA	7.74	5.73	0.99	4.47	8.54	13.61	7.82
1996	NA	NA	NA	8.28	5.51	1.27	4.16	11.71	15.31	5.93
1997	NA	NA	NA	6.93	5.14	1.05	4.41	8.6	13.38	5.66
1998	NA	8.92	NA	8.43	6.23	0.98	3.92	6.47	14.25	4.91
1999	NA	11	NA	8.6	7.48	1.17	6.22	7.98	12.05	6.59
2000	6.09	11.96	2.84	6.86	8.73	1.27	6.31	8.4	11.93	5.81
2001	4.7	6.19	3.41	7.24	8.23	0.75	3.21	6.17	9.83	3.35
2002	10.42	11.97	6.57	8.44	9.4	1.34	4.55	7.42	10.69	6.62
2003	4.8	4.99	4.33	7.47	9.87	0.86	3.13	3.96	10.55	5.14
2004	9.31	9.21	7.11	6.91	8.85	1.29	4.98	6.01	11.67	5.01
2005	8.57	8.77	8.21	6.61	7.26	0.97	5.24	4.76	9.42	4.09
2006	8.25	9.8	6.62	7.33	9.09	0.89	4.5	3.9	9.54	2.75
2007	8.76	9.49	9.2	6.58	6.99	0.94	5.09	3.74	5.05	3.13
2008	13.91	13.03	10.36	9.61	8.08	1.05	7.35	4.66	9.12	6.14
2009	13.81	8.53	10.55	8.3	9.42	1.04	5.65	5.79	10.37	3.84
2010	14.69	6.53	9.2	4.94	7.72	1	4.07	3.79	8.51	2.21
2011	14.65	6.1	12.41	5.96	6.91	0.79	6.24	3.64	5.43	2.36
2012	16.22	7.27	12.92	7.04	7.12	0.66	7.09	4.05	7.15	2.28
2013	15.99	8.24	11.63	8.07	6.41	0.63	5.98	4.98	7.63	2.72
2014	16.68	7.26	12.14	7.4	8.02	1.01	7.5	6.66	5.94	2.34
2015	14.01	5.23	12.39	7.34	6.76	1.02	6.88	6.7	6.5	1.39
2016	15.2	6.58	13.73	6.62	8.18	1.27	10.02	6.12	7.75	1.44
2017	12.31	3.78	7.35	5.64	6.45	0.74	6.48	5.47	3.75	1.25
2018	13.96	4.91	9.97	8.53	8.98	1.36	6.8	10.26	4.98	1.7
