# Vacchiano - Alpe Fora - LADE - ITRDB ITA061
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38385
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38385.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ita061-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ita061.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ita061.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-08-02
#--------------------
# File_Last_Modified_Date
#   Date: 2023-08-02
#--------------------
# Title
#   Study_Name: Vacchiano - Alpe Fora - LADE - ITRDB ITA061
#--------------------
# Investigators
#   Investigators: Vacchiano, Giorgio
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Alpe Fora
#   Location: Italy
#   Northernmost_Latitude: 46.315
#   Southernmost_Latitude: 46.315
#   Easternmost_Longitude: 9.75
#   Westernmost_Longitude: 9.75
#   Elevation_m: 1970
#--------------------
# Data_Collection
#   Collection_Name: ITA061
#   First_Year: 1774
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## FORA001_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA001; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA002_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA002; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA003_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA003; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA004_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA004; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA005_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA005; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA006_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA006; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA007_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA007; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA008X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA008X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA009_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA009; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FORA012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FORA012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	FORA001_raw	FORA002_raw	FORA003_raw	FORA004_raw	FORA005_raw	FORA006_raw	FORA007_raw	FORA008X_raw	FORA009_raw	FORA011_raw	FORA012_raw
1774	0.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1775	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1776	0.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1777	0.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1778	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1779	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1780	0.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1781	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1782	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1783	0.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1784	1.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1785	1.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1786	1.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1787	1.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1788	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1789	1.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1790	0.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1791	1.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1792	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1793	1.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1794	1.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1795	1.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1796	1.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1797	1.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1798	0.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1799	0.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1800	1.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1801	0.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1802	1.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1803	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1804	2.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1805	2.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1806	2.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1807	3.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1808	2.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1809	2.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1810	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1811	2.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1812	1.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1813	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1814	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1815	1.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1816	1.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1817	1.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1818	2.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1819	2.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1820	2.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1821	1.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1822	1.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1823	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1824	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1825	0.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1826	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1827	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1828	1.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1829	1.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1830	1.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1831	2.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1832	1.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1833	1.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1834	4.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1835	3.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1836	2.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1837	1.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1838	1.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1839	1.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1840	1.96	2.45	NA	NA	NA	NA	NA	NA	NA	NA	NA
1841	2.41	2.22	NA	NA	NA	NA	NA	NA	NA	NA	NA
1842	3.75	2.55	NA	NA	NA	NA	NA	NA	NA	NA	NA
1843	2.22	1.61	NA	NA	NA	NA	NA	NA	NA	NA	NA
