# Jansma - Deventer Ship Timbers used as Rivetments - QUSP - ITRDB NETH003
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3624
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3624.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth003-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth003-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth003.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth003.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Jansma - Deventer Ship Timbers used as Rivetments - QUSP - ITRDB NETH003
#--------------------
# Investigators
#   Investigators: Jansma, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Deventer Ship Timbers used as Rivetments
#   Location: Netherlands
#   Northernmost_Latitude: 52.25
#   Southernmost_Latitude: 52.25
#   Easternmost_Longitude: 6.17
#   Westernmost_Longitude: 6.17
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH003
#   First_Year: 790
#   Last_Year: 1021
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DS2011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2013_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2013; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DS2014_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DS2014; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DS2011_raw	DS2021_raw	DS2031_raw	DS2041_raw	DS2051_raw	DS2071_raw	DS2012_raw	DS2013_raw	DS2014_raw
790	NA	2.77	NA	NA	NA	NA	NA	NA	NA
791	NA	3.33	NA	NA	NA	NA	NA	NA	NA
792	NA	2.73	NA	NA	NA	NA	NA	NA	NA
793	NA	3.13	NA	NA	NA	NA	NA	NA	NA
794	NA	2.72	NA	NA	NA	NA	NA	NA	NA
795	NA	3.55	NA	NA	NA	NA	NA	NA	NA
796	NA	3	NA	NA	NA	NA	NA	NA	NA
797	NA	2.92	NA	NA	NA	NA	NA	NA	NA
798	NA	2.5	NA	NA	NA	NA	NA	NA	NA
799	NA	2.28	NA	NA	NA	NA	NA	NA	NA
800	NA	2.77	NA	NA	NA	NA	NA	NA	NA
801	NA	3.2	NA	NA	NA	NA	NA	NA	NA
802	NA	3.75	NA	NA	NA	NA	NA	NA	NA
803	NA	3.32	NA	NA	NA	NA	NA	NA	NA
804	NA	3.16	NA	NA	NA	NA	NA	NA	NA
805	NA	2.8	NA	NA	NA	NA	NA	NA	NA
806	NA	2.3	NA	NA	NA	NA	NA	NA	NA
807	NA	3.66	NA	NA	NA	NA	NA	NA	NA
808	NA	2.74	NA	NA	NA	NA	NA	NA	NA
809	NA	3.46	NA	NA	NA	NA	NA	NA	NA
810	NA	2.54	NA	NA	NA	NA	NA	NA	NA
811	NA	2.64	NA	NA	NA	NA	NA	NA	NA
812	NA	2.45	NA	NA	NA	NA	NA	NA	NA
813	NA	2.88	NA	NA	NA	NA	NA	NA	NA
814	NA	2.8	NA	NA	NA	NA	NA	NA	NA
815	NA	2.4	NA	NA	NA	NA	NA	NA	NA
816	NA	2.09	NA	NA	NA	NA	NA	NA	NA
817	NA	2.48	NA	NA	NA	NA	NA	NA	NA
818	NA	2.57	NA	NA	NA	NA	NA	NA	NA
819	NA	2.06	NA	NA	NA	NA	NA	NA	NA
820	NA	2.34	NA	NA	NA	NA	NA	NA	NA
821	NA	1.82	NA	NA	NA	NA	NA	NA	NA
822	NA	1.81	NA	NA	NA	NA	NA	NA	NA
823	NA	1.72	NA	NA	NA	NA	NA	NA	NA
824	NA	1.97	NA	NA	NA	NA	NA	1.83	NA
825	NA	1.62	NA	NA	NA	NA	NA	2.09	NA
826	NA	1.42	NA	NA	NA	NA	NA	1.53	NA
827	NA	1.59	NA	NA	NA	NA	NA	1.44	NA
828	NA	1.78	NA	NA	NA	NA	NA	1.41	NA
829	NA	1.81	NA	NA	NA	NA	NA	1.03	NA
830	NA	1.79	NA	NA	NA	NA	NA	1.2	NA
831	NA	1.8	NA	NA	NA	NA	NA	1.22	NA
832	NA	1.3	NA	NA	NA	NA	NA	1.21	NA
833	NA	1.44	NA	NA	NA	NA	NA	0.88	NA
834	NA	2.21	NA	NA	NA	NA	NA	1.74	NA
835	NA	1.59	NA	NA	NA	NA	NA	1.3	1.35
836	NA	1.73	NA	NA	NA	NA	NA	1.26	1.41
837	NA	2.06	NA	NA	NA	NA	NA	1.18	1.86
838	NA	1.52	NA	NA	NA	3.41	NA	1	1.36
839	NA	1.32	NA	NA	NA	2.19	NA	1.44	1.47
840	NA	1.69	NA	NA	NA	2.48	NA	1.74	1.95
841	NA	1.52	NA	NA	NA	1.64	NA	1.15	1.56
842	NA	1.76	NA	NA	NA	2.03	NA	1.31	2.01
843	NA	1.41	NA	NA	NA	1.4	NA	1.03	1.2
844	NA	1.47	NA	NA	NA	1.72	NA	1.48	1.88
845	NA	1.93	NA	NA	NA	2.51	NA	1.64	2.6
846	NA	1.58	NA	NA	NA	1.76	NA	1.3	1.98
847	NA	1.64	NA	NA	NA	1.37	NA	1.33	1.83
848	NA	1.46	NA	NA	NA	1.45	NA	1.75	2.05
849	NA	1.1	NA	NA	NA	1.56	NA	1.65	1.82
850	NA	1.12	NA	NA	NA	1.76	NA	0.83	1.33
851	NA	1	NA	NA	NA	1.13	NA	0.83	1.19
852	NA	1.06	NA	NA	NA	1.03	NA	1.11	1.19
853	NA	1.82	NA	NA	NA	1.26	NA	1.6	0.74
854	NA	1.83	NA	NA	NA	1.35	NA	2.17	1.92
855	NA	1.57	NA	NA	NA	0.97	NA	1.28	1.68
856	NA	1.47	NA	NA	NA	1.58	NA	1.13	1.48
857	NA	1.37	NA	NA	NA	1.28	NA	1.46	1.74
858	NA	1.38	NA	NA	NA	1.21	NA	1.13	1.48
859	NA	1.48	NA	NA	NA	1.46	NA	1.37	1.86
860	NA	1.24	NA	NA	NA	1.38	NA	1.11	1.52
861	NA	1.38	NA	NA	NA	1.8	NA	1.48	1.57
862	NA	0.97	NA	NA	NA	1.25	NA	1.2	1.22
863	NA	1.14	NA	NA	NA	1.07	NA	0.83	1
864	NA	1.1	NA	NA	NA	0.95	NA	1.2	0.97
865	NA	1.19	NA	NA	NA	1.18	NA	0.99	1.34
866	NA	1.15	NA	NA	NA	1.2	NA	1.57	1.93
867	NA	1.29	NA	NA	NA	1.31	NA	1.71	1.93
868	NA	1.28	NA	NA	NA	1.21	NA	1.28	1.22
869	NA	1.5	NA	NA	NA	1.46	NA	1.75	1.5
