# Jansma - Velsen Roman Fortress Velsen I Harbour Jetty - QUSP - ITRDB NETH012
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3639
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3639.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth012-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth012-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth012.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth012.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-05-08
#--------------------
# File_Last_Modified_Date
#   Date: 1996-05-08
#--------------------
# Title
#   Study_Name: Jansma - Velsen Roman Fortress Velsen I Harbour Jetty - QUSP - ITRDB NETH012
#--------------------
# Investigators
#   Investigators: Jansma, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Velsen Roman Fortress Velsen I Harbour Jetty
#   Location: Netherlands
#   Northernmost_Latitude: 52.47
#   Southernmost_Latitude: 52.47
#   Easternmost_Longitude: 4.65
#   Westernmost_Longitude: 4.65
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH012
#   First_Year: -87
#   Last_Year: 21
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## VEL011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VEL021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VEL031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VEL041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VEL051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VEL061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VEL071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VEL071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	VEL011_raw	VEL021_raw	VEL031_raw	VEL041_raw	VEL051_raw	VEL061_raw	VEL071_raw
-87	NA	NA	NA	1.41	NA	NA	NA
-86	NA	NA	NA	1.46	NA	NA	NA
-85	NA	NA	NA	1.22	NA	NA	NA
-84	NA	NA	NA	0.98	0.8	NA	NA
-83	NA	NA	NA	0.68	0.76	NA	NA
-82	NA	NA	NA	0.55	1	NA	NA
-81	NA	NA	NA	0.47	0.77	NA	NA
-80	NA	NA	NA	0.37	0.95	NA	NA
-79	NA	NA	NA	0.47	0.48	NA	NA
-78	NA	NA	NA	0.31	0.4	NA	NA
-77	NA	NA	NA	0.33	0.39	NA	NA
-76	NA	NA	NA	0.27	0.43	NA	NA
-75	NA	NA	NA	0.29	0.44	NA	NA
-74	NA	NA	NA	0.28	0.41	NA	NA
-73	NA	NA	NA	0.34	0.4	NA	NA
-72	NA	NA	NA	0.44	0.5	NA	NA
-71	NA	NA	NA	0.62	0.72	NA	NA
-70	NA	NA	NA	0.87	0.8	NA	NA
-69	NA	NA	NA	0.61	0.67	NA	NA
-68	NA	NA	NA	0.75	0.83	NA	NA
-67	NA	NA	NA	0.33	0.72	NA	NA
-66	NA	NA	NA	0.42	0.69	NA	NA
-65	NA	NA	NA	0.6	0.58	NA	NA
-64	NA	NA	NA	0.61	0.6	NA	NA
-63	NA	NA	NA	0.48	0.64	NA	NA
-62	NA	NA	NA	0.55	0.79	NA	NA
-61	NA	NA	NA	0.81	0.85	NA	NA
-60	NA	NA	NA	0.59	0.95	NA	NA
-59	NA	NA	NA	0.65	0.94	NA	NA
-58	NA	NA	0.95	0.97	1.46	NA	NA
-57	NA	NA	0.5	0.68	1.39	NA	NA
-56	NA	NA	0.38	0.7	0.97	NA	NA
-55	NA	NA	0.37	0.44	0.76	NA	NA
-54	NA	NA	0.53	0.5	0.64	NA	NA
-53	NA	1.4	0.61	0.54	0.59	NA	NA
-52	NA	1.75	0.67	0.68	1.06	1.3	NA
-51	NA	1.42	0.72	0.44	1.11	1.12	1.33
-50	NA	1.92	0.86	0.36	1.16	1.23	2.09
-49	NA	2.24	1.16	1.46	2.03	1.89	2.11
-48	NA	1.72	1.03	0.85	1.41	1.69	1.1
-47	NA	0.88	0.86	0.93	1.26	1	0.87
-46	NA	1.14	0.82	0.92	1.29	0.89	1.3
-45	1.01	1.12	0.69	0.74	0.83	0.91	1.92
-44	1.42	0.98	0.82	1.08	1.35	1.21	1.95
-43	1.03	0.81	0.78	0.78	1.33	1.25	1.74
-42	0.93	0.67	0.7	0.57	0.96	1	1.62
-41	1.08	0.9	0.64	0.74	1.01	1.01	1.89
-40	0.71	0.63	0.66	0.62	0.8	0.87	1.99
-39	0.69	0.82	1.04	0.8	0.73	0.86	1.32
-38	0.57	1	1.04	0.72	0.83	1.03	1.23
-37	0.41	0.8	0.82	0.55	0.6	0.87	1.22
-36	0.5	0.84	0.95	0.61	0.62	0.93	0.96
-35	0.61	0.88	1.08	0.73	1.02	1.02	1.27
-34	0.65	0.77	1.16	0.98	1.02	0.96	1.27
-33	0.69	1.57	1.39	1.21	1.46	1.34	2.21
-32	0.72	1.34	1.29	0.98	1.48	1.23	1.87
-31	0.77	1.56	1.06	1.02	1.53	1.49	2.16
-30	0.82	2.07	1.27	1.25	1.35	1.71	2.11
-29	0.97	1.04	0.85	0.9	1.08	1.17	1.34
-28	0.48	0.67	0.6	0.6	0.57	1.02	0.88
-27	0.72	0.61	0.62	0.68	0.77	1.21	1.05
-26	0.83	0.74	0.82	0.79	1.25	1.53	1.48
-25	0.92	1.15	0.83	0.81	1.68	1.37	1.37
-24	0.73	1.24	0.91	1.22	1.31	1.2	1.24
-23	0.81	1.34	0.96	0.87	0.9	1.04	1.13
-22	0.58	1.02	0.65	0.85	0.97	1.22	1.16
-21	1.19	1.95	1.21	1.57	1.17	1.59	2.1
-20	1.18	1.26	0.89	1.04	0.73	1.03	1.37
-19	0.65	0.9	0.66	0.59	0.39	0.64	1.14
-18	0.73	0.71	0.82	0.8	0.56	0.68	0.97
-17	0.61	0.51	0.79	0.53	0.46	0.62	0.79
-16	0.59	0.39	0.65	0.34	0.5	0.57	0.62
-15	0.59	0.57	0.63	0.51	0.47	0.54	0.71
-14	0.74	0.45	0.55	0.48	0.52	0.48	0.58
-13	0.46	0.56	0.5	0.43	0.46	0.57	0.64
-12	0.59	0.59	0.56	0.42	0.41	0.6	0.72
-11	0.59	0.48	0.63	0.51	0.45	0.55	0.75
-10	0.61	0.55	0.74	0.58	0.4	0.54	0.71
-9	0.64	0.95	1.29	0.71	0.52	0.72	1
-8	0.64	0.69	1.06	0.67	0.39	0.55	0.72
-7	0.64	0.46	0.98	0.5	0.46	0.54	0.65
-6	0.76	0.77	1.3	0.53	0.56	0.71	0.93
