# Hillam - Gloucester Blackfriars - QUSP - ITRDB BRIT029
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3493
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3493.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit029-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit029-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit029.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit029.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hillam - Gloucester Blackfriars - QUSP - ITRDB BRIT029
#--------------------
# Investigators
#   Investigators: Hillam, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Gloucester Blackfriars
#   Location: United Kingdom
#   Northernmost_Latitude: 51.75
#   Southernmost_Latitude: 51.75
#   Easternmost_Longitude: -2.0
#   Westernmost_Longitude: -2.0
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: BRIT029
#   First_Year: 1076
#   Last_Year: 1219
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BF01.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF01.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF02.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF02.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF04.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF04.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF05.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF05.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF06.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF06.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF07.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF07.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF10.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF10.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF11.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF11.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF12.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF12.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF13.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF13.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BF38.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BF38.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BF01.D_raw	BF02.D_raw	BF04.D_raw	BF05.D_raw	BF06.D_raw	BF07.D_raw	BF10.D_raw	BF11.D_raw	BF12.D_raw	BF13.D_raw	BF38.D_raw
1076	NA	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA
1077	NA	2.45	NA	NA	NA	NA	NA	NA	NA	NA	NA
1078	NA	1.46	NA	NA	NA	NA	NA	NA	NA	NA	NA
1079	NA	1.86	NA	NA	NA	NA	NA	NA	NA	NA	NA
1080	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
1081	NA	1.34	NA	NA	NA	NA	NA	NA	NA	NA	NA
1082	NA	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA
1083	NA	2.14	NA	NA	NA	NA	NA	NA	NA	NA	NA
1084	NA	1.63	NA	NA	NA	NA	NA	NA	NA	NA	NA
1085	NA	2.76	NA	NA	NA	NA	NA	NA	NA	NA	NA
1086	NA	2.29	NA	NA	NA	NA	NA	NA	NA	NA	NA
1087	NA	1.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
1088	NA	2.26	NA	NA	NA	NA	NA	NA	NA	NA	NA
1089	NA	2.39	NA	NA	NA	NA	NA	NA	NA	NA	NA
1090	NA	1.82	NA	NA	NA	NA	NA	NA	NA	NA	NA
1091	NA	2.22	NA	NA	NA	NA	NA	NA	NA	NA	NA
1092	NA	2.23	NA	NA	NA	NA	NA	NA	NA	NA	NA
1093	NA	2.05	NA	NA	NA	NA	NA	NA	NA	NA	NA
1094	NA	1.71	NA	NA	NA	NA	NA	NA	NA	NA	NA
1095	NA	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
1096	NA	1.78	NA	NA	NA	NA	NA	NA	NA	NA	NA
1097	NA	2.22	NA	NA	NA	NA	NA	NA	NA	NA	NA
1098	NA	2.39	NA	NA	NA	NA	NA	NA	NA	NA	NA
1099	NA	1.77	NA	NA	NA	NA	NA	NA	NA	NA	NA
1100	NA	2.3	NA	NA	NA	NA	NA	NA	3	NA	NA
1101	NA	1.41	NA	NA	NA	NA	NA	NA	2.9	NA	NA
1102	NA	1.84	NA	NA	NA	NA	NA	NA	3	NA	NA
1103	NA	1.97	NA	NA	2.67	NA	NA	NA	2.5	NA	NA
1104	NA	1.59	NA	NA	2.36	NA	NA	NA	2.4	NA	NA
1105	NA	1.51	NA	NA	3.08	NA	NA	NA	3	NA	NA
1106	NA	1.16	NA	NA	2.29	NA	NA	NA	1.5	NA	NA
1107	NA	1.37	NA	NA	2.35	NA	NA	NA	1.5	3	NA
1108	NA	1.63	NA	NA	3.23	NA	NA	2.3	1.8	3	NA
1109	NA	1.58	NA	NA	2.28	NA	NA	2.1	1.9	3.4	NA
1110	NA	1.23	NA	NA	2.16	NA	NA	1.7	1.8	2.2	NA
1111	NA	1.44	NA	NA	1.86	NA	NA	2	1.8	2.9	NA
1112	NA	1.41	NA	NA	2.12	NA	NA	2.5	1.7	3.2	NA
1113	NA	1.29	NA	NA	1.57	NA	NA	3.8	1.5	2.7	NA
1114	NA	1.15	NA	NA	1.74	NA	NA	2	1.4	3	NA
1115	NA	1.49	NA	NA	2.73	NA	NA	1.9	1.4	2.6	NA
1116	NA	0.89	NA	NA	1.8	NA	NA	1.7	1.6	2.9	NA
1117	NA	1.21	NA	NA	2.45	NA	NA	2.5	1.2	3.4	NA
1118	NA	1.7	NA	NA	2.82	NA	NA	3.8	1.9	3.9	NA
1119	NA	1.14	NA	NA	1.96	NA	NA	2.2	1.3	2.6	NA
1120	NA	1.53	NA	NA	2.72	NA	NA	2.4	1.2	2.7	NA
1121	NA	1.24	NA	NA	1.88	NA	NA	2.4	1.4	2.9	NA
1122	NA	1.45	NA	NA	2.73	NA	NA	2.9	1.5	3	NA
1123	NA	1.97	NA	NA	3.27	NA	NA	3	1.9	3	NA
1124	NA	1.04	NA	NA	2.29	NA	NA	2.7	1.8	2.7	NA
1125	NA	1.58	NA	NA	2.62	NA	NA	2.9	2	2.9	NA
1126	NA	1.37	NA	NA	1.5	NA	NA	1.8	1.5	1.8	NA
1127	NA	1.21	NA	NA	2.86	NA	NA	2	1.7	2.4	NA
1128	NA	1.47	NA	NA	2.73	NA	NA	2.2	1.8	3.1	NA
1129	NA	1.03	NA	NA	1.61	NA	NA	1.8	1	1.7	NA
1130	NA	1.15	NA	NA	2.41	2.63	NA	2.1	1.4	2	NA
1131	NA	0.85	NA	NA	1.53	2.11	NA	1.9	1.2	1.7	NA
1132	NA	1.24	NA	NA	2.67	3.1	NA	1.6	1.6	2.4	NA
1133	NA	0.94	NA	NA	1.64	3.31	NA	1.3	1.7	2	NA
1134	NA	1.15	NA	NA	2.09	3.9	NA	1.4	1.7	2.3	NA
1135	NA	1.2	NA	NA	1.78	2.87	NA	2.1	1.5	2.6	NA
1136	NA	1.25	NA	NA	2.3	3.13	NA	2.9	1.6	2.2	NA
1137	NA	1.02	NA	NA	1.48	1.42	NA	2.7	1.3	1.7	NA
1138	NA	1.39	NA	NA	2.15	2.73	NA	4.9	1.8	2.6	NA
1139	NA	1.12	NA	2	1.75	2.05	NA	3.6	2	1.9	NA
1140	NA	1.88	1.87	2.54	2.82	3.58	NA	5.6	2.2	2.4	NA
1141	NA	1.61	2.19	2.7	2.32	3.93	NA	4.4	2.3	2.3	NA
1142	NA	1.66	1.62	2.45	1.94	2.77	NA	3.7	2	2.3	NA
1143	NA	0.94	1.6	2.31	1.45	1.97	NA	2.6	1.6	1.7	NA
1144	NA	1.38	1.61	2.4	1.75	3.06	NA	1.8	1.5	1.8	NA
1145	NA	1.8	2.16	3.29	1.92	3.27	NA	2.4	2.3	2.4	NA
1146	NA	1.57	1.69	3.01	2.05	2.92	NA	3.4	2.7	2.4	NA
1147	NA	1.19	1.42	2.14	1.35	1.64	NA	1.9	2.2	2.4	NA
1148	NA	1.5	1.52	3.46	2.86	2.01	NA	2.7	3.2	2.7	NA
1149	2.62	1.38	1.63	2.74	2.48	2.71	NA	2.4	2.7	2.5	1.61
1150	2.25	1.51	1.39	2.01	1.82	1.86	NA	2.8	2	1.8	1.22
1151	2.66	2.07	1.77	3.08	2.26	1.7	NA	2.7	2.6	1.7	1.32
1152	1.88	1.12	2.38	2.14	1.64	1.56	NA	2.3	2.2	1.8	1.21
1153	3.24	1.32	2.91	2.82	2.73	2.73	NA	2.8	2.5	2.1	1.77
1154	3.11	1.16	2.14	1.88	2.11	2.4	NA	2.4	2.3	1.9	1.5
1155	2.47	0.94	2.4	1.51	1.59	1.81	NA	2.1	2.3	1.8	1.3
1156	3.16	1.21	3.44	1.64	2.01	1.78	NA	2.6	2.4	2.3	1.61
1157	3.53	1.45	3.39	2.15	2.22	2.45	NA	2.7	2.8	2	1.98
1158	3.1	1.09	2.91	1.88	1.67	1.63	1.94	2.1	2.5	2.2	1.22
1159	4.05	1.63	3.51	2.96	1.62	2.28	2.89	2.6	3	2.3	1.51
1160	4.28	NA	3.85	3.11	2.6	3.71	2.84	3.2	2.8	2.5	1.79
1161	3.19	NA	2.36	2.45	1.25	1.92	1.78	1.6	1	1.2	1.62
1162	2.93	NA	2.78	2.3	1.73	2.06	2.19	1.9	1.2	1.7	2.41
1163	2.2	NA	1.79	1.81	1.24	1.7	1.54	1.7	1	1.2	1.73
1164	3.83	NA	3.13	2.6	1.71	2	2.29	2.3	1.9	1.5	2.67
1165	2.61	NA	2.63	1.89	2.14	2.42	2.7	2.1	2	1.9	2.72
1166	2.32	NA	2.91	2.32	1.45	2.03	2.03	2.1	1.6	2	1.91
1167	2.2	NA	2.41	1.87	1.06	1.79	1.56	2	1.2	1.3	1.4
1168	2.56	NA	3.17	1.91	2.18	2.66	1.83	2.3	1.4	1.5	1.99
1169	3.04	NA	4.16	3.3	2.1	2.66	2.61	2.4	2.5	1.7	2.38
1170	2.1	NA	2.65	2.65	NA	1.45	2.14	1.8	NA	1.3	1.72
1171	3.22	NA	2.8	3.61	NA	1.44	2.98	2	NA	1.5	2.18
1172	3.47	NA	2.97	2.5	NA	2.09	2.35	2	NA	1.5	1.79
1173	2.49	NA	2.7	3.02	NA	2.25	2.44	2.5	NA	1.6	2.25
1174	2.85	NA	2.88	2.03	NA	1.82	2.77	2.6	NA	1.7	1.9
1175	2.31	NA	2.2	1.86	NA	2.03	1.97	2.4	NA	1.6	1.55
1176	3.49	NA	3.2	2.69	NA	3.52	2.81	2.7	NA	1.5	2.25
1177	1.5	NA	1.35	1.28	NA	1.49	1.85	1.9	NA	1	1.13
1178	1.84	NA	2.02	1.61	NA	1.83	2.38	2.3	NA	1.3	1.95
1179	2.76	NA	2.9	2.39	NA	2.26	2.97	3.7	NA	1.2	2.38
1180	1.78	NA	2.15	1.32	NA	0.98	2.02	2.4	NA	1	1.72
