# Hillam - Brockadale - QUSP - ITRDB BRIT035
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3492
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3492.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit035-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit035-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit035.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit035.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-08-25
#--------------------
# File_Last_Modified_Date
#   Date: 2005-08-25
#--------------------
# Title
#   Study_Name: Hillam - Brockadale - QUSP - ITRDB BRIT035
#--------------------
# Investigators
#   Investigators: Hillam, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Brockadale
#   Location: United Kingdom
#   Northernmost_Latitude: 53.75
#   Southernmost_Latitude: 53.75
#   Easternmost_Longitude: -2.0
#   Westernmost_Longitude: -2.0
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: BRIT035
#   First_Year: 1844
#   Last_Year: 1984
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BROC01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BROC09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BROC09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BROC01_raw	BROC02_raw	BROC03_raw	BROC04_raw	BROC05_raw	BROC06_raw	BROC07_raw	BROC08_raw	BROC09_raw
1844	NA	NA	NA	0.92	NA	NA	NA	NA	NA
1845	NA	NA	NA	1.7	NA	NA	NA	NA	NA
1846	NA	NA	NA	0.72	NA	NA	NA	NA	NA
1847	NA	NA	NA	1.38	NA	NA	NA	NA	NA
1848	NA	NA	NA	2.36	NA	NA	NA	NA	NA
1849	NA	NA	NA	1.1	NA	NA	NA	NA	NA
1850	NA	NA	NA	1.24	NA	NA	NA	NA	NA
1851	NA	NA	NA	1.68	NA	NA	NA	NA	NA
1852	NA	NA	NA	1.16	NA	NA	NA	NA	NA
1853	NA	NA	NA	1.64	NA	NA	NA	NA	NA
1854	NA	NA	NA	1.24	NA	NA	NA	NA	NA
1855	NA	NA	NA	1.04	NA	NA	NA	NA	NA
1856	NA	NA	NA	1.3	NA	NA	NA	NA	NA
1857	NA	NA	NA	1.58	NA	NA	NA	NA	NA
1858	NA	NA	NA	0.82	NA	NA	NA	NA	NA
1859	NA	NA	NA	1.52	NA	NA	NA	NA	NA
1860	NA	NA	NA	0.94	NA	NA	NA	NA	NA
1861	NA	NA	NA	0.36	NA	NA	NA	NA	NA
1862	NA	NA	NA	0.68	NA	NA	NA	NA	NA
1863	NA	NA	NA	0.34	NA	NA	NA	NA	NA
1864	NA	NA	NA	0.6	NA	NA	NA	NA	NA
1865	NA	NA	NA	0.68	NA	NA	NA	NA	NA
1866	NA	NA	NA	0.46	NA	NA	NA	NA	NA
1867	NA	NA	NA	1.04	NA	NA	NA	NA	NA
1868	NA	NA	NA	0.36	NA	NA	NA	NA	NA
1869	NA	NA	NA	0.48	NA	NA	NA	NA	NA
1870	NA	NA	NA	0.6	NA	NA	NA	NA	NA
1871	NA	NA	NA	1	NA	NA	NA	NA	NA
1872	NA	NA	NA	1.18	NA	NA	NA	NA	NA
1873	NA	NA	NA	0.76	NA	NA	NA	NA	NA
1874	NA	NA	NA	0.4	NA	NA	NA	NA	NA
1875	NA	NA	NA	0.54	NA	NA	NA	NA	NA
1876	NA	NA	NA	0.64	NA	NA	NA	NA	NA
1877	NA	NA	NA	0.9	NA	NA	NA	NA	NA
1878	NA	NA	NA	0.72	NA	NA	NA	NA	NA
1879	NA	NA	NA	0.68	NA	NA	NA	NA	NA
1880	NA	NA	NA	0.44	NA	NA	NA	NA	NA
1881	NA	NA	NA	0.32	NA	NA	NA	NA	NA
1882	NA	NA	NA	0.88	NA	NA	NA	NA	NA
1883	NA	NA	NA	0.58	NA	NA	NA	NA	NA
1884	NA	NA	NA	0.42	NA	NA	NA	NA	NA
1885	NA	NA	NA	0.6	NA	NA	NA	NA	NA
1886	NA	NA	NA	0.7	NA	NA	NA	NA	NA
1887	NA	NA	NA	0.3	NA	NA	NA	NA	NA
1888	NA	NA	NA	0.92	NA	NA	NA	NA	NA
1889	NA	NA	NA	0.66	NA	NA	NA	NA	NA
1890	NA	NA	NA	0.94	NA	NA	NA	NA	NA
1891	NA	NA	NA	0.66	NA	NA	NA	NA	NA
1892	NA	NA	NA	0.74	NA	NA	NA	NA	NA
1893	NA	NA	NA	0.42	NA	NA	NA	NA	NA
1894	NA	NA	NA	0.66	NA	NA	NA	NA	NA
1895	NA	NA	NA	0.54	NA	NA	NA	NA	NA
1896	NA	NA	NA	0.42	NA	NA	NA	NA	NA
1897	NA	NA	NA	0.84	NA	NA	NA	NA	NA
1898	NA	NA	NA	0.64	NA	NA	NA	NA	NA
1899	NA	NA	NA	0.68	NA	NA	NA	NA	NA
1900	NA	NA	NA	0.68	NA	NA	NA	NA	NA
1901	NA	NA	NA	0.38	NA	NA	NA	NA	NA
1902	NA	NA	NA	0.48	NA	NA	NA	NA	NA
1903	NA	NA	NA	0.68	NA	NA	NA	NA	NA
1904	NA	NA	NA	0.56	NA	NA	NA	NA	NA
1905	NA	NA	NA	0.34	NA	NA	NA	NA	NA
1906	NA	NA	NA	0.4	NA	NA	NA	NA	NA
1907	NA	NA	NA	0.46	NA	NA	NA	NA	NA
1908	NA	NA	NA	0.48	NA	NA	NA	NA	NA
1909	NA	NA	NA	0.44	NA	NA	NA	NA	NA
1910	NA	NA	NA	0.46	NA	NA	NA	NA	NA
1911	NA	NA	NA	0.3	NA	NA	NA	NA	NA
1912	NA	NA	NA	0.38	NA	NA	NA	NA	NA
1913	NA	NA	NA	0.6	NA	NA	NA	NA	NA
1914	NA	NA	NA	0.32	NA	NA	NA	NA	NA
1915	NA	NA	NA	0.36	NA	NA	NA	NA	NA
1916	NA	NA	NA	0.38	NA	NA	NA	NA	NA
1917	NA	NA	NA	0.4	NA	NA	NA	NA	NA
1918	NA	NA	NA	0.3	NA	NA	NA	NA	NA
1919	NA	NA	NA	0.28	NA	NA	NA	NA	NA
1920	NA	NA	NA	0.44	NA	NA	NA	NA	NA
1921	NA	NA	NA	0.32	NA	NA	NA	NA	NA
1922	NA	NA	NA	0.72	NA	NA	NA	NA	NA
1923	NA	NA	NA	0.34	NA	NA	NA	NA	NA
