# Linderholm - Bredmossen - PISY - ITRDB SWED316
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/6131
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-6131.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed316-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swed316-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed316.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swed316.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2008-06-09
#--------------------
# File_Last_Modified_Date
#   Date: 2008-06-09
#--------------------
# Title
#   Study_Name: Linderholm - Bredmossen - PISY - ITRDB SWED316
#--------------------
# Investigators
#   Investigators: Linderholm, H.W.(https://orcid.org/0000-0002-1522-8919)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Bredmossen
#   Location: Sweden
#   Northernmost_Latitude: 60.13
#   Southernmost_Latitude: 60.13
#   Easternmost_Longitude: 16.08
#   Westernmost_Longitude: 16.08
#   Elevation_m: 135
#--------------------
# Data_Collection
#   Collection_Name: SWED316
#   First_Year: 1789
#   Last_Year: 1997
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BMBP0019_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0019; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0029_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0029; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0039_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0039; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0049_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0049; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0059_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0059; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0069_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0069; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0079_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0079; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0089_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0089; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0099_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0099; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0119_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0119; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0129_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0129; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0139_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0139; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0149_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0149; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0169_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0169; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0189_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0189; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0199_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0199; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0209_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0209; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0219_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0219; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0229_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0229; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BMBP0249_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BMBP0249; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BMBP0019_raw	BMBP0029_raw	BMBP0039_raw	BMBP0049_raw	BMBP0059_raw	BMBP0069_raw	BMBP0079_raw	BMBP0089_raw	BMBP0099_raw	BMBP0101_raw	BMBP0119_raw	BMBP0129_raw	BMBP0139_raw	BMBP0149_raw	BMBP0169_raw	BMBP0189_raw	BMBP0199_raw	BMBP0209_raw	BMBP0219_raw	BMBP0229_raw	BMBP0249_raw
1789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38	NA	NA
1790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.62	0.72	NA
1791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.53	0.78	NA
1792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.67	0.79	NA
1793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21	0.65	NA
1794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11	0.77	NA
1795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA	NA	NA	0.13	0.69	NA
1796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.18	NA	NA	NA	NA	NA	NA	NA	0.47	0.59	NA
1797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.05	NA	NA	NA	NA	NA	NA	NA	0.55	0.72	NA
1798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.19	NA	NA	NA	NA	NA	NA	NA	0.77	0.82	NA
1799	NA	NA	NA	NA	NA	NA	NA	NA	0.6	NA	1.25	NA	NA	NA	NA	NA	NA	NA	0.5	0.67	NA
1800	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1.17	NA	NA	NA	NA	NA	NA	NA	0.45	0.89	NA
1801	NA	NA	NA	NA	NA	NA	NA	NA	1.03	NA	0.99	NA	NA	NA	NA	NA	NA	NA	0.47	0.75	NA
1802	NA	NA	NA	NA	NA	NA	NA	0.69	0.65	NA	1.1	NA	NA	NA	NA	NA	NA	NA	0.58	0.65	NA
1803	NA	NA	NA	NA	NA	NA	NA	0.81	1.11	NA	1.04	NA	NA	NA	NA	NA	NA	NA	0.56	0.84	NA
1804	NA	NA	NA	NA	NA	NA	NA	0.89	0.81	NA	1.02	NA	NA	NA	NA	NA	NA	NA	0.45	0.56	NA
1805	NA	NA	NA	NA	NA	NA	NA	0.78	1.09	NA	1	NA	NA	NA	NA	NA	NA	NA	0.69	0.82	1.03
1806	NA	NA	NA	NA	NA	NA	0.76	0.57	1	0.75	0.83	NA	NA	NA	NA	NA	NA	NA	0.58	0.64	0.68
1807	NA	NA	NA	NA	NA	NA	0.78	0.23	0.43	0.69	0.54	0.37	NA	NA	NA	NA	NA	NA	0.69	0.26	0.34
1808	NA	NA	NA	NA	NA	NA	0.89	0.56	1.13	0.88	0.69	0.63	NA	NA	NA	NA	NA	NA	0.75	0.4	0.6
1809	NA	NA	NA	NA	NA	NA	0.56	0.46	1.29	0.65	0.67	0.81	NA	NA	NA	NA	NA	NA	0.75	0.47	0.82
1810	NA	NA	NA	NA	NA	NA	0.07	0.2	0.74	0.63	0.48	0.52	NA	NA	NA	NA	NA	NA	0.52	0.37	0.51
1811	NA	NA	NA	NA	NA	NA	0.15	0.1	0.6	0.9	0.6	0.84	NA	NA	NA	NA	NA	NA	0.45	0.42	0.62
1812	NA	NA	NA	NA	NA	NA	0.23	0.13	0.64	0.86	0.76	0.99	NA	NA	NA	NA	NA	NA	0.64	0.56	0.84
1813	NA	NA	NA	NA	NA	NA	0.18	0.08	0.64	0.63	0.73	0.44	NA	NA	NA	NA	NA	NA	0.64	0.57	0.62
1814	NA	NA	NA	NA	NA	NA	0.13	0.11	0.52	0.53	0.56	0.28	NA	NA	NA	NA	NA	NA	0.56	0.32	0.36
1815	NA	NA	NA	NA	NA	NA	0.25	0.18	0.64	0.75	0.48	0.41	NA	NA	NA	NA	NA	NA	0.58	0.41	0.43
1816	NA	NA	NA	NA	NA	NA	0.21	0.2	0.63	0.72	0.66	0.73	NA	NA	NA	NA	NA	NA	0.56	0.34	0.43
1817	NA	NA	NA	NA	NA	NA	0.35	0.2	0.87	0.89	0.75	0.76	NA	NA	NA	NA	NA	NA	0.81	0.45	0.62
1818	NA	NA	NA	NA	NA	NA	0.44	0.24	0.64	0.91	0.69	0.61	NA	NA	NA	NA	NA	NA	0.75	0.33	0.37
1819	NA	NA	NA	NA	NA	NA	0.61	0.29	0.67	0.78	0.79	0.76	NA	NA	NA	NA	NA	NA	0.68	0.39	0.42
1820	NA	NA	NA	NA	NA	0.7	0.73	0.26	0.57	0.88	0.89	0.95	NA	NA	NA	NA	NA	NA	1.31	0.38	0.39
1821	NA	NA	NA	NA	NA	0.77	0.75	0.27	0.61	0.69	0.92	0.73	NA	NA	NA	NA	NA	NA	1.22	0.44	0.31
1822	NA	NA	NA	NA	NA	0.62	0.65	0.27	0.55	0.55	0.55	0.49	NA	NA	NA	NA	NA	NA	0.77	0.2	0.19
1823	NA	NA	NA	NA	NA	0.84	0.74	0.12	0.54	0.7	0.62	0.68	NA	NA	NA	NA	NA	NA	0.76	0.22	0.23
1824	NA	NA	NA	NA	NA	1	0.89	0.08	0.86	0.89	0.91	0.72	NA	NA	NA	NA	NA	NA	1.18	0.39	0.36
1825	NA	NA	NA	NA	NA	1.13	0.93	0.16	0.7	0.83	0.69	0.68	NA	NA	NA	NA	NA	NA	0.77	0.42	0.33
1826	NA	NA	NA	NA	NA	1.55	1.5	0.47	1	0.98	0.94	0.87	NA	NA	NA	NA	NA	NA	1.09	0.48	0.41
1827	NA	NA	NA	NA	NA	1.67	1.32	0.56	0.89	0.66	0.82	0.99	NA	0.66	NA	NA	NA	NA	1	0.46	0.47
1828	NA	NA	NA	NA	NA	1.6	1.2	0.25	0.86	0.65	0.77	0.81	NA	0.68	NA	NA	NA	NA	0.97	0.37	0.46
1829	NA	NA	NA	NA	NA	1.15	1.07	0.12	0.76	0.57	0.67	0.63	NA	0.73	NA	NA	NA	NA	0.55	0.31	0.37
1830	NA	NA	NA	NA	NA	1.16	0.93	0.08	0.91	0.47	0.78	0.72	NA	0.64	0.61	NA	NA	NA	0.8	0.51	0.43
1831	NA	NA	NA	NA	NA	0.93	0.95	0.17	0.74	0.33	0.64	0.42	NA	0.52	1.07	NA	NA	NA	0.65	0.3	0.28
1832	NA	NA	NA	NA	NA	0.65	0.56	0.42	0.6	0.23	0.53	0.31	NA	0.43	1.06	NA	1.08	NA	0.63	0.28	0.31
1833	NA	NA	NA	NA	NA	0.9	0.71	0.57	0.65	0.44	0.56	0.39	NA	0.54	1.42	1.69	1.03	NA	0.63	0.33	0.49
1834	NA	NA	NA	NA	NA	0.73	0.85	0.42	0.58	0.55	0.47	0.44	NA	0.51	1.67	1.4	0.73	NA	0.67	0.34	0.52
1835	NA	NA	NA	NA	NA	0.81	0.56	0.13	0.48	0.31	0.36	0.33	NA	0.32	1.09	1.29	0.73	NA	0.63	0.27	0.33
1836	NA	NA	NA	NA	NA	0.76	0.71	0.13	0.55	0.41	0.52	0.38	NA	0.29	1	1.21	0.96	NA	0.74	0.31	0.41
1837	NA	NA	NA	NA	NA	0.73	0.66	0.09	0.41	0.32	0.3	0.22	NA	0.19	0.84	1.06	0.77	NA	0.58	0.26	0.24
1838	NA	NA	NA	NA	NA	0.5	0.56	0.13	0.47	0.32	0.32	0.24	NA	0.15	0.38	0.87	0.66	NA	0.42	0.23	0.21
