# Jansma - Oegstgeest House Endegeer Roof Timbers - QUSP - ITRDB NETH017
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3635
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3635.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth017-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth017-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth017.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth017.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Jansma - Oegstgeest House Endegeer Roof Timbers - QUSP - ITRDB NETH017
#--------------------
# Investigators
#   Investigators: Jansma, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Oegstgeest  House Endegeer Roof Timbers
#   Location: Netherlands
#   Northernmost_Latitude: 52.18
#   Southernmost_Latitude: 52.18
#   Easternmost_Longitude: 4.47
#   Westernmost_Longitude: 4.47
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH017
#   First_Year: 1455
#   Last_Year: 1650
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## OHE041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE111_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OHE121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OHE121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	OHE041_raw	OHE051_raw	OHE061_raw	OHE071_raw	OHE081_raw	OHE091_raw	OHE101_raw	OHE111_raw	OHE121_raw
1455	NA	NA	NA	NA	NA	NA	1.26	NA	NA
1456	NA	NA	NA	NA	NA	NA	1.44	NA	NA
1457	NA	NA	NA	NA	NA	1.01	1.17	NA	NA
1458	NA	NA	NA	NA	NA	1.14	1.23	NA	NA
1459	NA	NA	NA	NA	NA	1.25	1.44	NA	NA
1460	NA	NA	NA	NA	NA	1.4	2.03	NA	NA
1461	NA	NA	NA	NA	NA	1.32	1.86	NA	NA
1462	NA	NA	NA	NA	NA	2.27	2.02	NA	NA
1463	NA	NA	NA	NA	NA	2.42	1.97	NA	NA
1464	NA	NA	NA	NA	NA	2.86	1.63	NA	NA
1465	NA	NA	NA	NA	NA	1.87	1.44	NA	NA
1466	NA	NA	NA	NA	NA	1.95	1.57	NA	NA
1467	NA	NA	NA	NA	NA	2.16	2.49	NA	NA
1468	NA	NA	NA	NA	NA	1.92	2.13	NA	NA
1469	NA	NA	NA	NA	NA	1.48	1.81	NA	NA
1470	NA	NA	NA	NA	NA	1.13	1.42	NA	NA
1471	NA	NA	NA	NA	NA	1.17	0.93	NA	NA
1472	NA	NA	NA	NA	NA	1.67	1.09	NA	NA
1473	NA	NA	NA	NA	NA	1.57	1.33	NA	NA
1474	NA	NA	NA	NA	NA	2.92	1.41	NA	NA
1475	NA	NA	NA	NA	NA	2.61	1.49	NA	NA
1476	NA	NA	NA	NA	NA	2.14	1.82	NA	NA
1477	NA	NA	NA	NA	NA	1.52	1.77	NA	NA
1478	NA	NA	NA	NA	NA	2.11	1.65	NA	NA
1479	NA	NA	NA	NA	NA	2.44	1.96	NA	NA
1480	NA	NA	NA	NA	NA	2.32	2.34	NA	NA
1481	NA	NA	NA	NA	NA	2.09	1.56	NA	NA
1482	NA	NA	NA	NA	NA	1.51	1.61	NA	NA
1483	NA	NA	NA	NA	NA	1.28	1.28	NA	NA
1484	NA	NA	NA	NA	NA	2.12	1.63	NA	NA
1485	NA	NA	NA	NA	NA	2.26	1.52	NA	NA
1486	NA	NA	NA	NA	NA	1.64	1.44	NA	NA
1487	NA	NA	NA	NA	NA	1.47	1.4	NA	NA
1488	NA	NA	NA	NA	NA	1.38	1.41	NA	NA
1489	NA	NA	NA	NA	NA	1.26	1.65	NA	NA
1490	NA	NA	NA	NA	NA	1.3	1.81	NA	NA
1491	NA	NA	NA	NA	NA	0.91	1.16	NA	NA
1492	NA	NA	NA	NA	NA	0.82	0.86	NA	NA
1493	NA	NA	NA	NA	NA	1.23	1.32	NA	NA
1494	NA	NA	NA	NA	NA	1.05	1.1	NA	NA
1495	NA	NA	NA	NA	NA	1.51	1.33	NA	NA
1496	NA	NA	NA	NA	NA	2.4	1.44	NA	NA
1497	NA	NA	NA	NA	NA	2.09	1.48	NA	NA
1498	NA	NA	NA	NA	NA	1.52	1.14	NA	NA
1499	NA	NA	NA	NA	NA	1.28	1.3	NA	NA
1500	NA	NA	NA	NA	NA	1.95	1.41	NA	NA
1501	NA	NA	NA	NA	NA	1.65	1.12	NA	NA
1502	NA	NA	NA	NA	NA	2.07	1.26	NA	NA
1503	NA	NA	NA	NA	NA	1.75	1.4	NA	NA
1504	NA	NA	NA	NA	NA	1.79	1.6	NA	NA
1505	NA	NA	NA	NA	NA	1.44	1.89	NA	NA
1506	NA	NA	NA	NA	NA	1.44	1.61	NA	NA
1507	NA	NA	NA	NA	NA	1.66	1.23	NA	NA
1508	NA	NA	NA	NA	NA	1.71	1.35	NA	NA
1509	NA	NA	NA	NA	NA	1.65	1.35	NA	NA
1510	NA	NA	NA	NA	NA	1.69	1.45	NA	NA
1511	NA	NA	NA	NA	NA	1.65	1.22	NA	NA
1512	NA	NA	NA	NA	NA	2.18	1.39	NA	NA
1513	NA	NA	NA	NA	NA	1.94	1.23	NA	NA
1514	NA	NA	NA	NA	NA	1.99	1.46	NA	NA
1515	NA	NA	NA	4.65	NA	2.22	1.53	NA	NA
1516	NA	NA	NA	3.89	NA	1.72	1.23	NA	NA
1517	NA	NA	NA	3.04	NA	1.68	0.97	NA	NA
1518	NA	NA	NA	2.67	NA	1.96	1.57	NA	NA
1519	NA	NA	NA	1.06	NA	1.86	1.23	NA	NA
1520	NA	NA	NA	0.78	NA	1.36	1.22	NA	NA
1521	NA	NA	NA	1.42	NA	1.26	1.43	NA	NA
1522	NA	NA	NA	1.72	NA	1.28	1.27	NA	NA
1523	NA	NA	NA	1.21	NA	1.09	1.1	NA	NA
1524	NA	NA	NA	2.3	NA	1.77	1.28	NA	NA
1525	NA	NA	NA	1.46	NA	1.59	1.18	NA	NA
1526	NA	NA	NA	1.46	NA	1.89	1.48	NA	NA
1527	NA	NA	NA	2.79	NA	1.57	1.13	NA	NA
1528	NA	NA	NA	2.05	NA	1.43	1.21	NA	NA
1529	NA	NA	NA	1.69	NA	1.54	1.09	NA	NA
1530	NA	NA	NA	1.94	NA	1.5	1.03	NA	NA
1531	NA	NA	NA	2.44	NA	1.7	1.16	NA	NA
1532	NA	NA	NA	1.43	NA	1.62	1.07	NA	NA
