# Arnold - Ely Cathedral - QUSP - ITRDB BRIT081
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/28318
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-28318.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit081-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit081-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit081.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit081.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-11-01
#--------------------
# File_Last_Modified_Date
#   Date: 2019-11-01
#--------------------
# Title
#   Study_Name: Arnold - Ely Cathedral - QUSP - ITRDB BRIT081
#--------------------
# Investigators
#   Investigators: Arnold, A.J.; Howard, R.E.; Litton, C.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: Tree-ring analysis of timbers from the high roofs of the Cathedral of the Holy and Undivided Trinity, Ely, Cambridgeshire. Ring width series of 9 samples represented by site sequence ELYCSQ04 which spans the period AD 891-1090 uploaded NOAA Template Raw Measurements file added 2020-03-09.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Historic England
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Ely Cathedral
#   Location: United Kingdom
#   Northernmost_Latitude: 52.398868
#   Southernmost_Latitude: 52.398868
#   Easternmost_Longitude: 0.26275
#   Westernmost_Longitude: 0.26275
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: BRIT081
#   First_Year: 891
#   Last_Year: 1090
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ELY003A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY003A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY003B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY003B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY047A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY047A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY047B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY047B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY088A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY088A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY088B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY088B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY109A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY109A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY109B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY109B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY133A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY133A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY133B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY133B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY135A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY135A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY135B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY135B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY303A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY303A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY303B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY303B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY304A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY304A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY304B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY304B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY533A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY533A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ELY533B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ELY533B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ELY003A_raw	ELY003B_raw	ELY047A_raw	ELY047B_raw	ELY088A_raw	ELY088B_raw	ELY109A_raw	ELY109B_raw	ELY133A_raw	ELY133B_raw	ELY135A_raw	ELY135B_raw	ELY303A_raw	ELY303B_raw	ELY304A_raw	ELY304B_raw	ELY533A_raw	ELY533B_raw
891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.28	NA	NA	NA
892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.57	NA	NA	NA
893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.11	NA	NA	NA
894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.95	1.34	NA	NA	2.71	NA	NA	NA
895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.22	2.12	NA	NA	2.93	NA	NA	NA
896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.95	1.95	NA	NA	3.21	NA	NA	NA
897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.69	1.67	NA	NA	2.77	3.11	NA	NA
898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35	1.37	NA	NA	2.5	2.26	NA	NA
899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.61	1.58	NA	NA	1.95	1.64	NA	NA
900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.12	2.12	NA	NA	3.12	2.68	NA	NA
901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.86	1.89	NA	NA	4.02	3.87	NA	NA
902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.99	1.93	NA	NA	3.42	3.23	NA	NA
903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.73	1.75	NA	NA	2.63	2.6	NA	NA
904	NA	NA	1.86	1.8	NA	NA	NA	NA	NA	NA	1.77	1.75	NA	NA	3.14	3.2	NA	NA
905	NA	NA	1.64	1.24	NA	NA	NA	NA	NA	NA	1.51	1.5	NA	NA	2.67	3.57	NA	NA
906	NA	NA	1.36	1.13	NA	NA	NA	NA	1.65	NA	1.98	1.94	NA	NA	3.18	3.78	NA	NA
907	NA	NA	1.29	1.22	NA	NA	NA	NA	1.6	NA	1.6	1.58	NA	NA	3.18	3.03	NA	NA
908	NA	NA	0.69	0.77	0.94	NA	NA	NA	0.92	NA	1.45	1.46	NA	NA	2.28	2.28	NA	NA
909	NA	NA	0.86	1.1	1.01	NA	NA	NA	0.84	NA	1.26	1.29	NA	NA	1.67	1.62	NA	NA
910	NA	NA	1.14	1.29	0.96	NA	NA	NA	1.04	NA	1.6	1.64	NA	NA	2.68	2.42	NA	NA
911	NA	NA	2.01	2.13	1.75	NA	1.66	NA	1.28	1.94	1.48	1.43	NA	NA	2.72	2.26	NA	NA
912	NA	NA	1.95	2.01	2.24	NA	1.72	NA	1.47	1.84	1.68	1.64	NA	NA	3.28	3.79	NA	NA
913	NA	NA	1.3	1.16	1.63	NA	1.86	NA	1.53	1.44	1.44	1.45	NA	NA	2.82	3.37	NA	NA
914	NA	NA	0.91	0.94	1.81	NA	1.04	NA	1.65	1.34	1.47	1.51	NA	NA	2.54	2.96	NA	NA
915	NA	NA	0.84	0.78	1.33	NA	1.24	NA	1.61	1.29	1.11	1.1	NA	NA	1.86	1.98	NA	NA
916	NA	NA	0.66	0.72	1.33	NA	1.35	NA	1.52	1.1	1	1.04	NA	NA	1.77	2.05	NA	NA
917	NA	NA	0.78	0.9	0.97	NA	1.37	NA	1.06	1.04	1.12	1.1	NA	NA	2.17	2.68	NA	NA
918	NA	NA	0.99	0.89	2.14	NA	1.4	NA	0.99	0.79	1.02	1.01	NA	NA	2.65	3.25	NA	NA
919	NA	NA	0.92	0.91	2.41	NA	1.44	NA	1	1.07	1.17	1.21	NA	NA	2.49	3.22	2.03	2.02
920	NA	NA	0.78	0.89	1.61	NA	1.2	1.41	1.05	1.3	1.11	1.02	NA	NA	2.41	2.55	1.93	2.14
921	NA	NA	0.75	0.82	1.27	NA	0.83	1.53	1.41	1.5	1.56	1.57	NA	NA	2.67	2.83	1.73	1.63
922	NA	NA	0.76	0.78	1.6	NA	1.13	1.77	2.79	2.13	1.47	1.52	NA	NA	2.44	2.73	1.6	1.81
923	NA	NA	0.98	1.08	2.02	NA	1.02	1.76	2.41	1.88	1.69	1.66	NA	NA	2.17	2.45	2.44	2.41
924	NA	NA	0.87	0.74	1.97	NA	0.92	1.53	2.28	1.91	1.52	1.57	1.85	1.83	2.05	2.32	1.95	1.9
925	NA	NA	0.64	0.74	1.58	NA	0.74	1.41	1.85	1.51	1.77	1.67	0.93	0.92	2.36	2.46	2.04	2
926	NA	NA	0.85	0.83	1.7	NA	0.73	0.81	1.1	0.86	1.15	1.23	0.84	0.9	2.23	1.9	1.44	1.49
927	NA	NA	0.55	0.62	2.18	NA	0.54	1.14	1.13	1.09	1.06	0.99	1.22	1.13	1.63	1.49	1.69	1.64
928	NA	NA	1.01	0.8	2.22	NA	0.79	1.25	0.91	0.84	1.29	1.35	1.24	1.25	1.94	1.6	1.52	1.59
929	NA	NA	1.34	1.45	2.21	NA	1.66	1.75	1.6	1.78	1.78	1.75	1.6	1.6	2.2	2.21	1.94	1.88
930	NA	NA	0.86	0.78	1.01	NA	1.49	1.82	0.83	0.94	1.2	1.24	0.72	0.72	1.02	0.95	1.24	1.12
931	NA	NA	0.91	0.9	1.08	NA	1.2	1.3	0.7	0.78	1	1.05	0.72	0.71	1.36	1.42	1.34	1.31
932	NA	NA	1.01	1.08	0.85	NA	1.73	1.35	1.31	0.97	1.24	1.19	0.87	0.89	2.13	2.21	1.5	1.38
933	NA	NA	1.13	1.19	0.91	1.74	0.99	0.89	1.36	1.08	0.75	0.82	0.82	0.78	1.73	1.53	1.25	1.32
934	NA	NA	1.08	1.08	1.5	1.94	1.01	1.66	1.84	1.42	0.93	0.89	1.06	1.11	1.49	1.79	2.2	1.64
935	NA	NA	0.82	0.77	1.27	1.38	1.07	1.02	1.58	1.45	0.76	0.79	0.77	0.72	1.19	1.34	0.78	1.07
936	NA	NA	1.1	1.25	2.03	2.61	2.21	1.96	1.73	1.38	1.04	0.98	0.92	0.91	1.93	2.26	1.69	1.71
937	NA	NA	0.97	0.77	1.59	2.49	1.61	1.89	1.94	1.59	1.36	1.44	0.88	0.87	1.54	1.7	1.45	1.28
938	NA	NA	1.69	1.55	1.43	2.3	1.59	2.18	1.54	1.39	1.28	1.27	1.13	1.12	2.48	2.68	1.71	1.71
939	NA	NA	1.69	1.57	1.22	2.37	1.71	2.21	1.79	1.49	1.3	1.26	0.96	1.02	2.33	2.48	1.85	1.78
940	NA	NA	0.5	1.65	1.02	1.31	2	2.52	0.92	1.32	0.94	0.9	0.95	0.94	1.04	1.14	0.82	0.86
941	NA	NA	0.84	0.78	0.82	0.92	1.46	1.41	0.54	0.97	1.01	1.04	0.52	0.48	0.85	0.77	0.66	0.58
942	NA	NA	0.86	0.79	0.53	0.64	0.62	0.55	0.36	0.65	0.92	0.91	0.34	0.34	0.68	0.75	0.4	0.46
