# Brown - Abbey Street Kilkenny - QUSP - ITRDB BRIT045
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2868
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2868.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit045-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit045-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit045.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit045.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Brown - Abbey Street Kilkenny - QUSP - ITRDB BRIT045
#--------------------
# Investigators
#   Investigators: Brown, D.M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Abbey Street  Kilkenny
#   Location: Ireland
#   Northernmost_Latitude: 52.65
#   Southernmost_Latitude: 52.65
#   Easternmost_Longitude: -7.25
#   Westernmost_Longitude: -7.25
#   Elevation_m: 50
#--------------------
# Data_Collection
#   Collection_Name: BRIT045
#   First_Year: 936
#   Last_Year: 1240
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## Q 9730_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 9730; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 9731_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 9731; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 9732_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 9732; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 9733_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 9733; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 9734_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 9734; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	Q 9730_raw	Q 9731_raw	Q 9732_raw	Q 9733_raw	Q 9734_raw
936	NA	0.66	NA	NA	NA
937	NA	0.65	NA	NA	NA
938	NA	0.67	NA	NA	NA
939	NA	0.59	NA	NA	NA
940	NA	0.68	NA	NA	NA
941	NA	0.71	NA	NA	NA
942	NA	0.59	NA	NA	NA
943	NA	0.58	NA	NA	NA
944	NA	0.59	NA	NA	NA
945	NA	0.59	NA	NA	NA
946	NA	0.45	NA	NA	NA
947	NA	0.34	NA	NA	0.4
948	NA	0.41	NA	NA	0.55
949	NA	0.29	NA	NA	0.34
950	NA	0.54	NA	NA	0.38
951	NA	0.53	NA	NA	0.21
952	NA	0.75	NA	NA	0.28
953	NA	0.87	NA	NA	0.42
954	NA	1.1	NA	NA	0.48
955	NA	1.11	NA	NA	0.51
956	NA	0.6	NA	NA	0.34
957	NA	0.84	NA	NA	0.39
958	NA	0.94	NA	NA	0.36
959	NA	0.97	NA	NA	0.45
960	NA	1.05	NA	NA	0.66
961	NA	1	NA	NA	0.89
962	NA	0.64	NA	NA	0.91
963	NA	0.69	NA	NA	0.99
964	NA	0.56	NA	NA	0.87
965	NA	0.45	NA	NA	0.69
966	NA	0.57	NA	NA	0.74
967	NA	0.48	NA	NA	0.75
968	NA	0.44	NA	NA	0.76
969	NA	0.36	NA	NA	0.41
970	NA	0.32	NA	NA	0.38
971	NA	0.33	NA	NA	0.47
972	NA	0.43	1.05	NA	0.73
973	NA	0.28	0.74	NA	0.3
974	NA	0.26	0.67	NA	0.4
975	NA	0.33	0.95	NA	0.46
976	NA	0.34	1.03	NA	0.62
977	NA	0.59	1.02	NA	0.97
978	NA	0.42	0.92	NA	0.54
979	NA	0.59	0.89	NA	0.78
980	NA	0.66	1.28	NA	1
981	NA	0.48	0.76	NA	0.98
982	NA	0.65	0.64	NA	0.39
983	1.15	0.5	0.75	NA	0.75
984	0.96	0.36	0.71	NA	0.74
985	0.72	0.33	0.59	NA	0.67
986	1.24	0.56	0.94	NA	1.18
987	1.11	0.38	0.86	NA	1.03
988	0.64	0.31	0.62	NA	0.86
989	0.62	0.38	0.55	NA	0.76
990	0.72	0.46	0.58	NA	1.15
991	0.98	0.41	0.69	NA	1.1
992	1.12	0.58	0.67	NA	1.05
993	1.24	0.67	0.98	NA	0.78
994	1.07	0.38	0.66	NA	0.51
995	1.32	0.34	1.09	NA	0.56
996	1.37	0.6	1.1	1.43	0.92
997	1.45	0.74	1.13	1.63	1.01
998	1.14	0.58	0.9	0.98	0.57
999	0.8	0.76	0.66	1.02	0.54
1000	1.16	0.67	1.01	1.04	0.45
1001	0.99	0.74	1.15	1	0.64
1002	0.66	0.8	0.86	0.82	0.43
1003	0.68	0.53	0.8	0.92	0.29
1004	0.65	0.52	0.49	0.98	0.23
1005	0.57	0.41	0.36	1.2	0.28
1006	0.48	0.36	0.39	0.74	0.15
1007	0.31	0.26	0.29	0.62	0.19
1008	0.47	0.46	0.52	0.69	0.35
1009	0.46	0.55	0.61	0.77	0.36
1010	0.45	0.5	0.71	0.93	0.47
1011	0.35	0.34	0.43	0.53	0.24
1012	0.32	0.35	0.44	0.41	0.24
1013	0.46	0.43	0.57	0.49	0.3
1014	0.36	0.42	0.5	0.38	0.22
1015	0.57	0.51	0.59	0.47	0.33
1016	0.38	0.36	0.42	0.4	0.29
1017	0.63	0.51	0.65	0.46	0.39
1018	0.69	0.68	0.66	0.65	0.47
1019	0.65	0.48	0.62	0.61	0.26
1020	0.45	0.38	0.43	0.46	0.27
1021	0.39	0.49	0.73	0.51	0.35
1022	0.83	0.37	0.83	0.87	0.25
1023	0.48	0.26	0.66	0.51	0.29
1024	0.51	0.38	0.47	0.43	0.32
1025	0.49	0.45	0.74	0.64	0.19
1026	0.45	0.56	0.74	0.83	0.51
1027	0.45	0.4	0.73	0.81	0.25
1028	0.41	0.38	0.69	0.73	0.24
1029	0.47	0.23	0.64	0.57	0.23
1030	0.81	0.28	0.79	0.5	0.23
1031	0.79	0.3	0.72	0.86	0.3
1032	0.59	0.3	0.49	0.58	0.27
1033	0.74	0.27	0.57	0.67	0.31
1034	0.67	0.37	0.56	0.59	0.43
1035	0.81	0.49	0.86	1.14	0.52
1036	0.73	0.47	0.61	0.8	0.25
1037	0.51	0.66	0.73	0.79	0.24
1038	0.73	0.42	0.71	0.79	0.22
