# Arnold - The Bede House - QUSP - ITRDB BRIT088
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/28325
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-28325.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit088-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit088-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit088.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit088.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-11-01
#--------------------
# File_Last_Modified_Date
#   Date: 2019-11-01
#--------------------
# Title
#   Study_Name: Arnold - The Bede House - QUSP - ITRDB BRIT088
#--------------------
# Investigators
#   Investigators: Arnold, A.J.; Howard, R.E.; Tyers, C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2020-03-09.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Historic England
#   Grant:
#--------------------
# Site_Information
#   Site_Name: The Bede House
#   Location: United Kingdom
#   Northernmost_Latitude: 52.563881
#   Southernmost_Latitude: 52.563881
#   Easternmost_Longitude: -0.709261
#   Westernmost_Longitude: -0.709261
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: BRIT088
#   First_Year: 1085
#   Last_Year: 1221
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LYB039A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB039A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB039B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB039B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB040A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB040A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB040B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB040B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB041A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB041A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB041B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB041B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB042A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB042A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB042B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB042B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB113A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB113A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYB113B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYB113B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LYB039A_raw	LYB039B_raw	LYB040A_raw	LYB040B_raw	LYB041A_raw	LYB041B_raw	LYB042A_raw	LYB042B_raw	LYB113A_raw	LYB113B_raw
1085	NA	NA	NA	NA	2.54	2.63	NA	NA	NA	NA
1086	NA	NA	NA	NA	1.66	1.53	NA	NA	NA	NA
1087	NA	NA	NA	NA	0.98	1.12	NA	NA	NA	NA
1088	NA	NA	NA	NA	2.17	2.07	NA	NA	NA	NA
1089	NA	NA	NA	NA	2.3	2.41	NA	NA	NA	NA
1090	NA	NA	NA	NA	1.39	1.14	NA	NA	NA	NA
1091	NA	NA	NA	NA	1.4	1.27	NA	NA	NA	NA
1092	NA	NA	NA	NA	1.99	1.93	NA	NA	NA	NA
1093	NA	NA	NA	NA	1.92	1.94	NA	NA	NA	NA
1094	NA	NA	NA	NA	1.06	1.12	NA	NA	NA	NA
1095	NA	NA	NA	NA	1.04	0.94	NA	NA	NA	NA
1096	NA	NA	NA	NA	1.36	1.45	NA	NA	NA	NA
1097	NA	NA	NA	NA	1.87	1.66	NA	NA	NA	NA
1098	NA	NA	NA	NA	2.33	2.34	NA	NA	NA	NA
1099	NA	NA	NA	NA	1.49	1.59	NA	NA	NA	NA
1100	NA	NA	NA	NA	1.51	1.49	NA	NA	NA	NA
1101	NA	NA	NA	NA	1.04	1.25	NA	NA	NA	NA
1102	NA	NA	NA	NA	1.25	1.4	NA	NA	NA	NA
1103	NA	NA	NA	NA	1.58	1.55	NA	NA	NA	NA
1104	NA	NA	NA	NA	1.34	1.38	NA	NA	NA	NA
1105	NA	NA	NA	NA	1.64	1.49	NA	NA	NA	NA
1106	NA	NA	NA	NA	1.6	1.46	NA	NA	NA	NA
1107	NA	NA	NA	NA	1.47	1.48	NA	NA	4.23	4.26
1108	NA	NA	NA	NA	1.46	1.53	NA	NA	5.48	5.89
1109	NA	NA	NA	NA	0.99	1.05	NA	NA	4.34	4.34
1110	NA	NA	NA	NA	0.91	0.91	NA	NA	2.99	2.97
1111	NA	NA	NA	NA	0.58	0.68	NA	NA	2.8	2.82
1112	NA	NA	NA	NA	0.58	0.61	NA	NA	3.27	3.28
1113	NA	NA	NA	NA	1.4	1.39	NA	NA	4.47	5
1114	NA	NA	2.22	3.25	1.38	1.3	NA	NA	4.57	4.73
1115	NA	NA	2.78	2.83	1.07	0.96	NA	NA	4.81	4.63
1116	1.83	2.01	3.1	3.1	1.07	0.99	NA	NA	4.49	3.98
1117	1.86	2	3.16	3.07	1.35	1.28	NA	NA	4.41	4.34
1118	2.06	2.04	2.03	1.98	1.21	1.11	NA	NA	3.46	3.65
1119	1.59	1.57	1.71	1.69	0.73	0.55	NA	NA	2.63	2.71
1120	2.19	2.19	3.18	3.09	1.24	1.11	NA	NA	2.87	3.01
1121	1.32	1.34	1.94	2.09	0.69	0.72	NA	NA	1.82	1.77
1122	1.68	1.56	2.03	1.99	1.4	1.12	NA	NA	1.53	1.41
1123	2.02	2.08	3.01	2.94	1.62	1.63	3.64	3.71	2	2.05
1124	2.79	2.71	3.05	3.11	2.17	1.93	3.28	3.27	2.98	3.1
1125	2.46	2.58	2.58	2.61	1.22	1.2	1.67	1.66	2.32	2.26
1126	2.74	2.72	2.44	2.35	1.41	1.34	1.62	1.39	3.06	2.98
1127	2.31	2.04	1.42	1.52	0.91	0.95	1.03	1.1	2.3	2.16
1128	1.87	1.98	2.23	2.27	1.06	1.03	1.82	1.79	1.85	1.95
1129	1.65	1.74	1.84	1.82	0.98	0.92	1.57	1.56	1.22	1.25
1130	2.81	2.85	2.89	2.94	1.28	1.33	2.2	2.26	2.19	2.28
1131	2.2	2.05	2.03	2.06	1.17	1.06	2.22	2.17	2.57	2.42
1132	1.63	1.62	1.6	1.67	0.76	0.66	1.4	1.41	1.86	1.86
1133	1.42	1.31	1.34	1.36	0.59	0.64	1.31	1.33	1.49	1.68
1134	0.85	0.93	1.84	1.84	0.91	0.72	1.29	1.28	1.46	1.29
1135	0.89	0.68	1.85	1.88	1.14	1.07	2.1	2.15	1.79	1.66
1136	0.36	0.38	1.04	0.98	0.55	0.68	1.14	1.06	1.56	1.73
1137	0.48	0.53	0.63	0.79	0.5	0.51	0.99	0.93	0.87	0.79
1138	0.51	0.5	0.84	0.75	0.83	0.81	1.87	1.99	1.3	1.41
1139	0.47	0.48	1.06	0.97	0.87	0.84	1.18	1.15	1.16	1.22
1140	1	1.04	1.91	1.98	1.54	1.59	2.74	2.75	3.34	3.26
1141	1.85	1.87	3.07	3.12	1.65	1.76	2.39	2.46	3.26	3.28
1142	1	1.21	1.33	1.22	0.89	0.73	1.65	1.66	1.96	1.85
1143	0.78	0.77	1.23	1.27	0.66	0.67	1.1	1.18	1.32	1.31
1144	0.52	0.53	0.66	0.67	0.43	0.48	0.85	0.97	0.79	0.82
1145	0.6	0.48	1.11	1.09	0.76	0.66	2.01	1.89	0.75	0.77
1146	0.64	0.67	1.26	1.28	0.67	0.68	2.18	1.99	1.03	0.98
1147	0.79	0.75	0.97	1.06	0.67	0.7	1.79	1.85	1.39	1.44
1148	1.05	1.1	1.65	1.72	0.67	0.68	1.39	1.32	1.65	1.7
1149	1.48	1.45	1.2	1.24	0.9	0.87	1.82	1.75	2.14	2.3
1150	0.89	0.92	1.05	1.1	0.62	0.69	1.39	1.35	1.68	1.62
