# Ratcliff - Barnabetti French Violin - PCAB - ITRDB FRAN040
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/9974
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-9974.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran040-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; fran040-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran040.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fran040.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-28
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-28
#--------------------
# Title
#   Study_Name: Ratcliff - Barnabetti French Violin - PCAB - ITRDB FRAN040
#--------------------
# Investigators
#   Investigators: Ratcliff, P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Barnabetti French Violin
#   Location: Jura
#   Northernmost_Latitude: 46.75
#   Southernmost_Latitude: 46.75
#   Easternmost_Longitude: 6.0
#   Westernmost_Longitude: 6.0
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: FRAN040
#   First_Year: 1803
#   Last_Year: 1910
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BSS_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BSS; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TR_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TR; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BSS_raw	TR_raw
1803	1	NA
1804	0.72	NA
1805	1.05	NA
1806	1.05	1.12
1807	0.78	0.87
1808	0.86	0.86
1809	1.27	1.3
1810	0.98	0.98
1811	0.93	1.01
1812	1.29	1.42
1813	1.35	1.31
1814	1.28	1.23
1815	1.35	1.43
1816	1	1.04
1817	1.32	1.36
1818	0.66	0.74
1819	0.66	0.64
1820	0.81	0.77
1821	0.98	1.03
1822	0.89	0.93
1823	0.6	0.57
1824	0.6	0.59
1825	0.46	0.51
1826	0.62	0.64
1827	0.6	0.57
1828	1.21	1.24
1829	1.17	1.22
1830	0.89	0.89
1831	0.94	0.96
1832	0.73	0.71
1833	0.44	0.45
1834	0.71	0.77
1835	0.69	0.77
1836	0.71	0.73
1837	0.44	0.43
1838	0.82	0.89
1839	0.69	0.75
1840	0.96	0.98
1841	1.12	1.16
1842	1.06	1.12
1843	1.02	1
1844	1.09	1.14
1845	1.37	1.48
1846	1.47	1.48
1847	0.91	1.02
1848	1.42	1.41
1849	1.2	1.24
1850	1.13	1.14
1851	1.08	1.04
1852	1.16	1.19
1853	1.23	1.24
1854	1	0.96
1855	1.09	1.07
1856	0.88	0.86
1857	0.96	1.03
1858	0.78	0.75
1859	0.81	0.85
1860	0.48	0.5
1861	0.66	0.69
1862	0.63	0.6
1863	0.86	0.91
1864	0.89	0.99
1865	0.92	0.99
1866	1.48	1.42
1867	1.72	1.73
1868	1.77	1.76
1869	1.76	1.72
1870	0.72	0.65
1871	0.77	0.85
1872	1.13	1.13
1873	1.08	1.16
1874	0.71	0.7
1875	1.16	1.24
1876	0.82	0.76
1877	0.81	0.9
1878	1.09	1.11
1879	1.06	1.09
1880	0.87	0.79
1881	0.77	0.78
1882	0.75	0.79
1883	0.93	0.92
1884	0.85	0.9
1885	0.71	0.75
1886	0.59	0.59
1887	0.63	0.67
1888	0.5	0.51
1889	0.83	0.81
1890	0.74	0.76
1891	0.62	0.68
1892	0.62	0.71
1893	0.42	0.41
1894	0.75	0.76
1895	0.84	0.78
1896	0.64	0.65
1897	0.87	0.73
1898	0.59	0.59
1899	0.81	0.82
1900	0.64	0.67
1901	0.7	0.67
1902	0.71	0.71
1903	0.72	0.76
1904	1.05	1.09
1905	0.73	0.78
1906	0.45	0.5
1907	0.59	0.67
1908	0.76	0.76
1909	0.58	0.62
1910	0.81	0.82
