crn,fname,diff
INDI010,./data_files/treering/measurements/asia/indi010.rwl,Column 'rw': Mean relative difference: 0.0009758515
BRIT039,./data_files/treering/measurements/europe/brit039.rwl,FALSE
BRIT037,./data_files/treering/measurements/europe/brit037.rwl,FALSE
BRIT036,./data_files/treering/measurements/europe/brit036.rwl,FALSE
CANA209,./data_files/treering/measurements/northamerica/canada/cana209.rwl,Column 'core': 103 string mismatches
CT001,./data_files/treering/measurements/northamerica/usa/ct001.rwl,Different number of rows
NJ002,./data_files/treering/measurements/northamerica/usa/nj002.rwl,Column 'core': 238 string mismatches
NJ001,./data_files/treering/measurements/northamerica/usa/nj001.rwl,Column 'core': 238 string mismatches
AUSL024,./data_files/treering/measurements/australia/ausl024.rwl,FALSE
VA024,./data_files/treering/measurements/northamerica/usa/va024.rwl,Column 'rw': Mean relative difference: 0.02569651
MT109,./data_files/treering/measurements/northamerica/usa/mt109.rwl,Different number of rows
UT521,./data_files/treering/measurements/northamerica/usa/ut521.rwl,Different number of rows
UT522,./data_files/treering/measurements/northamerica/usa/ut522.rwl,Different number of rows
TURK029,./data_files/treering/measurements/europe/turk029.rwl,Different number of rows
NETH031,./data_files/treering/measurements/europe/neth031.rwl,Column 'rw': Mean relative difference: 0.0007581553
OR005,./data_files/treering/measurements/northamerica/usa/or005.rwl,Different number of rows
CA614,./data_files/treering/measurements/northamerica/usa/ca614.rwl,Different number of rows
VA021,./data_files/treering/measurements/northamerica/usa/va021.rwl,Different number of rows
CA615,./data_files/treering/measurements/northamerica/usa/ca615.rwl,Different number of rows
CA616,./data_files/treering/measurements/northamerica/usa/ca616.rwl,Different number of rows
MEXI029,./data_files/treering/measurements/northamerica/mexico/mexi029.rwl,Different number of rows
CA618,./data_files/treering/measurements/northamerica/usa/ca618.rwl,Different number of rows
CA619,./data_files/treering/measurements/northamerica/usa/ca619.rwl,Different number of rows
CA620,./data_files/treering/measurements/northamerica/usa/ca620.rwl,Different number of rows
CA621,./data_files/treering/measurements/northamerica/usa/ca621.rwl,Different number of rows
CA623,./data_files/treering/measurements/northamerica/usa/ca623.rwl,Different number of rows
CA625,./data_files/treering/measurements/northamerica/usa/ca625.rwl,Different number of rows
CA626,./data_files/treering/measurements/northamerica/usa/ca626.rwl,Different number of rows
MEXI037,./data_files/treering/measurements/northamerica/mexico/mexi037.rwl,Different number of rows
AZ143,./data_files/treering/measurements/northamerica/usa/az143.rwl,Column 'rw': Mean relative difference: 0.002802951
MEXI001,./data_files/treering/measurements/northamerica/mexico/mexi001.rwl,Different number of rows
ARGE065,./data_files/treering/measurements/southamerica/arge065.rwl,Column 'rw': Mean relative difference: 0.005252791
ARGE041,./data_files/treering/measurements/southamerica/arge041.rwl,Different number of rows
WI002,./data_files/treering/measurements/northamerica/usa/wi002.rwl,Different number of rows
AK015,./data_files/treering/measurements/northamerica/usa/ak015.rwl,Column 'rw': Mean relative difference: 0.0007641251
GERM036,./data_files/treering/measurements/europe/germ036.rwl,Column 'rw': Mean relative difference: 0.007403511
NE005,./data_files/treering/measurements/northamerica/usa/ne005.rwl,Column 'rw': Mean relative difference: 0.0003746402
CO628,./data_files/treering/measurements/northamerica/usa/co628.rwl,Column 'rw': Mean relative difference: 7.830433e-05
MEXI042,./data_files/treering/measurements/northamerica/mexico/mexi042.rwl,Different number of rows
NM580,./data_files/treering/measurements/northamerica/usa/nm580.rwl,Different number of rows
CA648,./data_files/treering/measurements/northamerica/usa/ca648.rwl,Different number of rows
CA649,./data_files/treering/measurements/northamerica/usa/ca649.rwl,Different number of rows
MEXI044,./data_files/treering/measurements/northamerica/mexico/mexi044.rwl,Different number of rows
MEXI045,./data_files/treering/measurements/northamerica/mexico/mexi045.rwl,Different number of rows
CA653,./data_files/treering/measurements/northamerica/usa/ca653.rwl,Different number of rows
CA651,./data_files/treering/measurements/northamerica/usa/ca651.rwl,Different number of rows
CA652,./data_files/treering/measurements/northamerica/usa/ca652.rwl,Different number of rows
CA654,./data_files/treering/measurements/northamerica/usa/ca654.rwl,Different number of rows
CA655,./data_files/treering/measurements/northamerica/usa/ca655.rwl,Different number of rows
CA656,./data_files/treering/measurements/northamerica/usa/ca656.rwl,Different number of rows
TX051,./data_files/treering/measurements/northamerica/usa/tx051.rwl,Different number of rows
TX050,./data_files/treering/measurements/northamerica/usa/tx050.rwl,Different number of rows
CA657,./data_files/treering/measurements/northamerica/usa/ca657.rwl,Different number of rows
OK033,./data_files/treering/measurements/northamerica/usa/ok033.rwl,Different number of rows
CA660,./data_files/treering/measurements/northamerica/usa/ca660.rwl,Different number of rows
CA645,./data_files/treering/measurements/northamerica/usa/ca645.rwl,Different number of rows
CA661,./data_files/treering/measurements/northamerica/usa/ca661.rwl,Different number of rows
CA659,./data_files/treering/measurements/northamerica/usa/ca659.rwl,Different number of rows
CA662,./data_files/treering/measurements/northamerica/usa/ca662.rwl,Different number of rows
CA663,./data_files/treering/measurements/northamerica/usa/ca663.rwl,Different number of rows
CA646,./data_files/treering/measurements/northamerica/usa/ca646.rwl,Different number of rows
CA664,./data_files/treering/measurements/northamerica/usa/ca664.rwl,Different number of rows
MEXI041,./data_files/treering/measurements/northamerica/mexico/mexi041.rwl,Different number of rows
CA650,./data_files/treering/measurements/northamerica/usa/ca650.rwl,Different number of rows
CA658,./data_files/treering/measurements/northamerica/usa/ca658.rwl,Different number of rows
CA665,./data_files/treering/measurements/northamerica/usa/ca665.rwl,Different number of rows
CA647,./data_files/treering/measurements/northamerica/usa/ca647.rwl,Different number of rows
MEXI046,./data_files/treering/measurements/northamerica/mexico/mexi046.rwl,Different number of rows
MEXI038,./data_files/treering/measurements/northamerica/mexico/mexi038.rwl,Different number of rows
RUSS218,./data_files/treering/measurements/asia/russ218.rwl,Column 'rw': Mean relative difference: 0.01453346
MEXI047,./data_files/treering/measurements/northamerica/mexico/mexi047.rwl,Different number of rows
TX052,./data_files/treering/measurements/northamerica/usa/tx052.rwl,Different number of rows
TX053,./data_files/treering/measurements/northamerica/usa/tx053.rwl,Different number of rows
TX054,./data_files/treering/measurements/northamerica/usa/tx054.rwl,Different number of rows
CHIN061,./data_files/treering/measurements/asia/chin061.rwl,Column 'rw': Mean relative difference: 0.0003739646
INDI025,./data_files/treering/measurements/asia/indi025.rwl,Column 'rw': Mean relative difference: 0.172039
KYRG014,./data_files/treering/measurements/asia/kyrg014.rwl,FALSE
MI021,./data_files/treering/measurements/northamerica/usa/mi021.rwl,Different number of rows
CHIN067,./data_files/treering/measurements/asia/chin067.rwl,FALSE
CHIN069,./data_files/treering/measurements/asia/chin069.rwl,FALSE
CA688,./data_files/treering/measurements/northamerica/usa/ca688.rwl,Different number of rows
CA689,./data_files/treering/measurements/northamerica/usa/ca689.rwl,Different number of rows
SWED334,./data_files/treering/measurements/europe/swed334.rwl,FALSE
NC025,./data_files/treering/measurements/northamerica/usa/nc025.rwl,Different number of rows
CO651,./data_files/treering/measurements/northamerica/usa/co651.rwl,Different number of rows
CO652,./data_files/treering/measurements/northamerica/usa/co652.rwl,Different number of rows
AUSL043,./data_files/treering/measurements/australia/ausl043.rwl,Column 'rw': Mean relative difference: 0.0003804226
TURK044,./data_files/treering/measurements/europe/turk044.rwl,FALSE
TURK045,./data_files/treering/measurements/europe/turk045.rwl,FALSE
TURK046,./data_files/treering/measurements/europe/turk046.rwl,FALSE
AUSL045,./data_files/treering/measurements/australia/ausl045.rwl,Column 'rw': Mean relative difference: 0.002014755
AUSL049,./data_files/treering/measurements/australia/ausl049.rwl,Column 'rw': Mean relative difference: 0.02746529
AK159,./data_files/treering/measurements/northamerica/usa/ak159.rwl,Column 'rw': Mean relative difference: 0.002597217
AK160,./data_files/treering/measurements/northamerica/usa/ak160.rwl,Column 'rw': Mean relative difference: 0.01171247
AUSL053,./data_files/treering/measurements/australia/ausl053.rwl,FALSE
MT158,./data_files/treering/measurements/northamerica/usa/mt158.rwl,Different number of rows
MA028,./data_files/treering/measurements/northamerica/usa/ma028.rwl,Different number of rows
MA029,./data_files/treering/measurements/northamerica/usa/ma029.rwl,Different number of rows
RUSS301,./data_files/treering/measurements/asia/russ301.rwl,FALSE
BRA009,./data_files/treering/measurements/southamerica/bra009.rwl,Different number of rows
BRA010,./data_files/treering/measurements/southamerica/bra010.rwl,Different number of rows
THA021,./data_files/treering/measurements/asia/tha021.rwl,Column 'core': 4 string mismatches
CO691,./data_files/treering/measurements/northamerica/usa/co691.rwl,Column 'rw': Mean relative difference: 0.002758094
RUS319,./data_files/treering/measurements/asia/rus319.rwl,Column 'rw': Mean relative difference: 0.06545608
CAN694,./data_files/treering/measurements/northamerica/canada/can694.rwl,Column 'core': 6314 string mismatches
CAN695,./data_files/treering/measurements/northamerica/canada/can695.rwl,Column 'core': 7645 string mismatches
CAN696,./data_files/treering/measurements/northamerica/canada/can696.rwl,Column 'core': 7783 string mismatches
CAN697,./data_files/treering/measurements/northamerica/canada/can697.rwl,Column 'core': 14964 string mismatches
CAN698,./data_files/treering/measurements/northamerica/canada/can698.rwl,Column 'core': 6974 string mismatches
CAN699,./data_files/treering/measurements/northamerica/canada/can699.rwl,Column 'core': 6062 string mismatches
CAN700,./data_files/treering/measurements/northamerica/canada/can700.rwl,Column 'core': 3536 string mismatches
CAN701,./data_files/treering/measurements/northamerica/canada/can701.rwl,Column 'core': 7926 string mismatches
CAN702,./data_files/treering/measurements/northamerica/canada/can702.rwl,Column 'core': 6560 string mismatches
CAN703,./data_files/treering/measurements/northamerica/canada/can703.rwl,Column 'core': 18636 string mismatches
CAN704,./data_files/treering/measurements/northamerica/canada/can704.rwl,Column 'core': 14838 string mismatches
CAN705,./data_files/treering/measurements/northamerica/canada/can705.rwl,Column 'core': 4162 string mismatches
CAN706,./data_files/treering/measurements/northamerica/canada/can706.rwl,Column 'core': 5536 string mismatches
CAN707,./data_files/treering/measurements/northamerica/canada/can707.rwl,Column 'core': 4855 string mismatches
CAN708,./data_files/treering/measurements/northamerica/canada/can708.rwl,Column 'core': 13119 string mismatches
CAN709,./data_files/treering/measurements/northamerica/canada/can709.rwl,Column 'core': 7438 string mismatches
CAN710,./data_files/treering/measurements/northamerica/canada/can710.rwl,Column 'core': 5055 string mismatches
CAN711,./data_files/treering/measurements/northamerica/canada/can711.rwl,Column 'core': 8688 string mismatches
CAN712,./data_files/treering/measurements/northamerica/canada/can712.rwl,Column 'core': 12292 string mismatches
CAN713,./data_files/treering/measurements/northamerica/canada/can713.rwl,Column 'core': 9016 string mismatches
CAN714,./data_files/treering/measurements/northamerica/canada/can714.rwl,Column 'core': 7413 string mismatches
CAN715,./data_files/treering/measurements/northamerica/canada/can715.rwl,Column 'core': 6157 string mismatches
CAN716,./data_files/treering/measurements/northamerica/canada/can716.rwl,Column 'core': 4163 string mismatches
MAR035,./data_files/treering/measurements/africa/mar035.rwl,Column 'rw': Mean relative difference: 0.00113492
MAR047,./data_files/treering/measurements/africa/mar047.rwl,Column 'rw': Mean relative difference: 0.008579524
