# Smith - Fyles Glacier - ABLA - ITRDB CANA484
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/19623
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-19623.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana484-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana484-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana484.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana484.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2015-12-03
#--------------------
# File_Last_Modified_Date
#   Date: 2015-12-03
#--------------------
# Title
#   Study_Name: Smith - Fyles Glacier - ABLA - ITRDB CANA484
#--------------------
# Investigators
#   Investigators: Smith, D.J.; Coulthard, B.L.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Fyles Glacier
#   Location: British Columbia
#   Northernmost_Latitude: 52.1
#   Southernmost_Latitude: 52.1
#   Easternmost_Longitude: -126.19
#   Westernmost_Longitude: -126.19
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: CANA484
#   First_Year: 1857
#   Last_Year: 2003
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Abies lasiocarpa (Hook.) Nutt.
#   Common_Name: subalpine fir
#   Tree_Species_Code: ABLA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 02FG-407_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-407; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 02FG-409_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-409; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 02FG-410_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-410; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 02FG-411_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-411; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 02FG-415_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-415; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 02FG-416_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-416; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 02FG-418_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 02FG-418; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	02FG-407_raw	02FG-409_raw	02FG-410_raw	02FG-411_raw	02FG-415_raw	02FG-416_raw	02FG-418_raw
1857	NA	NA	NA	NA	NA	1.21	NA
1858	NA	NA	NA	NA	NA	1.22	NA
1859	NA	NA	NA	NA	NA	1.03	NA
1860	NA	NA	NA	NA	NA	1.09	NA
1861	NA	NA	NA	NA	NA	1.13	NA
1862	NA	NA	NA	NA	NA	0.86	NA
1863	NA	NA	NA	NA	NA	0.86	NA
1864	NA	NA	NA	NA	NA	1.55	NA
1865	NA	NA	NA	NA	NA	1.99	NA
1866	NA	NA	NA	NA	NA	2.79	NA
1867	NA	NA	NA	NA	NA	0.89	NA
1868	NA	NA	NA	NA	NA	1.15	NA
1869	NA	NA	NA	NA	NA	1.72	NA
1870	NA	NA	NA	NA	NA	2.48	NA
1871	NA	NA	NA	NA	NA	2.3	NA
1872	1.92	NA	NA	NA	NA	2.25	NA
1873	1.18	NA	NA	NA	NA	1.92	NA
1874	2.45	NA	NA	NA	NA	1.45	NA
1875	2.91	NA	NA	NA	2.74	1.68	NA
1876	4.03	NA	NA	NA	1.65	2.19	NA
1877	4.82	NA	NA	NA	1.22	1.45	NA
1878	3.13	NA	NA	NA	1.8	2.81	NA
1879	2.82	NA	NA	NA	1.44	2.25	NA
1880	2.2	NA	NA	NA	1.01	1.65	NA
1881	2.28	NA	NA	NA	1.22	1.65	NA
1882	1.82	NA	NA	1.62	1.01	1.27	NA
1883	2.15	NA	NA	1.74	0.78	1.3	NA
1884	2.68	NA	NA	1.87	0.59	1.49	NA
1885	3.4	NA	NA	2.13	0.76	1.74	NA
1886	3.2	1.37	NA	1.57	1.29	1.51	NA
1887	1.75	2.1	NA	1.29	1.62	2.02	NA
1888	2.29	2.87	1	1.31	2.04	2.8	NA
1889	2.97	2.67	1.57	1.13	2.67	2.84	NA
1890	3.19	2.94	2.2	0.89	2.78	2.92	NA
1891	2.93	2.82	1.74	0.9	2.95	3.23	NA
1892	2.42	2.06	2.26	0.88	2.86	2.74	NA
1893	2.23	1.59	2.49	0.65	2.46	2.1	NA
1894	2.39	1.22	2.5	1.02	3.23	1.86	NA
1895	2.32	1.27	3.25	1.05	3.95	1.93	NA
1896	2.87	1.59	4.01	1.23	4.29	1.84	NA
1897	2.52	1.46	3.44	1.2	5.45	2.37	NA
1898	3.01	1.11	4.71	1.35	4.82	2.5	NA
1899	2.33	1.05	2.91	1.99	4.34	2.63	NA
1900	1.19	0.91	1.75	1.57	3.54	2.29	NA
1901	2.74	1.46	2.36	2.67	4.96	2.92	NA
1902	2.78	1.16	1.89	2.27	4.13	2.37	NA
1903	3.52	1.09	2.14	2.68	5.49	2.58	NA
1904	3.11	0.95	1.77	2.79	5.49	2.72	0.66
1905	2.54	1.09	1.46	3.17	5.41	2.71	1.26
1906	2.86	1.06	2.2	2.75	4.39	3.13	1.44
1907	2.28	1.11	1.75	2.55	3.39	2.47	1.49
1908	2.31	1.63	1.92	2.95	3.54	2.73	1.44
1909	2.5	1.64	1.16	2.72	2.81	2.47	1.76
1910	1.33	1.48	1.58	1.88	2.59	1.93	1.08
1911	2.04	1.28	1.13	2.19	2.48	1.83	0.89
1912	2.41	1.08	1.75	2.07	2.41	1.89	1.06
1913	2.44	1.1	1.72	2.32	2.28	2.2	1.39
1914	2.15	1.08	1.85	2.14	2.31	2.04	1.48
1915	2.37	1.28	1.91	2.06	2.45	2.01	1.32
1916	2.93	1.17	2.18	2.05	2.9	2.35	1.92
1917	1.81	0.94	1.25	1.59	1.72	1.52	1.54
1918	2.22	1.3	1.7	1.83	2.09	1.75	1.82
1919	2.57	1.45	1.63	1.82	2.7	2.03	1.76
1920	2.24	1.55	1.5	1.79	2.3	1.73	1.65
1921	2.24	1.45	1.64	2.11	2.34	2.17	2.01
1922	2.12	1.8	1.82	2.05	2.35	1.49	1.06
1923	2.38	1.96	2.2	2.09	2.52	1.87	1.28
1924	2.32	1.48	2.4	2.04	2.56	1.52	1.73
1925	1.97	1.23	2.5	1.77	2.19	1.71	2.11
1926	1.68	1.55	2.59	1.85	1.85	1.48	2.04
1927	2.28	1.87	2.88	1.89	2.41	1.57	1.96
1928	2.1	1.65	2.46	0.93	2.11	1.66	1.54
1929	2.03	1.32	2.19	1.34	2.05	1.82	1.74
1930	2.22	1.41	2.17	1.63	2.44	1.93	1.78
1931	2.32	1.46	1.96	1.95	2.76	2.1	1.87
1932	2.47	1.71	2.07	1.34	2.72	1.82	1.96
1933	2.46	1.52	1.8	1.58	2.5	1.69	1.61
1934	1.64	1.68	1.7	1.71	2.31	1.77	1.43
1935	1.89	1.7	1.8	1.75	2.36	1.53	2.03
1936	1.73	1.32	1.8	1.58	2.62	2.19	1.83
1937	1.95	1.41	1.75	1.43	2.37	1.71	2.27
1938	1.85	1.63	2.15	1.75	2.5	2.14	2.11
