# Zhang - Heal Lake floating chronology II - PSME - ITRDB CANA164
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5403
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5403.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana164-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana164-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana164.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana164.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Zhang - Heal Lake floating chronology II - PSME - ITRDB CANA164
#--------------------
# Investigators
#   Investigators: Zhang, Q.; Hebda, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Heal Lake floating chronology II
#   Location: British Columbia
#   Northernmost_Latitude: 48.53
#   Southernmost_Latitude: 48.53
#   Easternmost_Longitude: -123.47
#   Westernmost_Longitude: -123.47
#   Elevation_m: 120
#--------------------
# Data_Collection
#   Collection_Name: CANA164
#   First_Year: -866
#   Last_Year: -606
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HLL069_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL069; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL026_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL026; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL450_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL450; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL397_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL397; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL523_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL523; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL142_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL142; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL979_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL979; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HLL668_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HLL668; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HLL069_raw	HLL026_raw	HLL450_raw	HLL397_raw	HLL523_raw	HLL142_raw	HLL979_raw	HLL668_raw
-866	NA	NA	NA	NA	NA	2.76	NA	NA
-865	NA	NA	NA	NA	NA	2.08	NA	NA
-864	NA	NA	NA	NA	NA	1.6	NA	NA
-863	NA	NA	NA	NA	NA	2.57	NA	NA
-862	NA	NA	NA	NA	NA	2.88	NA	NA
-861	NA	NA	NA	NA	NA	2.49	NA	NA
-860	NA	NA	NA	NA	NA	2.73	NA	NA
-859	NA	NA	NA	NA	NA	2.79	NA	NA
-858	NA	NA	NA	NA	NA	2.97	1.74	NA
-857	NA	NA	NA	NA	NA	2.7	2.61	NA
-856	NA	NA	NA	NA	NA	3.33	3.2	NA
-855	NA	NA	NA	NA	NA	3.33	3.96	NA
-854	NA	NA	NA	NA	NA	2.95	2.92	NA
-853	NA	NA	NA	NA	NA	3.84	2.21	NA
-852	NA	NA	NA	NA	NA	2.39	3.11	NA
-851	NA	NA	NA	NA	NA	2.48	2.66	NA
-850	NA	NA	NA	NA	NA	2.76	1.9	NA
-849	NA	NA	NA	NA	NA	2.49	2.72	NA
-848	NA	NA	NA	NA	NA	2.94	2.2	NA
-847	NA	NA	NA	NA	NA	1.09	1.87	NA
-846	NA	NA	NA	NA	NA	1.06	1.79	NA
-845	NA	NA	NA	NA	NA	0.94	1.99	NA
-844	NA	NA	NA	NA	NA	1.46	2.34	NA
-843	NA	NA	NA	NA	NA	1.88	3.2	NA
-842	NA	NA	NA	NA	NA	1.43	2.38	NA
-841	NA	NA	NA	NA	NA	1.9	2	NA
-840	NA	NA	NA	NA	NA	2.4	2.54	NA
-839	NA	NA	NA	NA	NA	1.96	2.24	NA
-838	NA	NA	NA	NA	NA	1.7	1.84	NA
-837	NA	NA	NA	NA	NA	1.63	1.81	NA
-836	NA	NA	NA	NA	NA	1.76	1.77	NA
-835	NA	NA	NA	NA	NA	1.93	2.37	NA
-834	NA	NA	NA	NA	NA	2.27	2.5	NA
-833	NA	NA	NA	NA	NA	2.21	2.66	NA
-832	NA	NA	NA	NA	2.57	3.14	3.1	NA
-831	NA	NA	NA	NA	2.62	2.66	2.65	NA
-830	NA	NA	NA	NA	2.58	2.56	2.26	NA
-829	NA	NA	NA	NA	2.59	2.41	3.1	NA
-828	NA	NA	NA	NA	4.03	3.24	3.65	NA
-827	NA	NA	NA	NA	2.62	2.6	2.84	NA
-826	NA	NA	NA	NA	2.85	2.84	3.19	NA
-825	NA	NA	NA	NA	3.8	3.31	3.4	NA
-824	NA	NA	NA	NA	3.86	2.93	2.68	NA
-823	NA	NA	NA	NA	1.88	1.93	2.01	NA
-822	NA	NA	NA	NA	2.36	2.76	1.88	NA
-821	NA	NA	NA	NA	2.63	2.83	2.71	NA
-820	NA	NA	NA	NA	2.77	2.91	2.66	NA
-819	NA	NA	NA	NA	1.97	2.05	1.89	NA
-818	NA	NA	NA	NA	2.78	1.52	1.9	NA
-817	NA	NA	NA	NA	1.95	2.09	2.19	NA
-816	NA	NA	NA	NA	2.24	2.24	2.59	NA
-815	NA	NA	NA	NA	1.86	1.67	2.44	NA
-814	NA	NA	NA	NA	2.47	2.33	2.99	NA
-813	NA	NA	NA	NA	2.5	2.86	2.82	NA
-812	NA	NA	NA	NA	2.35	2.39	2.71	NA
-811	NA	NA	NA	NA	1.52	1.84	1.87	NA
-810	NA	NA	NA	2.24	1.85	2.47	2.01	NA
-809	NA	NA	NA	2.53	2.05	2.49	2.36	NA
-808	NA	NA	NA	2.34	1.44	1.8	1.48	NA
-807	NA	NA	NA	4.32	2.14	2.15	2.25	1.48
-806	NA	NA	NA	4.15	1.93	2.35	2.42	1.68
-805	NA	NA	NA	5.25	3.01	2.88	2.78	2.05
-804	NA	NA	NA	4.95	2.58	2.71	2.67	1.66
-803	NA	NA	NA	5.72	3.24	2.73	2.8	1.51
-802	NA	NA	NA	5.81	2.85	2.55	2.73	2.23
-801	NA	NA	NA	4.49	2.67	2.69	2.74	2.05
-800	NA	NA	NA	4.92	2.56	3.03	3.02	2.05
-799	NA	NA	NA	5.01	2.46	2.41	2.42	2.87
-798	NA	NA	NA	4.48	2.14	2.31	2.15	2.3
-797	NA	NA	NA	5.49	2.33	2.59	2.42	2.1
-796	NA	NA	NA	4.31	2.1	2.44	2.14	1.34
-795	NA	NA	NA	4.86	2.61	3.36	2.41	1.62
-794	NA	NA	NA	4.36	2.22	2.95	2.35	2.65
-793	NA	NA	NA	5.11	2.35	3.21	3.25	2.56
-792	NA	NA	NA	4.37	2.32	3.37	3.16	2.52
-791	NA	NA	NA	3.21	1.99	2.48	2.14	1.52
-790	NA	NA	NA	4.21	2.35	2.67	2.94	1.92
-789	NA	NA	NA	3.82	2.55	2.67	2.89	2.13
-788	NA	NA	NA	2.76	1.48	1.51	1.66	1.87
-787	NA	NA	2.45	4.67	2.9	3.36	3.09	2.18
-786	NA	NA	3.91	3.99	2.21	2.82	2.78	2.4
