# Giralia Bay, Western Australia 90 Year Mangrove Wood Density Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:14608
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/measurements/australia/giralia4dist.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2013-06-22
#--------------------
# Title
#	Study_Name: Giralia Bay, Western Australia 90 Year Mangrove Wood Density Data
#--------------------
# Investigators
#       Investigators: Santini, N.S.; Hua, Q.; Schmitz, N.; Lovelock, C.E. 
#--------------------
# Description_and_Notes
#	Description: Mangrove (Avicennia marina) wood density data from Giralia Bay, Exmouth Gulf, Western Australia.
#       Data are presented as 4 wood density (g/cm3) profiles per stem (stem 1, stem 2, stem 3, stem 4) and with x=distance 
#       from pith (cm) and x=years (calendar year before 2008 AD determined by radiocarbon dating).
#--------------------
# Publication 
#       Authors:  Nadia S. Santini, Quan Hua, Nele Schmitz, Catherine E. Lovelock  
#       Published_Date_or_Year: 2013-11-12    
#       Published_Title: Radiocarbon Dating and Wood Density Chronologies of Mangrove Trees in Arid Western Australia 
#       Journal_Name: PLOS One
#       Volume: 8
#       Edition: e80116
#       Issue: 11
#       Pages: 
#       DOI: 10.1371/journal.pone.0080116
#       Online_Resource: http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0080116
#       Full_Citation: 
#       Abstract: Mangrove trees tend to be larger and mangrove communities more diverse in tropical latitudes, particularly where there is high rainfall. Variation in the structure, growth and productivity of mangrove forests over climatic gradients suggests they are sensitive to variations in climate, but evidence of changes in the structure and growth of mangrove trees in response to climatic variation is scarce. Bomb-pulse radiocarbon dating provides accurate dates of recent wood formation and tree age of tropical and subtropical tree species. Here, we used radiocarbon techniques combined with X-ray densitometry to develop a wood density chronology for the mangrove Avicennia marina in the Exmouth Gulf, Western Australia (WA). We tested whether wood density chronologies of A. marina were sensitive to variation in the Pacific Decadal Oscillation Index, which reflects temperature fluctuations in the Pacific Ocean and is linked to the instrumental rainfall record in north WA. We also determined growth rates in mangrove trees from the Exmouth Gulf, WA. We found that seaward fringing A. marina trees (~10 cm diameter) were 48±1 to 89±23 years old (mean ± 1sigma) and that their growth rates ranged from 4.08±2.36 to 5.30±3.33 mm/yr (mean ±1sigma). The wood density of our studied mangrove trees decreased with increases in the Pacific Decadal Oscillation Index. Future predicted drying of the region will likely lead to further reductions in wood density and their associated growth rates in mangrove forests in the region.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Mexican Council of Science and Technology (CONACYT)
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Mexican Secretary of Public Education (SEP)
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Australian Institute of Nuclear Science and Engineering (AINSE)
#       Grant: 09047, 11114
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Australian Research Council (ARC) 
#       Grant: DP1096749
#------------------
# Funding_Agency 
#       Funding_Agency_Name: University of Queensland
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Research Foundation - Flanders (FWO)
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Giralia Bay
#       Location: Australia/New Zealand>Australia
#	Country: Australia
#	Northernmost_Latitude: -22.45
# 	Southernmost_Latitude: -22.45
# 	Easternmost_Longitude: 114.3167
# 	Westernmost_Longitude: 114.3167
# 	Elevation:  0 m  
#------------------
# Data_Collection   
#	Collection_Name: GiraliaStem4dist
#	Earliest_Year: 1945
#	Most_Recent_Year: 2008
#	Time_Unit: AD
#	Core_Length: 0.051 m
#	Notes: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
# Wood density profiles Giralia Bay Avicennia marina Stem 4 

depth_cm	depth distance from pith, , , cm, , , , ,N
dens	Density, wood, , g/cm3, , , Profile 1, ,N
dens	Density, wood, , g/cm3, , , Profile 2, ,N
dens	Density, wood, , g/cm3, , , Profile 3, ,N
dens	Density, wood, , g/cm3, , , Profile 4, ,N

#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  

depth_cm	dens	dens	dens	dens
0.1	0.887454017	0.888313953	0.89220438	0.885311444
0.2	0.851593126	0.859578059	0.856766355	0.855566962
0.3	0.85756782	0.893073551	0.822926391	0.879788868
0.4	0.919037594	0.924599092	0.899646712	0.931646341
0.5	0.916354167	0.914621928	0.897236903	0.909891866
0.6	0.913327041	0.926443274	0.912896226	0.922029538
0.7	0.895161887	0.90015814	0.904787284	0.899739656
0.8	0.908183951	0.895161887	0.907332396	0.914189891
0.9	0.893921478	0.876512681	0.883313555	0.903520075
1	0.8797	0.870598291	0.870206835	0.863991071
1.1	0.85219727	0.836361279	0.845126638	0.857103632
1.2	0.841818182	0.838535529	0.823548936	0.845126638
1.3	0.841818182	0.838899003	0.82990566	0.839626898
1.4	0.829549936	0.845865385	0.820059322	0.840721112
1.5	0.824953112	0.839626898	0.813851976	0.842918118
1.6	0.826715079	0.846235243	0.824250426	0.840721112
1.7	0.829194516	0.840356057	0.820059322	0.850325132
1.8	0.854454746	0.825304904	0.80605581	0.838535529
1.9	0.842551154	0.811803691	0.804715177	0.817634136
2	0.813509878	0.822498938	0.830618026	0.798078351
2.1	0.782271625	0.80976569	0.806727803	0.791226492
2.2	0.753930658	0.793172131	0.763749013	0.746083269
2.3	0.73225123	0.761944882	0.711522059	0.748680851
2.4	0.741225584	0.757768207	0.731421013	0.735032283
2.5	0.720260514	0.751296584	0.713095063	0.742362869
2.6	0.736711077	0.765864662	0.730592676	0.748680851
2.7	0.750422644	0.752172561	0.721065574	0.740941807
2.8	0.707361111	0.736150628	0.685076106	0.741509579
2.9	0.723762154	0.768602065	0.719457249	0.725118022
3	0.713620944	0.764654287	0.707878566	0.744075356
3.1	0.712045622	0.757768207	0.710216514	0.752757682
3.2	0.713095063	0.723221226	0.707878566	0.747235521
3.3	0.718655774	0.740941807	0.702993098	0.754224474
3.4	0.723491589	0.749841147	0.680021082	0.73391733
3.5	0.701464299	0.767078874	0.662787671	0.736430746
3.6	0.663924528	0.710999265	0.644254328	0.742362869
3.7	0.6986787	0.677640056	0.673864903	0.728118886
3.8	0.70376	0.721334327	0.655380969	0.706328467
3.9	0.694416936	0.674804742	0.634537705	0.666439394
4	0.701718637	0.678828481	0.675040112	0.70350418
4.1	0.654273158	0.655159106	0.638094296	0.70350418
4.2	0.665522696	0.665522696	0.650753194	0.664380364
4.3	0.645974633	0.645974633	0.628969776	0.689714897
4.4	0.667128576	0.667128576	0.638304749	0.662560767
4.5	0.653831081	0.653831081	0.653831081	0.653831081
4.6	0.66075111	0.66075111	0.66075111	0.66075111
4.7	0.673630352	0.673630352	0.673630352	0.673630352
4.8	0.671061026	0.671061026	0.671061026	0.671061026
4.9	0.638094296	0.638094296	0.638094296	0.638094296
5	0.632670807	0.632670807	0.632670807	0.632670807
5.1	0.64377809	0.64377809	0.64377809	0.64377809
