# Giralia Bay, Western Australia 90 Year Mangrove Wood Density Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:14608
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/measurements/australia/giralia1dist.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2013-06-22
#--------------------
# Title
#	Study_Name: Giralia Bay, Western Australia 90 Year Mangrove Wood Density Data
#--------------------
# Investigators
#       Investigators: Santini, N.S.; Hua, Q.; Schmitz, N.; Lovelock, C.E. 
#--------------------
# Description_and_Notes
#	Description: Mangrove (Avicennia marina) wood density data from Giralia Bay, Exmouth Gulf, Western Australia.
#       Data are presented as 4 wood density (g/cm3) profiles per stem (stem 1, stem 2, stem 3, stem 4) and with x=distance 
#       from pith (cm) and x=years (calendar year before 2008 AD determined by radiocarbon dating).
#--------------------
# Publication 
#       Authors:  Nadia S. Santini, Quan Hua, Nele Schmitz, Catherine E. Lovelock  
#       Published_Date_or_Year: 2013-11-12    
#       Published_Title: Radiocarbon Dating and Wood Density Chronologies of Mangrove Trees in Arid Western Australia 
#       Journal_Name: PLOS One
#       Volume: 8
#       Edition: e80116
#       Issue: 11
#       Pages: 
#       DOI: 10.1371/journal.pone.0080116
#       Online_Resource: http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0080116
#       Full_Citation: 
#       Abstract: Mangrove trees tend to be larger and mangrove communities more diverse in tropical latitudes, particularly where there is high rainfall. Variation in the structure, growth and productivity of mangrove forests over climatic gradients suggests they are sensitive to variations in climate, but evidence of changes in the structure and growth of mangrove trees in response to climatic variation is scarce. Bomb-pulse radiocarbon dating provides accurate dates of recent wood formation and tree age of tropical and subtropical tree species. Here, we used radiocarbon techniques combined with X-ray densitometry to develop a wood density chronology for the mangrove Avicennia marina in the Exmouth Gulf, Western Australia (WA). We tested whether wood density chronologies of A. marina were sensitive to variation in the Pacific Decadal Oscillation Index, which reflects temperature fluctuations in the Pacific Ocean and is linked to the instrumental rainfall record in north WA. We also determined growth rates in mangrove trees from the Exmouth Gulf, WA. We found that seaward fringing A. marina trees (~10 cm diameter) were 48±1 to 89±23 years old (mean ± 1sigma) and that their growth rates ranged from 4.08±2.36 to 5.30±3.33 mm/yr (mean ±1sigma). The wood density of our studied mangrove trees decreased with increases in the Pacific Decadal Oscillation Index. Future predicted drying of the region will likely lead to further reductions in wood density and their associated growth rates in mangrove forests in the region.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Mexican Council of Science and Technology (CONACYT)
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Mexican Secretary of Public Education (SEP)
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Australian Institute of Nuclear Science and Engineering (AINSE)
#       Grant: 09047, 11114
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Australian Research Council (ARC) 
#       Grant: DP1096749
#------------------
# Funding_Agency 
#       Funding_Agency_Name: University of Queensland
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Research Foundation - Flanders (FWO)
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Giralia Bay
#       Location: Australia/New Zealand>Australia
#	Country: Australia
#	Northernmost_Latitude: -22.45
# 	Southernmost_Latitude: -22.45
# 	Easternmost_Longitude: 114.3167
# 	Westernmost_Longitude: 114.3167
# 	Elevation:  0 m  
#------------------
# Data_Collection   
#	Collection_Name: GiraliaStem1dist
#	Earliest_Year: 1960
#	Most_Recent_Year: 2008
#	Time_Unit: AD
#	Core_Length: 0.057 m
#	Notes: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
# Wood density profiles Giralia Bay Avicennia marina Stem 1 

depth_cm	depth distance from pith, , , cm, , , , ,N
dens	Density, wood, , g/cm3, , , Profile 1, ,N
dens	Density, wood, , g/cm3, , , Profile 2, ,N
dens	Density, wood, , g/cm3, , , Profile 3, ,N
dens	Density, wood, , g/cm3, , , Profile 4, ,N

#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  

depth_cm	dens	dens	dens	dens
0.1	0.954297521	0.957815668	0.956493327	0.957815668
0.2	0.928713137	0.941758043	0.936665164	0.943039927
0.3	0.967466732	0.964614251	0.972258544	0.962721923
0.4	0.957556098	0.948304348	0.974188586	0.948304348
0.5	0.923325494	0.944653513	0.920727017	0.944653513
0.6	0.907531207	0.969856719	0.967943787	0.968421312
0.7	0.942385982	0.963667158	0.958491211	0.971296388
0.8	0.898393593	0.932094017	0.930327014	0.932980038
0.9	0.919433255	0.970816024	0.963194308	0.970816024
1	0.9117464	0.96177854	0.951983511	0.964614251
1.1	0.969377778	1.011329212	0.994422492	1.017620529
1.2	0.981004498	1.004086957	0.976126305	1.000504587
1.3	1.004600819	0.999485743	1.007695072	0.996947689
1.4	0.976126305	0.959428152	0.975156483	0.955226277
1.5	1.00152551	1.046369936	1.051414033	1.040821845
1.6	0.986427136	1.028820755	1.012894737	1.024525052
1.7	0.958023426	0.973222608	0.983461924	0.978071749
1.8	0.929006152	1.011329212	0.92812766	1.012372357
1.9	0.958959453	1.022923398	1.010808445	1.023456726
2	0.951522055	0.990408678	0.978071749	0.996947689
2.1	0.925502122	0.945563584	0.929006152	0.947388996
2.2	0.916000933	1.011329212	0.914294364	0.993415992
2.3	0.976126305	0.949680697	0.971296388	0.950140368
2.4	0.893486573	0.956622807	0.885825812	0.950600484
2.5	0.902939282	0.907950971	0.946931983	0.906692841
2.6	0.896751942	0.953833819	0.910055633	0.953833819
2.7	0.947846451	0.844296774	0.931651637	0.845023676
2.8	0.839961489	0.90711183	0.852362136	0.913868715
2.9	0.916428571	0.896751942	0.927689036	0.888632866
3	0.868579646	0.951522055	0.853102999	0.953370568
3.1	0.900454128	0.876334821	0.92463024	0.877117962
3.2	0.895524635	0.932094017	0.848310285	0.905438192
3.3	0.882639388	0.865897662	0.870891748	0.859452715
3.4	0.823056604	0.883433843	0.85757536	0.825132409
3.5	0.878295302	0.89064882	0.868195489	0.895933364
3.6	0.867045053	0.944199134	0.837095949	0.945108329
3.7	0.936094421	0.880264574	0.925065975	0.882242697
3.8	0.86513442	0.843571122	0.863611967	0.840680942
3.9	0.96177854	0.858700787	0.845387597	0.881054758
4	0.874772727	0.854960801	0.908371124	0.865897662
4.1	0.948762687	0.842123552	0.822022613	0.846846419
4.2	0.870505543	0.82721871	0.883433843	0.82721871
4.3	0.912170074	0.7698	0.876334821	0.763809339
4.4	0.865897662	0.846116379	0.815872818	0.840321062
4.5	0.878295302	0.785196	0.840680942	0.783941693
4.6	0.818253439	0.835314894	0.778964286	0.826522105
4.7	0.845023676	0.758790104	0.773135093	0.765298246
4.8	0.818253439	0.824439311	0.868579646	0.833541401
4.9	0.901694993	0.786769539	0.773135093	0.790890411
5	0.759377176	0.734377104	0.807482517	0.771918993
5.1	0.875943775	0.738799398	0.729736059	0.77435503
5.2	0.825132409	0.769498236	0.802530662	0.772222659
5.3	0.887829037	0.736858108	0.797639171	0.736305326
5.4	0.796668019	0.727842047	0.782691388	0.700817565
5.5	0.864372523	0.856826713	0.736581614	0.685401536
5.6	0.685401536	0.685401536	0.685401536	0.685401536
5.7	0.678296475	0.678296475	0.678296475	0.678296475
