# Giralia Bay, Western Australia 90 Year Mangrove Wood Density Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:14608
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/measurements/australia/giralia1age.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date: 2013-06-22
#--------------------
# Title
#	Study_Name: Giralia Bay, Western Australia 90 Year Mangrove Wood Density Data
#--------------------
# Investigators
#       Investigators: Santini, N.S.; Hua, Q.; Schmitz, N.; Lovelock, C.E. 
#--------------------
# Description_and_Notes
#	Description: Mangrove (Avicennia marina) wood density data from Giralia Bay, Exmouth Gulf, Western Australia.
#       Data are presented as 4 wood density (g/cm3) profiles per stem (stem 1, stem 2, stem 3, stem 4) and with x=distance 
#       from pith (cm) and x=years (calendar year before 2008 AD determined by radiocarbon dating).
#--------------------
# Publication 
#       Authors:  Nadia S. Santini, Quan Hua, Nele Schmitz, Catherine E. Lovelock  
#       Published_Date_or_Year: 2013-11-12    
#       Published_Title: Radiocarbon Dating and Wood Density Chronologies of Mangrove Trees in Arid Western Australia 
#       Journal_Name: PLOS One
#       Volume: 8
#       Edition: e80116
#       Issue: 11
#       Pages: 
#       DOI: 10.1371/journal.pone.0080116
#       Online_Resource: http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0080116
#       Full_Citation: 
#       Abstract: Mangrove trees tend to be larger and mangrove communities more diverse in tropical latitudes, particularly where there is high rainfall. Variation in the structure, growth and productivity of mangrove forests over climatic gradients suggests they are sensitive to variations in climate, but evidence of changes in the structure and growth of mangrove trees in response to climatic variation is scarce. Bomb-pulse radiocarbon dating provides accurate dates of recent wood formation and tree age of tropical and subtropical tree species. Here, we used radiocarbon techniques combined with X-ray densitometry to develop a wood density chronology for the mangrove Avicennia marina in the Exmouth Gulf, Western Australia (WA). We tested whether wood density chronologies of A. marina were sensitive to variation in the Pacific Decadal Oscillation Index, which reflects temperature fluctuations in the Pacific Ocean and is linked to the instrumental rainfall record in north WA. We also determined growth rates in mangrove trees from the Exmouth Gulf, WA. We found that seaward fringing A. marina trees (~10 cm diameter) were 48±1 to 89±23 years old (mean ± 1sigma) and that their growth rates ranged from 4.08±2.36 to 5.30±3.33 mm/yr (mean ±1sigma). The wood density of our studied mangrove trees decreased with increases in the Pacific Decadal Oscillation Index. Future predicted drying of the region will likely lead to further reductions in wood density and their associated growth rates in mangrove forests in the region.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Mexican Council of Science and Technology (CONACYT)
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Mexican Secretary of Public Education (SEP)
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Australian Institute of Nuclear Science and Engineering (AINSE)
#       Grant: 09047, 11114
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Australian Research Council (ARC) 
#       Grant: DP1096749
#------------------
# Funding_Agency 
#       Funding_Agency_Name: University of Queensland
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Research Foundation - Flanders (FWO)
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Giralia Bay
#       Location: Australia/New Zealand>Australia
#	Country: Australia
#	Northernmost_Latitude: -22.45
# 	Southernmost_Latitude: -22.45
# 	Easternmost_Longitude: 114.3167
# 	Westernmost_Longitude: 114.3167
# 	Elevation:  0 m  
#------------------
# Data_Collection   
#	Collection_Name: GiraliaStem1age
#	Earliest_Year: 1960
#	Most_Recent_Year: 2008
#	Time_Unit: AD
#	Core_Length: 0.057 m
#	Notes: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
# Wood density profiles Giralia Bay Avicennia marina Stem 1 

age_calBP2008	age, , , calendar years before 2008AD, , , , ,N
dens	Density, wood, , g/cm3, , , Profile 1, ,N
dens	Density, wood, , g/cm3, , , Profile 2, ,N
dens	Density, wood, , g/cm3, , , Profile 3, ,N
dens	Density, wood, , g/cm3, , , Profile 4, ,N

#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  

age_calBP2008	dens	dens	dens	dens
1	0.951937345	0.955086849	0.955086849	0.955086849
2	0.936876268	0.95037037	0.943382353	0.951545117
3	0.956669428	0.951545117	0.969114561	0.949979432
4	0.947640542	0.94415372	0.952722772	0.94415372
5	0.912085308	0.968301887	0.949979432	0.969928601
6	0.936876268	0.964258873	0.96024948	0.968301887
7	0.896158324	0.934601376	0.929710145	0.934979757
8	0.920079681	0.97443038	0.965468227	0.973608769
9	0.930084575	0.97443038	0.962651105	0.983560477
10	0.979389313	1.009353147	0.984398977	1.002778984
11	1.001040312	1.008031427	1.005398346	1.005836237
12	0.979804837	0.96024948	0.97731697	0.959053156
13	0.999307659	1.04027027	1.039333933	1.036535009
14	0.992863285	1.02777036	1.022310757	1.020954907
15	0.923390644	0.964258873	0.93992674	0.971560791
16	0.958257261	1.034677419	0.992863285	1.034214062
17	0.945700246	1.000173235	0.976490486	1.005398346
18	0.931961259	0.947251846	0.933845532	0.94919852
19	0.916428571	1.003650587	0.92376	0.989884269
20	0.956273292	0.934979757	0.945700246	0.93649635
21	0.894422928	0.960648918	0.918250497	0.948808546
22	0.891316094	0.942997142	0.903521127	0.942612245
23	0.954692021	0.849044118	0.941843393	0.853436807
24	0.844387569	0.905292042	0.860752889	0.908497246
25	0.913528481	0.890628616	0.914613861	0.884827586
26	0.853121537	0.94919852	0.887207069	0.954297521
27	0.924129652	0.891660232	0.860752889	0.880442242
28	0.893039443	0.884488702	0.877098367	0.872459388
29	0.825375268	0.884150077	0.853752311	0.829525862
30	0.878432864	0.891316094	0.866566604	0.897551496
31	0.871142965	0.929336016	0.866891892	0.927842507
32	0.921548284	0.857238307	0.883473604	0.85819398
33	0.912806324	0.886185725	0.852806499	0.893384913
34	0.903874755	0.834320809	0.903521127	0.85501666
35	0.934223301	0.843770552	0.828632939	0.847175348
36	0.875435936	0.81575415	0.867543201	0.812596763
37	0.895463358	0.800485269	0.872459388	0.788998975
38	0.884150077	0.806073298	0.813455442	0.812310939
39	0.82254749	0.825628192	0.805604651	0.815356422
40	0.844314067	0.767121164	0.777949952	0.772497611
41	0.851130221	0.812079705	0.847560294	0.821432927
42	0.825628192	0.766393805	0.796606439	0.788832141
43	0.827036153	0.72125818	0.743825153	0.754705882
44	0.828448924	0.771514477	0.791406658	0.781459878
45	0.878894527	0.744510286	0.799232037	0.734364022
46	0.820043963	0.774966443	0.755175958	0.679616031
47	0.766151659	0.766151659	0.722117332	0.707991241
48	0.666406086	0.666406086	0.666406086	0.666406086
